big_hexagon_id,thirtymins,harmful,not_harmful,median,mean,max,min,sum,count
1.0,2019-10-19 15:30:00,0.0,1.0,4.0,3.941666666666667,6.0,2.0,473.0,120.0
1.0,2019-10-19 20:00:00,0.0,0.0,14.0,14.305555555555555,16.0,13.0,515.0,36.0
2.0,2019-10-19 15:30:00,0.0,1.0,5.0,5.065789473684211,6.0,3.0,385.0,76.0
2.0,2019-10-19 20:00:00,0.0,0.0,14.0,14.045454545454545,15.0,13.0,618.0,44.0
2.0,2019-10-19 20:00:00,0.0,1.0,11.0,11.23913043478261,12.0,10.0,517.0,46.0
3.0,2019-10-19 15:30:00,0.0,1.0,6.0,5.612244897959183,7.0,4.0,275.0,49.0
3.0,2019-10-19 20:00:00,0.0,0.0,32.0,31.05405405405405,34.0,25.0,1149.0,37.0
3.0,2019-10-19 20:00:00,1.0,0.0,35.0,35.42857142857143,36.0,35.0,496.0,14.0
4.0,2019-10-19 15:30:00,0.0,1.0,6.0,5.656716417910447,7.0,4.0,758.0,134.0
4.0,2019-10-19 20:00:00,0.0,0.0,13.0,13.0,13.0,13.0,91.0,7.0
4.0,2019-10-19 20:00:00,0.0,1.0,9.0,9.106719367588934,12.0,7.0,2304.0,253.0
4.0,2019-10-19 20:30:00,0.0,0.0,14.0,13.66403162055336,16.0,13.0,3457.0,253.0
4.0,2019-10-19 20:30:00,0.0,1.0,10.0,9.706766917293233,12.0,6.0,5164.0,532.0
5.0,2019-10-19 15:30:00,0.0,1.0,4.0,4.100719424460432,6.0,2.0,1710.0,417.0
5.0,2019-10-19 20:30:00,0.0,0.0,17.0,16.895833333333332,21.0,13.0,811.0,48.0
5.0,2019-10-19 20:30:00,0.0,1.0,6.0,6.2542372881355925,11.0,3.0,1107.0,177.0
6.0,2019-10-19 20:30:00,0.0,0.0,31.0,30.393939393939394,34.0,25.0,1003.0,33.0
6.0,2019-10-19 20:30:00,1.0,0.0,35.0,35.0,35.0,35.0,105.0,3.0
10.0,2019-05-14 17:30:00,0.0,1.0,2.0,1.6415094339622642,3.0,0.0,174.0,106.0
10.0,2019-05-15 05:30:00,0.0,1.0,5.0,5.191176470588236,6.0,4.0,353.0,68.0
14.0,2017-09-15 16:00:00,0.0,0.0,12.38,12.428,12.82,12.15,124.28,10.0
14.0,2017-09-15 16:00:00,0.0,1.0,10.45,10.638235294117646,12.0,9.17,542.55,51.0
14.0,2017-09-15 16:30:00,0.0,0.0,12.785,13.328888888888885,15.74,12.08,239.92,18.0
14.0,2017-09-15 16:30:00,0.0,1.0,9.55,9.482837078651698,12.0,6.57,3375.890000000005,356.0
14.0,2020-05-21 13:00:00,0.0,1.0,4.0,3.863270777479893,6.0,2.0,1441.0,373.0
14.0,2020-06-16 13:00:00,0.0,0.0,16.0,16.066666666666666,25.0,13.0,4820.0,300.0
14.0,2020-06-16 13:00:00,0.0,1.0,11.0,11.314285714285715,12.0,10.0,396.0,35.0
15.0,2017-09-15 16:00:00,0.0,0.0,13.49,13.992477064220186,19.51,12.08,1525.1800000000005,109.0
15.0,2017-09-15 16:00:00,0.0,1.0,9.85,9.881249999999984,11.93,7.42,3082.9499999999957,312.0
16.0,2017-06-05 18:00:00,0.0,1.0,3.87,3.725625,4.35,2.91,119.21999999999998,32.0
16.0,2017-06-05 18:30:00,0.0,1.0,3.12,3.1852325581395387,5.57,1.48,821.7900000000011,258.0
16.0,2017-06-06 08:30:00,0.0,1.0,2.12,2.369932203389832,5.03,1.08,699.1300000000003,295.0
16.0,2017-06-06 18:30:00,0.0,1.0,1.88,2.1614788732394365,6.65,0.99,613.8600000000001,284.0
16.0,2017-06-07 08:30:00,0.0,1.0,2.0,2.0160060975609744,3.26,0.82,661.2499999999998,328.0
16.0,2017-06-07 09:00:00,0.0,1.0,1.51,1.6455303030303023,2.98,1.03,217.20999999999992,132.0
16.0,2017-06-07 18:00:00,0.0,1.0,3.19,3.335026737967916,5.19,1.7,623.6500000000002,187.0
16.0,2017-06-07 18:30:00,0.0,1.0,3.62,3.7874285714285714,5.65,2.25,132.56,35.0
16.0,2017-06-08 08:30:00,0.0,1.0,5.96,5.843456221198157,8.42,3.47,1268.0300000000004,217.0
16.0,2017-06-08 09:00:00,0.0,1.0,5.42,5.474236111111113,7.96,3.19,788.2900000000002,144.0
16.0,2017-06-08 18:00:00,0.0,1.0,2.91,3.2305536332179954,6.11,1.76,933.6300000000008,289.0
29.0,2019-10-19 20:30:00,0.0,1.0,10.0,9.46923076923077,12.0,6.0,1231.0,130.0
30.0,2019-10-19 15:30:00,0.0,1.0,4.0,3.491758241758242,6.0,0.0,1271.0,364.0
30.0,2019-10-19 20:30:00,0.0,0.0,19.0,19.8,27.0,13.0,990.0,50.0
30.0,2019-10-19 20:30:00,0.0,1.0,8.0,7.9630769230769225,12.0,6.0,2588.0,325.0
31.0,2019-10-19 15:00:00,0.0,1.0,2.0,1.7421383647798745,3.0,0.0,277.0,159.0
31.0,2019-10-19 15:30:00,0.0,1.0,1.0,1.1777777777777778,3.0,0.0,53.0,45.0
31.0,2019-10-19 20:30:00,0.0,0.0,16.0,16.583333333333332,19.0,13.0,199.0,12.0
31.0,2019-10-19 20:30:00,0.0,1.0,7.0,7.572687224669603,12.0,5.0,1719.0,227.0
31.0,2019-10-19 21:00:00,0.0,1.0,10.0,10.0,10.0,10.0,20.0,2.0
32.0,2019-10-19 15:00:00,0.0,1.0,2.0,2.08,4.0,0.0,364.0,175.0
32.0,2019-10-19 21:00:00,0.0,0.0,21.0,19.16949152542373,25.0,13.0,1131.0,59.0
32.0,2019-10-19 21:00:00,0.0,1.0,9.0,8.58125,12.0,6.0,1373.0,160.0
34.0,2019-05-14 17:30:00,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
34.0,2019-05-15 05:30:00,0.0,1.0,4.5,4.5,5.0,4.0,9.0,2.0
34.0,2020-06-21 15:00:00,0.0,1.0,4.0,4.349282296650719,6.0,2.0,909.0,209.0
34.0,2020-06-21 15:30:00,0.0,1.0,5.0,4.663157894736842,10.0,2.0,886.0,190.0
34.0,2020-06-21 16:30:00,0.0,1.0,4.0,4.355140186915889,6.0,2.0,3262.0,749.0
35.0,2019-05-14 17:30:00,0.0,1.0,2.0,1.4693877551020411,3.0,0.0,72.0,49.0
35.0,2019-05-15 05:30:00,0.0,1.0,6.0,5.779661016949151,7.0,4.0,341.0,59.0
38.0,2017-09-15 16:30:00,0.0,0.0,12.825,13.010000000000002,13.95,12.3,208.16000000000003,16.0
38.0,2017-09-15 16:30:00,0.0,1.0,9.63,9.559028571428568,11.93,7.34,1672.8299999999995,175.0
38.0,2017-09-15 17:00:00,0.0,0.0,12.15,12.15,12.15,12.15,12.15,1.0
38.0,2017-09-15 17:00:00,0.0,1.0,9.25,9.380631578947368,11.93,7.34,891.16,95.0
38.0,2020-05-21 13:00:00,0.0,1.0,4.0,3.5938566552901023,5.0,1.0,1053.0,293.0
38.0,2020-06-16 13:00:00,0.0,0.0,13.5,13.5,14.0,13.0,378.0,28.0
38.0,2020-06-16 13:00:00,0.0,1.0,10.0,10.5,12.0,9.0,1785.0,170.0
39.0,2017-09-15 16:30:00,0.0,0.0,12.97,13.085692307692305,15.58,12.08,850.57,65.0
39.0,2017-09-15 16:30:00,0.0,1.0,9.17,9.18059063136455,12.0,5.49,9015.339999999991,982.0
39.0,2017-09-15 17:00:00,0.0,0.0,12.23,12.276666666666666,12.45,12.15,36.83,3.0
39.0,2017-09-15 17:00:00,0.0,1.0,10.52,10.648571428571426,11.78,9.63,372.69999999999993,35.0
39.0,2017-09-15 17:30:00,0.0,0.0,12.935,13.26326086956522,15.34,12.08,610.1100000000001,46.0
39.0,2017-09-15 17:30:00,0.0,1.0,10.97,10.947310924369743,12.0,9.55,1302.7299999999993,119.0
40.0,2017-09-15 16:00:00,0.0,0.0,12.75,12.877954545454545,14.56,12.08,566.63,44.0
40.0,2017-09-15 16:00:00,0.0,1.0,10.15,10.106315789473687,12.0,6.96,4800.500000000002,475.0
40.0,2017-09-15 16:30:00,0.0,0.0,12.38,12.522105263157892,13.8,12.08,237.92,19.0
