pri_neigh,thirtymins,harmful,not_harmful,median,mean,max,min,sum,count
Albany Park,2017-10-13 14:00:00,0.0,0.0,13.455,13.65647059,16.98,12.08,1857.28,136
Albany Park,2017-10-13 14:00:00,0.0,1.0,10.67,10.52530686,12.0,7.96,2915.51,277
Albany Park,2017-10-13 14:30:00,0.0,1.0,8.38,8.202714286,10.22,5.65,1148.38,140
Albany Park,2017-10-13 15:00:00,0.0,0.0,13.8,15.03928395,23.84,12.08,6090.91,405
Albany Park,2017-10-13 15:00:00,0.0,1.0,10.37,10.26196262,12.0,7.27,4392.12,428
Albany Park,2019-06-27 19:00:00,0.0,1.0,1.0,0.793103448,3.0,0.0,115.0,145
Albany Park,2019-06-28 08:30:00,0.0,1.0,7.0,7.162790697999999,9.0,6.0,1232.0,172
Albany Park,2019-06-28 17:00:00,0.0,1.0,6.0,6.2741935479999995,10.0,4.0,389.0,62
Albany Park,2019-06-28 17:30:00,0.0,1.0,6.0,6.7945205479999995,10.0,4.0,992.0,146
Albany Park,2019-06-29 11:00:00,0.0,0.0,18.0,18.48101266,24.0,16.0,2920.0,158
Albany Park,2019-06-29 12:00:00,0.0,0.0,15.0,15.12587413,19.0,13.0,2163.0,143
Albany Park,2019-06-29 12:00:00,0.0,1.0,12.0,12.0,12.0,12.0,12.0,1
Albany Park,2019-06-29 15:30:00,0.0,1.0,7.0,7.151724138,9.0,5.0,1037.0,145
Albany Park,2019-07-03 08:30:00,0.0,1.0,4.0,4.034482758999999,7.0,1.0,468.0,116
Albany Park,2019-07-03 17:30:00,0.0,0.0,20.0,19.77777778,23.0,14.0,178.0,9
Albany Park,2019-07-03 17:30:00,0.0,1.0,2.0,2.0125,12.0,0.0,805.0,400
Albany Park,2019-07-03 18:30:00,0.0,0.0,14.0,14.35714286,16.0,13.0,201.0,14
Albany Park,2019-07-03 18:30:00,0.0,1.0,6.0,5.697297297,12.0,3.0,1054.0,185
Albany Park,2019-07-03 19:00:00,0.0,1.0,6.0,5.513513514,7.0,3.0,612.0,111
Albany Park,2019-07-03 20:00:00,0.0,0.0,17.0,20.7826087,34.0,13.0,478.0,23
Albany Park,2019-07-03 20:00:00,0.0,1.0,6.0,7.129251701,12.0,2.0,1048.0,147
Albany Park,2019-07-03 20:00:00,1.0,0.0,37.5,37.0,38.0,35.0,222.0,6
Albany Park,2019-07-03 20:30:00,0.0,0.0,15.0,17.0,24.0,13.0,85.0,5
Albany Park,2019-07-03 20:30:00,0.0,1.0,7.0,7.230769231,11.0,3.0,1598.0,221
Albany Park,2019-07-08 08:30:00,0.0,0.0,14.0,14.44444444,17.0,13.0,520.0,36
Albany Park,2019-07-08 08:30:00,0.0,1.0,10.0,10.35576923,12.0,9.0,1077.0,104
