id,geometry
0,"POLYGON ((-87.94011408251845 42.03264516381304, -87.9484336220911 42.02784187540124, -87.9484336220911 42.01823529857762, -87.94011408251845 42.01343201016582, -87.9317945429458 42.01823529857762, -87.9317945429458 42.02784187540124, -87.94011408251845 42.03264516381304))"
1,"POLYGON ((-87.92347500337314 42.03264516381304, -87.9317945429458 42.02784187540124, -87.9317945429458 42.01823529857762, -87.92347500337314 42.01343201016582, -87.91515546380049 42.01823529857762, -87.91515546380049 42.02784187540124, -87.92347500337314 42.03264516381304))"
2,"POLYGON ((-87.90683592422783 42.03264516381304, -87.91515546380049 42.02784187540124, -87.91515546380049 42.01823529857762, -87.90683592422783 42.01343201016582, -87.89851638465518 42.01823529857762, -87.89851638465518 42.02784187540124, -87.90683592422783 42.03264516381304))"
3,"POLYGON ((-87.89019684508253 42.03264516381304, -87.89851638465518 42.02784187540124, -87.89851638465518 42.01823529857762, -87.89019684508253 42.01343201016582, -87.88187730550987 42.01823529857762, -87.88187730550987 42.02784187540124, -87.89019684508253 42.03264516381304))"
4,"POLYGON ((-87.87355776593722 42.03264516381304, -87.88187730550987 42.02784187540124, -87.88187730550987 42.01823529857762, -87.87355776593722 42.01343201016582, -87.86523822636457 42.01823529857762, -87.86523822636457 42.02784187540124, -87.87355776593722 42.03264516381304))"
5,"POLYGON ((-87.85691868679191 42.03264516381304, -87.86523822636457 42.02784187540124, -87.86523822636457 42.01823529857762, -87.85691868679191 42.01343201016582, -87.84859914721926 42.01823529857762, -87.84859914721926 42.02784187540124, -87.85691868679191 42.03264516381304))"
6,"POLYGON ((-87.84027960764661 42.03264516381304, -87.84859914721926 42.02784187540124, -87.84859914721926 42.01823529857762, -87.84027960764661 42.01343201016582, -87.83196006807395 42.01823529857762, -87.83196006807395 42.02784187540124, -87.84027960764661 42.03264516381304))"
7,"POLYGON ((-87.8236405285013 42.03264516381304, -87.83196006807395 42.02784187540124, -87.83196006807395 42.01823529857762, -87.8236405285013 42.01343201016582, -87.81532098892865 42.01823529857762, -87.81532098892865 42.02784187540124, -87.8236405285013 42.03264516381304))"
8,"POLYGON ((-87.80700144935599 42.03264516381304, -87.81532098892865 42.02784187540124, -87.81532098892865 42.01823529857762, -87.80700144935599 42.01343201016582, -87.79868190978334 42.01823529857762, -87.79868190978334 42.02784187540124, -87.80700144935599 42.03264516381304))"
9,"POLYGON ((-87.79036237021069 42.03264516381304, -87.79868190978334 42.02784187540124, -87.79868190978334 42.01823529857762, -87.79036237021069 42.01343201016582, -87.78204283063803 42.01823529857762, -87.78204283063803 42.02784187540124, -87.79036237021069 42.03264516381304))"
10,"POLYGON ((-87.77372329106538 42.03264516381304, -87.78204283063803 42.02784187540124, -87.78204283063803 42.01823529857762, -87.77372329106538 42.01343201016582, -87.76540375149273 42.01823529857762, -87.76540375149273 42.02784187540124, -87.77372329106538 42.03264516381304))"
11,"POLYGON ((-87.75708421192007 42.03264516381304, -87.76540375149273 42.02784187540124, -87.76540375149273 42.01823529857762, -87.75708421192007 42.01343201016582, -87.74876467234742 42.01823529857762, -87.74876467234742 42.02784187540124, -87.75708421192007 42.03264516381304))"
12,"POLYGON ((-87.74044513277477 42.03264516381304, -87.74876467234742 42.02784187540124, -87.74876467234742 42.01823529857762, -87.74044513277477 42.01343201016582, -87.73212559320211 42.01823529857762, -87.73212559320211 42.02784187540124, -87.74044513277477 42.03264516381304))"
13,"POLYGON ((-87.72380605362946 42.03264516381304, -87.73212559320211 42.02784187540124, -87.73212559320211 42.01823529857762, -87.72380605362946 42.01343201016582, -87.71548651405681 42.01823529857762, -87.71548651405681 42.02784187540124, -87.72380605362946 42.03264516381304))"
14,"POLYGON ((-87.70716697448415 42.03264516381304, -87.71548651405681 42.02784187540124, -87.71548651405681 42.01823529857762, -87.70716697448415 42.01343201016582, -87.6988474349115 42.01823529857762, -87.6988474349115 42.02784187540124, -87.70716697448415 42.03264516381304))"
15,"POLYGON ((-87.69052789533885 42.03264516381304, -87.6988474349115 42.02784187540124, -87.6988474349115 42.01823529857762, -87.69052789533885 42.01343201016582, -87.68220835576619 42.01823529857762, -87.68220835576619 42.02784187540124, -87.69052789533885 42.03264516381304))"
16,"POLYGON ((-87.67388881619354 42.03264516381304, -87.68220835576619 42.02784187540124, -87.68220835576619 42.01823529857762, -87.67388881619354 42.01343201016582, -87.66556927662089 42.01823529857762, -87.66556927662089 42.02784187540124, -87.67388881619354 42.03264516381304))"
17,"POLYGON ((-87.65724973704823 42.03264516381304, -87.66556927662089 42.02784187540124, -87.66556927662089 42.01823529857762, -87.65724973704823 42.01343201016582, -87.64893019747558 42.01823529857762, -87.64893019747558 42.02784187540124, -87.65724973704823 42.03264516381304))"
18,"POLYGON ((-87.64061065790293 42.03264516381304, -87.64893019747558 42.02784187540124, -87.64893019747558 42.01823529857762, -87.64061065790293 42.01343201016582, -87.63229111833027 42.01823529857762, -87.63229111833027 42.02784187540124, -87.64061065790293 42.03264516381304))"
19,"POLYGON ((-87.62397157875762 42.03264516381304, -87.63229111833027 42.02784187540124, -87.63229111833027 42.01823529857762, -87.62397157875762 42.01343201016582, -87.61565203918497 42.01823529857762, -87.61565203918497 42.02784187540124, -87.62397157875762 42.03264516381304))"
20,"POLYGON ((-87.60733249961231 42.03264516381304, -87.61565203918497 42.02784187540124, -87.61565203918497 42.01823529857762, -87.60733249961231 42.01343201016582, -87.59901296003966 42.01823529857762, -87.59901296003966 42.02784187540124, -87.60733249961231 42.03264516381304))"
21,"POLYGON ((-87.59069342046701 42.03264516381304, -87.59901296003966 42.02784187540124, -87.59901296003966 42.01823529857762, -87.59069342046701 42.01343201016582, -87.58237388089435 42.01823529857762, -87.58237388089435 42.02784187540124, -87.59069342046701 42.03264516381304))"
