id,geometry
19,"MULTIPOLYGON (((-87.85356844330001 41.6455673189, -87.8541779361 41.6447855452, -87.8553852859 41.6447905717, -87.85598317189999 41.6455773722, -87.8553736933 41.6463591553, -87.8541663143 41.6463541286, -87.85356844330001 41.6455673189)))"
20,"MULTIPOLYGON (((-87.85175155819999 41.646344037, -87.8523610801 41.6455622732, -87.85356844330001 41.6455673189, -87.8541663143 41.6463541286, -87.85355680639999 41.6471359019, -87.8523494138 41.6471308559, -87.85175155819999 41.646344037)))"
152,"MULTIPOLYGON (((-87.6126977851 41.6450938924, -87.6133101674 41.6443134182, -87.61451745540001 41.6443209745, -87.6151123895 41.6451090054, -87.6145000211 41.6458894892, -87.6132927038 41.6458819325, -87.6126977851 41.6450938924)))"
192,"MULTIPOLYGON (((-87.54026054809999 41.6446169203, -87.5408737943 41.6438368395, -87.54208105239999 41.6438451564, -87.5426750937 41.6446335547, -87.5420618616 41.6454136451, -87.5408545743 41.6454053277, -87.54026054809999 41.6446169203)))"
193,"MULTIPOLYGON (((-87.5384592786 41.6438201675, -87.5390725387 41.6430400963, -87.540279782 41.6430484321, -87.5408737943 41.6438368395, -87.54026054809999 41.6446169203, -87.5390532755 41.644608584, -87.5384592786 41.6438201675)))"
219,"MULTIPOLYGON (((-87.85355680639999 41.6471359019, -87.8541663143 41.6463541286, -87.8553736933 41.6463591553, -87.8559715935 41.6471459557, -87.8553620998 41.6479277385, -87.8541546915 41.6479227115, -87.85355680639999 41.6471359019)))"
220,"MULTIPOLYGON (((-87.8517398768 41.6479126193, -87.8523494138 41.6471308559, -87.85355680639999 41.6471359019, -87.8541546915 41.6479227115, -87.8535451684 41.6487044844, -87.8523377466 41.6486994382, -87.8517398768 41.6479126193)))"
350,"MULTIPOLYGON (((-87.6163023009 41.646685058, -87.6169146555 41.6459045646, -87.61812197330001 41.6459120833, -87.6187169666 41.6467000957, -87.6181046255 41.6474805988, -87.6168972784 41.6474730797, -87.6163023009 41.646685058)))"
351,"MULTIPOLYGON (((-87.6145000211 41.6458894892, -87.6151123895 41.6451090054, -87.616319692 41.6451165429, -87.6169146555 41.6459045646, -87.6163023009 41.646685058, -87.6150949692 41.6466775201, -87.6145000211 41.6458894892)))"
391,"MULTIPOLYGON (((-87.5420618616 41.6454136451, -87.5426750937 41.6446335547, -87.5438823674 41.6446418529, -87.5444764387 41.645430242, -87.5438632198 41.646210342, -87.5426559168 41.6462020434, -87.5420618616 41.6454136451)))"
392,"MULTIPOLYGON (((-87.5402413127 41.646185408, -87.5408545743 41.6454053277, -87.5420618616 41.6454136451, -87.5426559168 41.6462020434, -87.5420426693 41.6469821333, -87.5408353527 41.6469738154, -87.5402413127 41.646185408)))"
393,"MULTIPOLYGON (((-87.53843999999999 41.6453886547, -87.5390532755 41.644608584, -87.54026054809999 41.6446169203, -87.5408545743 41.6454053277, -87.5402413127 41.646185408, -87.53903401079999 41.6461770713, -87.53843999999999 41.6453886547)))"
419,"MULTIPOLYGON (((-87.8535451684 41.6487044844, -87.8541546915 41.6479227115, -87.8553620998 41.6479277385, -87.85596001419999 41.6487145388, -87.8553505053 41.6494963213, -87.85414306769999 41.6494912939, -87.8535451684 41.6487044844)))"
420,"MULTIPOLYGON (((-87.8517281945 41.6494812012, -87.8523377466 41.6486994382, -87.8535451684 41.6487044844, -87.85414306769999 41.6494912939, -87.8535335296 41.6502730665, -87.8523260785 41.65026802, -87.8517281945 41.6494812012)))"
550,"MULTIPOLYGON (((-87.6162849084 41.6482535727, -87.6168972784 41.6474730797, -87.6181046255 41.6474805988, -87.6186996327 41.6482686113, -87.6180872762 41.6490491139, -87.6168798999 41.6490415944, -87.6162849084 41.6482535727)))"
590,"MULTIPOLYGON (((-87.5438440707 41.6477788307, -87.54445730499999 41.6469987311, -87.5456646233 41.6470070109, -87.5462587371 41.6477953909, -87.5456455174 41.6485755001, -87.5444381697 41.6485672198, -87.5438440707 41.6477788307)))"
591,"MULTIPOLYGON (((-87.5420426693 41.6469821333, -87.5426559168 41.6462020434, -87.5438632198 41.646210342, -87.54445730499999 41.6469987311, -87.5438440707 41.6477788307, -87.54263673840001 41.6477705316, -87.5420426693 41.6469821333)))"
593,"MULTIPOLYGON (((-87.5384207199 41.6469571416, -87.53903401079999 41.6461770713, -87.5402413127 41.646185408, -87.5408353527 41.6469738154, -87.5402220757 41.6477538953, -87.5390147446 41.6477455582, -87.5384207199 41.6469571416)))"
619,"MULTIPOLYGON (((-87.8535335296 41.6502730665, -87.85414306769999 41.6494912939, -87.8553505053 41.6494963213, -87.8559484339 41.6502831214, -87.85533891 41.6510649036, -87.8541314431 41.651059876, -87.8535335296 41.6502730665)))"
620,"MULTIPOLYGON (((-87.8517165113 41.6510497827, -87.8523260785 41.65026802, -87.8535335296 41.6502730665, -87.8541314431 41.651059876, -87.85352188989999 41.6518416482, -87.85231440939999 41.6518366014, -87.8517165113 41.6510497827)))"
750,"MULTIPOLYGON (((-87.6162675146 41.6498220869, -87.6168798999 41.6490415944, -87.6180872762 41.6490491139, -87.6186822975 41.6498371263, -87.6180699256 41.6506176285, -87.61686252 41.6506101086, -87.6162675146 41.6498220869)))"
789,"MULTIPOLYGON (((-87.5456455174 41.6485755001, -87.5462587371 41.6477953909, -87.5474660706 41.6478036519, -87.5480602146 41.6485920227, -87.5474470078 41.6493721415, -87.546239645 41.64936388, -87.5456455174 41.6485755001)))"
791,"MULTIPOLYGON (((-87.5420234755 41.6485506211, -87.54263673840001 41.6477705316, -87.5438440707 41.6477788307, -87.5444381697 41.6485672198, -87.54382492000001 41.6493473189, -87.5426175585 41.6493390194, -87.5420234755 41.6485506211)))"
792,"MULTIPOLYGON (((-87.5402028372 41.6493223822, -87.5408161296 41.6485423028, -87.5420234755 41.6485506211, -87.5426175585 41.6493390194, -87.5420042802 41.6501191085, -87.54079690499999 41.6501107897, -87.5402028372 41.6493223822)))"
793,"MULTIPOLYGON (((-87.5384014383 41.648525628, -87.5390147446 41.6477455582, -87.5402220757 41.6477538953, -87.5408161296 41.6485423028, -87.5402028372 41.6493223822, -87.5389954768 41.6493140446, -87.5384014383 41.648525628)))"
819,"MULTIPOLYGON (((-87.85352188989999 41.6518416482, -87.8541314431 41.651059876, -87.85533891 41.6510649036, -87.8559368527 41.6518517037, -87.8553273137 41.6526334854, -87.85411981750001 41.6526284576, -87.85352188989999 41.6518416482)))"
820,"MULTIPOLYGON (((-87.8517048272 41.6526183638, -87.85231440939999 41.6518366014, -87.85352188989999 41.6518416482, -87.85411981750001 41.6526284576, -87.8535102492 41.6534102295, -87.8523027395 41.6534051824, -87.8517048272 41.6526183638)))"
950,"MULTIPOLYGON (((-87.61625011939999 41.6513906008, -87.61686252 41.6506101086, -87.6180699256 41.6506176285, -87.6186649608 41.651405641, -87.6180525737 41.6521861427, -87.6168451388 41.6521786224, -87.61625011939999 41.6513906008)))"
