thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-10-13 14:00:00,170310403003001.0,41.972159999999995,-87.70363,11.78,11.78,11.78,11.78,1.0
2017-10-13 14:00:00,170311401001000.0,41.972120000000004,-87.70609,10.75,10.75,10.75,10.75,1.0
2017-10-13 14:00:00,170311401001000.0,41.972120000000004,-87.70568,11.41,11.41,11.41,11.41,1.0
2017-10-13 14:00:00,170311401001000.0,41.972120000000004,-87.70538,11.19,11.19,11.19,11.19,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70604,10.89,10.89,10.89,10.89,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70599,10.67,10.67,10.67,10.67,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70594,10.75,10.75,10.75,10.75,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70588000000001,10.97,10.97,10.97,10.97,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70583,10.75,10.75,10.75,10.75,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70578,10.89,10.89,10.89,10.89,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70573,11.04,11.04,11.04,11.04,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70563,11.56,11.56,11.56,11.56,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70558,11.78,11.78,11.78,11.78,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70554,11.04,11.04,11.04,11.04,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.7055,11.04,11.04,11.04,11.04,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70546,11.41,11.41,11.41,11.41,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70541999999999,11.56,11.56,11.56,11.56,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70405,10.07,10.07,10.07,10.07,1.0
2017-10-13 14:00:00,170311401001000.0,41.97213,-87.70399,9.25,9.25,9.25,9.25,1.0
2017-10-13 14:00:00,170311401001000.0,41.97214,-87.70394,9.32,9.32,9.32,9.32,1.0
2017-10-13 14:00:00,170311401001000.0,41.97214,-87.70388,9.1,9.1,9.1,9.1,1.0
2017-10-13 14:00:00,170311401001000.0,41.97214,-87.70383000000001,9.93,9.93,9.93,9.93,1.0
2017-10-13 14:00:00,170311401001000.0,41.97215,-87.70378000000001,10.3,10.3,10.3,10.3,1.0
