thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-26 20:30:00,170310308004014.0,41.97621,-87.66837,23.72,23.72,23.72,23.72,1.0
2017-07-26 20:30:00,170310308004014.0,41.97623,-87.66838,22.67,22.67,22.67,22.67,1.0
2017-07-26 20:30:00,170310308004014.0,41.97625,-87.66839,24.33,24.33,24.33,24.33,1.0
2017-07-26 20:30:00,170310308004014.0,41.97628,-87.66842,20.975,22.704767441860483,33.5,1952.6100000000015,86.0
2017-07-26 20:30:00,170310309004000.0,41.9762,-87.66848,17.24,17.24,17.24,17.24,1.0
2017-07-26 20:30:00,170310309004000.0,41.97622,-87.66847,17.58,17.58,17.58,17.58,1.0
2017-07-26 20:30:00,170310309004000.0,41.97624,-87.66846,17.94,17.94,17.94,17.94,1.0
2017-07-26 20:30:00,170310309004000.0,41.97626,-87.66844,17.76,17.76,17.76,17.76,1.0
2017-07-26 20:30:00,170310309004000.0,41.97627,-87.66843,17.585,17.585,17.67,35.17,2.0
2017-07-26 21:00:00,170310309004000.0,41.9762,-87.66843,18.39,18.39,18.39,18.39,1.0
2017-07-26 21:00:00,170310309004000.0,41.97622,-87.66843,23.689999999999998,23.689999999999998,24.83,47.379999999999995,2.0
2017-07-26 21:00:00,170310309004000.0,41.97624,-87.66844,19.91,19.91,19.91,19.91,1.0
2017-07-26 21:00:00,170310309004000.0,41.97626,-87.66845,20.31,20.31,20.31,20.31,1.0
2017-07-26 21:00:00,170310309004000.0,41.97628,-87.66845,20.92,20.92,20.92,20.92,1.0
2017-07-26 21:00:00,170310309004000.0,41.97628,-87.66844,23.25,23.25,23.25,23.25,1.0
2017-07-26 21:00:00,170310309004000.0,41.97631,-87.66846,22.22,22.22,22.22,22.22,1.0
2017-07-26 21:00:00,170310309004000.0,41.97633,-87.66846,21.88,21.88,21.88,21.88,1.0
2017-07-26 21:00:00,170310309004000.0,41.97634,-87.66846,21.185000000000002,21.185000000000002,21.45,42.370000000000005,2.0
2017-07-26 21:00:00,170310309004000.0,41.97634,-87.66845,22.104999999999997,22.087826086956525,24.96,1016.0400000000002,46.0
2017-08-02 09:30:00,170310309001000.0,41.98166,-87.66974,16.44,16.44,16.98,32.88,2.0
