thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-05 20:30:00,170313403001003.0,41.84544,-87.63818,4.81,4.81,4.81,4.81,1.0
2017-05-05 20:30:00,170313403001003.0,41.84544,-87.63807,5.03,5.03,5.03,5.03,1.0
2017-05-05 20:30:00,170313403001003.0,41.84544,-87.63795,5.49,5.49,5.49,5.49,1.0
2017-05-05 20:30:00,170313403001003.0,41.84548,-87.6383,5.26,5.26,5.26,5.26,1.0
2017-05-05 20:30:00,170313403001003.0,41.84548,-87.63824,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:30:00,170313403001004.0,41.845459999999996,-87.6365,6.19,6.19,6.19,6.19,1.0
2017-05-05 20:30:00,170313403001004.0,41.845459999999996,-87.63642,4.65,4.65,4.65,4.65,1.0
2017-05-05 20:30:00,170313403001004.0,41.845459999999996,-87.63635,4.58,4.58,4.58,4.58,1.0
2017-05-05 20:30:00,170313403001004.0,41.84548,-87.63624,4.81,4.81,4.81,4.81,1.0
2017-05-05 20:30:00,170313403001004.0,41.8455,-87.63614,5.11,5.11,5.11,5.11,1.0
2017-05-05 20:30:00,170313403001004.0,41.84552,-87.63603,5.03,5.03,5.03,5.03,1.0
2017-05-05 20:30:00,170313403001004.0,41.84556,-87.63592,5.26,5.26,5.26,5.26,1.0
2017-05-05 20:30:00,170313403001008.0,41.84567,-87.63568000000001,5.57,5.57,5.57,5.57,1.0
2017-05-05 20:30:00,170313403001009.0,41.8456,-87.63468,7.04,7.04,7.04,7.04,1.0
2017-05-05 20:30:00,170313403001009.0,41.8456,-87.63463,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:30:00,170313403001009.0,41.84564,-87.63475,6.34,6.34,6.34,6.34,1.0
2017-05-05 20:30:00,170313403001009.0,41.84567,-87.6348,6.42,6.42,6.42,6.42,1.0
2017-05-05 20:30:00,170313403001009.0,41.84571,-87.63558,5.03,5.03,5.03,5.03,1.0
2017-05-05 20:30:00,170313403001009.0,41.84571,-87.63485,5.88,5.88,5.88,5.88,1.0
2017-05-05 20:30:00,170313403001009.0,41.84572,-87.6349,5.42,5.42,5.42,5.42,1.0
2017-05-05 20:30:00,170313403001009.0,41.845729999999996,-87.63548,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:30:00,170313403001009.0,41.84574,-87.63539,4.88,4.88,4.88,4.88,1.0
2017-05-05 20:30:00,170313403001009.0,41.84575,-87.63495,5.11,5.11,5.11,5.11,1.0
2017-05-05 20:30:00,170313403001009.0,41.84576,-87.6353,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:30:00,170313403001009.0,41.84577,-87.63503,4.81,4.81,4.81,4.81,1.0
2017-05-05 20:30:00,170313403001009.0,41.84578,-87.63521999999999,4.81,4.81,4.81,4.81,1.0
2017-05-05 20:30:00,170313403001009.0,41.84578,-87.63513,5.19,5.19,5.19,5.19,1.0
2017-05-05 20:30:00,170313403001012.0,41.84563,-87.63579,5.72,5.72,5.72,5.72,1.0
2017-05-05 20:30:00,170313403001015.0,41.84536,-87.63761,6.73,6.7,7.11,20.1,3.0
2017-05-05 20:30:00,170313403001015.0,41.84536,-87.63754,7.73,7.73,7.73,7.73,1.0
2017-05-05 20:30:00,170313403001015.0,41.84536,-87.63749,7.8,7.8,7.8,7.8,1.0
2017-05-05 20:30:00,170313403001015.0,41.84537,-87.63741999999999,7.73,7.73,7.73,7.73,1.0
2017-05-05 20:30:00,170313403001015.0,41.84538,-87.63735,8.34,8.34,8.34,8.34,1.0
2017-05-05 20:30:00,170313403001015.0,41.84538,-87.63727,8.19,8.19,8.19,8.19,1.0
2017-05-05 20:30:00,170313403001015.0,41.84539,-87.6372,7.8,7.8,7.8,7.8,1.0
2017-05-05 20:30:00,170313403001015.0,41.8454,-87.63710999999999,8.11,8.11,8.11,8.11,1.0
2017-05-05 20:30:00,170313403001015.0,41.84541,-87.63703000000001,7.8,7.8,7.8,7.8,1.0
2017-05-05 20:30:00,170313403001015.0,41.845420000000004,-87.63778,5.57,5.57,5.57,5.57,1.0
2017-05-05 20:30:00,170313403001015.0,41.845420000000004,-87.63695,8.49,8.49,8.49,8.49,1.0
2017-05-05 20:30:00,170313403001015.0,41.845420000000004,-87.63687,8.34,8.34,8.34,8.34,1.0
2017-05-05 20:30:00,170313403001015.0,41.84543,-87.6368,7.96,7.96,7.96,7.96,1.0
2017-05-05 20:30:00,170313403001015.0,41.84544,-87.63786999999999,5.49,5.49,5.49,5.49,1.0
2017-05-05 20:30:00,170313403001015.0,41.84544,-87.63672,7.8,7.8,7.8,7.8,1.0
2017-05-05 20:30:00,170313403001015.0,41.84544,-87.63665,7.11,7.11,7.11,7.11,1.0
2017-05-05 20:30:00,170313403001015.0,41.84545,-87.63658000000001,6.19,6.19,6.19,6.19,1.0
2017-05-05 20:30:00,170313404001000.0,41.83828,-87.6298,6.8,6.8,6.8,6.8,1.0
2017-05-05 20:30:00,170313404001000.0,41.8383,-87.62999,10.45,10.45,10.45,10.45,1.0
2017-05-05 20:30:00,170313404001000.0,41.83831,-87.63004000000001,9.78,9.78,9.78,9.78,1.0
2017-05-05 20:30:00,170313404001000.0,41.83832,-87.63016,9.1,9.1,9.1,9.1,1.0
2017-05-05 20:30:00,170313404001000.0,41.83832,-87.6301,9.78,9.78,9.78,9.78,1.0
2017-05-05 20:30:00,170313404001000.0,41.83833,-87.63029,8.19,8.19,8.19,8.19,1.0
2017-05-05 20:30:00,170313404001000.0,41.83833,-87.63022,8.42,8.42,8.42,8.42,1.0
2017-05-05 20:30:00,170313404001000.0,41.83834,-87.63063000000001,8.03,8.03,8.03,8.03,1.0
2017-05-05 20:30:00,170313404001000.0,41.83834,-87.63056,7.73,7.73,7.73,7.73,1.0
2017-05-05 20:30:00,170313404001000.0,41.83834,-87.63049000000001,7.5,7.5,7.5,7.5,1.0
2017-05-05 20:30:00,170313404001000.0,41.83834,-87.63042,7.8,7.8,7.8,7.8,1.0
2017-05-05 20:30:00,170313404001000.0,41.83834,-87.63035,8.03,8.03,8.03,8.03,1.0
2017-05-05 20:30:00,170313404001004.0,41.84493,-87.63308,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:30:00,170313404001004.0,41.84497,-87.63308,6.8,6.8,6.8,6.8,1.0
2017-05-05 20:30:00,170313404001004.0,41.845009999999995,-87.63306999999999,7.19,7.19,7.19,7.19,1.0
2017-05-05 20:30:00,170313404001004.0,41.84506,-87.63308,7.04,7.04,7.04,7.04,1.0
2017-05-05 20:30:00,170313404001004.0,41.84514,-87.63306999999999,7.34,7.34,7.34,7.34,1.0
2017-05-05 20:30:00,170313404001004.0,41.845209999999994,-87.63306999999999,6.8,6.8,6.8,6.8,1.0
2017-05-05 20:30:00,170313404001004.0,41.845279999999995,-87.63308,6.96,6.96,6.96,6.96,1.0
2017-05-05 20:30:00,170313404001004.0,41.84533,-87.63309,7.11,7.11,7.11,7.11,1.0
2017-05-05 20:30:00,170313404001004.0,41.84536,-87.63309,6.88,6.88,6.88,6.88,1.0
2017-05-05 20:30:00,170313404001004.0,41.8454,-87.6331,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:30:00,170313404001004.0,41.845420000000004,-87.63311,6.26,6.26,6.26,6.26,1.0
2017-05-05 20:30:00,170313404001004.0,41.84544,-87.63311999999999,5.72,5.72,5.72,5.72,1.0
2017-05-05 20:30:00,170313404001004.0,41.84547,-87.63313000000001,5.57,5.57,5.57,5.57,1.0
2017-05-05 20:30:00,170313404001004.0,41.84548,-87.63315,5.88,5.88,5.88,5.88,1.0
2017-05-05 20:30:00,170313404001004.0,41.8455,-87.63316999999999,6.11,6.11,6.11,6.11,1.0
2017-05-05 20:30:00,170313404001005.0,41.84486,-87.63308,5.96,5.96,5.96,5.96,1.0
2017-05-05 20:30:00,170313404001005.0,41.84489,-87.63308,6.19,6.19,6.19,6.19,1.0
2017-05-05 20:30:00,170313404001006.0,41.84406,-87.6331,5.88,5.88,5.88,5.88,1.0
2017-05-05 20:30:00,170313404001006.0,41.84411,-87.6331,6.11,6.11,6.11,6.11,1.0
2017-05-05 20:30:00,170313404001006.0,41.84417,-87.6331,6.11,6.11,6.11,6.11,1.0
2017-05-05 20:30:00,170313404001006.0,41.84422,-87.63311,5.49,5.49,5.49,5.49,1.0
2017-05-05 20:30:00,170313404001006.0,41.84427,-87.63311,5.57,5.57,5.57,5.57,1.0
2017-05-05 20:30:00,170313404001006.0,41.84431,-87.63311,5.65,5.65,5.65,5.65,1.0
2017-05-05 20:30:00,170313404001006.0,41.844359999999995,-87.6331,6.73,6.73,6.73,6.73,1.0
2017-05-05 20:30:00,170313404001006.0,41.844409999999996,-87.6331,6.57,6.57,6.57,6.57,1.0
2017-05-05 20:30:00,170313404001006.0,41.84445,-87.63309,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:30:00,170313404001006.0,41.8445,-87.63308,5.8,5.8,5.8,5.8,1.0
2017-05-05 20:30:00,170313404001006.0,41.84453,-87.63306999999999,5.26,5.26,5.26,5.26,1.0
2017-05-05 20:30:00,170313404001006.0,41.844570000000004,-87.63306999999999,5.65,5.65,5.65,5.65,1.0
2017-05-05 20:30:00,170313404001006.0,41.844609999999996,-87.63308,5.96,5.96,5.96,5.96,1.0
2017-05-05 20:30:00,170313404001006.0,41.844640000000005,-87.63308,5.34,5.34,5.34,5.34,1.0
2017-05-05 20:30:00,170313404001006.0,41.84468,-87.63308,5.34,5.34,5.34,5.34,1.0
2017-05-05 20:30:00,170313404001006.0,41.84472,-87.63308,6.03,6.03,6.03,6.03,1.0
2017-05-05 20:30:00,170313404001006.0,41.84476,-87.63306,5.65,5.65,5.65,5.65,1.0
2017-05-05 20:30:00,170313404001006.0,41.84482,-87.63308,5.65,5.65,5.65,5.65,1.0
2017-05-05 20:30:00,170313404001009.0,41.83834,-87.63076,7.8,7.8,7.8,7.8,1.0
2017-05-05 20:30:00,170313404001009.0,41.83834,-87.6307,8.26,8.26,8.26,8.26,1.0
2017-05-05 20:30:00,170313404001009.0,41.83835,-87.63084,7.34,7.34,7.34,7.34,1.0
2017-05-05 20:30:00,170313404001015.0,41.84264,-87.63302,6.11,6.11,6.11,6.11,1.0
2017-05-05 20:30:00,170313404001015.0,41.842690000000005,-87.63302,6.57,6.57,6.57,6.57,1.0
2017-05-05 20:30:00,170313404001015.0,41.84274,-87.63302,7.04,7.04,7.04,7.04,1.0
2017-05-05 20:30:00,170313404001015.0,41.8428,-87.63302,6.8,6.8,6.8,6.8,1.0
2017-05-05 20:30:00,170313404001015.0,41.84285,-87.63303,6.26,6.26,6.26,6.26,1.0
2017-05-05 20:30:00,170313404001015.0,41.8429,-87.63303,6.11,6.11,6.11,6.11,1.0
2017-05-05 20:30:00,170313404001015.0,41.84295,-87.63303,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:30:00,170313404001015.0,41.843,-87.63304000000001,6.34,6.34,6.34,6.34,1.0
2017-05-05 20:30:00,170313404001015.0,41.843059999999994,-87.63304000000001,5.8,5.8,5.8,5.8,1.0
2017-05-05 20:30:00,170313404001015.0,41.843109999999996,-87.63304000000001,5.19,5.19,5.19,5.19,1.0
2017-05-05 20:30:00,170313404001015.0,41.84316,-87.63304000000001,5.8,5.8,5.8,5.8,1.0
2017-05-05 20:30:00,170313404001015.0,41.84322,-87.63304000000001,6.57,6.57,6.57,6.57,1.0
2017-05-05 20:30:00,170313404001015.0,41.843270000000004,-87.63304000000001,6.65,6.65,6.65,6.65,1.0
2017-05-05 20:30:00,170313404001015.0,41.84333,-87.63305,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:30:00,170313404001015.0,41.843379999999996,-87.63305,6.88,6.88,6.88,6.88,1.0
2017-05-05 20:30:00,170313404001015.0,41.84344,-87.63306,6.65,6.65,6.65,6.65,1.0
2017-05-05 20:30:00,170313404001015.0,41.84349,-87.63306,6.65,6.65,6.65,6.65,1.0
