thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-17 18:30:00,170317002004000.0,41.74953,-87.72203,4.73,4.73,4.73,4.73,1.0
2017-07-17 18:30:00,170317002004000.0,41.74958,-87.72203,5.34,5.34,5.34,5.34,1.0
2017-07-17 18:30:00,170317002004000.0,41.74962,-87.72203,5.03,5.03,5.03,5.03,1.0
2017-07-17 18:30:00,170317002004000.0,41.74965,-87.72203,4.88,4.88,4.88,4.88,1.0
2017-07-17 18:30:00,170317002004000.0,41.74969,-87.72203,5.42,5.438947368421052,6.34,103.34,19.0
2017-07-17 18:30:00,170317002004000.0,41.7497,-87.72203,6.6099999999999985,6.6099999999999985,6.88,13.22,2.0
2017-07-17 18:30:00,170317002004000.0,41.74972,-87.72203,7.11,7.11,7.11,7.11,1.0
2017-07-17 18:30:00,170317002004000.0,41.74974,-87.72203,7.65,7.65,7.65,7.65,1.0
2017-07-17 18:30:00,170317002004000.0,41.749759999999995,-87.72202,7.73,7.73,7.73,7.73,1.0
2017-07-17 18:30:00,170317002004000.0,41.7498,-87.72203,7.88,7.88,7.88,7.88,1.0
2017-07-17 18:30:00,170317002004000.0,41.74984,-87.72203,7.96,7.96,7.96,7.96,1.0
2017-07-17 18:30:00,170317002004000.0,41.74989,-87.72203,7.42,7.42,7.42,7.42,1.0
2017-07-17 18:30:00,170317002004000.0,41.74995,-87.72203,6.8,6.8,6.8,6.8,1.0
2017-07-17 18:30:00,170317002004000.0,41.75,-87.72203,7.27,7.27,7.27,7.27,1.0
2017-07-17 18:30:00,170317002004000.0,41.75007,-87.72204,8.11,8.11,8.11,8.11,1.0
2017-07-17 18:30:00,170317002004000.0,41.75013,-87.72204,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:30:00,170317002004000.0,41.7502,-87.72204,9.48,9.48,9.48,9.48,1.0
2017-07-17 18:30:00,170317002004000.0,41.75028,-87.72205,8.34,8.34,8.34,8.34,1.0
2017-07-17 18:30:00,170317002004000.0,41.75035,-87.72206,6.96,6.96,6.96,6.96,1.0
2017-07-17 18:30:00,170317002004000.0,41.75043,-87.72206,6.42,6.42,6.42,6.42,1.0
2017-07-17 18:30:00,170317002004000.0,41.75051,-87.72206,5.8,5.8,5.8,5.8,1.0
2017-07-17 18:30:00,170317002004000.0,41.7506,-87.72206,5.26,5.26,5.26,5.26,1.0
