thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2018-06-29 09:30:00,170317108004004.0,41.75056,-87.64964,6.96,6.96,6.96,6.96,1.0
2018-06-29 09:30:00,170317108004004.0,41.75056,-87.64963,7.27,7.27,7.27,7.27,1.0
2018-06-29 09:30:00,170317108004004.0,41.75056,-87.64962,7.27,7.27,7.27,7.27,1.0
2018-06-29 09:30:00,170317108004004.0,41.75057,-87.6496,7.57,7.57,7.57,7.57,1.0
2018-06-29 09:30:00,170317108004004.0,41.75057,-87.64959,7.5,7.5,7.5,7.5,1.0
2018-06-29 09:30:00,170317108004004.0,41.75057,-87.64958,7.65,7.65,7.65,7.65,1.0
2018-06-29 09:30:00,170317108004004.0,41.75057,-87.64957,7.04,7.04,7.04,7.04,1.0
2018-06-29 09:30:00,170317108004004.0,41.75057,-87.64956,7.5,7.5,7.5,7.5,1.0
2018-06-29 09:30:00,170317108004004.0,41.75057,-87.64952,6.03,6.03,6.03,6.03,1.0
2018-06-29 09:30:00,170317108004004.0,41.75058,-87.64955,6.96,6.96,6.96,6.96,1.0
2018-06-29 09:30:00,170317108004004.0,41.75058,-87.64953,6.26,6.26,6.26,6.26,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64871,3.62,3.62,3.62,3.62,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.6487,4.13,4.13,4.13,4.13,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64869,4.13,4.13,4.13,4.13,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64867,3.98,3.98,3.98,3.98,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64866,3.62,3.62,3.62,3.62,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64864,3.91,3.91,3.91,3.91,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64863,4.13,4.13,4.13,4.13,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64862,3.91,3.91,3.91,3.91,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.6486,4.06,4.06,4.06,4.06,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64859,3.62,3.62,3.62,3.62,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64858,3.47,3.47,3.47,3.47,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64857,3.4,3.4,3.4,3.4,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64856,3.33,3.33,3.33,3.33,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64855,4.13,4.13,4.13,4.13,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64854,4.35,4.35,4.35,4.35,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64845,3.91,3.91,3.91,3.91,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64843,3.69,3.69,3.69,3.69,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64842,3.83,3.83,3.83,3.83,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64841,4.06,4.06,4.06,4.06,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.6484,4.13,4.13,4.13,4.13,1.0
2018-06-29 09:30:00,170317108004006.0,41.75049,-87.64839,3.69,3.69,3.69,3.69,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64887,3.54,3.54,3.54,3.54,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64886,3.4699999999999998,3.4699999999999998,3.54,6.9399999999999995,2.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64883,3.05,3.05,3.05,3.05,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64881,2.84,2.84,2.84,2.84,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64879,2.57,2.57,2.57,2.57,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64878,2.38,2.38,2.38,2.38,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64876,2.51,2.51,2.51,2.51,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64875,2.57,2.57,2.57,2.57,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64873,3.62,3.62,3.62,3.62,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64853,5.42,5.42,5.42,5.42,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64852,5.49,5.49,5.49,5.49,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64851,4.96,4.96,4.96,4.96,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.6485,4.88,4.88,4.88,4.88,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64849,4.96,4.96,4.96,4.96,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64848,5.03,5.03,5.03,5.03,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64847,4.5,4.5,4.5,4.5,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64846,4.095,4.095,4.13,8.19,2.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64839,3.62,3.62,3.62,3.62,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64838,3.225,3.225,3.33,6.45,2.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64836,3.12,3.12,3.12,3.12,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64835,3.62,3.62,3.62,3.62,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64833,3.76,3.76,3.76,3.76,1.0
2018-06-29 09:30:00,170317108004006.0,41.7505,-87.64832,3.76,3.76,3.76,3.76,1.0
