thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77486,11.34,11.34,11.34,11.34,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77452,9.55,9.55,9.55,9.55,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77444,9.02,9.02,9.02,9.02,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77436,9.32,9.32,9.32,9.32,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77428,9.4,9.4,9.4,9.4,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77418,9.55,9.55,9.55,9.55,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77408,10.07,10.07,10.07,10.07,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77398000000001,10.3,10.3,10.3,10.3,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77386,10.37,10.37,10.37,10.37,1.0
2017-07-17 18:30:00,170312514004022.0,41.88732,-87.77373,10.15,10.15,10.15,10.15,1.0
2017-07-17 18:30:00,170312514004022.0,41.88733,-87.7748,11.26,11.26,11.26,11.26,1.0
2017-07-17 18:30:00,170312514004022.0,41.88733,-87.77458,9.1,9.1,9.1,9.1,1.0
2017-07-17 18:30:00,170312514004022.0,41.88733,-87.77359,10.52,10.52,10.52,10.52,1.0
2017-07-17 18:30:00,170312514004022.0,41.88733,-87.77345,11.04,11.04,11.04,11.04,1.0
2017-07-17 18:30:00,170312514004022.0,41.88733,-87.77329,11.04,11.04,11.04,11.04,1.0
2017-07-17 18:30:00,170312514004022.0,41.88733,-87.77313000000001,11.71,11.71,11.71,11.71,1.0
2017-07-17 18:30:00,170312514004022.0,41.88733,-87.77296,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77476999999999,11.12,11.12,11.12,11.12,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77473,8.95,8.95,8.95,8.95,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77472,8.8,9.008709677419354,11.26,279.27,31.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77471,8.87,8.87,8.87,8.87,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.7747,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77467,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77463,8.87,8.87,8.87,8.87,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77277,11.93,11.93,11.93,11.93,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77258,12.15,12.15,12.15,12.15,1.0
2017-07-17 18:30:00,170312514004022.0,41.88734,-87.77239,11.86,11.86,11.86,11.86,1.0
2017-07-17 18:30:00,170312514004022.0,41.88735,-87.77472,8.719999999999999,8.719999999999999,8.87,17.439999999999998,2.0
2017-07-17 18:30:00,170312514004022.0,41.88735,-87.7722,11.86,11.86,11.86,11.86,1.0
2017-07-17 18:30:00,170312514004023.0,41.88735,-87.77201,12.0,12.0,12.0,12.0,1.0
2017-07-17 18:30:00,170312514004023.0,41.88735,-87.77109,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:30:00,170312514004023.0,41.88735,-87.77091999999999,11.49,11.49,11.49,11.49,1.0
2017-07-17 18:30:00,170312514004023.0,41.88735,-87.77074,11.04,11.04,11.04,11.04,1.0
2017-07-17 18:30:00,170312514004023.0,41.88735,-87.77055,11.41,11.41,11.41,11.41,1.0
2017-07-17 18:30:00,170312514004023.0,41.88735,-87.77037,11.63,11.63,11.63,11.63,1.0
2017-07-17 18:30:00,170312514004023.0,41.88736,-87.77183000000001,11.93,11.93,11.93,11.93,1.0
2017-07-17 18:30:00,170312514004023.0,41.88736,-87.77164,11.93,11.93,11.93,11.93,1.0
2017-07-17 18:30:00,170312514004023.0,41.88736,-87.77145,12.08,12.08,12.08,12.08,1.0
2017-07-17 18:30:00,170312514004023.0,41.88736,-87.77127,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:30:00,170312514004023.0,41.88736,-87.77019,11.93,11.93,11.93,11.93,1.0
2017-07-17 18:30:00,170312514004024.0,41.88736,-87.77001,12.23,12.23,12.23,12.23,1.0
2017-07-17 18:30:00,170312514004024.0,41.88736,-87.76983,12.52,12.52,12.52,12.52,1.0
2017-07-17 18:30:00,170312514004024.0,41.88736,-87.76965,12.45,12.45,12.45,12.45,1.0
2017-07-17 18:30:00,170312514004024.0,41.88736,-87.76946,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:30:00,170312514004024.0,41.88736,-87.76928000000001,11.26,11.26,11.26,11.26,1.0
