thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-06-06 07:00:00,170312101001000.0,41.9429,-87.6979,4.81,4.81,4.81,4.81,1.0
2017-06-06 07:00:00,170312101001000.0,41.94297,-87.69788,4.58,4.58,4.58,4.58,1.0
2017-06-06 07:00:00,170312101001000.0,41.943059999999996,-87.69789,4.28,4.28,4.28,4.28,1.0
2017-06-06 07:00:00,170312101001000.0,41.94315,-87.69789,3.91,3.91,3.91,3.91,1.0
2017-06-06 07:00:00,170312101001000.0,41.94327,-87.6979,3.62,3.62,3.62,3.62,1.0
2017-06-06 07:00:00,170312101001000.0,41.94339,-87.69792,3.47,3.47,3.47,3.47,1.0
2017-06-06 07:00:00,170312101001000.0,41.9435,-87.69792,3.19,3.19,3.19,3.19,1.0
2017-06-06 07:00:00,170312101001000.0,41.94361,-87.69792,3.05,3.05,3.05,3.05,1.0
2017-06-06 07:00:00,170312101001000.0,41.94373,-87.69793,2.84,2.84,2.84,2.84,1.0
2017-06-06 07:00:00,170312101001000.0,41.94384,-87.69793,3.26,3.26,3.26,3.26,1.0
2017-06-06 07:00:00,170312101001000.0,41.94395,-87.69793,2.91,2.91,2.91,2.91,1.0
2017-06-06 07:00:00,170312101001000.0,41.94406,-87.69793,2.64,2.64,2.64,2.64,1.0
2017-06-06 07:00:00,170312101001000.0,41.944179999999996,-87.69794,2.71,2.71,2.71,2.71,1.0
2017-06-06 07:00:00,170312101001000.0,41.94429,-87.69795,2.51,2.51,2.51,2.51,1.0
2017-06-06 07:00:00,170312101001000.0,41.94441,-87.69795,2.44,2.44,2.44,2.44,1.0
2017-06-06 07:00:00,170312101001000.0,41.944520000000004,-87.69795,2.38,2.38,2.38,2.38,1.0
2017-06-06 07:00:00,170312101001000.0,41.94464,-87.69796,2.64,2.64,2.64,2.64,1.0
2017-06-06 07:00:00,170312101001000.0,41.944759999999995,-87.69797,2.77,2.77,2.77,2.77,1.0
2017-06-06 07:00:00,170312101001000.0,41.94487,-87.69797,3.33,3.33,3.33,3.33,1.0
2017-06-06 07:00:00,170312101001000.0,41.94498,-87.69797,3.33,3.33,3.33,3.33,1.0
2017-06-06 07:00:00,170312101001000.0,41.94509,-87.69798,3.19,3.19,3.19,3.19,1.0
2017-06-06 07:00:00,170312101001000.0,41.945190000000004,-87.69798,3.54,3.54,3.54,3.54,1.0
2017-06-06 07:00:00,170312101001000.0,41.94529,-87.69798,4.06,4.06,4.06,4.06,1.0
2017-06-06 07:00:00,170312101001000.0,41.94539,-87.69799,3.76,3.76,3.76,3.76,1.0
2017-06-06 07:00:00,170312101001000.0,41.94549,-87.69799,3.4,3.4,3.4,3.4,1.0
2017-06-06 07:00:00,170312101001000.0,41.94559,-87.69799,3.12,3.12,3.12,3.12,1.0
2017-06-06 07:00:00,170312101001000.0,41.945679999999996,-87.69799,2.77,2.77,2.77,2.77,1.0
2017-06-06 07:00:00,170312101001000.0,41.94578,-87.69799,2.64,2.64,2.64,2.64,1.0
2017-06-06 07:00:00,170312101001000.0,41.945859999999996,-87.698,3.69,3.69,3.69,3.69,1.0
2017-06-06 07:00:00,170312101001000.0,41.94595,-87.69799,4.06,4.06,4.06,4.06,1.0
2017-06-06 07:00:00,170312101001000.0,41.94603,-87.69798,3.54,3.54,3.54,3.54,1.0
