thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-10-13 15:30:00,170311901001011.0,41.93166,-87.74363000000001,10.97,10.97,10.97,10.97,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.7438,10.75,10.75,10.75,10.75,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74373,11.19,11.19,11.19,11.19,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74372,10.75,10.75,10.75,10.75,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74371,11.63,11.63,11.63,11.63,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.7437,11.71,11.71,11.71,11.71,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74368,11.34,11.34,11.34,11.34,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74365999999999,11.19,11.19,11.19,11.19,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.7436,11.04,11.04,11.04,11.04,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74356,10.97,10.97,10.97,10.97,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74351999999999,11.19,11.19,11.19,11.19,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74348,11.04,11.04,11.04,11.04,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74343,11.26,11.26,11.26,11.26,1.0
2017-10-13 15:30:00,170311901001011.0,41.931670000000004,-87.74252,9.48,9.45,9.7,28.35,3.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74396,9.25,9.25,9.25,9.25,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74391,9.78,9.78,9.78,9.78,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74387,10.52,10.52,10.52,10.52,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74383,10.75,10.75,10.75,10.75,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74377,10.6,10.6,10.6,10.6,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74375,10.67,10.67,10.67,10.67,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74338,11.19,11.19,11.19,11.19,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74333,10.89,10.89,10.89,10.89,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.7428,10.15,10.15,10.15,10.15,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74274,9.48,9.48,9.48,9.48,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74268000000001,9.25,9.25,9.25,9.25,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74263,10.0,10.0,10.0,10.0,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74257,9.78,9.78,9.78,9.78,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74235,8.87,8.87,8.87,8.87,1.0
2017-10-13 15:30:00,170311901001011.0,41.93168,-87.74229,8.64,8.64,8.64,8.64,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74412,9.85,9.85,9.85,9.85,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74407,9.7,9.7,9.7,9.7,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74401999999999,9.85,9.85,9.85,9.85,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74328,10.6,10.6,10.6,10.6,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74323000000001,10.0,10.0,10.22,20.0,2.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74311999999999,10.37,10.37,10.37,10.37,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74306,11.19,11.19,11.19,11.19,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74301,11.12,11.12,11.12,11.12,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74291,10.97,10.97,10.97,10.97,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74285,10.22,10.22,10.22,10.22,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74223,8.57,8.57,8.57,8.57,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.74216,8.49,8.49,8.49,8.49,1.0
2017-10-13 15:30:00,170311901001011.0,41.93169,-87.7421,8.57,8.57,8.57,8.57,1.0
2017-10-13 15:30:00,170311901001011.0,41.9317,-87.74296,10.89,10.89,10.89,10.89,1.0
2017-10-13 15:30:00,170311901001011.0,41.9317,-87.74204,9.02,9.02,9.02,9.02,1.0
2017-10-13 15:30:00,170311901001011.0,41.9317,-87.74197,9.4,9.4,9.4,9.4,1.0
2017-10-13 15:30:00,170311901001011.0,41.9317,-87.74191,9.55,9.55,9.55,9.55,1.0
2017-10-13 15:30:00,170311901001022.0,41.93168,-87.7447,10.6,10.6,10.6,10.6,1.0
2017-10-13 15:30:00,170311901001022.0,41.93169,-87.74464,10.45,10.45,10.45,10.45,1.0
2017-10-13 15:30:00,170311901001022.0,41.93169,-87.74458,9.78,9.78,9.78,9.78,1.0
2017-10-13 15:30:00,170311901001022.0,41.93169,-87.74452,9.85,9.85,9.85,9.85,1.0
2017-10-13 15:30:00,170311901001022.0,41.9317,-87.74446999999999,10.67,10.67,10.67,10.67,1.0
2017-10-13 15:30:00,170311901001022.0,41.9317,-87.74441,10.6,10.6,10.6,10.6,1.0
2017-10-13 15:30:00,170311901001022.0,41.9317,-87.74435,10.75,10.75,10.75,10.75,1.0
2017-10-13 15:30:00,170311901001022.0,41.9317,-87.74429,10.3,10.3,10.3,10.3,1.0
2017-10-13 15:30:00,170311901001022.0,41.9317,-87.74424,10.52,10.52,10.52,10.52,1.0
2017-10-13 15:30:00,170311901001022.0,41.9317,-87.74418,10.07,10.07,10.07,10.07,1.0
2017-10-13 15:30:00,170311901001023.0,41.93165,-87.74528000000001,9.85,9.85,9.85,9.85,1.0
2017-10-13 15:30:00,170311901001023.0,41.93166,-87.74521999999999,10.67,10.67,10.67,10.67,1.0
2017-10-13 15:30:00,170311901001023.0,41.93166,-87.74516,9.63,9.63,9.63,9.63,1.0
2017-10-13 15:30:00,170311901001023.0,41.93166,-87.7451,9.25,9.25,9.25,9.25,1.0
2017-10-13 15:30:00,170311901001023.0,41.93166,-87.74504,9.48,9.48,9.48,9.48,1.0
2017-10-13 15:30:00,170311901001023.0,41.93166,-87.74498,9.93,9.93,9.93,9.93,1.0
2017-10-13 15:30:00,170311901001023.0,41.93166,-87.74492,9.48,9.48,9.48,9.48,1.0
2017-10-13 15:30:00,170311901001023.0,41.931670000000004,-87.74486999999999,9.78,9.78,9.78,9.78,1.0
2017-10-13 15:30:00,170311901001023.0,41.93168,-87.74481,9.78,9.78,9.78,9.78,1.0
2017-10-13 15:30:00,170311901001023.0,41.93168,-87.74476,10.37,10.37,10.37,10.37,1.0
2017-10-13 15:30:00,170311901001024.0,41.93163,-87.74589,9.85,9.85,9.85,9.85,1.0
2017-10-13 15:30:00,170311901001024.0,41.93163,-87.74583,9.48,9.48,9.48,9.48,1.0
2017-10-13 15:30:00,170311901001024.0,41.93163,-87.74576,9.32,9.32,9.32,9.32,1.0
2017-10-13 15:30:00,170311901001024.0,41.93164,-87.7457,8.95,8.95,8.95,8.95,1.0
2017-10-13 15:30:00,170311901001024.0,41.93164,-87.74564000000001,9.02,9.02,9.02,9.02,1.0
2017-10-13 15:30:00,170311901001024.0,41.93164,-87.74558,9.55,9.55,9.55,9.55,1.0
2017-10-13 15:30:00,170311901001024.0,41.93164,-87.74552,9.4,9.4,9.4,9.4,1.0
2017-10-13 15:30:00,170311901001024.0,41.93164,-87.74546,9.4,9.4,9.4,9.4,1.0
2017-10-13 15:30:00,170311901001024.0,41.93164,-87.7454,8.95,8.95,8.95,8.95,1.0
2017-10-13 15:30:00,170311901001024.0,41.93165,-87.74534,9.1,9.1,9.1,9.1,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74656999999999,11.26,11.26,11.26,11.26,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74651999999999,11.63,11.63,11.63,11.63,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74647,11.49,11.49,11.49,11.49,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74642,11.04,11.04,11.04,11.04,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74636,10.75,10.75,10.75,10.75,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74631,10.67,10.67,10.67,10.67,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74625,10.67,10.67,10.67,10.67,1.0
2017-10-13 15:30:00,170311901001025.0,41.93162,-87.74618000000001,10.75,10.75,10.75,10.75,1.0
