thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2018-06-30 13:30:00,170317202003001.0,41.72059,-87.6679,4.0,4.0,4.0,8.0,2.0
2019-05-11 12:00:00,170317201002000.0,41.7356,-87.6731,2.0,2.0,2.0,2.0,1.0
2019-05-11 12:00:00,170317201002001.0,41.73557,-87.67569,2.0,2.0,2.0,4.0,2.0
2019-05-11 12:00:00,170317201002001.0,41.73558,-87.67529,2.0,2.0,2.0,4.0,2.0
2019-05-11 12:00:00,170317201002001.0,41.73558,-87.67511,2.0,2.0,2.0,4.0,2.0
2019-05-11 12:00:00,170317201002001.0,41.73558,-87.67474,2.0,2.0,2.0,2.0,1.0
2019-05-11 12:00:00,170317201002001.0,41.73558,-87.67456,2.0,2.0,2.0,4.0,2.0
2019-05-11 12:00:00,170317201002001.0,41.73559,-87.67421,2.0,2.0,2.0,2.0,1.0
2019-05-11 12:00:00,170317201002001.0,41.73559,-87.67404,2.0,2.0,2.0,2.0,1.0
2019-05-11 12:00:00,170317201002001.0,41.7356,-87.67375,2.0,2.0,2.0,4.0,2.0
2019-05-11 12:00:00,170317201002001.0,41.7356,-87.67348,2.0,2.0,2.0,2.0,1.0
2019-05-11 12:00:00,170317201002001.0,41.7356,-87.67336,2.0,2.0,2.0,6.0,3.0
2019-05-11 12:00:00,170317201002006.0,41.73554,-87.67753,2.0,2.0,2.0,4.0,2.0
2019-05-11 12:00:00,170317201002006.0,41.73555,-87.67713,2.0,2.0,2.0,4.0,2.0
2019-05-11 12:00:00,170317201002006.0,41.73555,-87.67671999999999,3.0,3.0,3.0,3.0,1.0
2019-05-11 12:00:00,170317201002006.0,41.73556,-87.67651,3.0,3.0,3.0,3.0,1.0
2019-05-11 12:00:00,170317201002006.0,41.73556,-87.6761,2.5,2.5,3.0,5.0,2.0
2019-05-11 12:00:00,170317201002007.0,41.73547,-87.68241,1.0,1.0,1.0,1.0,1.0
