thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-06 15:30:00,170310620001007.0,41.9411,-87.64774,2.38,2.38,2.38,2.38,1.0
2017-05-06 15:30:00,170310620001007.0,41.9411,-87.64767,2.19,2.19,2.19,2.19,1.0
2017-05-06 15:30:00,170310620001007.0,41.94111,-87.64754,2.3449999999999998,2.3449999999999998,2.44,4.6899999999999995,2.0
2017-05-06 15:30:00,170310620001007.0,41.94112,-87.6475,2.12,2.12,2.12,2.12,1.0
2017-05-06 15:30:00,170310620001007.0,41.94112,-87.64745,1.94,1.94,1.94,1.94,1.0
2017-05-06 15:30:00,170310620001007.0,41.94114,-87.64741,1.79,1.79,1.82,3.58,2.0
2017-05-06 15:30:00,170310620001007.0,41.94114,-87.64739,1.88,1.88,1.88,1.88,1.0
2017-05-06 15:30:00,170310620001007.0,41.94114,-87.64697,2.98,2.9805660377358474,5.26,473.90999999999974,159.0
2017-05-06 15:30:00,170310620001007.0,41.94116,-87.64732,1.76,1.76,1.76,1.76,1.0
2017-05-06 15:30:00,170310620001007.0,41.94117,-87.64726,1.59,1.59,1.59,1.59,1.0
2017-05-06 15:30:00,170310620001007.0,41.94117,-87.64712,1.32,1.32,1.32,1.32,1.0
2017-05-06 15:30:00,170310620001007.0,41.94117,-87.64711,1.65,1.65,1.65,1.65,1.0
2017-05-06 15:30:00,170310620001007.0,41.94117,-87.64708,1.54,1.54,1.54,1.54,1.0
2017-05-06 15:30:00,170310620001007.0,41.94117,-87.64705,1.48,1.48,1.48,1.48,1.0
2017-05-06 15:30:00,170310620001007.0,41.94118,-87.64721,1.54,1.54,1.54,1.54,1.0
2017-05-06 15:30:00,170310620001007.0,41.94118,-87.64718,1.43,1.43,1.43,1.43,1.0
2017-05-06 15:30:00,170310620001007.0,41.94118,-87.64716,1.32,1.32,1.32,1.32,1.0
2017-05-06 15:30:00,170310620001007.0,41.94118,-87.64703,1.48,1.48,1.48,1.48,1.0
2017-05-06 15:30:00,170310620001007.0,41.94118,-87.647,1.38,1.38,1.38,1.38,1.0
2017-05-06 15:30:00,170310620001007.0,41.94118,-87.64699,1.97,1.8775,2.19,7.51,4.0
2017-05-06 15:30:00,170310620001007.0,41.94119,-87.64724,1.65,1.65,1.65,1.65,1.0
2017-05-06 15:30:00,170310620001007.0,41.9412,-87.64692,1.94,1.94,1.94,1.94,1.0
2017-05-06 15:30:00,170310620001007.0,41.9412,-87.64689,2.51,2.51,2.51,2.51,1.0
2017-05-06 15:30:00,170310620001007.0,41.9412,-87.64688,2.44,2.44,2.44,2.44,1.0
2017-05-06 15:30:00,170310620001007.0,41.9412,-87.64687,2.25,2.2481739130434772,3.98,258.5399999999999,115.0
2017-05-06 15:30:00,170310620001008.0,41.941,-87.64858,1.43,1.43,1.43,1.43,1.0
2017-05-06 15:30:00,170310620001008.0,41.94101,-87.64854,1.43,1.43,1.43,1.43,1.0
2017-05-06 15:30:00,170310620001008.0,41.94102,-87.6485,1.54,1.54,1.54,1.54,1.0
2017-05-06 15:30:00,170310620001008.0,41.94102,-87.64847,1.48,1.48,1.48,1.48,1.0
2017-05-06 15:30:00,170310620001008.0,41.94103,-87.64844,1.88,1.88,1.88,1.88,1.0
2017-05-06 15:30:00,170310620001008.0,41.94104,-87.64839,1.76,1.76,1.76,1.76,1.0
2017-05-06 15:30:00,170310620001008.0,41.94105,-87.64834,1.94,1.94,1.94,1.94,1.0
2017-05-06 15:30:00,170310620001008.0,41.94105,-87.64829,1.82,1.82,1.82,1.82,1.0
2017-05-06 15:30:00,170310620001008.0,41.94105,-87.64808,2.19,2.19,2.19,2.19,1.0
2017-05-06 15:30:00,170310620001008.0,41.94105,-87.64802,2.44,2.44,2.44,2.44,1.0
2017-05-06 15:30:00,170310620001008.0,41.94105,-87.64795,2.31,2.31,2.31,2.31,1.0
2017-05-06 15:30:00,170310620001008.0,41.94106,-87.64823,1.7,1.7,1.7,1.7,1.0
2017-05-06 15:30:00,170310620001008.0,41.94106,-87.64815,2.19,2.19,2.19,2.19,1.0
2017-05-06 15:30:00,170310620001008.0,41.94106,-87.64789,2.12,2.12,2.12,2.12,1.0
2017-05-06 15:30:00,170310620001008.0,41.94108,-87.6478,1.85,1.85,1.94,3.7,2.0
2017-05-06 15:30:00,170310620001009.0,41.94055,-87.64916,2.44,2.44,2.44,2.44,1.0
2017-05-06 15:30:00,170310620001009.0,41.94061,-87.64915,2.25,2.25,2.25,2.25,1.0
2017-05-06 15:30:00,170310620001009.0,41.94062,-87.64912,2.19,2.19,2.19,2.19,1.0
2017-05-06 15:30:00,170310620001009.0,41.94064,-87.6491,1.94,1.94,1.94,1.94,1.0
2017-05-06 15:30:00,170310620001009.0,41.94068,-87.64908,2.31,2.31,2.31,2.31,1.0
2017-05-06 15:30:00,170310620001009.0,41.9407,-87.64904,2.12,2.12,2.12,2.12,1.0
2017-05-06 15:30:00,170310620001009.0,41.94074,-87.649,2.38,2.38,2.38,2.38,1.0
2017-05-06 15:30:00,170310620001009.0,41.94082,-87.64897,2.19,2.19,2.19,2.19,1.0
2017-05-06 15:30:00,170310620001009.0,41.94084,-87.64892,2.0,2.0,2.0,2.0,1.0
2017-05-06 15:30:00,170310620001009.0,41.94085,-87.64888,2.0,2.0,2.0,2.0,1.0
2017-05-06 15:30:00,170310620001009.0,41.94086,-87.64885,1.94,1.94,1.94,1.94,1.0
2017-05-06 15:30:00,170310620001009.0,41.94087,-87.64882,1.76,1.76,1.76,1.76,1.0
2017-05-06 15:30:00,170310620001009.0,41.94088,-87.64878,1.65,1.65,1.65,1.65,1.0
2017-05-06 15:30:00,170310620001009.0,41.94089,-87.64874,1.48,1.48,1.48,1.48,1.0
2017-05-06 15:30:00,170310620001009.0,41.94091,-87.64872,1.43,1.43,1.43,1.43,1.0
2017-05-06 15:30:00,170310620001009.0,41.94091,-87.64868,1.32,1.32,1.32,1.32,1.0
2017-05-06 15:30:00,170310620001009.0,41.94093,-87.64865,1.43,1.43,1.43,1.43,1.0
2017-05-06 15:30:00,170310620001009.0,41.94094,-87.64862,1.48,1.48,1.48,1.48,1.0
2017-05-06 15:30:00,170310620001009.0,41.94097,-87.6486,1.59,1.59,1.59,1.59,1.0
2017-05-06 15:30:00,170310620001010.0,41.94003,-87.64925,1.32,1.32,1.32,1.32,1.0
2017-05-06 15:30:00,170310620001010.0,41.94008,-87.64925,1.32,1.32,1.32,1.32,1.0
2017-05-06 15:30:00,170310620001010.0,41.94014,-87.64926,1.32,1.32,1.32,1.32,1.0
2017-05-06 15:30:00,170310620001010.0,41.94019,-87.64926,1.43,1.43,1.43,1.43,1.0
2017-05-06 15:30:00,170310620001010.0,41.94024,-87.64926,1.65,1.65,1.65,1.65,1.0
2017-05-06 15:30:00,170310620001010.0,41.94028,-87.64926,1.65,1.65,1.65,1.65,1.0
2017-05-06 15:30:00,170310620001010.0,41.94033,-87.64927,1.59,1.59,1.59,1.59,1.0
2017-05-06 15:30:00,170310620001010.0,41.94036,-87.64927,1.88,1.88,1.88,1.88,1.0
2017-05-06 15:30:00,170310620001010.0,41.9404,-87.64927,2.38,2.38,2.38,2.38,1.0
2017-05-06 15:30:00,170310620001010.0,41.94046,-87.64925,2.44,2.44,2.44,2.44,1.0
2017-05-06 15:30:00,170310620001010.0,41.9405,-87.64921,2.64,2.64,2.64,2.64,1.0
2017-05-06 15:30:00,170310620001010.0,41.94054,-87.64918,2.57,2.57,2.57,2.57,1.0
2017-05-06 18:30:00,170310620001001.0,41.94273,-87.64921,3.47,3.47,3.47,3.47,1.0
2017-05-06 18:30:00,170310620001001.0,41.94277,-87.64921,3.4,3.4,3.4,3.4,1.0
2017-05-06 18:30:00,170310620001001.0,41.94281,-87.64922,3.54,3.54,3.54,3.54,1.0
2017-05-06 18:30:00,170310620001001.0,41.94285,-87.64922,3.54,3.54,3.54,3.54,1.0
2017-05-06 18:30:00,170310620001001.0,41.94289,-87.64922,3.54,3.54,3.54,3.54,1.0
2017-05-06 18:30:00,170310620001001.0,41.94293,-87.64922,3.4,3.4,3.4,3.4,1.0
2017-05-06 18:30:00,170310620001001.0,41.94297,-87.64923,3.12,3.12,3.12,3.12,1.0
2017-05-06 18:30:00,170310620001001.0,41.94302,-87.64922,3.26,3.26,3.26,3.26,1.0
2017-05-06 18:30:00,170310620001001.0,41.94307,-87.64922,3.12,3.12,3.12,3.12,1.0
2017-05-06 18:30:00,170310620001001.0,41.94312,-87.64923,3.12,3.12,3.12,3.12,1.0
2017-05-06 18:30:00,170310620001001.0,41.94317,-87.64924,3.12,3.12,3.12,3.12,1.0
2017-05-06 18:30:00,170310620001001.0,41.94323,-87.64927,2.91,2.91,2.91,2.91,1.0
2017-05-06 18:30:00,170310620001001.0,41.94328,-87.64928,3.47,3.47,3.47,3.47,1.0
2017-05-06 18:30:00,170310620001001.0,41.94338,-87.64929,3.505,3.505,3.54,7.01,2.0
2017-05-06 18:30:00,170310620001001.0,41.94348,-87.64931,3.33,3.33,3.47,6.66,2.0
2017-05-06 18:30:00,170310620001001.0,41.94352,-87.64931,2.84,2.84,2.84,2.84,1.0
2017-05-06 18:30:00,170310620001001.0,41.94356,-87.64931,2.64,2.64,2.64,2.64,1.0
2017-05-06 18:30:00,170310620001002.0,41.94182,-87.64925,2.0,2.0,2.0,2.0,1.0
2017-05-06 18:30:00,170310620001002.0,41.94185,-87.64924,2.44,2.44,2.44,2.44,1.0
2017-05-06 18:30:00,170310620001002.0,41.94188,-87.64924,2.25,2.25,2.25,2.25,1.0
2017-05-06 18:30:00,170310620001002.0,41.94192,-87.64923,2.64,2.64,2.64,2.64,1.0
2017-05-06 18:30:00,170310620001002.0,41.94197,-87.64923,2.38,2.38,2.38,2.38,1.0
2017-05-06 18:30:00,170310620001002.0,41.94201,-87.64923,2.19,2.19,2.19,2.19,1.0
2017-05-06 18:30:00,170310620001002.0,41.94205,-87.64923,2.31,2.31,2.31,2.31,1.0
2017-05-06 18:30:00,170310620001002.0,41.9421,-87.64922,2.64,2.64,2.64,2.64,1.0
2017-05-06 18:30:00,170310620001002.0,41.94215,-87.64922,2.84,2.84,2.84,2.84,1.0
2017-05-06 18:30:00,170310620001002.0,41.9422,-87.64922,2.77,2.77,2.77,2.77,1.0
2017-05-06 18:30:00,170310620001002.0,41.94225,-87.64922,2.51,2.51,2.51,2.51,1.0
2017-05-06 18:30:00,170310620001002.0,41.9423,-87.64922,2.31,2.31,2.31,2.31,1.0
2017-05-06 18:30:00,170310620001002.0,41.94235,-87.64922,2.25,2.25,2.25,2.25,1.0
2017-05-06 18:30:00,170310620001002.0,41.9424,-87.64921,2.25,2.25,2.25,2.25,1.0
2017-05-06 18:30:00,170310620001002.0,41.94244,-87.64922,2.84,2.84,2.84,2.84,1.0
2017-05-06 18:30:00,170310620001002.0,41.94248,-87.64922,2.71,2.71,2.71,2.71,1.0
2017-05-06 18:30:00,170310620001002.0,41.94252,-87.64921,2.98,2.98,2.98,2.98,1.0
2017-05-06 18:30:00,170310620001002.0,41.94254,-87.6492,3.47,3.47,3.47,3.47,1.0
2017-05-06 18:30:00,170310620001002.0,41.94257,-87.64919,3.4,3.4,3.4,3.4,1.0
2017-05-06 18:30:00,170310620001002.0,41.94261,-87.6492,3.26,3.26,3.26,3.26,1.0
2017-05-06 18:30:00,170310620001002.0,41.94265,-87.6492,2.98,2.98,2.98,2.98,1.0
2017-05-06 18:30:00,170310620001002.0,41.94269,-87.6492,3.33,3.33,3.33,3.33,1.0
2017-05-06 18:30:00,170310620001005.0,41.94113,-87.64874,2.64,2.64,2.64,2.64,1.0
2017-05-06 18:30:00,170310620001005.0,41.94114,-87.64877,2.44,2.44,2.44,2.44,1.0
2017-05-06 18:30:00,170310620001005.0,41.94115,-87.6488,2.38,2.38,2.38,2.38,1.0
2017-05-06 18:30:00,170310620001005.0,41.94116,-87.64863,2.38,2.38,2.38,2.38,1.0
2017-05-06 18:30:00,170310620001005.0,41.94117,-87.64888,2.0,2.0,2.0,2.0,1.0
2017-05-06 18:30:00,170310620001005.0,41.94117,-87.64882,2.12,2.12,2.12,2.12,1.0
2017-05-06 18:30:00,170310620001005.0,41.94117,-87.6486,1.88,1.88,1.88,1.88,1.0
2017-05-06 18:30:00,170310620001005.0,41.94119,-87.64894,1.88,1.88,1.88,1.88,1.0
2017-05-06 18:30:00,170310620001005.0,41.94123,-87.64896,1.76,1.76,1.76,1.76,1.0
2017-05-06 18:30:00,170310620001005.0,41.94124,-87.64903,1.59,1.59,1.59,1.59,1.0
2017-05-06 18:30:00,170310620001005.0,41.94127,-87.64908,1.54,1.54,1.54,1.54,1.0
2017-05-06 18:30:00,170310620001005.0,41.94131,-87.64912,2.06,2.06,2.06,2.06,1.0
2017-05-06 18:30:00,170310620001005.0,41.94136,-87.64913,2.0,2.0,2.0,2.0,1.0
2017-05-06 18:30:00,170310620001005.0,41.94141,-87.64915,1.88,1.88,1.88,1.88,1.0
2017-05-06 18:30:00,170310620001005.0,41.94146,-87.64916,1.94,1.94,1.94,1.94,1.0
2017-05-06 18:30:00,170310620001005.0,41.94151,-87.64918,1.76,1.76,1.76,1.76,1.0
2017-05-06 18:30:00,170310620001005.0,41.94155,-87.64918,1.65,1.65,1.65,1.65,1.0
2017-05-06 18:30:00,170310620001005.0,41.94159,-87.64919,1.65,1.65,1.65,1.65,1.0
2017-05-06 18:30:00,170310620001005.0,41.94162,-87.6492,2.12,2.12,2.12,2.12,1.0
2017-05-06 18:30:00,170310620001005.0,41.94164,-87.6492,2.12,2.12,2.12,2.12,1.0
2017-05-06 18:30:00,170310620001005.0,41.94166,-87.64923,2.25,2.25,2.25,2.25,1.0
2017-05-06 18:30:00,170310620001005.0,41.94166,-87.64921,2.12,2.12,2.12,2.12,1.0
2017-05-06 18:30:00,170310620001005.0,41.94169,-87.64924,2.06,2.06,2.06,2.06,1.0
2017-05-06 18:30:00,170310620001005.0,41.94172,-87.64925,2.19,2.19,2.19,2.19,1.0
2017-05-06 18:30:00,170310620001005.0,41.94175,-87.64925,2.19,2.19,2.19,2.19,1.0
2017-05-06 18:30:00,170310620001005.0,41.94178,-87.64925,2.06,2.06,2.06,2.06,1.0
2017-05-06 18:30:00,170310620001007.0,41.94111,-87.64628,2.12,2.12,2.12,2.12,1.0
