thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-07 13:00:00,170315801001000.0,41.83214,-87.69479,21.77,21.77,21.77,21.77,1.0
2017-07-07 13:00:00,170315801001000.0,41.832209999999996,-87.69459,22.9,22.9,22.9,22.9,1.0
2017-07-07 13:00:00,170315801001000.0,41.83227,-87.6944,23.36,23.36,23.36,23.36,1.0
2017-07-07 13:00:00,170315801001000.0,41.83234,-87.69421,23.84,23.84,23.84,23.84,1.0
2017-07-07 13:00:00,170315801001000.0,41.8324,-87.69402,23.72,23.72,23.72,23.72,1.0
2017-07-07 13:00:00,170315801001000.0,41.83247,-87.69383,23.84,23.84,23.84,23.84,1.0
2017-07-07 13:00:00,170315801001000.0,41.83254,-87.69364,24.96,24.96,24.96,24.96,1.0
2017-07-07 13:00:00,170315801001000.0,41.8326,-87.69344,25.09,25.09,25.09,25.09,1.0
2017-07-07 13:00:00,170315801001000.0,41.83267,-87.69323,25.87,25.87,25.87,25.87,1.0
2017-07-07 13:00:00,170315801001000.0,41.83273,-87.69301999999999,25.6,25.6,25.6,25.6,1.0
2017-07-07 13:00:00,170315801001000.0,41.83279,-87.69281,24.96,24.96,24.96,24.96,1.0
2017-07-07 13:00:00,170315801001000.0,41.83286,-87.69261,25.09,25.09,25.09,25.09,1.0
2017-07-07 13:00:00,170315801001000.0,41.83292,-87.69241,25.21,25.21,25.21,25.21,1.0
2017-07-07 13:00:00,170315801001000.0,41.83299,-87.69221,24.09,24.09,24.09,24.09,1.0
2017-07-07 13:00:00,170315801001000.0,41.83305,-87.69200000000001,25.34,25.34,25.34,25.34,1.0
2017-07-07 13:00:00,170315801001000.0,41.83313,-87.69179,26.0,26.0,26.0,26.0,1.0
2017-07-07 13:00:00,170315801001000.0,41.8332,-87.69157,26.4,26.4,26.4,26.4,1.0
2017-07-07 13:00:00,170315801001000.0,41.83327,-87.69136,27.09,27.09,27.09,27.09,1.0
2017-07-07 13:00:00,170315801001000.0,41.83334,-87.69114,26.13,26.13,26.13,26.13,1.0
2017-07-07 13:00:00,170315801001000.0,41.83341,-87.69091,24.71,24.71,24.71,24.71,1.0
2017-07-07 13:00:00,170315801001000.0,41.83348,-87.69069,24.46,24.46,24.46,24.46,1.0
2017-07-07 13:00:00,170315801001000.0,41.83355,-87.69046,25.6,25.6,25.6,25.6,1.0
2017-07-07 13:00:00,170315801001000.0,41.83362,-87.69023,25.87,25.87,25.87,25.87,1.0
2017-07-07 13:00:00,170315801001000.0,41.8337,-87.69,27.23,27.23,27.23,27.23,1.0
2017-07-07 13:00:00,170315801001000.0,41.83378,-87.68975999999999,26.54,26.54,26.54,26.54,1.0
2017-07-07 13:00:00,170315801001000.0,41.833859999999994,-87.68952,26.54,26.54,26.54,26.54,1.0
2017-07-07 13:00:00,170315801001000.0,41.833940000000005,-87.68928000000001,25.6,25.6,25.6,25.6,1.0
2017-07-07 13:00:00,170315801001000.0,41.83402,-87.68904,24.46,24.46,24.46,24.46,1.0
2017-07-07 13:00:00,170315801001000.0,41.8341,-87.68879,24.46,24.46,24.46,24.46,1.0
2017-07-07 13:00:00,170315801001000.0,41.83419,-87.68854,24.96,24.96,24.96,24.96,1.0
2017-07-07 13:00:00,170315801001000.0,41.834270000000004,-87.68829000000001,24.21,24.21,24.21,24.21,1.0
2017-07-07 13:00:00,170315801001000.0,41.83436,-87.68804,22.33,22.33,22.33,22.33,1.0
2017-07-07 13:00:00,170315801001000.0,41.83445,-87.68778,22.22,22.22,22.22,22.22,1.0
2017-07-07 13:00:00,170315801001000.0,41.83453,-87.68751999999999,23.01,23.01,23.01,23.01,1.0
2017-07-07 13:00:00,170315802001000.0,41.82917,-87.70449,18.94,18.94,18.94,18.94,1.0
2017-07-07 13:00:00,170315802001000.0,41.829190000000004,-87.70455,19.51,19.51,19.51,19.51,1.0
2017-07-07 13:00:00,170315802001001.0,41.82982,-87.70184,18.21,18.21,18.3,36.42,2.0
2017-07-07 13:00:00,170315802001001.0,41.82996,-87.70144,19.0,19.0,19.61,38.0,2.0
2017-07-07 13:00:00,170315802001001.0,41.83011,-87.70101,19.565,19.565,19.81,39.13,2.0
2017-07-07 13:00:00,170315802001001.0,41.830259999999996,-87.70057,19.565,19.565,19.81,39.13,2.0
2017-07-07 13:00:00,170315802001001.0,41.830420000000004,-87.70012,20.46,20.46,20.82,40.92,2.0
2017-07-07 13:00:00,170315802001001.0,41.83057,-87.69966,20.31,20.31,20.61,40.62000000000001,2.0
2017-07-07 13:00:00,170315802001001.0,41.83065,-87.69941999999999,20.92,20.92,20.92,20.92,1.0
2017-07-07 13:00:00,170315802001001.0,41.83072,-87.6992,20.51,20.51,20.51,20.51,1.0
2017-07-07 13:00:00,170315802001001.0,41.83079,-87.69896999999999,20.41,20.41,20.41,20.41,1.0
2017-07-07 13:00:00,170315802001001.0,41.83093,-87.69852,20.770000000000003,20.770000000000003,21.03,41.540000000000006,2.0
2017-07-07 13:00:00,170315802001001.0,41.831070000000004,-87.69806,20.41,20.41,20.41,20.41,1.0
2017-07-07 13:00:00,170315802001001.0,41.831140000000005,-87.69783000000001,20.01,20.01,20.01,20.01,1.0
2017-07-07 13:00:00,170315802001001.0,41.83121,-87.69761,20.41,20.41,20.41,20.41,1.0
2017-07-07 13:00:00,170315802001001.0,41.83128,-87.69739,20.61,20.61,20.61,20.61,1.0
2017-07-07 13:00:00,170315802001002.0,41.83135,-87.69718,20.71,20.71,20.71,20.71,1.0
2017-07-07 13:00:00,170315802001002.0,41.83142,-87.69697,20.61,20.61,20.61,20.61,1.0
2017-07-07 13:00:00,170315802001002.0,41.83148,-87.69677,20.61,20.61,20.61,20.61,1.0
2017-07-07 13:00:00,170315802001002.0,41.831540000000004,-87.69657,21.45,21.45,21.45,21.45,1.0
2017-07-07 13:00:00,170315802001002.0,41.83161,-87.69638,21.99,21.99,21.99,21.99,1.0
2017-07-07 13:00:00,170315802001002.0,41.83167,-87.69618,22.1,22.1,22.1,22.1,1.0
2017-07-07 13:00:00,170315802001002.0,41.83173,-87.69598,21.77,21.77,21.77,21.77,1.0
2017-07-07 13:00:00,170315802001002.0,41.8318,-87.69578,22.9,22.9,22.9,22.9,1.0
2017-07-07 13:00:00,170315802001002.0,41.83187,-87.69558,23.6,23.6,23.6,23.6,1.0
2017-07-07 13:00:00,170315802001002.0,41.83194,-87.69538,23.6,23.6,23.6,23.6,1.0
2017-07-07 13:00:00,170315802001002.0,41.83201,-87.69519,23.36,23.36,23.36,23.36,1.0
2017-07-07 13:00:00,170315802001002.0,41.83208,-87.69499,21.67,21.67,21.67,21.67,1.0
2017-07-07 13:00:00,170315802001013.0,41.82908,-87.70427,18.57,18.57,18.57,18.57,1.0
2017-07-07 13:00:00,170315802001013.0,41.82908,-87.70415,17.5,17.5,17.5,17.5,1.0
2017-07-07 13:00:00,170315802001013.0,41.8291,-87.70404,17.24,17.24,17.24,17.24,1.0
2017-07-07 13:00:00,170315802001013.0,41.82912,-87.70391,16.48,16.48,16.48,16.48,1.0
2017-07-07 13:00:00,170315802001013.0,41.82915,-87.70441,19.32,19.32,19.32,19.32,1.0
2017-07-07 13:00:00,170315802001013.0,41.82915,-87.70378000000001,16.98,16.98,16.98,16.98,1.0
2017-07-07 13:00:00,170315802001013.0,41.829229999999995,-87.7035,17.41,17.41,17.5,34.82,2.0
2017-07-07 13:00:00,170315802001013.0,41.82928,-87.70336,17.07,17.07,17.07,17.07,1.0
2017-07-07 13:00:00,170315802001013.0,41.82933,-87.70321,16.81,16.81,16.81,16.81,1.0
2017-07-07 13:00:00,170315802001013.0,41.82938,-87.70306,17.32,17.32,17.32,17.32,1.0
2017-07-07 13:00:00,170315802001013.0,41.829440000000005,-87.70289,17.24,17.24,17.24,17.24,1.0
2017-07-07 13:00:00,170315802001013.0,41.8295,-87.70273,18.94,18.94,18.94,18.94,1.0
2017-07-07 13:00:00,170315802001013.0,41.82956,-87.70255999999999,17.76,17.76,17.76,17.76,1.0
2017-07-07 13:00:00,170315802001013.0,41.82963,-87.70238,17.58,17.58,17.58,17.58,1.0
2017-07-07 13:00:00,170315802001013.0,41.82969,-87.70221,17.67,17.67,17.67,17.67,1.0
2017-07-17 18:00:00,170316303002000.0,41.80429,-87.70875,21.03,21.03,21.03,21.03,1.0
2017-07-17 18:00:00,170316303002000.0,41.8043,-87.70852,20.61,20.61,20.61,20.61,1.0
2017-07-17 18:00:00,170316303002000.0,41.8043,-87.7083,21.13,21.13,21.13,21.13,1.0
2017-07-17 18:00:00,170316303002001.0,41.804140000000004,-87.71353,22.44,22.44,22.44,22.44,1.0
2017-07-17 18:00:00,170316303002001.0,41.80418,-87.71325999999999,23.01,23.01,23.01,23.01,1.0
2017-07-17 18:00:00,170316303002001.0,41.8042,-87.71299,23.36,23.36,23.36,23.36,1.0
2017-07-17 18:00:00,170316303002001.0,41.80422,-87.71271999999999,24.21,24.21,24.21,24.21,1.0
2017-07-17 18:00:00,170316303002001.0,41.80423,-87.71244,24.33,24.33,24.33,24.33,1.0
2017-07-17 18:00:00,170316303002001.0,41.80424,-87.71218,24.21,24.21,24.21,24.21,1.0
2017-07-17 18:00:00,170316303002001.0,41.80424,-87.71191999999999,22.9,22.9,22.9,22.9,1.0
2017-07-17 18:00:00,170316303002001.0,41.80425,-87.71166,22.55,22.55,22.55,22.55,1.0
2017-07-17 18:00:00,170316303002001.0,41.80425,-87.7114,23.13,23.13,23.13,23.13,1.0
2017-07-17 18:00:00,170316303002001.0,41.80426,-87.71115,23.48,23.48,23.48,23.48,1.0
2017-07-17 18:00:00,170316303002001.0,41.80426,-87.7109,23.72,23.72,23.72,23.72,1.0
2017-07-17 18:00:00,170316303002001.0,41.80427,-87.71065,22.33,22.33,22.33,22.33,1.0
2017-07-17 18:00:00,170316303002001.0,41.80427,-87.71041,22.67,22.67,22.67,22.67,1.0
2017-07-17 18:00:00,170316303002001.0,41.80427,-87.71016,23.01,23.01,23.01,23.01,1.0
2017-07-17 18:00:00,170316303002001.0,41.80427,-87.70992,24.09,24.09,24.09,24.09,1.0
2017-07-17 18:00:00,170316303002001.0,41.80428,-87.70968,24.71,24.71,24.71,24.71,1.0
2017-07-17 18:00:00,170316303002001.0,41.80428,-87.70944,23.84,23.84,23.84,23.84,1.0
2017-07-17 18:00:00,170316303002001.0,41.80429,-87.70921,23.25,23.25,23.25,23.25,1.0
2017-07-17 18:00:00,170316303002001.0,41.80429,-87.70898000000001,22.9,22.9,22.9,22.9,1.0
2017-07-17 18:00:00,170318428004017.0,41.80468,-87.68585999999999,23.96,23.96,23.96,23.96,1.0
2017-07-17 18:00:00,170318428004017.0,41.80468,-87.68571,23.84,23.84,23.84,23.84,1.0
2017-07-17 18:00:00,170318428004017.0,41.80468,-87.68557,23.72,23.72,23.72,23.72,1.0
2017-07-17 18:00:00,170318428004017.0,41.80469,-87.68616999999999,23.72,23.72,23.72,23.72,1.0
2017-07-17 18:00:00,170318428004017.0,41.80469,-87.68601,24.09,24.09,24.09,24.09,1.0
2017-07-17 18:00:00,170318428004017.0,41.80469,-87.68545,23.36,23.36,23.36,23.36,1.0
2017-07-17 18:00:00,170318428004017.0,41.80469,-87.68460999999999,18.39,18.39,18.39,18.39,1.0
2017-07-17 18:00:00,170318428004017.0,41.80469,-87.68453000000001,18.57,18.57,18.57,18.57,1.0
2017-07-17 18:00:00,170318428004017.0,41.80469,-87.68444000000001,18.85,18.85,18.85,18.85,1.0
2017-07-17 18:00:00,170318428004017.0,41.8047,-87.68652,22.9,22.9,22.9,22.9,1.0
