thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-03 18:30:00,170312222002005.0,41.915259999999996,-87.68504,17.24,17.24,17.24,17.24,1.0
2017-04-03 18:30:00,170312222002005.0,41.915279999999996,-87.68511,16.64,16.64,16.64,16.64,1.0
2017-04-03 18:30:00,170312222002005.0,41.91534,-87.68518,16.39,16.39,16.39,16.39,1.0
2017-04-03 18:30:00,170312222002005.0,41.9154,-87.68526,15.5,15.5,15.5,15.5,1.0
2017-04-03 18:30:00,170312222002005.0,41.915459999999996,-87.68533000000001,15.66,15.66,15.66,15.66,1.0
2017-04-03 18:30:00,170312222002005.0,41.91551,-87.68543000000001,16.15,16.15,16.15,16.15,1.0
2017-04-03 18:30:00,170312222002005.0,41.91556,-87.68554,16.64,16.64,16.64,16.64,1.0
2017-04-03 18:30:00,170312222002005.0,41.9156,-87.68566,17.24,17.24,17.24,17.24,1.0
2017-04-03 18:30:00,170312222002005.0,41.91563,-87.68576999999999,17.07,17.07,17.07,17.07,1.0
2017-04-03 18:30:00,170312222002005.0,41.91567,-87.68585999999999,17.15,17.15,17.15,17.15,1.0
2017-04-03 18:30:00,170312222002005.0,41.9157,-87.68596,16.9,16.9,16.9,16.9,1.0
2017-04-03 18:30:00,170312222002005.0,41.91574,-87.68606,16.64,16.64,16.64,16.64,1.0
2017-04-03 18:30:00,170312222002005.0,41.91577,-87.68616,16.9,16.9,16.9,16.9,1.0
2017-04-03 18:30:00,170312222002005.0,41.91581,-87.68626,16.39,16.39,16.39,16.39,1.0
2017-04-03 18:30:00,170312222002005.0,41.9159,-87.68661,15.9,15.9,15.9,15.9,1.0
2017-04-03 18:30:00,170312222002005.0,41.91595,-87.68679,16.07,16.07,16.07,16.07,1.0
2017-04-03 18:30:00,170312222002005.0,41.91599,-87.68686,15.98,15.98,15.98,15.98,1.0
2017-04-03 18:30:00,170312222002006.0,41.91458,-87.68441999999999,16.64,16.64,16.64,16.64,1.0
2017-04-03 18:30:00,170312222002006.0,41.91466,-87.68448000000001,15.98,15.98,15.98,15.98,1.0
2017-04-03 18:30:00,170312222002006.0,41.91489,-87.68459,16.39,16.39,16.39,16.39,1.0
2017-04-03 18:30:00,170312222002006.0,41.91502,-87.68468,17.85,17.85,17.85,17.85,1.0
2017-04-03 18:30:00,170312222002006.0,41.91509,-87.68479,18.12,18.12,18.12,18.12,1.0
2017-04-03 18:30:00,170312222002006.0,41.91518,-87.68491999999999,16.9,16.9,16.9,16.9,1.0
2017-04-03 18:30:00,170312222002007.0,41.91587,-87.68718,16.23,16.23,16.23,16.23,1.0
2017-04-03 18:30:00,170312222002007.0,41.91587,-87.68714,15.82,15.82,15.9,31.64,2.0
2017-04-03 18:30:00,170312222002007.0,41.91587,-87.68713000000001,15.98,15.98,15.98,15.98,1.0
2017-04-03 18:30:00,170312222002007.0,41.91588,-87.68719,15.98,15.98,15.98,15.98,1.0
2017-04-03 18:30:00,170312222002007.0,41.91588,-87.68713000000001,15.03,15.03,15.03,15.03,1.0
2017-04-03 18:30:00,170312222002007.0,41.915890000000005,-87.6872,16.07,16.07,16.07,16.07,1.0
2017-04-03 18:30:00,170312222002007.0,41.915890000000005,-87.68711,14.64,14.64,14.64,14.64,1.0
2017-04-03 18:30:00,170312222002007.0,41.915890000000005,-87.68708000000001,14.72,14.72,14.72,14.72,1.0
2017-04-03 18:30:00,170312222002007.0,41.9159,-87.6871,14.56,14.56,14.64,29.12,2.0
2017-04-03 18:30:00,170312222002007.0,41.91591,-87.68711,15.26,15.26,15.26,15.26,1.0
2017-04-03 18:30:00,170312222002007.0,41.91591,-87.6871,14.79,14.79,14.79,14.79,1.0
2017-04-03 18:30:00,170312222002007.0,41.91592,-87.68722,15.58,15.58,15.58,15.58,1.0
2017-04-03 18:30:00,170312222002007.0,41.91592,-87.68712,16.31,16.31,16.31,16.31,1.0
2017-04-03 18:30:00,170312222002007.0,41.91592,-87.68711,15.9,15.9,15.9,15.9,1.0
2017-04-03 18:30:00,170312222002007.0,41.915929999999996,-87.68713000000001,16.31,16.31,16.31,16.31,1.0
2017-04-03 18:30:00,170312222002007.0,41.91594,-87.68723,15.58,15.58,15.58,15.58,1.0
2017-04-03 18:30:00,170312222002007.0,41.91595,-87.68724,15.82,15.82,15.82,15.82,1.0
2017-04-03 18:30:00,170312222002007.0,41.91595,-87.68713000000001,16.64,16.64,16.64,16.64,1.0
2017-04-03 18:30:00,170312222002007.0,41.91597,-87.68714,16.56,16.56,16.56,16.56,1.0
2017-04-03 18:30:00,170312222002007.0,41.91598,-87.68728,15.74,15.74,15.74,15.74,1.0
2017-04-03 18:30:00,170312222002007.0,41.91599,-87.68714,16.81,16.81,16.81,16.81,1.0
2017-04-03 18:30:00,170312222002007.0,41.916000000000004,-87.68731,16.31,16.31,16.31,16.31,1.0
