thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2018-07-12 10:00:00,170314701002000.0,41.73663,-87.59746,17.67,17.67,17.67,17.67,1.0
2018-07-12 10:00:00,170314701002000.0,41.73663,-87.59744,17.07,17.07,17.07,17.07,1.0
2018-07-12 10:00:00,170314701002000.0,41.73663,-87.59743,15.42,15.42,15.42,15.42,1.0
2018-07-12 10:00:00,170314701002000.0,41.73663,-87.59695,15.9,16.06714285714286,16.64,112.47,7.0
2018-07-12 10:00:00,170314701002000.0,41.73663,-87.59694,16.689999999999998,16.689999999999998,17.07,33.379999999999995,2.0
2018-07-12 10:00:00,170314701002000.0,41.73664,-87.59754,19.13,19.13,19.13,19.13,1.0
2018-07-12 10:00:00,170314701002000.0,41.73664,-87.59751,18.57,18.57,18.57,18.57,1.0
2018-07-12 10:00:00,170314701002000.0,41.73664,-87.59749,18.12,18.12,18.12,18.12,1.0
2018-07-12 10:00:00,170314701002000.0,41.73664,-87.59743,15.58,15.606666666666667,15.9,46.82,3.0
2018-07-12 10:00:00,170314701002000.0,41.73664,-87.59694,15.18,15.18,15.18,15.18,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59742,17.5,17.544000000000004,18.48,87.72000000000001,5.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59716,16.48,16.48,16.48,16.48,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59715,16.64,16.64,16.64,16.64,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59713,15.74,15.74,15.74,15.74,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59712,15.42,15.42,15.42,15.42,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59711,15.03,15.03,15.03,15.03,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.5971,14.87,14.87,14.87,14.87,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59709,15.7,15.7,15.74,31.4,2.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59708,16.31,16.31,16.31,16.31,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59707,15.58,15.58,15.58,15.58,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59706,14.87,14.87,14.87,14.87,1.0
2018-07-12 10:00:00,170314701002000.0,41.73665,-87.59693,14.1,14.1,14.33,42.3,3.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59742,17.32,17.49125,18.76,139.93,8.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59741,18.44,18.44,18.85,36.88,2.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.5974,15.065,15.065,15.18,30.13,2.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59739,15.11,15.11,15.11,15.11,1.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59717,16.15,16.15,16.15,16.15,1.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59716,16.98,16.98,16.98,16.98,1.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59705,14.87,14.87,14.87,14.87,1.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59704,14.48,14.48,14.48,14.48,1.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59703,15.03,15.03,15.03,15.03,1.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59692,14.485,14.485,14.64,28.97,2.0
2018-07-12 10:00:00,170314701002000.0,41.73666,-87.59691,14.48,14.468,14.95,72.34,5.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59742,16.560000000000002,16.53944444444444,17.85,297.71,18.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59741,15.5,15.5,15.5,15.5,1.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59738,15.58,15.58,15.58,15.58,1.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59737,15.9,15.9,15.9,15.9,1.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59736,17.24,17.24,17.24,17.24,1.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59735,17.32,17.32,17.32,17.32,1.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59732,18.3,18.3,18.3,18.3,1.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59731,18.85,18.85,18.85,18.85,1.0
2018-07-12 10:00:00,170314701002000.0,41.73667,-87.59718,15.5,15.5,15.5,15.5,1.0
