thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2018-07-10 09:30:00,170314401011005.0,41.75124,-87.6008,6.725,6.87125,7.88,54.97,8.0
2018-07-10 09:30:00,170314401011005.0,41.75124,-87.60079,7.495,7.515,7.8,30.06,4.0
2018-07-10 09:30:00,170314401011005.0,41.75125,-87.6008,12.15,12.15,12.15,12.15,1.0
2018-07-10 09:30:00,170314401011005.0,41.75125,-87.60079,7.57,9.523333333333333,16.64,257.13,27.0
2018-07-10 09:30:00,170314401011005.0,41.75125,-87.60078,7.34,7.239999999999999,7.5,21.72,3.0
2018-07-10 09:30:00,170314401011005.0,41.75126,-87.6008,13.12,13.131111111111112,17.15,118.18,9.0
2018-07-10 09:30:00,170314401011005.0,41.75126,-87.60079,7.19,8.189411764705886,17.94,417.66000000000014,51.0
2018-07-10 09:30:00,170314401011005.0,41.75126,-87.60078,7.69,8.089000000000002,10.3,80.89000000000001,10.0
2018-07-10 09:30:00,170314401011005.0,41.75127,-87.6008,9.965,9.9625,10.82,119.55000000000001,12.0
2018-07-10 09:30:00,170314401011005.0,41.75127,-87.60079,7.845000000000001,8.332499999999998,10.15,99.98999999999998,12.0
2018-07-10 09:30:00,170314401011005.0,41.75127,-87.60078,6.96,7.440000000000001,10.0,66.96000000000001,9.0
2018-07-10 09:30:00,170314401011005.0,41.75128,-87.60081,9.1,9.1,9.1,9.1,1.0
2018-07-10 09:30:00,170314401011005.0,41.75129,-87.60083,9.32,9.396666666666667,9.7,28.189999999999998,3.0
2018-07-10 09:30:00,170314401011005.0,41.75129,-87.60082,9.48,9.48,9.48,9.48,1.0
2018-07-10 09:30:00,170314401011005.0,41.7513,-87.60084,9.93,9.93,9.93,9.93,1.0
2018-07-10 09:30:00,170314401011005.0,41.75131,-87.6009,8.34,8.34,8.34,8.34,1.0
2018-07-10 09:30:00,170314401011005.0,41.75131,-87.60088,8.49,8.49,8.49,8.49,1.0
2018-07-10 09:30:00,170314401011005.0,41.75131,-87.60086,10.0,9.986,10.3,49.93,5.0
2018-07-10 09:30:00,170314401011005.0,41.75131,-87.60083,9.7,9.7,9.7,9.7,1.0
2018-07-10 09:30:00,170314401011005.0,41.75132,-87.60093,8.03,8.03,8.03,8.03,1.0
2018-07-10 09:30:00,170314401011005.0,41.75132,-87.60086,8.87,8.87,8.87,8.87,1.0
2018-07-10 09:30:00,170314401011006.0,41.75131,-87.60103,7.65,7.65,7.65,7.65,1.0
2018-07-10 09:30:00,170314401011006.0,41.75131,-87.60098,7.73,7.73,7.73,7.73,1.0
2018-07-10 09:30:00,170314401011006.0,41.75132,-87.60147,7.88,7.88,7.88,7.88,1.0
2018-07-10 09:30:00,170314401011006.0,41.75132,-87.60139,7.34,7.34,7.34,7.34,1.0
2018-07-10 09:30:00,170314401011006.0,41.75132,-87.6013,7.5,7.5,7.5,7.5,1.0
2018-07-10 09:30:00,170314401011006.0,41.75132,-87.60122,7.34,7.34,7.34,7.34,1.0
2018-07-10 09:30:00,170314401011006.0,41.75132,-87.60115,8.03,8.03,8.03,8.03,1.0
2018-07-10 09:30:00,170314401011006.0,41.75132,-87.60109,7.8,7.8,7.8,7.8,1.0
2018-07-10 09:30:00,170314401014000.0,41.75129,-87.60211,9.17,9.17,9.17,9.17,1.0
2018-07-10 09:30:00,170314401014000.0,41.75129,-87.60203,9.02,9.02,9.02,9.02,1.0
2018-07-10 09:30:00,170314401014000.0,41.75129,-87.60195,8.87,8.87,8.87,8.87,1.0
2018-07-10 09:30:00,170314401014000.0,41.75129,-87.60187,8.95,8.95,8.95,8.95,1.0
2018-07-10 09:30:00,170314401014000.0,41.75129,-87.60178,8.49,8.49,8.49,8.49,1.0
2018-07-10 09:30:00,170314401014000.0,41.75131,-87.60169,8.03,8.03,8.03,8.03,1.0
2018-07-10 09:30:00,170314401014000.0,41.75131,-87.60162,7.73,7.73,7.73,7.73,1.0
2018-07-10 09:30:00,170314401014000.0,41.75133,-87.60155,7.73,7.73,7.73,7.73,1.0
2018-07-10 09:30:00,170314401014001.0,41.75128,-87.60246,9.32,9.32,9.32,9.32,1.0
2018-07-10 09:30:00,170314401014001.0,41.75128,-87.60236,9.7,9.7,9.7,9.7,1.0
2018-07-10 09:30:00,170314401014001.0,41.75128,-87.6022,8.87,8.87,8.87,8.87,1.0
2018-07-10 09:30:00,170314401014001.0,41.75129,-87.60266,9.32,9.32,9.32,9.32,1.0
2018-07-10 09:30:00,170314401014001.0,41.75129,-87.60257,9.63,9.63,9.63,9.63,1.0
2018-07-10 09:30:00,170314401014001.0,41.75129,-87.60228,9.25,9.25,9.25,9.25,1.0
2018-07-10 09:30:00,170314401014002.0,41.75126,-87.60306,9.32,9.32,9.32,9.32,1.0
2018-07-10 09:30:00,170314401014002.0,41.75127,-87.6032,9.63,9.63,9.63,9.63,1.0
2018-07-10 09:30:00,170314401014002.0,41.75127,-87.60315,9.78,9.78,9.78,9.78,1.0
2018-07-10 09:30:00,170314401014002.0,41.75127,-87.6031,9.48,9.48,9.48,9.48,1.0
2018-07-10 09:30:00,170314401014002.0,41.75127,-87.60294,9.32,9.32,9.32,9.32,1.0
2018-07-10 09:30:00,170314401014002.0,41.75128,-87.60326,9.85,9.85,9.85,9.85,1.0
2018-07-10 09:30:00,170314401014002.0,41.75128,-87.60325,9.55,9.55,9.55,9.55,1.0
2018-07-10 09:30:00,170314401014002.0,41.75128,-87.60287,8.95,8.95,8.95,8.95,1.0
2018-07-10 09:30:00,170314401014002.0,41.75129,-87.60334,11.12,11.12,11.12,11.12,1.0
2018-07-10 09:30:00,170314401014002.0,41.75129,-87.6033,10.67,10.67,10.67,10.67,1.0
2018-07-10 09:30:00,170314401014002.0,41.75129,-87.60329,10.52,10.52,10.52,10.52,1.0
2018-07-10 09:30:00,170314401014002.0,41.75129,-87.60277,9.25,9.25,9.25,9.25,1.0
2018-07-10 09:30:00,170314401014002.0,41.7513,-87.60332,11.12,11.12,11.12,11.12,1.0
2018-07-10 09:30:00,170314401014003.0,41.75129,-87.60396,11.41,11.41,11.41,11.41,1.0
2018-07-10 09:30:00,170314401014003.0,41.75129,-87.6039,11.86,11.86,11.86,11.86,1.0
2018-07-10 09:30:00,170314401014003.0,41.7513,-87.60355,10.3,10.3,10.3,10.3,1.0
2018-07-10 09:30:00,170314401014003.0,41.7513,-87.60348,10.15,10.15,10.15,10.15,1.0
2018-07-10 09:30:00,170314401014003.0,41.7513,-87.60342,10.52,10.52,10.52,10.52,1.0
2018-07-10 09:30:00,170314401014003.0,41.7513,-87.6034,10.82,10.82,10.82,10.82,1.0
2018-07-10 09:30:00,170314401014003.0,41.7513,-87.60338,10.97,10.97,10.97,10.97,1.0
2018-07-10 09:30:00,170314401014004.0,41.75129,-87.60443,10.52,10.52,10.52,10.52,1.0
2018-07-10 09:30:00,170314401014004.0,41.75129,-87.60419,10.67,10.67,10.67,10.67,1.0
2018-07-10 09:30:00,170314401014004.0,41.75129,-87.6041,11.26,11.26,11.26,11.26,1.0
2018-07-10 09:30:00,170314401014005.0,41.75129,-87.60509,10.07,10.07,10.07,10.07,1.0
2018-07-10 09:30:00,170314401014005.0,41.75129,-87.60491,9.55,9.55,9.55,9.55,1.0
2018-07-10 09:30:00,170314402011000.0,41.75122,-87.60557,14.18,14.18,14.18,14.18,1.0
2018-07-10 09:30:00,170314402011000.0,41.75123,-87.60633,13.19,13.19,13.19,13.19,1.0
2018-07-10 09:30:00,170314402011000.0,41.75123,-87.60616,13.05,13.05,13.05,13.05,1.0
2018-07-10 09:30:00,170314402011000.0,41.75123,-87.60558,13.95,13.95,13.95,13.95,1.0
2018-07-10 09:30:00,170314402011000.0,41.75123,-87.60557,14.215,14.215,14.48,28.43,2.0
2018-07-10 09:30:00,170314402011000.0,41.75123,-87.60556,11.855,11.69,12.08,46.76,4.0
2018-07-10 09:30:00,170314402011000.0,41.75123,-87.6055,11.485,11.485,11.63,22.97,2.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60641,13.87,13.87,13.87,13.87,1.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60625,13.49,13.49,13.49,13.49,1.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60608,13.49,13.49,13.49,13.49,1.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60602,13.8,13.8,13.8,13.8,1.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60595,13.34,13.34,13.34,13.34,1.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60589,13.34,13.34,13.34,13.34,1.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60584,13.8,13.8,13.8,13.8,1.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60557,13.49,13.52222222222222,14.18,121.69999999999999,9.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60556,11.86,11.954500000000001,13.87,239.09000000000003,20.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60552,11.895,11.895,12.08,23.79,2.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.60551,12.3,12.299999999999999,12.45,36.9,3.0
2018-07-10 09:30:00,170314402011000.0,41.75124,-87.6055,12.0,12.152857142857142,12.82,85.07,7.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60577,14.1,14.1,14.1,14.1,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60572,14.33,14.33,14.33,14.33,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60569,13.87,13.87,13.87,13.87,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60566,13.27,13.27,13.27,13.27,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60563,14.1,14.1,14.1,14.1,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60561,13.42,13.42,13.42,13.42,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60559,13.42,13.42,13.42,13.42,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60557,14.64,14.64,14.64,14.64,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60556,13.95,13.95,13.95,13.95,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60554,12.6,12.6,12.6,12.6,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60553,12.45,12.45,12.45,12.45,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60552,12.15,12.15,12.15,12.15,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.6055,13.12,13.12,13.12,13.12,1.0
2018-07-10 09:30:00,170314402011000.0,41.75125,-87.60549,13.42,13.42,13.42,13.42,1.0
