thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-08-01 13:30:00,170316308004017.0,41.78627,-87.70211,11.3,11.3,11.41,22.6,2.0
2017-08-01 13:30:00,170316308004017.0,41.78627,-87.70162,11.56,11.56,11.56,11.56,1.0
2017-08-01 13:30:00,170316308004020.0,41.78633,-87.69817,8.57,8.57,8.57,8.57,1.0
2017-08-01 13:30:00,170316308004022.0,41.78637,-87.69571,11.41,11.41,11.41,11.41,1.0
2017-08-01 13:30:00,170316308004022.0,41.78637,-87.69562,11.93,11.93,11.93,11.93,1.0
2017-08-01 13:30:00,170316603021000.0,41.78636,-87.69444,11.49,11.49,11.49,11.49,1.0
2017-08-01 13:30:00,170316603021000.0,41.78637,-87.69448,11.19,11.19,11.19,11.19,1.0
2017-08-01 13:30:00,170316603021000.0,41.78637,-87.69443,11.56,11.56,11.63,23.12,2.0
2017-08-01 13:30:00,170316603021000.0,41.78637,-87.69441,11.78,11.78,11.78,11.78,1.0
2017-08-01 13:30:00,170316603021000.0,41.78638,-87.69451,11.34,11.34,11.34,11.34,1.0
2017-08-01 13:30:00,170316603021000.0,41.78638,-87.69449,11.34,11.34,11.34,11.34,1.0
2017-08-01 13:30:00,170316603021000.0,41.78638,-87.69439,10.97,10.97,10.97,10.97,1.0
2017-08-01 13:30:00,170316603021000.0,41.78638,-87.69438,11.19,11.19,11.19,11.19,1.0
2017-08-01 13:30:00,170316603021000.0,41.78638,-87.69435,10.67,10.67,10.67,21.34,2.0
2017-08-01 13:30:00,170316603021000.0,41.78638,-87.69432,11.26,11.26,11.26,11.26,1.0
2017-08-01 13:30:00,170316603021000.0,41.78638,-87.69431,12.120000000000001,12.120000000000001,12.38,24.240000000000002,2.0
2017-08-01 13:30:00,170316603021000.0,41.78639,-87.69437,11.04,11.04,11.04,11.04,1.0
2017-08-01 13:30:00,170316603021000.0,41.78639,-87.69427,12.3,12.3,12.3,12.3,1.0
2017-08-01 13:30:00,170316603021001.0,41.78636,-87.69569,11.19,11.19,11.19,11.19,1.0
2017-08-01 13:30:00,170316603021001.0,41.78636,-87.69567,11.71,11.71,11.71,11.71,1.0
2017-08-01 13:30:00,170316603021001.0,41.78636,-87.69566,11.86,11.86,11.86,11.86,1.0
2017-08-01 13:30:00,170316603021001.0,41.78637,-87.6957,11.56,11.56,11.56,11.56,1.0
2017-08-01 13:30:00,170316603021001.0,41.78637,-87.69564,11.86,11.86,11.86,11.86,1.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.70204,11.34,11.34,11.34,11.34,1.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.70203,11.41,11.41,11.41,11.41,1.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.70201,11.26,11.26,11.26,11.26,1.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.702,10.82,10.82,11.04,21.64,2.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.70199,10.3,10.3,10.3,10.3,1.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.70191,9.17,9.17,9.17,9.17,1.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.70189,9.7,9.7,9.7,9.7,1.0
2017-08-01 13:30:00,170316603022000.0,41.78624,-87.70187,9.85,9.85,9.85,9.85,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70207,11.41,11.41,11.41,11.41,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70206,11.78,11.78,11.78,11.78,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70198,10.15,10.15,10.15,10.15,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70197,9.48,9.48,9.48,9.48,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70196,9.7,9.7,9.7,9.7,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70195,9.1,9.1,9.1,9.1,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70194,8.57,8.57,8.57,8.57,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70193,8.72,8.72,8.72,8.72,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70185,9.1,9.1,9.1,9.1,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70184,9.17,9.17,9.17,9.17,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70182,8.72,8.72,8.72,8.72,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70181,9.1,9.1,9.1,9.1,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70146,10.45,10.45,10.45,10.45,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70145,11.04,11.04,11.04,11.04,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70143,11.56,11.56,11.56,11.56,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.70142,10.75,10.75,10.75,10.75,1.0
2017-08-01 13:30:00,170316603022000.0,41.78625,-87.7014,11.12,11.12,11.12,11.12,1.0
2017-08-01 13:30:00,170316603022000.0,41.78626,-87.70178,9.93,9.93,9.93,9.93,1.0
