thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-06-23 16:00:00,170318411001021.0,41.852920000000005,-87.63481999999999,3.12,3.12,3.12,3.12,1.0
2017-06-23 16:00:00,170318411001021.0,41.852940000000004,-87.63476,3.26,3.26,3.26,3.26,1.0
2017-06-23 16:00:00,170318411001021.0,41.85297,-87.63472,3.54,3.54,3.54,3.54,1.0
2017-06-23 16:00:00,170318411001021.0,41.85298,-87.63467,3.33,3.33,3.33,3.33,1.0
2017-06-23 16:00:00,170318411001021.0,41.85301,-87.63463,3.4,3.4,3.4,3.4,1.0
2017-06-23 16:00:00,170318411001021.0,41.85304,-87.63458,3.12,3.12,3.12,3.12,1.0
2017-06-23 16:00:00,170318411001021.0,41.85306,-87.63454,2.84,2.84,2.84,2.84,1.0
2017-06-23 16:00:00,170318411001021.0,41.85308,-87.6345,2.84,2.84,2.84,2.84,1.0
2017-06-23 16:00:00,170318411001021.0,41.8531,-87.63445,2.77,2.77,2.77,2.77,1.0
2017-06-23 16:00:00,170318411001021.0,41.85311,-87.63439,2.57,2.57,2.57,2.57,1.0
2017-06-23 16:00:00,170318411001021.0,41.85313,-87.63433,2.51,2.51,2.51,2.51,1.0
2017-06-23 16:00:00,170318411001021.0,41.853159999999995,-87.63427,2.31,2.31,2.31,2.31,1.0
2017-06-23 16:00:00,170318411001021.0,41.85318,-87.63422,2.38,2.38,2.38,2.38,1.0
2017-06-23 16:00:00,170318411001021.0,41.8532,-87.63417,2.51,2.51,2.51,2.51,1.0
2017-06-23 16:00:00,170318411001021.0,41.85322,-87.63412,2.64,2.64,2.64,2.64,1.0
2017-06-23 16:00:00,170318411001021.0,41.85324,-87.63408000000001,2.44,2.44,2.44,2.44,1.0
2017-06-23 16:00:00,170318411001021.0,41.85325,-87.63404,2.51,2.51,2.51,2.51,1.0
2017-06-23 16:00:00,170318411001021.0,41.85326,-87.63401999999999,2.38,2.38,2.38,2.38,1.0
2017-06-23 16:00:00,170318411001021.0,41.85327,-87.63399,2.19,2.19,2.19,2.19,1.0
2017-06-23 16:00:00,170318411001023.0,41.85289,-87.63486999999999,3.19,3.19,3.19,3.19,1.0
2017-06-23 16:00:00,170318411001024.0,41.85287,-87.63492,3.47,3.47,3.47,3.47,1.0
2017-06-23 16:00:00,170318411001035.0,41.85289,-87.63398000000001,4.28,4.28,4.28,4.28,1.0
2017-06-23 16:00:00,170318411001035.0,41.8529,-87.63401999999999,4.28,4.28,4.28,4.28,1.0
2017-06-23 16:00:00,170318411001035.0,41.85293,-87.63404,4.73,4.73,4.73,4.73,1.0
2017-06-23 16:00:00,170318411001035.0,41.852959999999996,-87.63405,5.11,5.11,5.11,5.11,1.0
2017-06-23 16:00:00,170318411001035.0,41.85298,-87.63404,5.26,5.26,5.26,5.26,1.0
2017-06-23 16:00:00,170318411001035.0,41.853,-87.63403000000001,5.57,5.57,5.57,5.57,1.0
2017-06-23 16:00:00,170318411001035.0,41.85301,-87.63401999999999,6.03,6.03,6.03,6.03,1.0
2017-06-23 16:00:00,170318411001035.0,41.85302,-87.634,6.26,6.26,6.26,6.26,1.0
2017-06-23 16:00:00,170318411001035.0,41.85303,-87.63398000000001,6.8,6.8,6.8,6.8,1.0
2017-06-23 16:00:00,170318411001035.0,41.85303,-87.63395,7.34,7.34,7.34,7.34,1.0
2017-06-23 16:00:00,170318411001035.0,41.85304,-87.63393,8.19,8.19,8.19,8.19,1.0
2017-06-23 16:00:00,170318411001035.0,41.85304,-87.63391,7.88,7.88,7.88,7.88,1.0
2017-06-23 16:00:00,170318411001035.0,41.85307,-87.63393,4.43,4.43,4.43,4.43,1.0
2017-06-23 16:00:00,170318411001035.0,41.85308,-87.63391999999999,4.355,4.355,4.73,8.71,2.0
2017-06-23 16:00:00,170318411001035.0,41.85308,-87.63391,3.76,3.76,3.76,3.76,1.0
2017-06-23 16:00:00,170318411001035.0,41.85308,-87.63389000000001,3.05,3.05,3.05,3.05,1.0
2017-06-23 16:00:00,170318411001035.0,41.85309,-87.63391999999999,7.38,7.049999999999999,8.34,98.7,14.0
2017-06-23 16:00:00,170318411001035.0,41.85309,-87.63386,2.98,2.98,2.98,2.98,1.0
2017-06-23 16:00:00,170318411001035.0,41.85309,-87.63384,3.05,3.05,3.05,3.05,1.0
2017-06-23 16:00:00,170318411001035.0,41.85309,-87.63382,3.33,3.33,3.33,3.33,1.0
2017-06-23 16:00:00,170318411001035.0,41.85309,-87.63381,3.4,3.4,3.4,3.4,1.0
2017-06-23 16:00:00,170318411001035.0,41.85309,-87.63379,3.62,3.62,3.62,3.62,1.0
2017-06-23 16:00:00,170318411001035.0,41.85309,-87.63376,3.54,3.54,3.54,3.54,1.0
2017-06-23 16:00:00,170318411001035.0,41.8531,-87.63374,2.06,2.0733928571428577,3.26,116.11000000000004,56.0
2017-06-23 16:00:00,170318411001035.0,41.8531,-87.63373,2.185,2.185,2.31,4.37,2.0
2017-06-23 16:00:00,170318411001035.0,41.85311,-87.63376,2.71,2.71,2.71,2.71,1.0
2017-06-23 16:00:00,170318411001035.0,41.85311,-87.63374,2.44,2.44,2.44,2.44,1.0
2017-06-23 16:00:00,170318411001035.0,41.853120000000004,-87.63378,2.98,2.98,2.98,2.98,1.0
2017-06-23 16:00:00,170318411001035.0,41.85313,-87.63379,3.05,3.05,3.05,3.05,1.0
2017-06-23 16:00:00,170318411001035.0,41.85314,-87.63381,2.71,2.71,2.71,2.71,1.0
2017-06-23 16:00:00,170318411001035.0,41.853159999999995,-87.63383,3.05,3.05,3.05,3.05,1.0
2017-06-23 16:00:00,170318411001035.0,41.85317,-87.63385,2.91,2.91,2.91,2.91,1.0
2017-06-23 16:00:00,170318411001035.0,41.853190000000005,-87.63387,2.64,2.64,2.64,2.64,1.0
2017-06-23 16:00:00,170318411001035.0,41.85321,-87.63388,2.84,2.84,2.84,2.84,1.0
2017-06-23 16:00:00,170318411001035.0,41.853229999999996,-87.6339,3.12,3.12,3.12,3.12,1.0
2017-06-23 16:00:00,170318411001035.0,41.85325,-87.63391999999999,2.98,2.98,2.98,2.98,1.0
2017-06-23 16:00:00,170318411001035.0,41.85326,-87.63394,1.88,1.88,1.88,1.88,1.0
2017-06-23 16:00:00,170318411001035.0,41.85327,-87.63396999999999,2.0,2.0,2.0,2.0,1.0
2017-06-23 16:00:00,170318411003000.0,41.85208,-87.63665999999999,3.47,3.47,3.47,3.47,1.0
2017-06-23 16:00:00,170318411003000.0,41.852109999999996,-87.63659,3.47,3.47,3.47,3.47,1.0
2017-06-23 16:00:00,170318411003000.0,41.852140000000006,-87.63651,3.26,3.26,3.4,6.52,2.0
2017-06-23 16:00:00,170318411003000.0,41.8522,-87.63636,3.05,3.05,3.05,3.05,1.0
2017-06-23 16:00:00,170318411003000.0,41.85224,-87.63629,3.12,3.12,3.12,3.12,1.0
2017-06-23 16:00:00,170318411003000.0,41.852270000000004,-87.63622,2.84,2.84,2.84,2.84,1.0
2017-06-23 16:00:00,170318411003000.0,41.8523,-87.63615,2.57,2.57,2.57,2.57,1.0
2017-06-23 16:00:00,170318411003000.0,41.85233,-87.63608,2.38,2.38,2.38,2.38,1.0
2017-06-23 16:00:00,170318411003000.0,41.85237,-87.63602,2.25,2.25,2.25,2.25,1.0
2017-06-23 16:00:00,170318411003000.0,41.8524,-87.63596,2.57,2.57,2.57,2.57,1.0
2017-06-23 16:00:00,170318411003000.0,41.85244,-87.63589,2.44,2.44,2.44,2.44,1.0
2017-06-23 16:00:00,170318411003000.0,41.85246,-87.63583,2.64,2.64,2.64,2.64,1.0
2017-06-23 16:00:00,170318411003000.0,41.85249,-87.63578000000001,2.38,2.38,2.38,2.38,1.0
2017-06-23 16:00:00,170318411003000.0,41.85252,-87.63571999999999,2.57,2.57,2.57,2.57,1.0
2017-06-23 16:00:00,170318411003000.0,41.85255,-87.63565,2.77,2.77,2.77,2.77,1.0
2017-06-23 16:00:00,170318411003000.0,41.852579999999996,-87.63558,2.64,2.64,2.64,2.64,1.0
2017-06-23 16:00:00,170318411003000.0,41.85262,-87.63552,2.84,2.84,2.84,2.84,1.0
2017-06-23 16:00:00,170318411003000.0,41.85266,-87.63548,3.26,3.26,3.26,3.26,1.0
2017-06-23 16:00:00,170318411003000.0,41.8527,-87.63542,3.54,3.54,3.54,3.54,1.0
2017-06-23 16:00:00,170318411003000.0,41.85273,-87.63535,3.4,3.4,3.4,3.4,1.0
2017-06-23 16:00:00,170318411003000.0,41.852759999999996,-87.63526999999999,3.26,3.26,3.26,3.26,1.0
2017-06-23 16:00:00,170318411003000.0,41.852779999999996,-87.63519000000001,3.4,3.4,3.4,3.4,1.0
2017-06-23 16:00:00,170318411003000.0,41.8528,-87.63512,3.54,3.54,3.54,3.54,1.0
2017-06-23 16:00:00,170318411003000.0,41.85282,-87.63505,3.26,3.26,3.26,3.26,1.0
2017-06-23 16:00:00,170318411003000.0,41.85284,-87.63498,3.69,3.69,3.69,3.69,1.0
2017-06-23 16:00:00,170318411003002.0,41.85176,-87.63708000000001,2.98,2.98,2.98,2.98,1.0
2017-06-23 16:00:00,170318411003002.0,41.85185,-87.63704,3.4,3.4,3.4,3.4,1.0
2017-06-23 16:00:00,170318411003002.0,41.85191,-87.637,3.33,3.33,3.33,3.33,1.0
2017-06-23 16:00:00,170318411003002.0,41.85198,-87.63694,3.12,3.12,3.12,3.12,1.0
2017-06-23 16:00:00,170318411003002.0,41.85205,-87.63676,3.26,3.26,3.26,3.26,1.0
2017-06-23 16:00:00,170318411003011.0,41.85094,-87.63828000000001,1.59,1.59,1.59,1.59,1.0
2017-06-23 16:00:00,170318411003011.0,41.85098,-87.63825,1.76,1.76,1.76,1.76,1.0
2017-06-23 16:00:00,170318411003011.0,41.85102,-87.63821999999999,1.76,1.76,1.76,1.76,1.0
2017-06-23 16:00:00,170318411003011.0,41.85106,-87.63819000000001,1.88,1.88,1.88,1.88,1.0
2017-06-23 16:00:00,170318411003011.0,41.85109,-87.63815,2.0,2.0,2.0,2.0,1.0
2017-06-23 16:00:00,170318411003011.0,41.85112,-87.63811,2.0,2.0,2.0,2.0,1.0
2017-06-23 16:00:00,170318411003011.0,41.85116,-87.63807,1.94,1.94,1.94,1.94,1.0
2017-06-23 16:00:00,170318411003011.0,41.85119,-87.63803,2.44,2.44,2.44,2.44,1.0
2017-06-23 16:00:00,170318411003011.0,41.85122,-87.63799,3.54,3.54,3.54,3.54,1.0
2017-06-23 16:00:00,170318411003011.0,41.851290000000006,-87.63790999999999,4.17,4.17,4.28,8.34,2.0
2017-06-23 16:00:00,170318411003011.0,41.85132,-87.63786,4.65,4.65,4.65,4.65,1.0
2017-06-23 16:00:00,170318411003011.0,41.85134,-87.6378,4.43,4.43,4.43,4.43,1.0
