thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-05 20:00:00,170313501001001.0,41.83858,-87.60721,3.26,3.26,3.26,3.26,1.0
2017-05-05 20:00:00,170313501001001.0,41.8386,-87.60724,3.05,3.05,3.05,3.05,1.0
2017-05-05 20:00:00,170313501001001.0,41.838609999999996,-87.60728,2.91,2.91,2.91,2.91,1.0
2017-05-05 20:00:00,170313501001001.0,41.83862,-87.60732,2.77,2.77,2.77,2.77,1.0
2017-05-05 20:00:00,170313501001001.0,41.83863,-87.60736,2.91,2.91,2.91,2.91,1.0
2017-05-05 20:00:00,170313501001001.0,41.83865,-87.60739000000001,2.84,2.84,2.84,2.84,1.0
2017-05-05 20:00:00,170313501001001.0,41.83866,-87.60743000000001,3.12,3.12,3.12,3.12,1.0
2017-05-05 20:00:00,170313501001001.0,41.83867,-87.60746999999999,3.26,3.26,3.26,3.26,1.0
2017-05-05 20:00:00,170313501001001.0,41.83868,-87.60764,3.91,3.8825,4.65,77.64999999999998,20.0
2017-05-05 20:00:00,170313501001001.0,41.83868,-87.60763,4.09,4.09,4.2,8.18,2.0
2017-05-05 20:00:00,170313501001001.0,41.83868,-87.60762,3.76,3.76,3.76,3.76,1.0
2017-05-05 20:00:00,170313501001001.0,41.83868,-87.6076,3.4,3.4,3.4,3.4,1.0
2017-05-05 20:00:00,170313501001001.0,41.83868,-87.60759,3.4,3.4,3.4,3.4,1.0
2017-05-05 20:00:00,170313501001001.0,41.83869,-87.60773,3.91,3.91,3.91,3.91,1.0
2017-05-05 20:00:00,170313501001001.0,41.83869,-87.6077,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001001.0,41.83869,-87.60768,4.13,4.13,4.13,4.13,1.0
2017-05-05 20:00:00,170313501001001.0,41.83869,-87.60766,4.65,4.65,4.65,4.65,1.0
2017-05-05 20:00:00,170313501001001.0,41.83869,-87.60755999999999,3.33,3.33,3.33,3.33,1.0
2017-05-05 20:00:00,170313501001001.0,41.83869,-87.60749,3.76,3.76,3.76,3.76,1.0
2017-05-05 20:00:00,170313501001001.0,41.8387,-87.60754,3.4,3.4,3.4,3.4,1.0
2017-05-05 20:00:00,170313501001001.0,41.8387,-87.60750999999999,3.47,3.47,3.47,3.47,1.0
2017-05-05 20:00:00,170313501001003.0,41.83869,-87.60866,3.4,3.4,3.4,3.4,1.0
2017-05-05 20:00:00,170313501001003.0,41.83869,-87.60858,2.57,2.57,2.57,2.57,1.0
2017-05-05 20:00:00,170313501001003.0,41.83869,-87.6085,2.77,2.77,2.77,2.77,1.0
2017-05-05 20:00:00,170313501001003.0,41.83869,-87.60842,2.84,2.84,2.84,2.84,1.0
2017-05-05 20:00:00,170313501001003.0,41.83869,-87.60834,3.12,3.12,3.12,3.12,1.0
2017-05-05 20:00:00,170313501001003.0,41.83869,-87.60826999999999,2.98,2.98,2.98,2.98,1.0
2017-05-05 20:00:00,170313501001003.0,41.83869,-87.60777,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170313501001003.0,41.8387,-87.60819000000001,2.98,2.98,2.98,2.98,1.0
2017-05-05 20:00:00,170313501001003.0,41.8387,-87.60812,3.33,3.33,3.33,3.33,1.0
2017-05-05 20:00:00,170313501001003.0,41.8387,-87.60806,3.62,3.62,3.62,3.62,1.0
2017-05-05 20:00:00,170313501001003.0,41.8387,-87.60794,4.13,4.13,4.13,4.13,1.0
2017-05-05 20:00:00,170313501001003.0,41.8387,-87.60788000000001,4.2,4.2,4.2,4.2,1.0
2017-05-05 20:00:00,170313501001003.0,41.8387,-87.60781999999999,4.65,4.65,4.65,4.65,1.0
2017-05-05 20:00:00,170313501001003.0,41.83871,-87.60799,3.83,3.83,3.83,3.83,1.0
2017-05-05 20:00:00,170313501001005.0,41.838609999999996,-87.61072,3.91,3.91,3.91,3.91,1.0
2017-05-05 20:00:00,170313501001005.0,41.838609999999996,-87.61065,3.83,3.83,3.83,3.83,1.0
2017-05-05 20:00:00,170313501001005.0,41.838609999999996,-87.61058,4.13,4.13,4.13,4.13,1.0
2017-05-05 20:00:00,170313501001005.0,41.83862,-87.61052,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:00:00,170313501001005.0,41.83862,-87.61045,4.58,4.58,4.58,4.58,1.0
2017-05-05 20:00:00,170313501001005.0,41.83863,-87.61039,4.35,4.35,4.35,4.35,1.0
2017-05-05 20:00:00,170313501001005.0,41.83863,-87.61032,4.13,4.13,4.13,4.13,1.0
2017-05-05 20:00:00,170313501001005.0,41.838640000000005,-87.61025,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:00:00,170313501001005.0,41.838640000000005,-87.61018,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001005.0,41.838640000000005,-87.61012,3.91,3.91,3.91,3.91,1.0
2017-05-05 20:00:00,170313501001005.0,41.83865,-87.61006,4.2,4.2,4.2,4.2,1.0
2017-05-05 20:00:00,170313501001005.0,41.83865,-87.60999,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170313501001005.0,41.83865,-87.60991,4.06,4.06,4.06,4.06,1.0
2017-05-05 20:00:00,170313501001006.0,41.8386,-87.61098,4.06,4.06,4.06,4.06,1.0
2017-05-05 20:00:00,170313501001006.0,41.8386,-87.6109,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001006.0,41.838609999999996,-87.61081,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001007.0,41.83858,-87.61129,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001007.0,41.83859,-87.61121999999999,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170313501001007.0,41.8386,-87.61115,4.5,4.5,4.5,4.5,1.0
2017-05-05 20:00:00,170313501001007.0,41.8386,-87.61106,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:00:00,170313501001008.0,41.83852,-87.61334000000001,3.19,3.19,3.19,3.19,1.0
2017-05-05 20:00:00,170313501001008.0,41.83853,-87.61338,2.98,2.98,2.98,2.98,1.0
2017-05-05 20:00:00,170313501001008.0,41.83853,-87.61336,3.12,3.12,3.12,3.12,1.0
2017-05-05 20:00:00,170313501001008.0,41.83853,-87.61333,3.47,3.47,3.47,3.47,1.0
2017-05-05 20:00:00,170313501001008.0,41.83853,-87.61331,3.47,3.47,3.47,3.47,1.0
2017-05-05 20:00:00,170313501001008.0,41.83853,-87.61329,3.4,3.4,3.4,3.4,1.0
2017-05-05 20:00:00,170313501001008.0,41.83853,-87.61327,2.91,2.91,2.91,2.91,1.0
2017-05-05 20:00:00,170313501001008.0,41.83853,-87.61324,2.71,2.71,2.71,2.71,1.0
2017-05-05 20:00:00,170313501001008.0,41.83854,-87.61321,2.91,2.91,2.91,2.91,1.0
2017-05-05 20:00:00,170313501001008.0,41.83854,-87.61318,2.98,2.98,2.98,2.98,1.0
2017-05-05 20:00:00,170313501001008.0,41.83854,-87.61314,3.12,3.12,3.12,3.12,1.0
2017-05-05 20:00:00,170313501001008.0,41.83854,-87.61309,3.47,3.47,3.47,3.47,1.0
2017-05-05 20:00:00,170313501001008.0,41.83854,-87.61304,3.76,3.76,3.76,3.76,1.0
2017-05-05 20:00:00,170313501001008.0,41.83855,-87.61298000000001,4.06,4.06,4.06,4.06,1.0
2017-05-05 20:00:00,170313501001008.0,41.83855,-87.6129,4.06,4.06,4.06,4.06,1.0
2017-05-05 20:00:00,170313501001008.0,41.83855,-87.61281,3.69,3.69,3.69,3.69,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61270999999999,3.76,3.76,3.76,3.76,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61261999999999,3.76,3.76,3.76,3.76,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61253,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61225,3.47,3.47,3.47,3.47,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61216,3.83,3.83,3.83,3.83,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61206,3.76,3.76,3.76,3.76,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61196,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61186,4.35,4.35,4.35,4.35,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61176999999999,4.58,4.58,4.58,4.58,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61168,5.11,5.11,5.11,5.11,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61159,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:00:00,170313501001008.0,41.83856,-87.61151,4.81,4.81,4.81,4.81,1.0
2017-05-05 20:00:00,170313501001008.0,41.838570000000004,-87.61244,3.91,3.91,3.91,3.91,1.0
2017-05-05 20:00:00,170313501001008.0,41.838570000000004,-87.61234,3.83,3.83,3.83,3.83,1.0
2017-05-05 20:00:00,170313501001008.0,41.838570000000004,-87.61143,5.26,5.26,5.26,5.26,1.0
2017-05-05 20:00:00,170313501001008.0,41.83858,-87.61135999999999,4.65,4.65,4.65,4.65,1.0
2017-05-05 20:00:00,170313501001013.0,41.83865,-87.60985,3.69,3.69,3.69,3.69,1.0
2017-05-05 20:00:00,170313501001013.0,41.83865,-87.60979,3.69,3.69,3.69,3.69,1.0
2017-05-05 20:00:00,170313501001013.0,41.83865,-87.60972,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170313501001013.0,41.83865,-87.60965999999999,3.54,3.54,3.54,3.54,1.0
2017-05-05 20:00:00,170313501001013.0,41.83865,-87.60961,3.62,3.62,3.62,3.62,1.0
