thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-10-13 16:30:00,170311702001015.0,41.94853,-87.77705,12.15,12.15,12.15,12.15,1.0
2017-10-13 16:30:00,170311702001015.0,41.94853,-87.777,12.23,12.23,12.23,12.23,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.77716,11.63,11.63,11.63,11.63,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.7771,11.86,11.86,11.86,11.86,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.77695,11.56,11.56,11.56,11.56,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.7769,10.67,10.67,10.67,10.67,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.77685,10.3,10.3,10.3,10.3,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.7768,10.67,10.67,10.67,10.67,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.77676,10.89,10.89,10.89,10.89,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.77671,11.63,11.63,11.63,11.63,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.77666,11.34,11.34,11.34,11.34,1.0
2017-10-13 16:30:00,170311702001015.0,41.94854,-87.77662,11.56,11.56,11.56,11.56,1.0
2017-10-13 16:30:00,170311702001015.0,41.94855,-87.77904,9.93,9.93,9.93,9.93,1.0
2017-10-13 16:30:00,170311702001015.0,41.94855,-87.77721,11.41,11.41,11.41,11.41,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.779,9.85,9.85,9.85,9.85,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77895,9.48,9.48,9.48,9.48,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77777,12.0,12.0,12.0,12.0,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77772,11.86,11.86,11.86,11.86,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77767,11.49,11.49,11.49,11.49,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77761,10.45,10.45,10.45,10.45,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77755,10.97,10.97,10.97,10.97,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77749,11.34,11.34,11.34,11.34,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77743,11.49,11.49,11.49,11.49,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77738,11.49,11.49,11.49,11.49,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77732,11.41,11.41,11.41,11.41,1.0
2017-10-13 16:30:00,170311702001015.0,41.94856,-87.77726,12.08,12.08,12.08,12.08,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.7789,9.85,9.85,9.85,9.85,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77885,10.22,10.22,10.22,10.22,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.7788,9.93,9.93,9.93,9.93,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77874,10.22,10.22,10.22,10.22,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77808,11.12,11.12,11.12,11.12,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77804,11.19,11.19,11.19,11.19,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77799,11.49,11.49,11.49,11.49,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77795,11.34,11.34,11.34,11.34,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77791,11.86,11.86,11.86,11.86,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77787,11.41,11.41,11.41,11.41,1.0
2017-10-13 16:30:00,170311702001015.0,41.94857,-87.77782,11.49,11.49,11.49,11.49,1.0
2017-10-13 16:30:00,170311702001015.0,41.94858,-87.77868,10.3,10.3,10.3,10.3,1.0
2017-10-13 16:30:00,170311702001015.0,41.94858,-87.77862,10.22,10.22,10.22,10.22,1.0
2017-10-13 16:30:00,170311702001015.0,41.94858,-87.77857,10.07,10.07,10.07,10.07,1.0
2017-10-13 16:30:00,170311702001015.0,41.94858,-87.77816,11.19,11.19,11.19,11.19,1.0
2017-10-13 16:30:00,170311702001015.0,41.94858,-87.77811,11.26,11.26,11.26,11.26,1.0
2017-10-13 16:30:00,170311702001015.0,41.94859,-87.77852,10.6,10.6,10.6,10.6,1.0
2017-10-13 16:30:00,170311702001015.0,41.94859,-87.77846,10.07,10.07,10.07,10.07,1.0
2017-10-13 16:30:00,170311702001015.0,41.94859,-87.77841,10.22,10.22,10.22,10.22,1.0
2017-10-13 16:30:00,170311702001015.0,41.94859,-87.77836,9.32,9.32,9.32,9.32,1.0
2017-10-13 16:30:00,170311702001015.0,41.94859,-87.7783,9.55,9.55,9.55,9.55,1.0
2017-10-13 16:30:00,170311702001015.0,41.94859,-87.77825,10.15,10.15,10.15,10.15,1.0
2017-10-13 16:30:00,170311702001015.0,41.94859,-87.7782,10.37,10.37,10.37,10.37,1.0
2017-10-13 16:30:00,170311702001017.0,41.9485,-87.78147,9.25,9.25,9.25,9.25,1.0
2017-10-13 16:30:00,170311702001017.0,41.9485,-87.78081,12.38,12.38,12.38,12.38,1.0
2017-10-13 16:30:00,170311702001017.0,41.9485,-87.78076,12.08,12.08,12.08,12.08,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78142,9.17,9.17,9.17,9.17,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78137,9.48,9.48,9.48,9.48,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78086,13.05,13.05,13.05,13.05,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.7807,11.63,11.63,11.63,11.63,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78065,11.26,11.26,11.26,11.26,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78059,11.19,11.19,11.19,11.19,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78054,10.97,10.97,10.97,10.97,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78049,10.89,10.89,10.89,10.89,1.0
2017-10-13 16:30:00,170311702001017.0,41.94851,-87.78043,10.15,10.15,10.15,10.15,1.0
2017-10-13 16:30:00,170311702001017.0,41.94852,-87.78132,9.7,9.7,9.7,9.7,1.0
2017-10-13 16:30:00,170311702001017.0,41.94852,-87.78126,9.78,9.78,9.78,9.78,1.0
