thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-06 23:00:00,170312421001002.0,41.9031,-87.66913000000001,1.94,1.94,1.94,1.94,1.0
2017-05-06 23:00:00,170312421001002.0,41.90316,-87.66914,2.06,2.06,2.06,2.06,1.0
2017-05-06 23:00:00,170312421001002.0,41.903220000000005,-87.66914,2.51,2.524,3.33,88.33999999999997,35.0
2017-05-06 23:00:00,170312421001002.0,41.903220000000005,-87.66913000000001,1.94,1.94,1.94,1.94,1.0
2017-05-06 23:00:00,170312421001002.0,41.90328,-87.66914,2.0,2.0,2.0,2.0,1.0
2017-07-10 14:30:00,170312421001009.0,41.90031,-87.66818,3.98,4.08,4.35,12.24,3.0
2017-07-28 12:00:00,170312422001011.0,41.90141,-87.67716,7.11,7.11,7.11,7.11,1.0
2017-07-28 12:00:00,170312422001011.0,41.90146,-87.67714000000001,6.96,6.96,6.96,6.96,1.0
2017-07-28 12:00:00,170312422001011.0,41.90153,-87.67715,6.8,6.8,6.8,6.8,1.0
2017-07-28 12:00:00,170312422001011.0,41.9016,-87.67716,7.42,7.42,7.42,7.42,1.0
2017-07-28 12:00:00,170312422001011.0,41.90167,-87.67716999999999,6.88,6.88,6.88,6.88,1.0
2017-07-28 12:00:00,170312422001011.0,41.90173,-87.67718,7.42,7.42,7.42,7.42,1.0
2017-07-28 12:00:00,170312422001011.0,41.901790000000005,-87.6772,7.27,7.27,7.27,7.27,1.0
2017-07-28 12:00:00,170312422001011.0,41.90184,-87.6772,7.42,7.42,7.42,7.42,1.0
2017-07-28 12:00:00,170312422001011.0,41.9019,-87.6772,7.88,7.88,7.88,7.88,1.0
2017-07-28 12:00:00,170312422001011.0,41.901959999999995,-87.6772,8.03,8.03,8.03,8.03,1.0
2017-07-28 12:00:00,170312422001011.0,41.90202,-87.67721,7.73,7.73,7.73,7.73,1.0
2017-07-28 12:00:00,170312422001011.0,41.90208,-87.67721999999999,7.57,7.57,7.57,7.57,1.0
2017-07-28 12:00:00,170312422001026.0,41.89965,-87.67714000000001,5.49,5.49,5.49,5.49,1.0
2017-07-28 12:00:00,170312422001026.0,41.8997,-87.67713,5.65,5.65,5.65,5.65,1.0
2017-07-28 12:00:00,170312422001026.0,41.89976,-87.67713,5.49,5.49,5.49,5.49,1.0
2017-07-28 12:00:00,170312422001026.0,41.899809999999995,-87.67714000000001,5.65,5.65,5.65,5.65,1.0
2017-07-28 12:00:00,170312422001026.0,41.89987,-87.67714000000001,5.65,5.65,5.65,5.65,1.0
2017-07-28 12:00:00,170312422001026.0,41.89993,-87.67714000000001,5.65,5.65,5.65,5.65,1.0
2017-07-28 12:00:00,170312422001026.0,41.89999,-87.67713,5.57,5.57,5.57,5.57,1.0
2017-07-28 12:00:00,170312422001026.0,41.90005,-87.67713,5.26,5.26,5.26,5.26,1.0
2017-07-28 12:00:00,170312422001026.0,41.9001,-87.67713,5.03,5.03,5.03,5.03,1.0
2017-07-28 12:00:00,170312422001026.0,41.90016,-87.67712,5.57,5.57,5.57,5.57,1.0
2017-07-28 12:00:00,170312422001026.0,41.900209999999994,-87.67712,5.8,5.8,5.8,5.8,1.0
2017-07-28 12:00:00,170312422001026.0,41.90025,-87.67712,6.11,6.11,6.11,6.11,1.0
2017-07-28 12:00:00,170312422001026.0,41.90031,-87.67712,6.57,6.57,6.57,6.57,1.0
2017-07-28 12:00:00,170312422001026.0,41.90037,-87.67712,6.26,6.26,6.26,6.26,1.0
2017-07-28 12:00:00,170312422001026.0,41.90043,-87.67712,6.65,6.65,6.65,6.65,1.0
2017-07-28 12:00:00,170312422001026.0,41.900490000000005,-87.67711,7.04,7.04,7.04,7.04,1.0
2017-07-28 12:00:00,170312422001026.0,41.90055,-87.67711,6.34,6.34,6.34,6.34,1.0
2017-07-28 12:00:00,170312422001026.0,41.90061,-87.67711,5.49,5.49,5.49,5.49,1.0
2017-07-28 12:00:00,170312422001026.0,41.90067,-87.67712,5.42,5.42,5.42,5.42,1.0
2017-07-28 12:00:00,170312422001026.0,41.90072,-87.67712,5.26,5.26,5.26,5.26,1.0
2017-07-28 12:00:00,170312422001026.0,41.90078,-87.67712,5.34,5.34,5.34,5.34,1.0
2017-07-28 12:00:00,170312422001026.0,41.90083,-87.67713,4.73,4.73,4.73,4.73,1.0
2017-07-28 12:00:00,170312422001026.0,41.900890000000004,-87.67714000000001,4.58,4.58,4.58,4.58,1.0
2017-07-28 12:00:00,170312422001026.0,41.900940000000006,-87.67713,4.65,4.65,4.65,4.65,1.0
2017-07-28 12:00:00,170312422001026.0,41.901,-87.67714000000001,5.11,5.11,5.11,5.11,1.0
2017-07-28 12:00:00,170312422001026.0,41.901070000000004,-87.67714000000001,5.57,5.57,5.57,5.57,1.0
2017-07-28 12:00:00,170312422001026.0,41.90112,-87.67714000000001,5.88,5.88,5.88,5.88,1.0
2017-07-28 12:00:00,170312422001026.0,41.90118,-87.67714000000001,6.26,6.26,6.26,6.26,1.0
2017-07-28 12:00:00,170312422001026.0,41.90124,-87.67715,5.88,5.88,5.88,5.88,1.0
2017-07-28 12:00:00,170312422001026.0,41.90129,-87.67715,6.26,6.26,6.26,6.26,1.0
2017-07-28 12:00:00,170312422001026.0,41.90135,-87.67715,6.42,6.42,6.42,6.42,1.0
2017-07-28 12:00:00,170312422002006.0,41.89776,-87.67702,5.49,5.49,5.49,5.49,1.0
2017-07-28 12:00:00,170312422002006.0,41.89783,-87.67702,6.03,6.03,6.03,6.03,1.0
2017-07-28 12:00:00,170312422002006.0,41.897909999999996,-87.67702,6.42,6.42,6.42,6.42,1.0
2017-07-28 12:00:00,170312422002006.0,41.89798,-87.67703,6.42,6.42,6.42,6.42,1.0
2017-07-28 12:00:00,170312422002006.0,41.89806,-87.67705,5.8,5.8,5.8,5.8,1.0
2017-07-28 12:00:00,170312422002006.0,41.89815,-87.67707,5.42,5.42,5.42,5.42,1.0
2017-07-28 12:00:00,170312422002006.0,41.89822,-87.67708,5.26,5.26,5.26,5.26,1.0
2017-07-28 12:00:00,170312422002006.0,41.898309999999995,-87.67709,5.03,5.03,5.03,5.03,1.0
2017-07-28 12:00:00,170312422002006.0,41.89839,-87.6771,4.96,4.96,4.96,4.96,1.0
2017-07-28 12:00:00,170312422002006.0,41.89846,-87.6771,4.13,4.13,4.13,4.13,1.0
2017-07-28 12:00:00,170312422002006.0,41.89853,-87.67711,4.5,4.5,4.5,4.5,1.0
2017-07-28 12:00:00,170312422002006.0,41.8986,-87.6771,4.88,4.88,4.88,4.88,1.0
2017-07-28 12:00:00,170312422002006.0,41.89866,-87.6771,4.88,4.88,4.88,4.88,1.0
2017-07-28 12:00:00,170312422002006.0,41.89873,-87.6771,5.11,5.11,5.11,5.11,1.0
2017-07-28 12:00:00,170312422002006.0,41.89881,-87.67711,5.11,5.11,5.11,5.11,1.0
