thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-05 19:30:00,170318347002000.0,41.79423,-87.64928,5.88,5.88,5.88,5.88,1.0
2017-05-05 19:30:00,170318347002000.0,41.79423,-87.6492,5.96,5.96,5.96,5.96,1.0
2017-05-05 19:30:00,170318347002000.0,41.79423,-87.64912,6.34,6.34,6.34,6.34,1.0
2017-05-05 19:30:00,170318347002000.0,41.79424,-87.64943,5.96,5.96,5.96,5.96,1.0
2017-05-05 19:30:00,170318347002000.0,41.79424,-87.64936,5.8,5.8,5.8,5.8,1.0
2017-05-05 19:30:00,170318347002000.0,41.79424,-87.64905,6.03,6.03,6.03,6.03,1.0
2017-05-05 19:30:00,170318347002000.0,41.79424,-87.64897,6.42,6.42,6.42,6.42,1.0
2017-05-05 19:30:00,170318347002000.0,41.79425,-87.64888,6.34,6.34,6.34,6.34,1.0
2017-05-05 19:30:00,170318347002000.0,41.79426,-87.64882,6.8,6.8,6.8,6.8,1.0
2017-05-05 19:30:00,170318347002000.0,41.79426,-87.64874,7.27,7.27,7.27,7.27,1.0
2017-05-07 15:30:00,170316806002029.0,41.77969,-87.64975,4.13,4.13,4.13,4.13,1.0
2017-05-07 15:30:00,170316806002029.0,41.77971,-87.64968,4.43,4.43,4.43,4.43,1.0
2017-05-07 15:30:00,170316809004003.0,41.77986,-87.64184,4.35,4.35,4.35,4.35,1.0
2017-05-07 15:30:00,170316809004003.0,41.77986,-87.64174,4.28,4.28,4.28,4.28,1.0
2017-05-07 15:30:00,170316809004003.0,41.77986,-87.64164,3.83,3.83,3.83,3.83,1.0
2017-05-07 15:30:00,170316809004003.0,41.77986,-87.64154,3.91,3.91,3.91,3.91,1.0
2017-05-07 15:30:00,170316809004003.0,41.77987,-87.64205,3.62,3.62,3.62,3.62,1.0
2017-05-07 15:30:00,170316809004003.0,41.77987,-87.64194,3.98,3.98,3.98,3.98,1.0
2017-05-07 15:30:00,170316809004003.0,41.77987,-87.64145,4.28,4.28,4.28,4.28,1.0
2017-05-07 15:30:00,170316809004003.0,41.77987,-87.64134,4.28,4.28,4.28,4.28,1.0
2017-05-07 15:30:00,170316809004003.0,41.77987,-87.64124,3.69,3.69,3.69,3.69,1.0
2017-05-07 15:30:00,170316809004003.0,41.77987,-87.64113,3.4,3.4,3.4,3.4,1.0
2017-05-07 15:30:00,170316809004003.0,41.77988,-87.64103,3.19,3.19,3.19,3.19,1.0
2017-05-07 15:30:00,170316809004003.0,41.77988,-87.64093,3.19,3.19,3.19,3.19,1.0
2017-05-07 15:30:00,170316809004003.0,41.77988,-87.64083,2.64,2.64,2.64,2.64,1.0
2017-05-07 15:30:00,170316809004003.0,41.77988,-87.64073,2.25,2.25,2.25,2.25,1.0
2017-05-07 15:30:00,170316809004003.0,41.77989,-87.64062,2.44,2.44,2.44,2.44,1.0
2017-05-07 15:30:00,170316809004003.0,41.77989,-87.64052,2.57,2.57,2.57,2.57,1.0
2017-05-07 15:30:00,170316809004003.0,41.77989,-87.64042,2.71,2.71,2.71,2.71,1.0
2017-05-07 15:30:00,170316809004003.0,41.77989,-87.64032,2.71,2.71,2.71,2.71,1.0
2017-05-07 15:30:00,170316809004003.0,41.77989,-87.64021,2.57,2.57,2.57,2.57,1.0
2017-05-07 15:30:00,170316809004003.0,41.77989,-87.64011,2.84,2.84,2.84,2.84,1.0
2017-05-07 15:30:00,170316809004004.0,41.77985,-87.64284,3.33,3.33,3.33,3.33,1.0
2017-05-07 15:30:00,170316809004004.0,41.77985,-87.64274,3.4,3.4,3.4,3.4,1.0
2017-05-07 15:30:00,170316809004004.0,41.77986,-87.64361,3.26,3.26,3.26,3.26,1.0
2017-05-07 15:30:00,170316809004004.0,41.77986,-87.64351,3.4,3.4,3.4,3.4,1.0
2017-05-07 15:30:00,170316809004004.0,41.77986,-87.6434,3.19,3.19,3.19,3.19,1.0
2017-05-07 15:30:00,170316809004004.0,41.77986,-87.64329,3.26,3.26,3.26,3.26,1.0
2017-05-07 15:30:00,170316809004004.0,41.77986,-87.64318,3.54,3.54,3.54,3.54,1.0
2017-05-07 15:30:00,170316809004004.0,41.77986,-87.64306,3.62,3.62,3.62,3.62,1.0
2017-05-07 15:30:00,170316809004004.0,41.77986,-87.64295,3.54,3.54,3.54,3.54,1.0
2017-05-07 15:30:00,170316809004005.0,41.77982,-87.64476,3.47,3.47,3.47,3.47,1.0
2017-05-07 15:30:00,170316809004005.0,41.77983,-87.64465,2.91,2.91,2.91,2.91,1.0
2017-05-07 15:30:00,170316809004005.0,41.77984,-87.64456,2.44,2.44,2.44,2.44,1.0
2017-05-07 15:30:00,170316809004005.0,41.77984,-87.64445,2.51,2.51,2.51,2.51,1.0
2017-05-07 15:30:00,170316809004005.0,41.77985,-87.64435,2.64,2.64,2.64,2.64,1.0
2017-05-07 15:30:00,170316809004005.0,41.77985,-87.64425,2.77,2.77,2.77,2.77,1.0
2017-05-07 15:30:00,170316809004005.0,41.77985,-87.64414,2.91,2.91,2.91,2.91,1.0
2017-05-07 15:30:00,170316809004005.0,41.77985,-87.64404,3.05,3.05,3.05,3.05,1.0
2017-05-07 15:30:00,170316809004005.0,41.77985,-87.64393,3.12,3.12,3.12,3.12,1.0
2017-05-07 15:30:00,170316809004005.0,41.77985,-87.64382,2.98,2.98,2.98,2.98,1.0
2017-05-07 15:30:00,170316809004005.0,41.77986,-87.64372,3.19,3.19,3.19,3.19,1.0
2017-05-07 15:30:00,170316809004009.0,41.77983,-87.64257,3.76,3.76,3.76,3.76,1.0
2017-05-07 15:30:00,170316809004009.0,41.77983,-87.6425,3.19,3.19,3.19,3.19,1.0
2017-05-07 15:30:00,170316809004009.0,41.77984,-87.64265,3.62,3.62,3.62,3.62,1.0
2017-05-07 15:30:00,170316809004009.0,41.77985,-87.64243,3.05,3.05,3.05,3.05,1.0
2017-05-07 15:30:00,170316809004009.0,41.77987,-87.64235,3.19,3.19,3.19,3.19,1.0
2017-05-07 15:30:00,170316809004009.0,41.77987,-87.64226,3.4,3.4,3.4,3.4,1.0
2017-05-07 15:30:00,170316809004009.0,41.77987,-87.64215,3.62,3.62,3.62,3.62,1.0
2017-05-07 15:30:00,170316810004004.0,41.77923,-87.64981,3.33,3.33,3.33,3.33,1.0
2017-05-07 15:30:00,170316810004004.0,41.77928,-87.6498,3.69,3.69,3.69,3.69,1.0
2017-05-07 15:30:00,170316810004004.0,41.77934,-87.64978,4.13,4.13,4.13,4.13,1.0
2017-05-07 15:30:00,170316810004004.0,41.77941,-87.64977,4.5,4.5,4.5,4.5,1.0
2017-05-07 15:30:00,170316810004004.0,41.77948,-87.64978,4.28,4.28,4.28,4.28,1.0
2017-05-07 15:30:00,170316810004004.0,41.77956,-87.64978,4.06,4.06,4.06,4.06,1.0
2017-05-07 15:30:00,170316810004004.0,41.77963,-87.64978,3.91,3.91,3.91,3.91,1.0
2017-05-07 15:30:00,170316810004010.0,41.7791,-87.64982,2.71,2.6796428571428565,3.4,150.05999999999997,56.0
2017-05-07 15:30:00,170316810004010.0,41.77912,-87.64982,3.19,3.19,3.19,3.19,1.0
2017-05-07 15:30:00,170316810004010.0,41.77915,-87.64982,3.33,3.33,3.33,3.33,1.0
2017-05-07 15:30:00,170316810004010.0,41.77919,-87.64981,3.4,3.4,3.4,3.4,1.0
2017-05-07 15:30:00,170318346002028.0,41.77989,-87.64,3.12,3.12,3.12,3.12,1.0
2017-05-07 15:30:00,170318346002028.0,41.77989,-87.6399,3.33,3.33,3.33,3.33,1.0
2017-05-07 15:30:00,170318346002028.0,41.77989,-87.6398,3.47,3.47,3.47,3.47,1.0
