thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-05 19:30:00,170318356002009.0,41.79459,-87.63096,5.03,5.03,5.03,5.03,1.0
2017-05-05 19:30:00,170318356002009.0,41.79459,-87.63088,5.26,5.26,5.26,5.26,1.0
2017-05-05 19:30:00,170318356002009.0,41.7946,-87.6308,5.19,5.19,5.19,5.19,1.0
2017-05-05 19:30:00,170318356002010.0,41.7946,-87.63072,5.49,5.49,5.49,5.49,1.0
2017-05-05 19:30:00,170318356002010.0,41.7946,-87.63064,5.88,5.88,5.88,5.88,1.0
2017-05-05 19:30:00,170318356002010.0,41.79461,-87.63056,5.34,5.34,5.34,5.34,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63509,4.13,4.13,4.13,4.13,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63502,4.28,4.28,4.28,4.28,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63494,4.35,4.35,4.35,4.35,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63487,4.5,4.5,4.5,4.5,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63472,3.76,3.76,3.76,3.76,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63466,4.06,4.06,4.06,4.06,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63459,4.35,4.35,4.35,4.35,1.0
2017-05-05 19:30:00,170318356002017.0,41.79454,-87.63452,4.58,4.58,4.58,4.58,1.0
2017-05-05 19:30:00,170318356002017.0,41.79455,-87.63517,4.35,4.35,4.35,4.35,1.0
2017-05-05 19:30:00,170318356002017.0,41.79455,-87.63479,4.2,4.2,4.2,4.2,1.0
2017-05-05 19:30:00,170318356002017.0,41.79455,-87.63446,4.28,4.28,4.28,4.28,1.0
2017-05-05 19:30:00,170318356002017.0,41.79455,-87.63439,4.06,4.06,4.06,4.06,1.0
2017-05-05 19:30:00,170318356002017.0,41.79455,-87.63432,4.43,4.43,4.43,4.43,1.0
2017-05-05 19:30:00,170318356002017.0,41.79455,-87.63425,4.96,4.96,4.96,4.96,1.0
2017-05-05 19:30:00,170318356002017.0,41.79456,-87.63532,3.83,3.83,3.83,3.83,1.0
2017-05-05 19:30:00,170318356002017.0,41.79456,-87.63524,4.2,4.2,4.2,4.2,1.0
2017-05-05 19:30:00,170318356002019.0,41.79456,-87.63418,4.81,4.81,4.81,4.81,1.0
2017-05-05 19:30:00,170318356002019.0,41.79456,-87.63412,5.34,5.34,5.34,5.34,1.0
2017-05-05 19:30:00,170318356002019.0,41.79457,-87.63405,5.65,5.65,5.65,5.65,1.0
2017-05-05 19:30:00,170318356002019.0,41.79457,-87.63398,4.73,4.73,4.73,4.73,1.0
2017-05-05 19:30:00,170318356002019.0,41.79457,-87.63392,4.13,4.13,4.13,4.13,1.0
2017-05-05 19:30:00,170318356002019.0,41.79458,-87.63385,4.28,4.28,4.28,4.28,1.0
2017-05-05 19:30:00,170318356002019.0,41.79458,-87.63378,4.58,4.58,4.58,4.58,1.0
2017-05-05 19:30:00,170318356002019.0,41.79458,-87.63372,4.81,4.81,4.81,4.81,1.0
2017-05-05 19:30:00,170318356002019.0,41.79458,-87.63366,5.03,5.03,5.03,5.03,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63338,4.88,4.88,4.88,4.88,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63332,4.81,4.81,4.81,4.81,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63327,4.96,4.96,4.96,4.96,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63321,4.58,4.58,4.58,4.58,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63316,4.81,4.81,4.81,4.81,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63311,4.81,4.81,4.81,4.81,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63306,4.28,4.28,4.28,4.28,1.0
2017-05-05 19:30:00,170318356002022.0,41.79457,-87.63302,4.5,4.5,4.5,4.5,1.0
2017-05-05 19:30:00,170318356002022.0,41.79458,-87.6336,4.73,4.73,4.73,4.73,1.0
2017-05-05 19:30:00,170318356002022.0,41.79458,-87.63354,4.73,4.73,4.73,4.73,1.0
2017-05-05 19:30:00,170318356002022.0,41.79458,-87.63349,4.35,4.35,4.35,4.35,1.0
2017-05-05 19:30:00,170318356002022.0,41.79458,-87.63343,4.58,4.58,4.58,4.58,1.0
2017-05-05 19:30:00,170318356002025.0,41.79459,-87.63176,5.8,5.8,5.8,5.8,1.0
2017-05-05 19:30:00,170318356002025.0,41.79459,-87.63167,5.88,5.88,5.88,5.88,1.0
2017-05-05 19:30:00,170318356002025.0,41.79459,-87.63158,4.88,4.88,4.88,4.88,1.0
2017-05-05 19:30:00,170318356002026.0,41.79459,-87.6315,5.11,5.11,5.11,5.11,1.0
2017-05-05 19:30:00,170318356002026.0,41.79459,-87.63142,4.88,4.88,4.88,4.88,1.0
2017-05-05 19:30:00,170318356002027.0,41.79458,-87.63118,4.96,4.96,4.96,4.96,1.0
2017-05-05 19:30:00,170318356002027.0,41.79459,-87.63133,4.88,4.88,4.88,4.88,1.0
2017-05-05 19:30:00,170318356002027.0,41.79459,-87.63126,5.26,5.26,5.26,5.26,1.0
2017-05-05 19:30:00,170318356002028.0,41.79458,-87.6311,4.58,4.58,4.58,4.58,1.0
2017-05-05 19:30:00,170318356002028.0,41.79458,-87.63103,4.5,4.5,4.5,4.5,1.0
2017-05-05 19:30:00,170318356002029.0,41.79458,-87.63234,4.81,4.81,4.81,4.81,1.0
2017-05-05 19:30:00,170318356002029.0,41.79458,-87.63226,4.96,4.96,4.96,4.96,1.0
2017-05-05 19:30:00,170318356002029.0,41.79458,-87.63218,5.19,5.19,5.19,5.19,1.0
2017-05-05 19:30:00,170318356002029.0,41.79458,-87.63193,5.65,5.65,5.65,5.65,1.0
2017-05-05 19:30:00,170318356002029.0,41.79459,-87.6321,5.72,5.72,5.72,5.72,1.0
2017-05-05 19:30:00,170318356002029.0,41.79459,-87.63201,6.03,6.03,6.03,6.03,1.0
2017-05-05 19:30:00,170318356002029.0,41.79459,-87.63184,5.88,5.88,5.88,5.88,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.633,4.35,4.35,4.35,4.35,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.63297,4.13,4.13,4.13,4.13,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.63296,4.35,4.35,4.35,4.35,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.63294,4.65,4.65,4.65,4.65,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.63291,4.06,4.06,4.06,4.06,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.63287,3.98,3.98,3.98,3.98,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.63282,4.35,4.35,4.35,4.35,1.0
2017-05-05 19:30:00,170318356002030.0,41.79457,-87.63277,4.43,4.43,4.43,4.43,1.0
