thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-05 20:00:00,170316301001001.0,41.8012,-87.68178,8.64,8.64,8.64,8.64,1.0
2017-05-05 20:00:00,170316301001001.0,41.8012,-87.68171,8.34,8.34,8.34,8.34,1.0
2017-05-05 20:00:00,170316301001001.0,41.8012,-87.68164,9.02,9.02,9.02,9.02,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68156,9.7,9.7,9.7,9.7,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68149,10.15,10.15,10.15,10.15,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68141,10.15,10.15,10.15,10.15,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68114,11.19,11.19,11.19,11.19,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68108000000001,11.49,11.49,11.49,11.49,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68101,11.63,11.63,11.63,11.63,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68095,11.71,11.71,11.71,11.71,1.0
2017-05-05 20:00:00,170316301001001.0,41.80121,-87.68088,12.0,12.0,12.0,12.0,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.68134,10.52,10.52,10.52,10.52,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.68128,11.26,11.26,11.26,11.26,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.6812,11.19,11.19,11.19,11.19,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.68082,12.15,12.15,12.15,12.15,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.68075999999999,12.15,12.15,12.15,12.15,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.68069,11.63,11.63,11.63,11.63,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.68063000000001,11.49,11.49,11.49,11.49,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.68056999999999,11.19,11.19,11.19,11.19,1.0
2017-05-05 20:00:00,170316301001001.0,41.80122,-87.6805,11.04,11.04,11.04,11.04,1.0
2017-05-05 20:00:00,170316301001001.0,41.80123,-87.68043,11.41,11.41,11.41,11.41,1.0
2017-05-05 20:00:00,170316301001001.0,41.80123,-87.68036,11.78,11.78,11.78,11.78,1.0
2017-05-05 20:00:00,170316301001001.0,41.80123,-87.68016999999999,11.26,11.26,11.26,11.26,1.0
2017-05-05 20:00:00,170316301001001.0,41.80124,-87.68029,12.08,12.08,12.08,12.08,1.0
2017-05-05 20:00:00,170316301001001.0,41.80124,-87.68023000000001,11.71,11.71,11.71,11.71,1.0
2017-05-05 20:00:00,170316301001001.0,41.80124,-87.6801,11.19,11.19,11.19,11.19,1.0
2017-05-05 20:00:00,170316301001001.0,41.80125,-87.68001,11.19,11.19,11.19,11.19,1.0
2017-05-05 20:00:00,170316301001001.0,41.80126,-87.67994,10.82,10.82,10.82,10.82,1.0
2017-05-05 20:00:00,170316301001001.0,41.80126,-87.67985999999999,11.34,11.34,11.34,11.34,1.0
2017-05-05 20:00:00,170316301001001.0,41.80127,-87.67978000000001,10.67,10.67,10.67,10.67,1.0
2017-05-05 20:00:00,170316301001001.0,41.80127,-87.67971,9.7,9.7,9.7,9.7,1.0
2017-05-05 20:00:00,170316301001001.0,41.80299,-87.68361,5.11,5.11,5.11,5.11,1.0
2017-05-05 20:00:00,170316301001001.0,41.80304,-87.68361,4.73,4.73,4.73,4.73,1.0
2017-05-05 20:00:00,170316301001001.0,41.803090000000005,-87.68361999999999,4.73,4.73,4.73,4.73,1.0
2017-05-05 20:00:00,170316301001001.0,41.80315,-87.68361999999999,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:00:00,170316301001001.0,41.8032,-87.68361999999999,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:00:00,170316301001001.0,41.80325,-87.68361999999999,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:00:00,170316301001001.0,41.8033,-87.68361999999999,4.58,4.58,4.58,4.58,1.0
2017-05-05 20:00:00,170316301001001.0,41.80335,-87.68361999999999,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:00:00,170316301001001.0,41.8034,-87.68361999999999,5.11,5.11,5.11,5.11,1.0
2017-05-05 20:00:00,170316301001001.0,41.80346,-87.68363000000001,5.72,5.72,5.72,5.72,1.0
2017-05-05 20:00:00,170316301001001.0,41.8035,-87.68363000000001,5.96,5.96,5.96,5.96,1.0
2017-05-05 20:00:00,170316301001001.0,41.80355,-87.68363000000001,5.96,5.96,5.96,5.96,1.0
2017-05-05 20:00:00,170316301001001.0,41.8036,-87.68363000000001,5.57,5.57,5.57,5.57,1.0
2017-05-05 20:00:00,170316301001001.0,41.80365,-87.68363000000001,5.19,5.19,5.19,5.19,1.0
2017-05-05 20:00:00,170316301001001.0,41.8037,-87.68361999999999,4.88,4.88,4.88,4.88,1.0
2017-05-05 20:00:00,170316301001001.0,41.803740000000005,-87.68361999999999,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:00:00,170316301001001.0,41.80379,-87.68363000000001,5.26,5.26,5.26,5.26,1.0
2017-05-05 20:00:00,170316301001001.0,41.80384,-87.68363000000001,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:00:00,170316301001001.0,41.80389,-87.68361999999999,4.96,4.96,4.96,4.96,1.0
2017-05-05 20:00:00,170316301001001.0,41.80393,-87.68361999999999,4.73,4.73,4.73,4.73,1.0
2017-05-05 20:00:00,170316301001001.0,41.803979999999996,-87.68361999999999,4.58,4.58,4.58,4.58,1.0
2017-05-05 20:00:00,170316301001001.0,41.80403,-87.68363000000001,5.11,5.11,5.11,5.11,1.0
2017-05-05 20:00:00,170316301001001.0,41.80407,-87.68363000000001,5.49,5.49,5.49,5.49,1.0
2017-05-05 20:00:00,170316301001001.0,41.804120000000005,-87.68363000000001,5.03,5.03,5.03,5.03,1.0
2017-05-05 20:00:00,170316301001001.0,41.804159999999996,-87.68361999999999,4.5,4.5,4.5,4.5,1.0
2017-05-05 20:00:00,170316301001001.0,41.8042,-87.68361999999999,4.2,4.2,4.2,4.2,1.0
2017-05-05 20:00:00,170316301001001.0,41.80424,-87.68361999999999,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170316301001001.0,41.80429,-87.68361,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170316301001001.0,41.80433,-87.68361,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170316301001001.0,41.80438,-87.68361,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170316301001001.0,41.804429999999996,-87.68361999999999,4.58,4.58,4.58,4.58,1.0
2017-05-05 20:00:00,170316301001001.0,41.80447,-87.68361999999999,4.73,4.73,4.73,4.73,1.0
2017-05-05 20:00:00,170316301001001.0,41.80451,-87.68361999999999,5.42,5.42,5.42,5.42,1.0
2017-05-05 20:00:00,170316301001001.0,41.80454,-87.68361999999999,5.03,5.03,5.03,5.03,1.0
2017-05-05 20:00:00,170316301001001.0,41.80457,-87.68361,4.73,4.73,4.73,4.73,1.0
2017-05-05 20:00:00,170316301001001.0,41.8046,-87.6836,4.5,4.5,4.5,4.5,1.0
2017-05-05 20:00:00,170316301001001.0,41.804629999999996,-87.6836,4.35,4.35,4.35,4.35,1.0
2017-05-05 20:00:00,170316301001001.0,41.80468,-87.68361,4.73,4.73,4.73,4.73,1.0
2017-05-05 20:00:00,170316301001001.0,41.80474,-87.68361,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:00:00,170316301001001.0,41.804790000000004,-87.68361,5.26,5.26,5.26,5.26,1.0
2017-05-05 20:00:00,170316301001003.0,41.80206,-87.6836,8.34,8.34,8.34,8.34,1.0
2017-05-05 20:00:00,170316301001003.0,41.80211,-87.6836,8.03,8.03,8.03,8.03,1.0
2017-05-05 20:00:00,170316301001003.0,41.80216,-87.6836,7.8,7.8,7.8,7.8,1.0
2017-05-05 20:00:00,170316301001003.0,41.802209999999995,-87.6836,7.73,7.73,7.73,7.73,1.0
2017-05-05 20:00:00,170316301001003.0,41.80226,-87.68359,7.65,7.65,7.65,7.65,1.0
2017-05-05 20:00:00,170316301001003.0,41.8023,-87.68358,7.5,7.5,7.5,7.5,1.0
2017-05-05 20:00:00,170316301001003.0,41.80235,-87.68359,7.42,7.42,7.42,7.42,1.0
2017-05-05 20:00:00,170316301001003.0,41.8024,-87.68359,6.8,6.8,6.8,6.8,1.0
2017-05-05 20:00:00,170316301001003.0,41.802459999999996,-87.68359,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:00:00,170316301001003.0,41.80251,-87.6836,6.03,6.03,6.03,6.03,1.0
2017-05-05 20:00:00,170316301001003.0,41.80256,-87.6836,5.57,5.57,5.57,5.57,1.0
2017-05-05 20:00:00,170316301001003.0,41.802609999999994,-87.6836,5.19,5.19,5.19,5.19,1.0
2017-05-05 20:00:00,170316301001003.0,41.80265,-87.6836,6.26,6.26,6.26,6.26,1.0
2017-05-05 20:00:00,170316301001003.0,41.8027,-87.6836,6.11,6.11,6.11,6.11,1.0
2017-05-05 20:00:00,170316301001003.0,41.80275,-87.6836,5.72,5.72,5.72,5.72,1.0
2017-05-05 20:00:00,170316301001003.0,41.8028,-87.68361,5.49,5.49,5.49,5.49,1.0
2017-05-05 20:00:00,170316301001003.0,41.80285,-87.68361,5.42,5.42,5.42,5.42,1.0
2017-05-05 20:00:00,170316301001003.0,41.8029,-87.68361,5.19,5.19,5.19,5.19,1.0
2017-05-05 20:00:00,170316301001003.0,41.80294,-87.68361,5.49,5.49,5.49,5.49,1.0
2017-05-05 20:00:00,170316301001012.0,41.80121,-87.68352,6.57,6.57,6.57,6.57,1.0
2017-05-05 20:00:00,170316301001012.0,41.80121,-87.68346,6.42,6.42,6.42,6.42,1.0
2017-05-05 20:00:00,170316301001012.0,41.80121,-87.68296,6.88,6.88,6.88,6.88,1.0
2017-05-05 20:00:00,170316301001012.0,41.80122,-87.68356999999999,6.8,6.8,6.8,6.8,1.0
2017-05-05 20:00:00,170316301001012.0,41.80122,-87.68339,6.88,6.88,6.88,6.88,1.0
2017-05-05 20:00:00,170316301001012.0,41.80122,-87.68333,6.5,6.5,6.5,6.5,1.0
2017-05-05 20:00:00,170316301001012.0,41.80122,-87.6832,6.8,6.8,6.8,6.8,1.0
2017-05-05 20:00:00,170316301001012.0,41.80122,-87.68314000000001,7.19,7.19,7.19,7.19,1.0
2017-05-05 20:00:00,170316301001012.0,41.80122,-87.68308,6.26,6.26,6.26,6.26,1.0
2017-05-05 20:00:00,170316301001012.0,41.80122,-87.68302,6.65,6.65,6.65,6.65,1.0
2017-05-05 20:00:00,170316301001012.0,41.80125,-87.6836,6.57,6.57,6.57,6.57,1.0
2017-05-05 20:00:00,170316301001012.0,41.80128,-87.68361,7.04,7.04,7.04,7.04,1.0
2017-05-05 20:00:00,170316301001012.0,41.80133,-87.68361999999999,7.42,7.42,7.42,7.42,1.0
2017-05-05 20:00:00,170316301001012.0,41.80138,-87.68361,7.11,7.11,7.11,7.11,1.0
2017-05-05 20:00:00,170316301001012.0,41.80142,-87.68361,8.26,8.26,8.26,8.26,1.0
2017-05-05 20:00:00,170316301001012.0,41.80147,-87.68361,9.02,9.02,9.02,9.02,1.0
2017-05-05 20:00:00,170316301001012.0,41.801520000000004,-87.68361,9.1,9.1,9.1,9.1,1.0
2017-05-05 20:00:00,170316301001012.0,41.80157,-87.68361,9.32,9.32,9.32,9.32,1.0
2017-05-05 20:00:00,170316301001012.0,41.80162,-87.68361,9.48,9.48,9.48,9.48,1.0
2017-05-05 20:00:00,170316301001012.0,41.80167,-87.68361999999999,9.17,9.17,9.17,9.17,1.0
2017-05-05 20:00:00,170316301001012.0,41.80172,-87.68361999999999,9.17,9.17,9.17,9.17,1.0
2017-05-05 20:00:00,170316301001012.0,41.80177,-87.68361999999999,9.48,9.48,9.48,9.48,1.0
2017-05-05 20:00:00,170316301001012.0,41.80182,-87.68361999999999,10.0,10.0,10.0,10.0,1.0
2017-05-05 20:00:00,170316301001012.0,41.80187,-87.68361999999999,9.48,9.48,9.48,9.48,1.0
2017-05-05 20:00:00,170316301001012.0,41.80192,-87.68361,9.32,9.32,9.32,9.32,1.0
2017-05-05 20:00:00,170316301001012.0,41.801970000000004,-87.68361,8.95,8.95,8.95,8.95,1.0
2017-05-05 20:00:00,170316301001012.0,41.80202,-87.68361,8.87,8.87,8.87,8.87,1.0
2017-05-05 20:00:00,170316301001013.0,41.801190000000005,-87.68244,8.19,8.19,8.19,8.19,1.0
2017-05-05 20:00:00,170316301001013.0,41.801190000000005,-87.68238000000001,8.42,8.42,8.42,8.42,1.0
2017-05-05 20:00:00,170316301001013.0,41.801190000000005,-87.68218,8.8,8.8,8.8,8.8,1.0
2017-05-05 20:00:00,170316301001013.0,41.801190000000005,-87.68212,9.1,9.1,9.1,9.1,1.0
2017-05-05 20:00:00,170316301001013.0,41.801190000000005,-87.68205,9.1,9.1,9.1,9.1,1.0
2017-05-05 20:00:00,170316301001013.0,41.801190000000005,-87.68198000000001,9.25,9.25,9.25,9.25,1.0
