thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2018-07-16 10:30:00,170312504004000.0,41.91119,-87.77533,17.5,17.5,17.5,17.5,1.0
2018-07-16 10:30:00,170312504004000.0,41.91132,-87.77534,17.67,17.67,17.67,17.67,1.0
2018-07-16 10:30:00,170312504004000.0,41.91145,-87.77536,18.66,18.66,18.66,18.66,1.0
2018-07-16 10:30:00,170312504004000.0,41.91157,-87.77536,17.94,17.94,17.94,17.94,1.0
2018-07-16 10:30:00,170312504004000.0,41.91169,-87.77536,17.67,17.67,17.67,17.67,1.0
2018-07-16 10:30:00,170312504004000.0,41.91181,-87.77536,18.39,18.39,18.39,18.39,1.0
2018-07-16 10:30:00,170312504004000.0,41.91192,-87.77536,18.76,18.76,18.76,18.76,1.0
2018-07-16 10:30:00,170312504004000.0,41.91204,-87.77537,18.12,18.12,18.12,18.12,1.0
2018-07-16 10:30:00,170312504004000.0,41.91215,-87.77537,18.12,18.12,18.12,18.12,1.0
2018-07-16 10:30:00,170312504004000.0,41.91225,-87.77537,18.3,18.3,18.3,18.3,1.0
2018-07-16 10:30:00,170312504004000.0,41.91234,-87.77537,18.21,18.21,18.21,18.21,1.0
2018-07-16 10:30:00,170312504004000.0,41.91243,-87.77537,18.21,18.21,18.21,18.21,1.0
2018-07-16 10:30:00,170312504004000.0,41.91254,-87.7754,17.94,17.94,17.94,17.94,1.0
2018-07-16 10:30:00,170312504004000.0,41.91262,-87.77541,17.76,17.76,17.76,17.76,1.0
2018-07-16 10:30:00,170312504004000.0,41.91268,-87.77541,18.66,18.66,18.66,18.66,1.0
2018-07-16 10:30:00,170312504004000.0,41.91275,-87.77541,17.67,17.67,17.67,17.67,1.0
2018-07-16 10:30:00,170312504004000.0,41.91282,-87.77542,18.03,18.03,18.03,18.03,1.0
2018-07-16 10:30:00,170312504004000.0,41.91287,-87.7754,17.58,17.58,17.58,17.58,1.0
2018-07-16 10:30:00,170312504004011.0,41.90981,-87.7753,13.27,13.27,13.27,13.27,1.0
2018-07-16 10:30:00,170312504004011.0,41.90987,-87.77529,13.19,13.19,13.19,13.19,1.0
2018-07-16 10:30:00,170312504004011.0,41.90992,-87.77528,14.25,14.25,14.25,14.25,1.0
