thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-17 18:00:00,170312601001001.0,41.88532,-87.72266,8.87,8.87,8.87,8.87,1.0
2017-07-17 18:00:00,170312601001001.0,41.885329999999996,-87.72291,9.55,9.55,9.55,9.55,1.0
2017-07-17 18:00:00,170312601001001.0,41.88534,-87.72315,10.52,10.52,10.52,10.52,1.0
2017-07-17 18:00:00,170312601001001.0,41.88536,-87.72336999999999,10.22,10.22,10.22,10.22,1.0
2017-07-17 18:00:00,170312601001001.0,41.88537,-87.72359,9.93,9.93,9.93,9.93,1.0
2017-07-17 18:00:00,170312601001001.0,41.88538,-87.7238,10.52,10.52,10.52,10.52,1.0
2017-07-17 18:00:00,170312601001001.0,41.88539,-87.72399999999999,11.19,11.19,11.19,11.19,1.0
2017-07-17 18:00:00,170312601001001.0,41.8854,-87.72418,10.52,10.52,10.52,10.52,1.0
2017-07-17 18:00:00,170312601001001.0,41.88541,-87.72435,10.0,10.0,10.0,10.0,1.0
2017-07-17 18:00:00,170312601001001.0,41.88542,-87.72452,9.7,9.7,9.7,9.7,1.0
2017-07-17 18:00:00,170312601001003.0,41.88543,-87.7247,9.78,9.78,9.78,9.78,1.0
2017-07-17 18:00:00,170312601001003.0,41.88544,-87.72487,9.78,9.78,9.78,9.78,1.0
2017-07-17 18:00:00,170312601001003.0,41.88545,-87.72506,9.25,9.25,9.25,9.25,1.0
2017-07-17 18:00:00,170312601001003.0,41.885459999999995,-87.72524,9.7,9.7,9.7,9.7,1.0
2017-07-17 18:00:00,170312601001003.0,41.88547,-87.72542,9.1,9.1,9.1,9.1,1.0
2017-07-17 18:00:00,170312601001003.0,41.88548,-87.72575,8.72,8.72,8.72,8.72,1.0
2017-07-17 18:00:00,170312601001003.0,41.88548,-87.72559,8.64,8.64,8.64,8.64,1.0
2017-07-17 18:00:00,170312601001005.0,41.88527,-87.72188,8.64,8.64,8.64,8.64,1.0
2017-07-17 18:00:00,170312601001005.0,41.885290000000005,-87.72214,8.72,8.72,8.72,8.72,1.0
2017-07-17 18:00:00,170312601001005.0,41.8853,-87.72239,8.42,8.42,8.42,8.42,1.0
2017-07-17 18:00:00,170312601001006.0,41.88523,-87.72113,8.95,8.95,8.95,8.95,1.0
2017-07-17 18:00:00,170312601001006.0,41.88525,-87.72137,8.95,8.95,8.95,8.95,1.0
2017-07-17 18:00:00,170312601001006.0,41.885259999999995,-87.72162,8.26,8.26,8.26,8.26,1.0
2017-07-17 18:00:00,170312602001007.0,41.885490000000004,-87.72606,9.25,9.25,9.25,9.25,1.0
2017-07-17 18:00:00,170312602001007.0,41.885490000000004,-87.72591,9.4,9.4,9.4,9.4,1.0
2017-07-17 18:00:00,170312602001007.0,41.8855,-87.72633,8.72,8.72,8.72,8.72,1.0
2017-07-17 18:00:00,170312602001007.0,41.8855,-87.7262,8.64,8.64,8.64,8.64,1.0
2017-07-17 18:00:00,170312602001007.0,41.88551,-87.72645,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:00:00,170312602001007.0,41.88552,-87.72658,8.57,8.57,8.57,8.57,1.0
2017-07-17 18:00:00,170312602001007.0,41.885529999999996,-87.72669,7.88,7.88,7.88,7.88,1.0
2017-07-17 18:00:00,170312602001007.0,41.88554,-87.7269,8.26,8.26,8.26,8.26,1.0
2017-07-17 18:00:00,170312602001007.0,41.88554,-87.72679000000001,8.19,8.19,8.19,8.19,1.0
2017-07-17 18:00:00,170312602001007.0,41.88555,-87.72699,8.26,8.26,8.26,8.26,1.0
2017-07-17 18:00:00,170312602001007.0,41.88556,-87.72717,9.32,9.32,9.32,9.32,1.0
2017-07-17 18:00:00,170312602001007.0,41.88556,-87.72708,8.95,8.95,8.95,8.95,1.0
2017-07-17 18:00:00,170312602001007.0,41.88557,-87.72731999999999,9.4,9.4,9.4,9.4,1.0
2017-07-17 18:00:00,170312602001007.0,41.88557,-87.72725,9.4,9.4,9.4,9.4,1.0
2017-07-17 18:00:00,170312602001007.0,41.88558,-87.72748,8.57,8.57,8.57,8.57,1.0
2017-07-17 18:00:00,170312602001007.0,41.88558,-87.72744,8.87,8.87,8.87,8.87,1.0
2017-07-17 18:00:00,170312602001007.0,41.88558,-87.72739,9.17,9.17,9.17,9.17,1.0
2017-07-17 18:00:00,170312602001007.0,41.88559,-87.72753,8.64,8.64,8.64,8.64,1.0
2017-07-17 18:00:00,170312602001007.0,41.88559,-87.72751,9.17,9.17,9.17,9.17,1.0
2017-07-17 18:00:00,170312602001007.0,41.8856,-87.72755,9.25,9.25,9.25,9.25,1.0
2017-07-17 18:00:00,170312602001007.0,41.8856,-87.72754,8.87,8.87,8.87,8.87,1.0
2017-07-17 18:00:00,170312602001007.0,41.88561,-87.72783000000001,6.19,6.19,6.19,6.19,1.0
2017-07-17 18:00:00,170312602001007.0,41.88561,-87.72775,6.5,6.5,6.5,6.5,1.0
2017-07-17 18:00:00,170312602001007.0,41.88561,-87.72769,6.03,6.03,6.03,6.03,1.0
2017-07-17 18:00:00,170312602001007.0,41.88561,-87.72763,6.03,6.03,6.03,6.03,1.0
2017-07-17 18:00:00,170312602001007.0,41.88561,-87.7276,5.96,5.96,5.96,5.96,1.0
2017-07-17 18:00:00,170312602001007.0,41.88561,-87.72756,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:00:00,170312602001007.0,41.88562,-87.72824,6.42,6.42,6.42,6.42,1.0
2017-07-17 18:00:00,170312602001007.0,41.88562,-87.72811999999999,6.57,6.57,6.57,6.57,1.0
2017-07-17 18:00:00,170312602001007.0,41.88562,-87.72801,6.8,6.8,6.8,6.8,1.0
2017-07-17 18:00:00,170312602001007.0,41.88562,-87.72791,6.34,6.34,6.34,6.34,1.0
2017-07-17 18:00:00,170312602001007.0,41.88562,-87.72756,8.03,7.8775,9.4,189.06,24.0
2017-07-17 18:00:00,170312602001008.0,41.88562,-87.72851,7.5,7.5,7.5,7.5,1.0
2017-07-17 18:00:00,170312602001008.0,41.88562,-87.72837,7.27,7.27,7.27,7.27,1.0
2017-07-17 18:00:00,170312602001008.0,41.88563,-87.72865999999999,7.27,7.27,7.27,7.27,1.0
2017-07-17 18:00:00,170312602001008.0,41.88564,-87.72882,7.27,7.27,7.27,7.27,1.0
2017-07-17 18:00:00,170312602001008.0,41.88565,-87.72898,7.65,7.65,7.65,7.65,1.0
2017-07-17 18:00:00,170312602001008.0,41.885659999999994,-87.72914,8.49,8.49,8.49,8.49,1.0
2017-07-17 18:00:00,170312602001008.0,41.885670000000005,-87.72931,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:00:00,170312602001008.0,41.88568,-87.72948000000001,9.17,9.17,9.17,9.17,1.0
2017-07-17 18:00:00,170312602001008.0,41.885690000000004,-87.72966,9.02,9.02,9.02,9.02,1.0
2017-07-17 18:00:00,170312602001008.0,41.8857,-87.72984,8.64,8.64,8.64,8.64,1.0
2017-07-17 18:00:00,170312602001008.0,41.88572,-87.73003,8.57,8.57,8.57,8.57,1.0
2017-07-17 18:00:00,170312602001008.0,41.88573,-87.73021999999999,8.95,8.95,8.95,8.95,1.0
