thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-03 18:30:00,170310801005016.0,41.90477,-87.62454,3.05,3.05,3.05,3.05,1.0
2017-04-03 18:30:00,170310801005016.0,41.90478,-87.62454,3.69,3.69,3.69,3.69,1.0
2017-04-03 18:30:00,170310801005016.0,41.9048,-87.62454,4.06,4.06,4.06,4.06,1.0
2017-04-03 18:30:00,170310801005016.0,41.90482,-87.62454,3.83,3.83,3.83,3.83,1.0
2017-04-03 18:30:00,170310801005016.0,41.90484,-87.62454,3.69,3.69,3.69,3.69,1.0
2017-04-03 18:30:00,170310801005016.0,41.90486,-87.62455,3.4,3.4,3.4,3.4,1.0
2017-04-03 18:30:00,170310801005016.0,41.90487,-87.62455,3.19,3.19,3.19,3.19,1.0
2017-04-03 18:30:00,170310801005016.0,41.90489,-87.62455,3.26,3.26,3.26,3.26,1.0
2017-04-03 18:30:00,170310801005016.0,41.90491,-87.62455,2.98,2.98,2.98,2.98,1.0
2017-04-03 18:30:00,170310801005016.0,41.90493,-87.62455,2.84,2.84,2.84,2.84,1.0
2017-04-03 18:30:00,170310801005016.0,41.90495,-87.62455,3.26,3.26,3.26,3.26,1.0
2017-04-03 18:30:00,170310801005016.0,41.90497,-87.62455,3.05,3.05,3.05,3.05,1.0
2017-04-03 18:30:00,170310801005016.0,41.904990000000005,-87.62456,2.71,2.71,2.71,2.71,1.0
2017-04-03 18:30:00,170310801005016.0,41.90501,-87.62456,2.77,2.77,2.77,2.77,1.0
2017-04-03 18:30:00,170310812021002.0,41.90406,-87.62436,3.69,3.69,3.69,3.69,1.0
2017-04-03 18:30:00,170310812021002.0,41.9041,-87.62436,3.33,3.33,3.33,3.33,1.0
2017-04-03 18:30:00,170310812021002.0,41.904140000000005,-87.62438,3.12,3.12,3.12,3.12,1.0
2017-04-03 18:30:00,170310812021002.0,41.90419,-87.62439,3.19,3.19,3.19,3.19,1.0
2017-04-03 18:30:00,170310812021002.0,41.90424,-87.62439,3.12,3.12,3.12,3.12,1.0
2017-04-03 18:30:00,170310812021002.0,41.90428,-87.6244,3.19,3.19,3.19,3.19,1.0
2017-04-03 18:30:00,170310812021002.0,41.9043,-87.6244,3.4,3.4,3.4,3.4,1.0
2017-04-03 18:30:00,170310812021002.0,41.90433,-87.62441,3.54,3.54,3.54,3.54,1.0
2017-04-03 18:30:00,170310812021002.0,41.90437,-87.62441,3.33,3.33,3.33,3.33,1.0
2017-04-03 18:30:00,170310812021002.0,41.90439,-87.62442,3.62,3.62,3.62,3.62,1.0
2017-04-03 18:30:00,170310812021002.0,41.90442,-87.62443,3.47,3.47,3.47,3.47,1.0
2017-04-03 18:30:00,170310812021002.0,41.90444,-87.62444,3.12,3.12,3.12,3.12,1.0
2017-04-03 18:30:00,170310812021002.0,41.90446,-87.62445,3.19,3.19,3.19,3.19,1.0
2017-04-03 18:30:00,170310812021002.0,41.90448,-87.62446,3.54,3.54,3.54,3.54,1.0
2017-04-03 18:30:00,170310812021002.0,41.90449,-87.62446,3.47,3.47,3.47,3.47,1.0
2017-04-03 18:30:00,170310812021002.0,41.9045,-87.62447,3.26,3.26,3.26,3.26,1.0
2017-04-03 18:30:00,170310812021002.0,41.90452,-87.62448,3.05,3.05,3.05,3.05,1.0
