thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-26 19:30:00,170313801001032.0,41.81685,-87.60679,4.5,4.5,4.5,4.5,1.0
2017-04-26 19:30:00,170313801001032.0,41.81686,-87.60726,5.225,5.5356250000000005,6.96,88.57000000000002,16.0
2017-04-26 19:30:00,170313801001032.0,41.81687,-87.60725,4.3900000000000015,4.3900000000000015,4.65,8.780000000000001,2.0
2017-04-26 19:30:00,170313801001032.0,41.8169,-87.60710999999999,5.535,5.349166666666668,5.88,64.19000000000001,12.0
2017-04-26 19:30:00,170313801001032.0,41.8169,-87.6068,4.5,4.5,4.5,4.5,1.0
2017-04-26 19:30:00,170313801001032.0,41.81691,-87.6071,6.26,6.26,6.26,6.26,1.0
2017-04-26 19:30:00,170313801001032.0,41.81693,-87.60709,6.34,6.34,6.34,6.34,1.0
2017-04-26 19:30:00,170313801001032.0,41.81694,-87.60739000000001,6.65,6.555789473684211,7.34,124.56,19.0
2017-04-26 19:30:00,170313801001032.0,41.81694,-87.60735,7.5,7.5,7.5,7.5,1.0
2017-04-26 19:30:00,170313801001032.0,41.81695,-87.60739000000001,6.77,6.77,7.04,13.54,2.0
2017-04-26 19:30:00,170313801001032.0,41.81697,-87.60736999999999,7.035,7.035,7.27,14.07,2.0
2017-04-26 19:30:00,170313801001032.0,41.816990000000004,-87.60736999999999,6.84,6.911999999999999,7.42,69.11999999999999,10.0
2017-04-26 19:30:00,170313801001032.0,41.816990000000004,-87.6069,9.1,9.1,9.1,9.1,1.0
2017-04-26 19:30:00,170313801001032.0,41.817,-87.60728,6.42,6.42,6.42,6.42,1.0
2017-04-26 19:30:00,170313801001032.0,41.817,-87.60727,6.26,6.26,6.26,6.26,1.0
2017-04-26 19:30:00,170313801001032.0,41.817,-87.60696,9.85,9.85,9.85,9.85,1.0
2017-04-26 19:30:00,170313801001032.0,41.817,-87.60694000000001,9.7,9.7,9.7,9.7,1.0
2017-04-26 19:30:00,170313801001032.0,41.817,-87.60692,9.78,9.78,9.78,9.78,1.0
2017-04-26 19:30:00,170313801001032.0,41.817,-87.60689,9.4,9.4,9.4,9.4,1.0
2017-04-26 19:30:00,170313801001032.0,41.817,-87.60681,4.88,4.88,4.88,4.88,1.0
2017-04-26 19:30:00,170313801001032.0,41.817009999999996,-87.60726,5.96,5.96,5.96,5.96,1.0
2017-04-26 19:30:00,170313801001032.0,41.817009999999996,-87.60724,7.57,7.623333333333334,8.34,22.87,3.0
2017-04-26 19:30:00,170313801001032.0,41.817009999999996,-87.60688,9.93,9.622571428571428,10.97,336.79,35.0
2017-04-26 19:30:00,170313801001032.0,41.81702,-87.60719,7.42,7.42,7.42,7.42,1.0
2017-04-26 19:30:00,170313801001032.0,41.81702,-87.60718,8.42,8.42,8.42,8.42,1.0
2017-04-26 19:30:00,170313801001032.0,41.81702,-87.60710999999999,9.55,9.55,9.55,9.55,1.0
2017-04-26 19:30:00,170313801001032.0,41.81702,-87.6071,9.85,9.75,10.15,29.25,3.0
2017-04-26 19:30:00,170313801001032.0,41.817029999999995,-87.60735,8.225,7.960000000000001,9.93,382.08,48.0
