thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-07 15:30:00,170318425001006.0,41.78012,-87.62603,6.03,6.03,6.03,6.03,1.0
2017-05-07 15:30:00,170318425001006.0,41.78012,-87.62593,6.26,6.26,6.26,6.26,1.0
2017-05-07 15:30:00,170318425001006.0,41.78012,-87.62583,6.42,6.42,6.42,6.42,1.0
2017-05-07 15:30:00,170318425001006.0,41.78012,-87.62573,7.11,7.11,7.11,7.11,1.0
2017-05-07 15:30:00,170318425001006.0,41.78012,-87.62562,7.73,7.73,7.73,7.73,1.0
2017-05-07 15:30:00,170318425001006.0,41.78013,-87.62552,8.64,8.64,8.64,8.64,1.0
2017-05-07 15:30:00,170318425001006.0,41.78014,-87.62542,8.8,8.8,8.8,8.8,1.0
2017-05-07 15:30:00,170318425001007.0,41.78004,-87.62815,7.42,7.42,7.42,7.42,1.0
2017-05-07 15:30:00,170318425001007.0,41.78004,-87.62806,8.11,8.11,8.11,8.11,1.0
2017-05-07 15:30:00,170318425001007.0,41.78004,-87.62727,11.78,11.78,11.78,11.78,1.0
2017-05-07 15:30:00,170318425001007.0,41.78004,-87.62719,11.12,11.12,11.12,11.12,1.0
2017-05-07 15:30:00,170318425001007.0,41.78005,-87.62796,9.02,9.02,9.02,9.02,1.0
2017-05-07 15:30:00,170318425001007.0,41.78005,-87.62786,9.48,9.48,9.48,9.48,1.0
2017-05-07 15:30:00,170318425001007.0,41.78005,-87.62777,10.52,10.52,10.52,10.52,1.0
2017-05-07 15:30:00,170318425001007.0,41.78005,-87.62767,10.82,10.82,10.82,10.82,1.0
2017-05-07 15:30:00,170318425001007.0,41.78005,-87.62756,9.78,9.78,9.78,9.78,1.0
2017-05-07 15:30:00,170318425001007.0,41.78006,-87.62746,10.6,10.6,10.6,10.6,1.0
2017-05-07 15:30:00,170318425001007.0,41.78006,-87.62735,11.56,11.56,11.56,11.56,1.0
2017-05-07 15:30:00,170318425001007.0,41.78009,-87.6269,9.78,10.149999999999999,11.19,30.449999999999996,3.0
2017-05-07 15:30:00,170318425001007.0,41.78009,-87.6268,10.07,10.07,10.07,10.07,1.0
2017-05-07 15:30:00,170318425001007.0,41.7801,-87.62669,9.63,9.63,9.63,9.63,1.0
2017-05-07 15:30:00,170318425001007.0,41.7801,-87.62658,9.55,9.55,9.55,9.55,1.0
2017-05-07 15:30:00,170318425001007.0,41.7801,-87.62647,8.72,8.72,8.72,8.72,1.0
2017-05-07 15:30:00,170318425001007.0,41.7801,-87.62636,8.11,8.11,8.11,8.11,1.0
2017-05-07 15:30:00,170318425001007.0,41.78011,-87.62625,7.04,7.04,7.04,7.04,1.0
2017-05-07 15:30:00,170318425001007.0,41.78012,-87.62614,5.65,5.65,5.65,5.65,1.0
2017-05-07 15:30:00,170318425001008.0,41.78002,-87.62853,7.04,7.04,7.04,7.04,1.0
2017-05-07 15:30:00,170318425001008.0,41.78002,-87.62844,6.65,6.65,6.65,6.65,1.0
2017-05-07 15:30:00,170318425001008.0,41.78003,-87.62835,6.57,6.57,6.57,6.57,1.0
2017-05-07 15:30:00,170318425001008.0,41.78003,-87.62825,6.73,6.73,6.73,6.73,1.0
2018-07-10 09:30:00,170316912002015.0,41.75085,-87.63046,11.49,11.49,11.49,11.49,1.0
2018-07-10 09:30:00,170316912002026.0,41.75093,-87.62574,18.48,18.48,18.48,18.48,1.0
2018-07-10 09:30:00,170316912003009.0,41.75071,-87.63973,9.85,9.85,9.85,9.85,1.0
2018-07-10 09:30:00,170316912003009.0,41.75072,-87.63961,9.78,9.78,9.78,9.78,1.0
2018-07-10 09:30:00,170316912003010.0,41.75073,-87.6385,10.75,10.75,10.75,10.75,1.0
2018-07-10 09:30:00,170316912003010.0,41.75074,-87.63762,11.12,11.12,11.12,11.12,1.0
2018-07-10 09:30:00,170316912003010.0,41.75074,-87.6374,11.26,11.26,11.26,11.26,1.0
2018-07-10 09:30:00,170316912003011.0,41.75075,-87.63657,11.19,11.19,11.19,11.19,1.0
2018-07-10 09:30:00,170316912003011.0,41.75075,-87.63626,10.22,10.22,10.22,10.22,1.0
2018-07-10 09:30:00,170316912003011.0,41.75076,-87.6365,11.12,11.12,11.12,11.12,1.0
2018-07-10 09:30:00,170316912003011.0,41.75076,-87.63642,10.67,10.67,10.67,10.67,1.0
2018-07-10 09:30:00,170316912003011.0,41.75076,-87.63618,11.004999999999999,11.004999999999999,11.12,22.009999999999998,2.0
2018-07-10 09:30:00,170316912003012.0,41.75077,-87.63539,10.0,10.0,10.0,10.0,1.0
2018-07-10 09:30:00,170316912003012.0,41.75077,-87.63531,9.93,9.93,9.93,9.93,1.0
2018-07-10 09:30:00,170316912003012.0,41.75077,-87.63514,10.07,10.07,10.07,10.07,1.0
2018-07-10 09:30:00,170316912003012.0,41.75078,-87.63544,10.6,10.6,10.6,10.6,1.0
2018-07-10 09:30:00,170316912003012.0,41.75078,-87.63525,10.22,10.22,10.22,10.22,1.0
2018-07-10 09:30:00,170316912003012.0,41.75078,-87.63519,10.45,10.45,10.45,10.45,1.0
2018-07-10 09:30:00,170316912003012.0,41.75078,-87.63486,9.25,9.264666666666665,9.78,138.96999999999997,15.0
2018-07-10 09:30:00,170316912003012.0,41.75078,-87.63483,8.72,8.72,8.72,8.72,1.0
2018-07-10 09:30:00,170316912003012.0,41.75078,-87.63481,8.03,8.03,8.03,8.03,1.0
2018-07-10 09:30:00,170316912003012.0,41.75079,-87.63552,10.97,10.97,10.97,10.97,1.0
2018-07-10 09:30:00,170316912003012.0,41.75079,-87.63509,10.15,10.15,10.15,10.15,1.0
2018-07-10 09:30:00,170316912003012.0,41.75079,-87.63487,10.07,10.07,10.07,10.07,1.0
2018-07-10 09:30:00,170316912003012.0,41.75079,-87.63486,9.739999999999998,9.74,9.85,38.96,4.0
2018-07-10 09:30:00,170316912003012.0,41.7508,-87.63487,9.925,9.83,10.22,39.32,4.0
2018-07-10 09:30:00,170316912003012.0,41.75081,-87.63505,10.37,10.37,10.37,10.37,1.0
2018-07-10 09:30:00,170316912003012.0,41.75081,-87.63497,10.3,10.3,10.3,10.3,1.0
2018-07-10 09:30:00,170316912003012.0,41.75081,-87.63494,10.45,10.45,10.45,10.45,1.0
2018-07-10 09:30:00,170316912003012.0,41.75081,-87.63488,11.04,11.04,11.04,11.04,1.0
2018-07-10 09:30:00,170316912003012.0,41.75081,-87.63487,10.3,10.3,10.3,10.3,1.0
2018-07-10 09:30:00,170316912003012.0,41.75082,-87.63501,10.37,10.37,10.37,10.37,1.0
2018-07-10 09:30:00,170316912003012.0,41.75082,-87.63491,10.67,10.67,10.67,10.67,1.0
2018-07-10 09:30:00,170316912003012.0,41.75082,-87.63489,10.45,10.45,10.45,10.45,1.0
2018-07-10 09:30:00,170316913002025.0,41.75104,-87.61936,19.61,19.61,19.61,19.61,1.0
2018-07-10 09:30:00,170316913002025.0,41.75105,-87.61928,19.71,19.71,19.71,19.71,1.0
2018-07-10 09:30:00,170316913002025.0,41.75105,-87.61924,20.51,20.51,20.51,20.51,1.0
2018-07-10 09:30:00,170316914002011.0,41.75128,-87.60548,13.34,13.34,13.34,13.34,1.0
