thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-10 08:00:00,170312819001027.0,41.8767,-87.64716,27.66,27.66,27.66,27.66,1.0
2017-05-10 08:00:00,170312819001027.0,41.876740000000005,-87.64718,26.81,26.81,26.81,26.81,1.0
2017-05-10 08:00:00,170312819001027.0,41.87679,-87.64719000000001,26.95,26.95,26.95,26.95,1.0
2017-05-10 08:00:00,170312819001027.0,41.87683,-87.6472,26.81,26.81,26.81,26.81,1.0
2017-05-10 08:00:00,170312819001027.0,41.87688,-87.6472,26.54,26.54,26.54,26.54,1.0
2017-05-10 08:00:00,170312819001027.0,41.87692,-87.6472,26.81,26.81,26.81,26.81,1.0
2017-05-10 08:00:00,170312819001027.0,41.87696,-87.64721,26.13,26.13,26.13,26.13,1.0
2017-05-10 08:00:00,170312819001027.0,41.876999999999995,-87.64721,26.54,26.54,26.54,26.54,1.0
2017-05-10 08:00:00,170318331001001.0,41.88049,-87.64844000000001,30.04,30.04,30.04,30.04,1.0
2017-05-10 08:00:00,170318331001001.0,41.88053,-87.64844000000001,30.2,30.2,30.2,30.2,1.0
2017-05-10 08:00:00,170318331001001.0,41.880559999999996,-87.64844000000001,31.31,31.31,31.31,31.31,1.0
2017-05-10 08:00:00,170318331001001.0,41.880590000000005,-87.64843,30.67,30.67,30.67,30.67,1.0
2017-05-10 08:00:00,170318331001001.0,41.88063,-87.64841,31.15,31.15,31.15,31.15,1.0
2017-05-10 08:00:00,170318331001001.0,41.88065,-87.6484,31.48,31.48,31.48,31.48,1.0
2017-05-10 08:00:00,170318331001001.0,41.88069,-87.64837,30.99,30.99,30.99,30.99,1.0
2017-05-10 08:00:00,170318331001001.0,41.88075,-87.64837,31.31,31.31,31.31,31.31,1.0
2017-05-10 08:00:00,170318331001001.0,41.88081,-87.64837,31.81,31.81,31.81,31.81,1.0
2017-05-10 08:00:00,170318331001001.0,41.88086,-87.64838,32.64,32.64,32.64,32.64,1.0
2017-05-10 08:00:00,170318331001001.0,41.88093,-87.64837,32.98,32.98,32.98,32.98,1.0
2017-05-10 08:00:00,170318331001001.0,41.880990000000004,-87.64837,33.15,33.15,33.15,33.15,1.0
2017-05-10 08:00:00,170318331001001.0,41.88105,-87.64838,33.5,33.5,33.5,33.5,1.0
2017-05-10 08:00:00,170318331001001.0,41.88111,-87.64838,31.97,31.97,31.97,31.97,1.0
2017-05-10 08:00:00,170318331001001.0,41.881170000000004,-87.64838,34.2,34.2,34.2,34.2,1.0
2017-05-10 08:00:00,170318331001001.0,41.881240000000005,-87.64838,35.1,35.1,35.1,35.1,1.0
2017-05-10 08:00:00,170318331001001.0,41.8813,-87.64837,36.21,36.21,36.21,36.21,1.0
2017-05-10 08:00:00,170318331001001.0,41.88135,-87.64838,38.51,38.51,38.51,38.51,1.0
2017-05-10 08:00:00,170318331001001.0,41.881409999999995,-87.64838,39.72,39.72,39.72,39.72,1.0
2017-05-10 08:00:00,170318331001001.0,41.88147,-87.64838,43.95,43.95,43.95,43.95,1.0
2017-05-10 08:00:00,170318331001001.0,41.88153,-87.64837,44.62,44.62,44.62,44.62,1.0
2017-05-10 08:00:00,170318331001001.0,41.88158,-87.64838,43.51,43.51,43.51,43.51,1.0
2017-05-10 08:00:00,170318331001001.0,41.881640000000004,-87.64836,40.54,40.54,40.54,40.54,1.0
2017-05-10 08:00:00,170318331001001.0,41.8817,-87.64837,38.32,38.32,38.32,38.32,1.0
2017-05-10 08:00:00,170318331001001.0,41.88176,-87.6484,37.93,37.93,37.93,37.93,1.0
2017-05-10 08:00:00,170318331001022.0,41.87925,-87.64834,23.72,23.72,23.72,23.72,1.0
2017-05-10 08:00:00,170318331001022.0,41.879290000000005,-87.64834,23.84,23.84,23.84,23.84,1.0
2017-05-10 08:00:00,170318331001022.0,41.87934,-87.64835,24.46,24.46,24.46,24.46,1.0
2017-05-10 08:00:00,170318331001022.0,41.8794,-87.64835,24.46,24.46,24.46,24.46,1.0
2017-05-10 08:00:00,170318331001022.0,41.87945,-87.64835,24.46,24.46,24.46,24.46,1.0
2017-05-10 08:00:00,170318331001022.0,41.8795,-87.64836,25.21,25.21,25.21,25.21,1.0
2017-05-10 08:00:00,170318331001022.0,41.87955,-87.64837,26.13,26.13,26.13,26.13,1.0
2017-05-10 08:00:00,170318331001022.0,41.87961,-87.64838,26.27,26.27,26.27,26.27,1.0
2017-05-10 08:00:00,170318331001022.0,41.879670000000004,-87.64838,28.23,28.23,28.23,28.23,1.0
2017-05-10 08:00:00,170318331001022.0,41.87972,-87.64839,30.83,30.83,30.83,30.83,1.0
2017-05-10 08:00:00,170318331001022.0,41.87978,-87.64838,30.35,30.35,30.35,30.35,1.0
2017-05-10 08:00:00,170318331001022.0,41.87984,-87.64838,32.31,32.31,32.31,32.31,1.0
2017-05-10 08:00:00,170318331001022.0,41.87989,-87.64838,30.67,30.67,30.67,30.67,1.0
2017-05-10 08:00:00,170318331001022.0,41.879940000000005,-87.64839,30.99,30.99,30.99,30.99,1.0
2017-05-10 08:00:00,170318331001022.0,41.88,-87.6484,30.2,30.2,30.2,30.2,1.0
2017-05-10 08:00:00,170318331001022.0,41.88006,-87.64841,28.53,28.53,28.53,28.53,1.0
2017-05-10 08:00:00,170318331001022.0,41.880109999999995,-87.64842,28.82,28.82,28.82,28.82,1.0
2017-05-10 08:00:00,170318331001022.0,41.88017,-87.64843,27.94,27.94,27.94,27.94,1.0
2017-05-10 08:00:00,170318331001022.0,41.88022,-87.64844000000001,29.89,29.89,29.89,29.89,1.0
2017-05-10 08:00:00,170318331001022.0,41.88028,-87.64843,28.23,28.23,28.23,28.23,1.0
2017-05-10 08:00:00,170318331001022.0,41.880340000000004,-87.64843,27.23,27.23,27.23,27.23,1.0
2017-05-10 08:00:00,170318331001022.0,41.88038,-87.64842,27.66,27.66,27.66,27.66,1.0
2017-05-10 08:00:00,170318331001022.0,41.88042,-87.64842,30.2,30.2,30.2,30.2,1.0
2017-05-10 08:00:00,170318331001022.0,41.88046,-87.64842,30.83,30.83,30.83,30.83,1.0
2017-05-10 08:00:00,170318331001023.0,41.87795,-87.64806999999999,24.09,24.09,24.09,24.09,1.0
2017-05-10 08:00:00,170318331001023.0,41.87795,-87.648,23.96,23.96,23.96,23.96,1.0
2017-05-10 08:00:00,170318331001023.0,41.87795,-87.64792,23.01,23.01,23.01,23.01,1.0
2017-05-10 08:00:00,170318331001023.0,41.87795,-87.64784,23.01,23.01,23.01,23.01,1.0
2017-05-10 08:00:00,170318331001023.0,41.87795,-87.64777,23.25,23.25,23.25,23.25,1.0
2017-05-10 08:00:00,170318331001023.0,41.877959999999995,-87.6477,22.1,22.1,22.1,22.1,1.0
2017-05-10 08:00:00,170318331001023.0,41.877959999999995,-87.64761999999999,22.22,22.22,22.22,22.22,1.0
2017-05-10 08:00:00,170318331001023.0,41.87797,-87.64755,23.48,23.48,23.48,23.48,1.0
2017-05-10 08:00:00,170318331001023.0,41.87797,-87.64732,24.21,24.21,24.21,24.21,1.0
2017-05-10 08:00:00,170318331001023.0,41.87798,-87.64814,24.33,24.33,24.33,24.33,1.0
2017-05-10 08:00:00,170318331001023.0,41.87798,-87.64749,24.21,24.21,24.21,24.21,1.0
2017-05-10 08:00:00,170318331001023.0,41.87798,-87.64743,24.21,24.21,24.21,24.21,1.0
2017-05-10 08:00:00,170318331001023.0,41.87798,-87.64737,24.09,24.09,24.09,24.09,1.0
2017-05-10 08:00:00,170318331001023.0,41.878040000000006,-87.64819,23.6,23.6,23.6,23.6,1.0
2017-05-10 08:00:00,170318331001023.0,41.87809,-87.64824,23.84,23.84,23.84,23.84,1.0
2017-05-10 08:00:00,170318331001023.0,41.87814,-87.64827,23.84,23.84,23.84,23.84,1.0
2017-05-10 08:00:00,170318331001023.0,41.878190000000004,-87.64829,24.09,24.09,24.09,24.09,1.0
2017-05-10 08:00:00,170318331001023.0,41.878240000000005,-87.64829,23.72,23.72,23.72,23.72,1.0
2017-05-10 08:00:00,170318331001023.0,41.87829,-87.64828,23.84,23.84,23.84,23.84,1.0
2017-05-10 08:00:00,170318331001023.0,41.87835,-87.64826,25.34,25.34,25.34,25.34,1.0
2017-05-10 08:00:00,170318331001023.0,41.878409999999995,-87.64824,25.6,25.6,25.6,25.6,1.0
2017-05-10 08:00:00,170318331001023.0,41.87846,-87.64824,24.58,24.58,24.58,24.58,1.0
2017-05-10 08:00:00,170318331001023.0,41.87852,-87.64824,24.46,24.46,24.46,24.46,1.0
2017-05-10 08:00:00,170318331001023.0,41.87857,-87.64827,23.72,23.72,23.72,23.72,1.0
2017-05-10 08:00:00,170318331001023.0,41.87863,-87.64829,24.46,24.46,24.46,24.46,1.0
2017-05-10 08:00:00,170318331001023.0,41.87869,-87.64829,22.78,22.78,22.78,22.78,1.0
2017-05-10 08:00:00,170318331001023.0,41.87875,-87.64829,22.22,22.22,22.22,22.22,1.0
2017-05-10 08:00:00,170318331001023.0,41.878809999999994,-87.6483,23.25,23.25,23.25,23.25,1.0
2017-05-10 08:00:00,170318331001023.0,41.87887,-87.6483,23.25,23.25,23.25,23.25,1.0
2017-05-10 08:00:00,170318331001023.0,41.87894,-87.64832,23.72,23.72,23.72,23.72,1.0
2017-05-10 08:00:00,170318331001023.0,41.879,-87.64832,24.21,24.21,24.21,24.21,1.0
2017-05-10 08:00:00,170318331001023.0,41.879059999999996,-87.64832,23.6,23.6,23.6,23.6,1.0
2017-05-10 08:00:00,170318331001023.0,41.879129999999996,-87.64832,23.01,23.01,23.01,23.01,1.0
2017-05-10 08:00:00,170318331001023.0,41.87919,-87.64833,23.13,23.13,23.13,23.13,1.0
2017-05-10 08:00:00,170318331001028.0,41.87704,-87.64721999999999,26.81,26.81,26.81,26.81,1.0
2017-05-10 08:00:00,170318331001028.0,41.87709,-87.64723000000001,26.54,26.54,26.54,26.54,1.0
2017-05-10 08:00:00,170318331001028.0,41.87715,-87.64723000000001,27.37,27.37,27.37,27.37,1.0
2017-05-10 08:00:00,170318331001028.0,41.8772,-87.64723000000001,25.87,25.87,25.87,25.87,1.0
2017-05-10 08:00:00,170318331001028.0,41.87726,-87.64724,25.6,25.6,25.6,25.6,1.0
2017-05-10 08:00:00,170318331001028.0,41.877320000000005,-87.64725,25.09,25.09,25.09,25.09,1.0
2017-05-10 08:00:00,170318331001028.0,41.8774,-87.64724,25.34,25.34,25.34,25.34,1.0
2017-05-10 08:00:00,170318331001028.0,41.87746,-87.64726999999999,26.0,26.0,26.0,26.0,1.0
