thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-13 07:00:00,170315206001054.0,41.68448,-87.54004,9.32,9.39,11.26,328.65000000000003,35.0
2017-07-13 07:00:00,170315206001054.0,41.68449,-87.54004,10.785,10.785,11.12,21.57,2.0
2017-07-13 07:00:00,170315501001012.0,41.6685,-87.53873,4.58,4.58,4.58,4.58,1.0
2017-07-13 07:00:00,170315501001012.0,41.66865,-87.53872,4.35,4.35,4.35,4.35,1.0
2017-07-13 07:00:00,170315501001012.0,41.66879,-87.53871,5.19,5.19,5.19,5.19,1.0
2017-07-13 07:00:00,170315501001012.0,41.66893,-87.53872,4.96,4.96,4.96,4.96,1.0
2017-07-13 07:00:00,170315501001012.0,41.66907,-87.53874,4.88,4.88,4.88,4.88,1.0
2017-07-13 07:00:00,170315501001012.0,41.66921,-87.53877,4.81,4.81,4.81,4.81,1.0
2017-07-13 07:00:00,170315501001012.0,41.66935,-87.53881,4.65,4.65,4.65,4.65,1.0
2017-07-13 07:00:00,170315501001012.0,41.66949,-87.53886,4.65,4.65,4.65,4.65,1.0
2017-07-13 07:00:00,170315501001012.0,41.66962,-87.53892,4.28,4.28,4.28,4.28,1.0
2017-07-13 07:00:00,170315501001012.0,41.66975,-87.53898,4.28,4.28,4.28,4.28,1.0
2017-07-13 07:00:00,170315501001012.0,41.66988,-87.53905,4.35,4.35,4.35,4.35,1.0
2017-07-13 07:00:00,170315501001020.0,41.66783,-87.53884,5.26,5.26,5.26,5.26,1.0
2017-07-13 07:00:00,170315501001020.0,41.66796,-87.53881,5.03,5.03,5.03,5.03,1.0
2017-07-13 07:00:00,170315501001020.0,41.66809,-87.53878,5.03,5.03,5.03,5.03,1.0
2017-07-13 07:00:00,170315501001020.0,41.66822,-87.53876,5.19,5.19,5.19,5.19,1.0
2017-07-13 07:00:00,170315501001020.0,41.66836,-87.53874,4.73,4.73,4.73,4.73,1.0
2017-07-13 07:00:00,170315501001023.0,41.666,-87.54012,6.42,6.42,6.42,6.42,1.0
2017-07-13 07:00:00,170315501001023.0,41.666,-87.53998,6.42,6.42,6.42,6.42,1.0
2017-07-13 07:00:00,170315501001023.0,41.666,-87.53986,5.88,5.88,5.88,5.88,1.0
2017-07-13 07:00:00,170315501001023.0,41.666,-87.53975,6.26,6.26,6.26,6.26,1.0
2017-07-13 07:00:00,170315501001023.0,41.66601,-87.53967,6.26,6.26,6.26,6.26,1.0
2017-07-13 07:00:00,170315501001023.0,41.66601,-87.53962,6.19,6.19,6.19,6.19,1.0
2017-07-13 07:00:00,170315501001023.0,41.66601,-87.53958,6.19,6.19,6.19,6.19,1.0
2017-07-13 07:00:00,170315501001023.0,41.66601,-87.53953,5.72,5.72,5.72,5.72,1.0
2017-07-13 07:00:00,170315501001023.0,41.66602,-87.53946,5.42,5.42,5.42,5.42,1.0
2017-07-13 07:00:00,170315501001023.0,41.66604,-87.53938,5.03,5.03,5.03,5.03,1.0
2017-07-13 07:00:00,170315501001023.0,41.66606,-87.5393,5.03,5.03,5.03,5.03,1.0
2017-07-13 07:00:00,170315501001024.0,41.6661,-87.53924,5.65,5.65,5.65,5.65,1.0
2017-07-13 07:00:00,170315501001024.0,41.66618,-87.53919,5.42,5.42,5.42,5.42,1.0
2017-07-13 07:00:00,170315501001024.0,41.66626,-87.53916,5.11,5.11,5.11,5.11,1.0
2017-07-13 07:00:00,170315501001024.0,41.66635,-87.53914,4.88,4.88,4.88,4.88,1.0
2017-07-13 07:00:00,170315501001024.0,41.66645,-87.53911,4.35,4.35,4.35,4.35,1.0
2017-07-13 07:00:00,170315501001024.0,41.66655,-87.53909,4.43,4.43,4.43,4.43,1.0
2017-07-13 07:00:00,170315501001024.0,41.66666,-87.53907,4.58,4.58,4.58,4.58,1.0
2017-07-13 07:00:00,170315501001024.0,41.66678,-87.53904,4.58,4.58,4.58,4.58,1.0
2017-07-13 07:00:00,170315501001024.0,41.6669,-87.53901,4.5,4.5,4.5,4.5,1.0
2017-07-13 07:00:00,170315501001024.0,41.66703,-87.53899,4.81,4.81,4.81,4.81,1.0
2017-07-13 07:00:00,170315501001024.0,41.66716,-87.53896,5.8,5.8,5.8,5.8,1.0
2017-07-13 07:00:00,170315501001024.0,41.6673,-87.53893,5.65,5.65,5.65,5.65,1.0
2017-07-13 07:00:00,170315501001024.0,41.66742,-87.53891,5.42,5.42,5.42,5.42,1.0
2017-07-13 07:00:00,170315501001024.0,41.66756,-87.53889,5.26,5.26,5.26,5.26,1.0
2017-07-13 07:00:00,170315501001024.0,41.6677,-87.53886,5.49,5.49,5.49,5.49,1.0
2017-07-13 07:00:00,170315501004012.0,41.65322,-87.54721,3.4,3.4,3.4,3.4,1.0
2017-07-13 07:00:00,170315501004012.0,41.65323,-87.54722,3.19,3.19,3.19,3.19,1.0
2017-07-13 07:00:00,170315501004012.0,41.65324,-87.54722,3.19,3.19,3.19,3.19,1.0
2017-07-13 07:00:00,170315501004012.0,41.65326,-87.54722,3.12,3.12,3.12,3.12,1.0
2017-07-13 07:00:00,170315501004012.0,41.65328,-87.54728,3.19,3.19,3.19,3.19,1.0
2017-07-13 07:00:00,170315501004012.0,41.65328,-87.54723,2.64,2.64,2.64,5.28,2.0
2017-07-13 07:00:00,170315501004012.0,41.65329,-87.54729,3.33,3.33,3.33,3.33,1.0
2017-07-13 07:00:00,170315501004012.0,41.65329,-87.54727,3.085,3.085,3.19,6.17,2.0
2017-07-13 07:00:00,170315501004012.0,41.6533,-87.54731,3.51,3.51,3.62,7.02,2.0
2017-07-13 07:00:00,170315501004012.0,41.6533,-87.54726,2.9450000000000003,2.9450000000000003,3.12,5.890000000000001,2.0
2017-07-13 07:00:00,170315501004012.0,41.6533,-87.54725,2.64,2.64,2.64,2.64,1.0
2017-07-13 07:00:00,170315501004012.0,41.65331,-87.54732,3.69,3.69,3.69,3.69,1.0
2017-07-13 07:00:00,170315501004012.0,41.65332,-87.54732,3.83,3.83,3.83,3.83,1.0
2017-07-13 07:00:00,170315501004012.0,41.65333,-87.54733,3.47,3.47,3.47,3.47,1.0
2017-07-13 07:00:00,170315501004012.0,41.65334,-87.54734,3.69,3.69,3.69,3.69,1.0
2017-07-13 07:00:00,170315501004012.0,41.65334,-87.54733,3.62,3.62,3.62,3.62,1.0
2017-07-13 07:00:00,170315501004012.0,41.65345,-87.54727,3.19,3.19,3.19,3.19,1.0
2017-07-13 07:00:00,170315501004012.0,41.65347,-87.54728,2.98,2.98,2.98,2.98,1.0
2017-07-13 07:00:00,170315501004012.0,41.6535,-87.54729,2.64,2.64,2.64,2.64,1.0
2017-07-13 07:00:00,170315501004012.0,41.65352,-87.5473,3.05,3.1254000000000013,4.2,156.27000000000007,50.0
