thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-25 11:30:00,170312003001000.0,41.92266,-87.72651,8.26,8.26,8.26,8.26,1.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.72675,5.6850000000000005,5.6850000000000005,6.11,11.37,2.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.72674,5.42,5.42,5.42,5.42,1.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.72672,5.49,5.49,5.49,5.49,1.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.72671,5.96,5.96,5.96,5.96,1.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.7267,6.57,6.57,6.57,6.57,1.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.72668,7.11,7.11,7.11,7.11,1.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.72667,6.88,6.88,6.88,6.88,1.0
2017-07-25 11:30:00,170312003001000.0,41.92268,-87.72666,7.42,7.42,7.42,7.42,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72677,5.03,5.03,5.03,5.03,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72676,5.65,5.65,5.65,5.65,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72664,7.27,7.27,7.27,7.27,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72663,7.34,7.34,7.34,7.34,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72662,7.96,7.96,7.96,7.96,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72661,7.65,7.65,7.65,7.65,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72655999999999,8.49,8.49,8.49,8.49,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72654,8.72,8.72,8.72,8.72,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.72652,9.1,9.1,9.1,9.1,1.0
2017-07-25 11:30:00,170312003001000.0,41.92269,-87.7265,8.95,8.95,8.95,8.95,1.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.7266,7.42,7.42,7.42,7.42,1.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.72659,7.57,7.57,7.57,7.57,1.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.72658,7.73,7.73,7.73,7.73,1.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.72657,7.73,7.73,7.73,7.73,1.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.72652,9.32,9.32,9.32,9.32,1.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.7265,9.63,9.63,9.78,19.26,2.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.72648000000001,10.22,10.22,10.22,10.22,1.0
2017-07-25 11:30:00,170312003001000.0,41.9227,-87.72646999999999,10.37,10.37,10.37,10.37,1.0
2017-07-25 11:30:00,170312003001000.0,41.922709999999995,-87.72649,10.15,10.15,10.15,10.15,1.0
2017-07-25 11:30:00,170312003001000.0,41.92272,-87.72648000000001,10.45,10.45,10.45,10.45,1.0
2017-07-25 11:30:00,170312003001000.0,41.92283,-87.72661,8.57,8.57,8.57,8.57,1.0
2017-07-25 11:30:00,170312003001000.0,41.92283,-87.7266,8.72,8.82,9.17,26.46,3.0
2017-07-25 11:30:00,170312003001000.0,41.92283,-87.72659,9.1,9.1,9.1,9.1,1.0
2017-07-25 11:30:00,170312003001000.0,41.92283,-87.72654,9.48,9.48,9.48,9.48,1.0
2017-07-25 11:30:00,170312003001000.0,41.92284,-87.72662,9.06,9.06,9.17,18.12,2.0
2017-07-25 11:30:00,170312003001000.0,41.92284,-87.72658,9.32,9.32,9.32,9.32,1.0
2017-07-25 11:30:00,170312003001000.0,41.92289,-87.72672,8.91,8.950000000000003,10.15,107.4,12.0
2017-07-25 11:30:00,170312003001000.0,41.9229,-87.72672,8.03,8.03,8.03,8.03,1.0
2017-07-25 11:30:00,170312003001000.0,41.922909999999995,-87.72674,7.88,7.88,7.88,7.88,1.0
2017-07-25 11:30:00,170312003001000.0,41.922909999999995,-87.72673,7.96,7.96,7.96,7.96,1.0
2017-07-25 11:30:00,170312003001000.0,41.92292,-87.72674,8.03,8.03,8.03,8.03,1.0
2017-07-25 11:30:00,170312003001000.0,41.92293,-87.72674,8.26,8.26,8.26,8.26,1.0
2017-07-25 11:30:00,170312003001000.0,41.922940000000004,-87.72674,8.19,8.19,8.19,8.19,1.0
2017-07-25 11:30:00,170312003001000.0,41.92295,-87.72675,7.96,7.96,7.96,7.96,1.0
2017-07-25 11:30:00,170312003001000.0,41.922959999999996,-87.72676,8.11,8.11,8.11,8.11,1.0
2017-07-25 11:30:00,170312003001000.0,41.92297,-87.72676,7.57,7.57,7.57,7.57,1.0
2017-07-25 11:30:00,170312003001000.0,41.922979999999995,-87.72677,7.88,7.88,7.88,7.88,1.0
2017-07-25 11:30:00,170312003001000.0,41.922990000000006,-87.72678,7.65,7.65,7.65,7.65,1.0
2017-07-25 11:30:00,170312003001000.0,41.923,-87.72678,5.96,5.96,5.96,5.96,1.0
2017-07-25 11:30:00,170312003001000.0,41.92301,-87.72678,5.03,5.03,5.03,5.03,1.0
2017-07-25 11:30:00,170312003001000.0,41.92302,-87.72678,4.35,4.35,4.35,4.35,1.0
2017-07-25 11:30:00,170312003001000.0,41.92303,-87.72678,4.58,4.58,4.58,4.58,1.0
2017-07-25 11:30:00,170312003001000.0,41.92304,-87.72677,5.03,5.03,5.03,5.03,1.0
2017-07-25 11:30:00,170312003001000.0,41.92304,-87.72676,4.43,4.43,4.43,4.43,1.0
2017-07-25 11:30:00,170312003001000.0,41.92306,-87.72674,4.880000000000001,4.880000000000001,5.03,9.760000000000002,2.0
2017-07-25 11:30:00,170312003001000.0,41.92307,-87.72674,4.465,4.465,4.73,8.93,2.0
2017-07-25 11:30:00,170312003001000.0,41.92308,-87.72672,3.91,3.91,3.91,3.91,1.0
2017-07-25 11:30:00,170312003001000.0,41.92309,-87.72673,3.76,3.713333333333333,3.91,11.14,3.0
2017-07-25 11:30:00,170312003001000.0,41.9231,-87.72673,3.76,3.76,3.76,3.76,1.0
2017-07-25 11:30:00,170312003001000.0,41.923120000000004,-87.72674,4.13,4.13,4.13,4.13,1.0
2017-07-25 11:30:00,170312003001000.0,41.92313,-87.72674,4.2,4.2,4.2,4.2,1.0
2017-07-25 11:30:00,170312003001000.0,41.92315,-87.72676,3.91,3.91,3.91,3.91,1.0
2017-07-25 11:30:00,170312003001000.0,41.923159999999996,-87.72678,3.91,3.91,3.91,3.91,1.0
2017-07-25 11:30:00,170312003001000.0,41.92318,-87.72679000000001,4.28,4.28,4.28,4.28,1.0
2017-07-25 11:30:00,170312003001000.0,41.9232,-87.72681999999999,3.4,3.4,3.4,3.4,1.0
