thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-27 08:30:00,170313201001012.0,41.88086,-87.62373000000001,6.96,6.96,6.96,6.96,1.0
2017-05-27 08:30:00,170313201001012.0,41.88089,-87.62373000000001,6.19,6.19,6.19,6.19,1.0
2017-05-27 08:30:00,170313201001012.0,41.88091,-87.62374,6.34,6.34,6.34,6.34,1.0
2017-05-27 08:30:00,170313201001012.0,41.88094,-87.62374,6.57,6.57,6.57,6.57,1.0
2017-05-27 08:30:00,170313201001012.0,41.880959999999995,-87.62374,5.65,5.65,5.65,5.65,1.0
2017-05-27 08:30:00,170313201001012.0,41.88098,-87.62375,5.96,5.96,5.96,5.96,1.0
2017-05-27 08:30:00,170313201001012.0,41.881,-87.62375,5.72,5.72,5.72,5.72,1.0
2017-05-27 08:30:00,170313201001012.0,41.88102,-87.62374,6.19,6.19,6.19,6.19,1.0
2017-05-27 08:30:00,170313201001012.0,41.881040000000006,-87.62374,6.96,6.96,6.96,6.96,1.0
2017-05-27 08:30:00,170313201001012.0,41.88105,-87.62374,7.57,7.57,7.57,7.57,1.0
2017-05-27 08:30:00,170313201001012.0,41.8811,-87.62375,4.535,4.69,7.5,18.76,4.0
2017-05-27 08:30:00,170313201001012.0,41.88111,-87.62375,2.06,2.06,2.06,2.06,1.0
2017-05-27 08:30:00,170313201001012.0,41.88112,-87.62375,2.155,2.155,2.25,4.3100000000000005,2.0
2017-05-27 08:30:00,170313201001012.0,41.881209999999996,-87.62376,2.98,3.0400000000000005,3.69,27.360000000000007,9.0
2017-05-27 08:30:00,170313201001012.0,41.88122,-87.62376,2.54,2.54,2.77,5.08,2.0
2017-05-27 08:30:00,170313201001012.0,41.88132,-87.62376,2.77,2.8146153846153843,3.62,36.59,13.0
2017-05-27 08:30:00,170313201001012.0,41.88134,-87.62376,3.725,3.725,3.76,7.449999999999998,2.0
2017-05-27 08:30:00,170313201001012.0,41.88135,-87.62376,4.06,4.06,4.06,4.06,1.0
2017-05-27 08:30:00,170313201001012.0,41.88136,-87.62376,4.5,4.5,4.5,4.5,1.0
2017-05-27 08:30:00,170313201001012.0,41.88138,-87.62376,4.88,4.88,4.88,4.88,1.0
2017-05-27 08:30:00,170313201001012.0,41.88139,-87.62377,5.42,5.42,5.42,5.42,1.0
2017-05-27 08:30:00,170313201001012.0,41.8814,-87.62378000000001,5.88,5.88,5.88,5.88,1.0
2017-05-27 08:30:00,170313201001012.0,41.88142,-87.62378000000001,5.88,5.88,5.88,5.88,1.0
2017-05-27 08:30:00,170313201001012.0,41.881440000000005,-87.62379,6.11,6.11,6.11,6.11,1.0
2017-05-27 08:30:00,170313201001012.0,41.88146,-87.62380999999999,6.5,6.5,6.5,6.5,1.0
2017-05-27 08:30:00,170313201001012.0,41.8815,-87.62392,8.645,9.5705,14.02,191.41000000000003,20.0
2017-05-27 08:30:00,170313201001012.0,41.88151,-87.62394,16.23,16.23,16.23,16.23,1.0
2017-05-27 08:30:00,170313201001012.0,41.88151,-87.62393,14.64,14.64,14.64,14.64,1.0
2017-05-27 08:30:00,170313201001012.0,41.88153,-87.62394,16.9,16.9,16.9,16.9,1.0
2017-05-27 08:30:00,170313201001012.0,41.88159,-87.624,16.73,16.73,16.73,16.73,1.0
2017-05-27 08:30:00,170313201001012.0,41.88163,-87.62402,16.81,16.81,16.81,16.81,1.0
2017-05-27 08:30:00,170313201001012.0,41.88167,-87.62405,15.98,15.98,15.98,15.98,1.0
2017-05-27 08:30:00,170313201001012.0,41.88174,-87.62411999999999,17.5,17.133333333333336,17.67,51.40000000000001,3.0
2017-05-27 08:30:00,170313201001012.0,41.88175,-87.62413000000001,15.82,15.82,15.82,15.82,1.0
2017-05-27 08:30:00,170313201001012.0,41.88175,-87.62411999999999,15.82,15.82,15.82,15.82,1.0
2017-05-27 08:30:00,170313201001012.0,41.88177,-87.62416,16.56,16.56,16.56,16.56,1.0
2017-05-27 08:30:00,170313201001012.0,41.881879999999995,-87.62422,16.31,16.155217391304344,24.46,743.1399999999996,46.0
2017-05-27 08:30:00,170313201001012.0,41.882,-87.62425,25.21,25.21,25.21,25.21,1.0
2017-05-27 08:30:00,170313201001012.0,41.88207,-87.62424,28.97,28.97,28.97,28.97,1.0
2017-05-27 08:30:00,170313201001012.0,41.88212,-87.62423000000001,29.73,29.73,29.73,29.73,1.0
2017-05-27 08:30:00,170313201001012.0,41.88219,-87.62428,23.465,23.465,24.83,46.93,2.0
2017-05-27 08:30:00,170313201001012.0,41.8822,-87.62428,32.47,32.38347826086956,39.51,744.8199999999998,23.0
2017-05-27 08:30:00,170313201001012.0,41.8823,-87.62425999999999,15.82,15.734000000000002,16.56,78.67,5.0
