thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2020-05-09 14:00:00,170317503001018.0,41.69594,-87.68405,0.0,0.0,0.0,0.0,2.0
2020-05-09 14:00:00,170317503001018.0,41.69597,-87.68418,0.0,0.2,1.0,1.0,5.0
2020-05-09 14:00:00,170317503001018.0,41.69598,-87.68412,0.0,0.0,0.0,0.0,2.0
2020-05-09 14:00:00,170317503001018.0,41.69599,-87.68423,1.0,0.6,1.0,3.0,5.0
2020-05-09 14:00:00,170317503001018.0,41.69599,-87.68414,0.0,0.0,0.0,0.0,10.0
2020-05-09 14:00:00,170317503001018.0,41.696,-87.68423,0.0,0.0,0.0,0.0,5.0
2020-05-09 14:00:00,170317503001018.0,41.69603,-87.68403,0.0,0.0,0.0,0.0,1.0
2020-05-09 14:00:00,170317503001018.0,41.69612,-87.68398,0.0,0.0,0.0,0.0,1.0
2020-05-09 14:00:00,170317503001019.0,41.69669,-87.68376,0.0,0.0,0.0,0.0,1.0
2020-05-09 14:00:00,170317503001019.0,41.69671,-87.68377,0.0,0.0,0.0,0.0,2.0
2020-05-09 17:30:00,170317502004003.0,41.6941,-87.67657,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69416,-87.67657,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69423,-87.67656,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69428,-87.67654,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69434,-87.67653,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69439,-87.67652,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69445,-87.67651,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69451,-87.6765,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69457,-87.67649,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.6947,-87.67648,4.5,4.5,5.0,9.0,2.0
2020-05-09 17:30:00,170317502004003.0,41.69476,-87.67648,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69482,-87.67648,3.0,3.0,3.0,3.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69489,-87.67647,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69495,-87.67647,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69501,-87.67646,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69507,-87.67646,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69512,-87.67648,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69517,-87.6765,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69521,-87.67652,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69525,-87.67657,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69528,-87.67662,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69531,-87.67669,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69532,-87.67676,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69533,-87.67724,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69533,-87.67716,3.5,3.5,4.0,7.0,2.0
2020-05-09 17:30:00,170317502004003.0,41.69533,-87.677,3.0,3.0,3.0,3.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69533,-87.67692,3.0,3.0,3.0,3.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69533,-87.67684,3.0,3.0,3.0,3.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69534,-87.67743,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69534,-87.67736,4.0,4.0,4.0,4.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69534,-87.6773,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69535,-87.67756,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69535,-87.67749,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69536,-87.67768,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69536,-87.67762,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67885,8.0,8.0,8.0,8.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67878,10.0,10.0,10.0,10.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67871,10.0,10.0,10.0,10.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67864,10.0,10.0,10.0,20.0,2.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.6785,10.0,10.0,10.0,10.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67843,8.0,8.0,8.0,8.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67838,8.0,8.0,8.0,8.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67833,8.0,8.0,8.0,8.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.6783,6.0,6.0,6.0,6.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.67786,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69537,-87.6778,5.0,5.0,5.0,10.0,2.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.679,7.0,7.0,7.0,7.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.67893,7.0,7.0,7.0,7.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.67828,5.0,5.1,6.0,102.0,20.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.67824,5.0,5.0,5.0,10.0,2.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.67815,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.6781,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.67804,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.67798,5.0,5.0,5.0,5.0,1.0
2020-05-09 17:30:00,170317502004003.0,41.69538,-87.67792,5.0,5.0,5.0,5.0,1.0
