thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2020-05-11 18:30:00,170317401004011.0,41.6882,-87.696,12.0,12.0,12.0,24.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68833,-87.69601,12.0,12.0,12.0,12.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.6884,-87.69601,11.0,11.0,11.0,22.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68853,-87.69603000000001,11.0,11.0,11.0,11.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.6886,-87.69603000000001,11.0,11.0,11.0,11.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.68866,-87.69603000000001,11.0,11.0,11.0,11.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.68873,-87.69603000000001,11.0,11.0,11.0,11.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.6888,-87.69604,11.0,11.0,11.0,22.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68893,-87.69604,11.5,11.5,12.0,23.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68906,-87.69605,12.0,12.0,12.0,24.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.6892,-87.69605,11.0,11.0,11.0,22.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68932,-87.69606,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68945,-87.69606,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68958,-87.69608000000001,11.0,11.0,11.0,22.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68971,-87.69608000000001,11.0,11.0,11.0,11.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.68977,-87.69609,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.68983,-87.69609,10.5,10.5,11.0,21.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.68996,-87.69609,11.0,11.0,11.0,22.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69008,-87.6961,11.0,11.0,11.0,11.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69015,-87.6961,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69021,-87.6961,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69034,-87.6961,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69047,-87.6961,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.690529999999995,-87.6961,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69059,-87.6961,9.0,9.0,9.0,9.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69065,-87.69611,9.0,9.0,9.0,9.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.690709999999996,-87.69611,9.0,9.0,9.0,18.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69083,-87.69611,9.0,9.0,9.0,9.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69089,-87.69611,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.691,-87.69611,9.0,9.0,9.0,9.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69106,-87.69612,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69117,-87.69612,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69122,-87.69612,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69133,-87.69612,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69138,-87.69612,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69143,-87.69612,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.691520000000004,-87.69612,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69157,-87.69604,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004011.0,41.69157,-87.69592,10.0,10.0,10.0,20.0,2.0
2020-05-11 18:30:00,170317401004011.0,41.69158,-87.69598,10.0,10.0,10.0,10.0,1.0
2020-05-11 18:30:00,170317401004028.0,41.68808,-87.69605,11.0,11.0,11.0,22.0,2.0
2020-07-02 16:00:00,170317401001003.0,41.70278,-87.69659,6.0,6.0,6.0,6.0,1.0
2020-07-02 16:00:00,170317401001003.0,41.7028,-87.69659,7.0,7.0,8.0,14.0,2.0
2020-07-02 16:00:00,170317401001003.0,41.70283,-87.69658,7.5,7.5,8.0,15.0,2.0
2020-07-02 16:00:00,170317401001003.0,41.70287,-87.69658,8.5,8.5,9.0,17.0,2.0
2020-07-02 16:00:00,170317401001003.0,41.70292,-87.69657,9.0,9.0,9.0,9.0,1.0
2020-07-02 16:00:00,170317401001003.0,41.70294,-87.69657,9.5,9.5,10.0,19.0,2.0
2020-07-02 16:00:00,170317401001003.0,41.703,-87.69657,10.0,10.0,10.0,10.0,1.0
2020-07-02 16:00:00,170317401001003.0,41.70303,-87.69657,11.0,11.0,11.0,11.0,1.0
2020-07-02 16:00:00,170317401001003.0,41.70306,-87.69657,10.0,10.0,10.0,10.0,1.0
