thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-12 09:00:00,170313301004012.0,41.86629,-87.6201,7.96,7.96,7.96,7.96,1.0
2017-05-12 09:00:00,170313301004012.0,41.866409999999995,-87.62012,7.88,7.88,7.88,7.88,1.0
2017-05-12 09:00:00,170313301004012.0,41.86651,-87.62014,7.57,7.57,7.57,7.57,1.0
2017-05-12 09:00:00,170313301004012.0,41.866609999999994,-87.62016,8.19,8.19,8.19,8.19,1.0
2017-05-12 09:00:00,170313301004012.0,41.86672,-87.62018,7.8,7.8,7.8,7.8,1.0
2017-05-12 09:00:00,170313301004012.0,41.866820000000004,-87.62021,7.96,7.96,7.96,7.96,1.0
2017-05-12 09:00:00,170313301004012.0,41.86692,-87.62024,7.27,7.27,7.27,7.27,1.0
2017-05-12 09:00:00,170313301004012.0,41.86701,-87.62026,7.34,7.34,7.34,7.34,1.0
2017-05-12 09:00:00,170313301004012.0,41.8671,-87.62029,6.73,6.73,6.73,6.73,1.0
2017-05-12 09:00:00,170313301004012.0,41.86719,-87.62031999999999,6.88,6.88,6.88,6.88,1.0
2017-05-12 09:00:00,170313301004012.0,41.86727,-87.62035,6.34,6.34,6.34,6.34,1.0
2017-05-12 09:00:00,170313301004012.0,41.86736,-87.62037,6.26,6.26,6.26,6.26,1.0
2017-05-12 09:00:00,170313301004013.0,41.86108,-87.61813000000001,7.8,7.8,7.8,7.8,1.0
2017-05-12 09:00:00,170313301004013.0,41.86125,-87.61820999999999,8.11,8.11,8.11,8.11,1.0
2017-05-12 09:00:00,170313301004013.0,41.86744,-87.62039,6.34,6.34,6.34,6.34,1.0
2017-05-12 09:00:00,170313301004017.0,41.8604,-87.61782,7.34,7.34,7.34,7.34,1.0
2017-05-12 09:00:00,170313301004017.0,41.86058,-87.61791,7.5,7.5,7.5,7.5,1.0
2017-05-12 09:00:00,170313301004017.0,41.86075,-87.61798,7.73,7.73,7.73,7.73,1.0
2017-05-12 09:00:00,170313301004017.0,41.86092,-87.61806,7.42,7.42,7.42,7.42,1.0
2017-05-12 09:00:00,170313301004027.0,41.85589,-87.61565999999999,8.95,8.95,8.95,8.95,1.0
2017-05-12 09:00:00,170313301004027.0,41.85608,-87.61574,8.8,8.8,8.8,8.8,1.0
2017-05-12 09:00:00,170313301004027.0,41.85627,-87.61582,8.68,8.68,8.87,17.36,2.0
2017-05-12 09:00:00,170313301004027.0,41.856640000000006,-87.61598000000001,9.475,9.475,9.55,18.950000000000006,2.0
2017-05-12 09:00:00,170313301004027.0,41.85699,-87.61612,9.095,9.095,9.17,18.19,2.0
2017-05-12 09:00:00,170313301004027.0,41.85732,-87.61627,9.17,9.17,9.32,18.34,2.0
2017-05-12 09:00:00,170313301004027.0,41.85765,-87.61643000000001,8.57,8.57,8.57,8.57,1.0
2017-05-12 09:00:00,170313301004027.0,41.85781,-87.61650999999999,8.19,8.19,8.19,8.19,1.0
2017-05-12 09:00:00,170313301004027.0,41.85797,-87.61658,7.5,7.5,7.5,7.5,1.0
2017-05-12 09:00:00,170313301004028.0,41.858129999999996,-87.61666,7.88,7.88,7.88,7.88,1.0
2017-05-12 09:00:00,170313301004028.0,41.8583,-87.61673,7.8,7.8,7.8,7.8,1.0
2017-05-12 09:00:00,170313301004028.0,41.85846,-87.61681999999999,7.65,7.65,7.65,7.65,1.0
2017-05-12 09:00:00,170313301004028.0,41.85862,-87.6169,7.11,7.11,7.11,7.11,1.0
2017-05-12 09:00:00,170313301004028.0,41.858779999999996,-87.61698,7.19,7.19,7.19,7.19,1.0
2017-05-12 09:00:00,170313301004028.0,41.858940000000004,-87.61706,6.57,6.57,6.57,6.57,1.0
2017-05-12 09:00:00,170313301004028.0,41.8591,-87.61715,6.65,6.65,6.65,6.65,1.0
2017-05-12 09:00:00,170313301004028.0,41.85927,-87.61721999999999,7.04,7.04,7.04,7.04,1.0
2017-05-12 09:00:00,170313301004028.0,41.859429999999996,-87.6173,6.57,6.57,6.57,6.57,1.0
2017-05-12 09:00:00,170313301004028.0,41.859590000000004,-87.61738000000001,5.88,5.88,5.88,5.88,1.0
2017-05-12 09:00:00,170313301004028.0,41.85975,-87.61745,6.34,6.34,6.34,6.34,1.0
2017-05-12 09:00:00,170313301004028.0,41.85992,-87.61754,6.73,6.73,6.73,6.73,1.0
2017-05-12 09:00:00,170313301004028.0,41.860079999999996,-87.61762,7.11,7.11,7.11,7.11,1.0
2017-05-12 09:00:00,170313301004028.0,41.860240000000005,-87.61771999999999,7.65,7.65,7.65,7.65,1.0
2017-05-12 09:00:00,170313301004036.0,41.85248,-87.61425,8.49,8.49,8.49,8.49,1.0
2017-05-12 09:00:00,170313301004036.0,41.85269,-87.61435,8.19,8.19,8.19,8.19,1.0
2017-05-12 09:00:00,170313301004038.0,41.8529,-87.61444,7.88,7.88,7.88,7.88,1.0
2017-05-12 09:00:00,170313301004038.0,41.8531,-87.61453,7.8,7.8,7.8,7.8,1.0
2017-05-12 09:00:00,170313301004038.0,41.85331,-87.61462,7.73,7.73,7.73,7.73,1.0
2017-05-12 09:00:00,170313301004038.0,41.85352,-87.6147,7.73,7.73,7.73,7.73,1.0
2017-05-12 09:00:00,170313301004038.0,41.85372,-87.61479,8.11,8.11,8.11,8.11,1.0
2017-05-12 09:00:00,170313301004038.0,41.85392,-87.61487,8.03,8.03,8.03,8.03,1.0
2017-05-12 09:00:00,170313301004038.0,41.85412,-87.61495,8.03,8.03,8.03,8.03,1.0
2017-05-12 09:00:00,170313301004038.0,41.85432,-87.61503,8.26,8.26,8.26,8.26,1.0
2017-05-12 09:00:00,170313301004039.0,41.85471,-87.61519,8.035,8.035,8.42,16.07,2.0
2017-05-12 09:00:00,170313301004039.0,41.855109999999996,-87.61535,8.035,8.035,8.11,16.07,2.0
