thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-06 18:30:00,170312916001006.0,41.856640000000006,-87.69067,3.91,3.91,3.91,3.91,1.0
2017-04-06 18:30:00,170312916001006.0,41.85672,-87.69034,4.06,4.06,4.06,4.06,1.0
2017-04-06 18:30:00,170312916001006.0,41.856790000000004,-87.69001999999999,4.28,4.28,4.28,4.28,1.0
2017-04-06 18:30:00,170312916001006.0,41.85686,-87.6897,4.81,4.81,4.81,4.81,1.0
2017-04-06 18:30:00,170312916001006.0,41.85693,-87.68938,5.19,5.19,5.19,5.19,1.0
2017-04-06 18:30:00,170312916001006.0,41.857,-87.68907,5.26,5.26,5.26,5.26,1.0
2017-04-06 18:30:00,170312916001006.0,41.857079999999996,-87.68876,4.96,4.96,4.96,4.96,1.0
2017-04-06 18:30:00,170312916001006.0,41.85715,-87.68844,4.43,4.43,4.43,4.43,1.0
2017-04-06 18:30:00,170312916001007.0,41.85608,-87.69296,4.35,4.35,4.35,4.35,1.0
2017-04-06 18:30:00,170312916001007.0,41.856159999999996,-87.69263000000001,4.43,4.43,4.43,4.43,1.0
2017-04-06 18:30:00,170312916001007.0,41.85624,-87.6923,3.98,3.98,3.98,3.98,1.0
2017-04-06 18:30:00,170312916001007.0,41.85633,-87.69198,3.54,3.54,3.54,3.54,1.0
2017-04-06 18:30:00,170312916001007.0,41.85641,-87.69165,3.26,3.26,3.26,3.26,1.0
2017-04-06 18:30:00,170312916001007.0,41.85649,-87.69131999999999,3.47,3.47,3.47,3.47,1.0
2017-04-06 18:30:00,170312916001007.0,41.856559999999995,-87.69099,3.62,3.62,3.62,3.62,1.0
2017-04-06 18:30:00,170312916001014.0,41.855940000000004,-87.69366,4.88,4.88,4.88,4.88,1.0
2017-04-06 18:30:00,170312916001014.0,41.85601,-87.6933,4.43,4.43,4.43,4.43,1.0
2017-04-06 18:30:00,170312916001015.0,41.85587,-87.69400999999999,5.57,5.57,5.57,5.57,1.0
2017-04-06 18:30:00,170312916001016.0,41.85573,-87.69471,5.26,5.26,5.26,5.26,1.0
2017-04-06 18:30:00,170312916001016.0,41.8558,-87.69436,5.19,5.19,5.19,5.19,1.0
2017-04-06 18:30:00,170312916001017.0,41.85557,-87.69542,5.42,5.42,5.42,5.42,1.0
2017-04-06 18:30:00,170312916001017.0,41.85566,-87.69506,5.65,5.65,5.65,5.65,1.0
2017-04-06 18:30:00,170318412002010.0,41.85723,-87.68812,4.58,4.58,4.58,4.58,1.0
2017-04-06 18:30:00,170318414001006.0,41.85176,-87.71257,3.83,3.83,3.83,3.83,1.0
2017-04-06 18:30:00,170318414001007.0,41.85184,-87.71221,4.06,4.06,4.06,4.06,1.0
2017-04-06 18:30:00,170318414001007.0,41.85192,-87.71184000000001,4.13,4.13,4.13,4.13,1.0
2017-04-06 18:30:00,170318414001008.0,41.85201,-87.71148000000001,3.98,3.98,3.98,3.98,1.0
2017-04-06 18:30:00,170318431002010.0,41.85378,-87.70334,5.03,5.03,5.03,5.03,1.0
2017-04-06 18:30:00,170318431002010.0,41.85387,-87.70298000000001,5.65,5.65,5.65,5.65,1.0
2017-04-06 18:30:00,170318431002011.0,41.8537,-87.70371,4.88,4.88,4.88,4.88,1.0
2017-04-06 18:30:00,170318434001000.0,41.84913,-87.7245,5.03,5.03,5.03,5.03,1.0
2017-04-06 18:30:00,170318434001000.0,41.84921,-87.72415,5.11,5.11,5.11,5.11,1.0
2017-04-06 18:30:00,170318434001000.0,41.84929,-87.7238,4.81,4.81,4.81,4.81,1.0
2017-04-06 18:30:00,170318434001000.0,41.84937,-87.72344,4.43,4.43,4.43,4.43,1.0
2017-04-06 18:30:00,170318434001000.0,41.84945,-87.72308000000001,4.2,4.2,4.2,4.2,1.0
2017-04-06 18:30:00,170318434001000.0,41.84955,-87.72270999999999,4.5,4.5,4.5,4.5,1.0
2017-04-06 18:30:00,170318434001000.0,41.84963,-87.72235,4.43,4.43,4.43,4.43,1.0
2017-04-06 18:30:00,170318434001035.0,41.848,-87.72946,5.42,5.42,5.42,5.42,1.0
2017-04-06 18:30:00,170318434001035.0,41.848079999999996,-87.72912,5.11,5.11,5.11,5.11,1.0
2017-04-06 18:30:00,170318434001035.0,41.84816,-87.72876,5.03,5.03,5.03,5.03,1.0
2017-04-06 18:30:00,170318434001035.0,41.84823,-87.7284,5.03,5.03,5.03,5.03,1.0
2017-04-06 18:30:00,170318434001035.0,41.8483,-87.72805,5.49,5.49,5.49,5.49,1.0
2017-04-06 18:30:00,170318434001035.0,41.84838,-87.72769,5.72,5.72,5.72,5.72,1.0
