thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2018-06-13 12:30:00,170318318005000.0,41.98134,-87.70777,1.13,1.5594082840236674,4.28,263.5399999999998,169.0
2018-06-13 13:00:00,170311303001008.0,41.98305,-87.71082,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170311303001008.0,41.98305,-87.71081,1.54,1.54,1.54,1.54,1.0
2018-06-13 13:00:00,170311303001008.0,41.98305,-87.71061999999999,2.25,2.25,2.25,2.25,1.0
2018-06-13 13:00:00,170311303001008.0,41.98305,-87.7103,2.06,2.06,2.06,2.06,1.0
2018-06-13 13:00:00,170311303001008.0,41.983059999999995,-87.71065,1.94,1.94,1.94,1.94,1.0
2018-06-13 13:00:00,170311303001008.0,41.983059999999995,-87.71064,2.12,2.12,2.12,2.12,1.0
2018-06-13 13:00:00,170311303001008.0,41.983059999999995,-87.71011,3.76,3.76,3.76,3.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.983059999999995,-87.7101,4.13,4.13,4.13,4.13,1.0
2018-06-13 13:00:00,170311303001008.0,41.983059999999995,-87.71008,4.06,4.06,4.06,4.06,1.0
2018-06-13 13:00:00,170311303001008.0,41.983059999999995,-87.71007,3.76,3.76,3.76,3.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.983059999999995,-87.71006,3.98,3.98,3.98,3.98,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.71066,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.71004,3.33,3.33,3.33,3.33,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.71001,3.19,3.19,3.19,3.19,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70976999999999,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70975,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70974,1.48,1.48,1.48,1.48,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70973000000001,1.48,1.48,1.48,1.48,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70971999999999,1.38,1.38,1.38,1.38,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70971,1.32,1.32,1.32,1.32,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.7097,1.38,1.38,1.38,1.38,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70968,1.48,1.48,1.48,1.48,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70966,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170311303001008.0,41.98307,-87.70961,1.82,1.82,1.82,1.82,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.71074,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.71072,1.54,1.54,1.54,1.54,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.7107,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.71068000000001,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.71003,3.4,3.4,3.4,3.4,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.70979,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.70978000000001,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.70966,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.70964000000001,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.98308,-87.70963,1.82,1.82,1.82,1.82,1.0
2018-06-13 13:00:00,170311303001008.0,41.983090000000004,-87.70982,1.54,1.54,1.54,1.54,1.0
2018-06-13 13:00:00,170311303001008.0,41.983090000000004,-87.7098,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.9831,-87.70983000000001,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170311303001008.0,41.983109999999996,-87.70991,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.983109999999996,-87.70989,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.983109999999996,-87.70984,1.32,1.32,1.32,1.32,1.0
2018-06-13 13:00:00,170311303001008.0,41.98312,-87.70994,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.98312,-87.70993,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.98312,-87.70988,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.98312,-87.70985999999999,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170311303001008.0,41.98315,-87.71059,1.94,1.94,1.94,1.94,1.0
2018-06-13 13:00:00,170311303001008.0,41.98315,-87.71043,2.19,2.19,2.19,2.19,1.0
2018-06-13 13:00:00,170311303001008.0,41.98315,-87.70997,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71056999999999,2.06,2.06,2.06,2.06,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71056,2.19,2.19,2.19,2.19,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71042,2.44,2.44,2.44,2.44,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71041,2.12,2.12,2.12,2.12,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71039,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71038,1.82,1.82,1.82,1.82,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71013,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71002,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170311303001008.0,41.98316,-87.71,1.54,1.54,1.54,1.54,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71061,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71054000000001,2.25,2.25,2.25,2.25,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71051999999999,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.7105,1.38,1.38,1.38,1.38,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71049000000001,1.48,1.48,1.48,1.48,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71048,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71047,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71046,1.88,1.88,1.88,1.88,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71044,2.06,2.06,2.06,2.06,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71037,2.0,2.0,2.0,2.0,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71036,2.12,2.12,2.12,2.12,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71035,2.31,2.31,2.31,2.31,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71034,2.51,2.51,2.51,2.51,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71032,3.05,3.05,3.05,3.05,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.7103,2.77,2.77,2.77,2.77,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71018000000001,2.19,2.19,2.19,2.19,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71016,2.06,2.06,2.06,2.06,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71015,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170311303001008.0,41.98317,-87.71011,1.27,1.27,1.27,1.27,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71068000000001,1.48,1.48,1.48,1.48,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71066,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71064,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71033,2.77,2.77,2.77,2.77,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71029,2.84,2.84,2.84,2.84,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71027,3.19,3.19,3.19,3.19,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71021999999999,3.19,3.19,3.19,3.19,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71021,3.4,3.4,3.4,3.4,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.7101,1.32,1.32,1.32,1.32,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71008,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170311303001008.0,41.98318,-87.71006,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170311303001008.0,41.98319,-87.71072,2.98,2.98,2.98,2.98,1.0
2018-06-13 13:00:00,170311303001008.0,41.98319,-87.7107,1.82,1.82,1.82,1.82,1.0
2018-06-13 13:00:00,170311303001008.0,41.98319,-87.71025999999999,3.26,3.26,3.26,3.26,1.0
2018-06-13 13:00:00,170311303001008.0,41.98319,-87.71024,3.54,3.54,3.54,3.54,1.0
2018-06-13 13:00:00,170311303001008.0,41.98319,-87.71023000000001,3.33,3.33,3.33,3.33,1.0
2018-06-13 13:00:00,170318318005000.0,41.981159999999996,-87.7084,1.94,1.94,1.94,1.94,1.0
2018-06-13 13:00:00,170318318005000.0,41.981159999999996,-87.70804,1.76,1.8747899159663863,3.4,223.1,119.0
2018-06-13 13:00:00,170318318005000.0,41.98117,-87.70834,1.94,1.94,1.94,1.94,1.0
2018-06-13 13:00:00,170318318005000.0,41.981190000000005,-87.70839000000001,2.57,2.57,2.57,2.57,1.0
2018-06-13 13:00:00,170318318005000.0,41.981190000000005,-87.70838,2.57,2.53,2.64,7.59,3.0
2018-06-13 13:00:00,170318318005000.0,41.9812,-87.70836,2.71,2.71,2.71,2.71,1.0
2018-06-13 13:00:00,170318318005000.0,41.9812,-87.70834,2.48,2.48,2.71,4.96,2.0
2018-06-13 13:00:00,170318318005000.0,41.9812,-87.70796999999999,0.86,0.86,0.86,0.86,1.0
2018-06-13 13:00:00,170318318005000.0,41.98121,-87.70836,2.38,2.38,2.38,2.38,1.0
2018-06-13 13:00:00,170318318005000.0,41.98122,-87.70833,2.12,2.12,2.12,2.12,1.0
2018-06-13 13:00:00,170318318005000.0,41.98122,-87.70794000000001,0.9,0.9,0.9,0.9,1.0
2018-06-13 13:00:00,170318318005000.0,41.98123,-87.70832,2.06,2.06,2.06,2.06,1.0
2018-06-13 13:00:00,170318318005000.0,41.98123,-87.7083,2.355,2.355,2.71,4.71,2.0
2018-06-13 13:00:00,170318318005000.0,41.98124,-87.70829,2.06,2.06,2.06,2.06,1.0
2018-06-13 13:00:00,170318318005000.0,41.98124,-87.70828,2.12,2.103333333333333,2.19,6.3100000000000005,3.0
2018-06-13 13:00:00,170318318005000.0,41.98124,-87.70793,0.94,0.94,0.94,0.94,1.0
2018-06-13 13:00:00,170318318005000.0,41.98125,-87.70829,2.0,2.0,2.06,4.0,2.0
2018-06-13 13:00:00,170318318005000.0,41.98125,-87.70828,1.88,1.88,1.88,3.76,2.0
2018-06-13 13:00:00,170318318005000.0,41.98125,-87.70791,0.99,0.99,0.99,0.99,1.0
2018-06-13 13:00:00,170318318005000.0,41.98126,-87.70829,2.0,2.0,2.0,2.0,1.0
2018-06-13 13:00:00,170318318005000.0,41.98126,-87.70828,1.59,1.5608695652173912,2.0,35.9,23.0
2018-06-13 13:00:00,170318318005000.0,41.98126,-87.70801,1.82,1.82,1.82,1.82,1.0
2018-06-13 13:00:00,170318318005000.0,41.98126,-87.70788,0.94,0.94,0.94,0.94,1.0
2018-06-13 13:00:00,170318318005000.0,41.98126,-87.70786,0.94,0.9433333333333334,0.99,2.83,3.0
2018-06-13 13:00:00,170318318005000.0,41.98128,-87.70801999999999,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170318318005000.0,41.98128,-87.70796,2.0,2.0,2.0,2.0,1.0
2018-06-13 13:00:00,170318318005000.0,41.98131,-87.70803000000001,2.0,2.0,2.0,2.0,1.0
2018-06-13 13:00:00,170318318005000.0,41.98133,-87.70804,1.88,1.88,1.88,1.88,1.0
2018-06-13 13:00:00,170318318005000.0,41.98133,-87.7079,2.0,2.0,2.0,2.0,1.0
2018-06-13 13:00:00,170318318005000.0,41.98134,-87.70825,0.99,0.99,0.99,0.99,1.0
2018-06-13 13:00:00,170318318005000.0,41.98134,-87.70777,1.03,1.1524418604651154,2.31,198.21999999999986,172.0
2018-06-13 13:00:00,170318318005000.0,41.98135,-87.70825,0.94,0.94,0.94,0.94,1.0
2018-06-13 13:00:00,170318318005000.0,41.98135,-87.70813000000001,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170318318005000.0,41.98135,-87.70803000000001,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170318318005000.0,41.981359999999995,-87.70826,1.17,1.17,1.17,1.17,1.0
2018-06-13 13:00:00,170318318005000.0,41.98137,-87.70826,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170318318005000.0,41.98138,-87.70826,1.54,1.54,1.54,1.54,1.0
2018-06-13 13:00:00,170318318005000.0,41.98138,-87.70801,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170318318005000.0,41.981390000000005,-87.70827,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170318318005000.0,41.9814,-87.70827,1.76,1.76,1.76,1.76,1.0
2018-06-13 13:00:00,170318318005000.0,41.9814,-87.708,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170318318005000.0,41.98141,-87.70806,1.82,1.82,1.82,1.82,1.0
2018-06-13 13:00:00,170318318005000.0,41.98142,-87.70828,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170318318005000.0,41.98142,-87.70827,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170318318005000.0,41.98142,-87.70801999999999,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170318318005000.0,41.98142,-87.70801,1.54,1.54,1.54,1.54,1.0
2018-06-13 13:00:00,170318318005000.0,41.981429999999996,-87.70778,1.88,1.88,1.88,1.88,1.0
2018-06-13 13:00:00,170318318005000.0,41.98144,-87.70827,2.25,2.25,2.25,2.25,1.0
2018-06-13 13:00:00,170318318005000.0,41.98144,-87.70826,2.06,2.06,2.06,2.06,1.0
2018-06-13 13:00:00,170318318005000.0,41.98144,-87.70808000000001,1.38,1.38,1.38,1.38,1.0
2018-06-13 13:00:00,170318318005000.0,41.98144,-87.70805,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170318318005000.0,41.98144,-87.70803000000001,1.38,1.38,1.38,1.38,1.0
2018-06-13 13:00:00,170318318005000.0,41.98145,-87.70810999999999,1.7,1.7,1.7,1.7,1.0
2018-06-13 13:00:00,170318318005000.0,41.98145,-87.70809,1.38,1.38,1.38,1.38,1.0
2018-06-13 13:00:00,170318318005000.0,41.98145,-87.70768000000001,1.54,1.502222222222222,1.65,13.52,9.0
2018-06-13 13:00:00,170318318005000.0,41.98146,-87.70826,2.0,2.0,2.06,4.0,2.0
2018-06-13 13:00:00,170318318005000.0,41.98146,-87.70813000000001,1.59,1.59,1.59,1.59,1.0
2018-06-13 13:00:00,170318318005000.0,41.98146,-87.70770999999999,1.705,1.705,1.76,3.41,2.0
2018-06-13 13:00:00,170318318005000.0,41.98147,-87.70826,1.82,1.82,1.88,3.64,2.0
2018-06-13 13:00:00,170318318005000.0,41.98147,-87.7082,1.38,1.3766666666666667,1.43,4.13,3.0
2018-06-13 13:00:00,170318318005000.0,41.98147,-87.70815,1.48,1.48,1.48,1.48,1.0
2018-06-13 13:00:00,170318318005000.0,41.98147,-87.70814,1.65,1.65,1.65,1.65,1.0
2018-06-13 13:00:00,170318318005000.0,41.98147,-87.70801999999999,2.0,2.0,2.0,2.0,1.0
2018-06-13 13:00:00,170318318005000.0,41.98148,-87.70826,2.0,1.98,2.12,5.94,3.0
2018-06-13 13:00:00,170318318005000.0,41.98148,-87.7082,1.54,1.54,1.54,1.54,1.0
2018-06-13 13:00:00,170318318005000.0,41.98148,-87.70819,1.22,1.22,1.22,1.22,1.0
2018-06-13 13:00:00,170318318005000.0,41.98148,-87.70818,1.32,1.32,1.32,1.32,1.0
2018-06-13 13:00:00,170318318005000.0,41.98148,-87.70817,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170318318005000.0,41.98148,-87.70798,2.0,2.0,2.0,2.0,1.0
2018-06-13 13:00:00,170318318005000.0,41.98148,-87.70795,1.94,1.94,1.94,1.94,1.0
2018-06-13 13:00:00,170318318005000.0,41.98149,-87.70825,1.94,1.94,1.94,3.88,2.0
2018-06-13 13:00:00,170318318005000.0,41.98149,-87.70768000000001,1.82,1.82,1.82,1.82,1.0
2018-06-13 13:00:00,170318318005000.0,41.9815,-87.70825,2.125,2.125,2.19,4.25,2.0
2018-06-13 13:00:00,170318318005000.0,41.9815,-87.70824,2.06,2.06,2.12,4.12,2.0
2018-06-13 13:00:00,170318318005000.0,41.9815,-87.70821,1.705,1.705,1.76,3.41,2.0
2018-06-13 13:00:00,170318318005000.0,41.98151,-87.70824,2.25,2.1666666666666665,2.31,6.5,3.0
2018-06-13 13:00:00,170318318005000.0,41.98151,-87.70821,1.48,1.48,1.48,1.48,1.0
2018-06-13 13:00:00,170318318005000.0,41.98151,-87.70765,1.94,1.94,1.94,1.94,1.0
2018-06-13 13:00:00,170318318005000.0,41.98152,-87.70823,2.12,2.12,2.12,2.12,1.0
2018-06-13 13:00:00,170318318005000.0,41.98152,-87.70821,1.43,1.43,1.43,1.43,1.0
2018-06-13 13:00:00,170318318005000.0,41.98153,-87.70824,2.12,2.12,2.12,2.12,1.0
2018-06-13 13:00:00,170318318005000.0,41.98153,-87.7082,1.32,1.32,1.32,1.32,1.0
2018-06-13 13:00:00,170318318005000.0,41.98153,-87.70818,1.27,1.27,1.27,1.27,1.0
