thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-18 11:00:00,170311001004008.0,41.98291,-87.78271,10.3,10.3,10.3,10.3,1.0
2017-07-18 11:00:00,170311001004008.0,41.98291,-87.78262,11.34,11.34,11.34,11.34,1.0
2017-07-18 11:00:00,170311001004008.0,41.98291,-87.78261,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:00:00,170311001004008.0,41.98291,-87.78251,14.18,14.18,14.18,14.18,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78268,10.37,10.37,10.37,10.37,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78266,10.75,10.75,10.75,10.75,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78264,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78259,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78258,10.37,10.37,10.37,10.37,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78256,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78254,12.97,12.97,12.97,12.97,1.0
2017-07-18 11:00:00,170311001004008.0,41.98292,-87.78253,13.8,13.8,13.8,13.8,1.0
2017-07-18 11:00:00,170311001004015.0,41.9829,-87.78761,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:00:00,170311001004015.0,41.98291,-87.7876,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:00:00,170311001004015.0,41.98292,-87.78759,11.04,11.04,11.04,11.04,1.0
2017-07-18 11:00:00,170311001004015.0,41.98292,-87.78716,10.37,10.37,10.37,10.37,1.0
2017-07-18 11:00:00,170311001004015.0,41.98292,-87.78715,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:00:00,170311001004015.0,41.98292,-87.78714,10.0,10.0,10.0,10.0,1.0
2017-07-18 11:00:00,170311001004015.0,41.98292,-87.78712,9.7,9.7,9.7,9.7,1.0
2017-07-18 11:00:00,170311001004015.0,41.98293,-87.78759,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:00:00,170311001004015.0,41.98293,-87.78717,10.295,10.295,10.37,20.59,2.0
2017-07-18 11:00:00,170311001004015.0,41.98294,-87.7876,10.45,10.45,10.45,10.45,1.0
2017-07-18 11:00:00,170311001004015.0,41.98294,-87.78759,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:00:00,170311001004015.0,41.98294,-87.78718,10.6,10.6,10.6,10.6,1.0
2017-07-18 11:00:00,170311001004015.0,41.98295,-87.7876,10.37,10.37,10.37,10.37,1.0
2017-07-18 11:00:00,170311001004015.0,41.98295,-87.78721,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:00:00,170311001004015.0,41.98295,-87.7872,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:00:00,170311001004015.0,41.98295,-87.78719,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78759,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78737,11.49,11.49,11.49,11.49,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78736,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78735,10.52,10.52,10.52,10.52,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78733,10.07,10.07,10.07,10.07,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.7873,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78729,11.34,11.34,11.34,11.34,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78728,11.71,11.71,11.71,11.71,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78727,11.41,11.41,11.41,11.41,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78726,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78724,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:00:00,170311001004015.0,41.98296,-87.78723,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:00:00,170311001004015.0,41.98297,-87.78758,11.04,11.04,11.04,11.04,1.0
2017-07-18 11:00:00,170311001004015.0,41.98297,-87.78756,10.75,10.75,10.75,10.75,1.0
2017-07-18 11:00:00,170311001004015.0,41.98297,-87.7874,11.49,11.49,11.49,11.49,1.0
2017-07-18 11:00:00,170311001004015.0,41.98297,-87.78738,11.34,11.34,11.34,11.34,1.0
2017-07-18 11:00:00,170311001004015.0,41.98297,-87.78732,10.52,10.52,10.52,10.52,1.0
2017-07-18 11:00:00,170311001004015.0,41.98298,-87.78754,11.305,11.305,11.49,22.61,2.0
2017-07-18 11:00:00,170311001004015.0,41.98298,-87.78752,10.6,10.6,10.6,10.6,1.0
2017-07-18 11:00:00,170311001004015.0,41.98298,-87.78751,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:00:00,170311001004015.0,41.98298,-87.7875,10.37,10.37,10.37,10.37,1.0
2017-07-18 11:00:00,170311001004015.0,41.98298,-87.7874,11.63,11.63,11.63,11.63,1.0
2017-07-18 11:00:00,170311001004015.0,41.98299,-87.78749,10.75,10.75,10.75,10.75,1.0
2017-07-18 11:00:00,170311001004015.0,41.98299,-87.78741,11.63,11.63,11.63,11.63,1.0
2017-07-18 11:00:00,170311001004015.0,41.983,-87.78748,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:00:00,170311001004015.0,41.983,-87.78747,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:00:00,170311001004015.0,41.983,-87.78741,12.0,12.0,12.0,12.0,1.0
2017-07-18 11:00:00,170311001004015.0,41.98301,-87.78746,11.04,11.04,11.04,11.04,1.0
2017-07-18 11:00:00,170311001004015.0,41.98301,-87.78745,11.41,11.41,11.41,11.41,1.0
2017-07-18 11:00:00,170311001004015.0,41.98301,-87.78744,11.71,11.71,11.71,11.71,1.0
2017-07-18 11:00:00,170311001004015.0,41.98301,-87.78743,12.75,12.75,12.75,12.75,1.0
2017-07-18 11:00:00,170311001004015.0,41.98301,-87.78742,12.82,12.82,12.82,12.82,1.0
2017-07-18 11:00:00,170311001004016.0,41.9829,-87.78688,9.48,9.48,9.48,9.48,1.0
2017-07-18 11:00:00,170311001004016.0,41.98291,-87.7869,9.4,9.4,9.4,9.4,1.0
2017-07-18 11:00:00,170311001004016.0,41.98291,-87.78689,9.85,9.85,9.85,9.85,1.0
2017-07-18 11:00:00,170311001004016.0,41.98292,-87.78697,11.56,11.56,11.56,11.56,1.0
2017-07-18 11:00:00,170311001004016.0,41.98292,-87.78696,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:00:00,170311001004016.0,41.98292,-87.78694,10.22,10.22,10.22,10.22,1.0
2017-07-18 11:00:00,170311001004016.0,41.98292,-87.78693,10.0,10.0,10.0,10.0,1.0
2017-07-18 11:00:00,170311001004016.0,41.98292,-87.78691,9.85,9.85,9.85,9.85,1.0
2017-07-18 11:00:00,170311001004016.0,41.98293,-87.78709,9.775,9.775,10.07,19.55,2.0
2017-07-18 11:00:00,170311001004016.0,41.98293,-87.78706,9.7,9.7,9.85,19.4,2.0
2017-07-18 11:00:00,170311001004016.0,41.98293,-87.78705,10.0,10.0,10.0,10.0,1.0
2017-07-18 11:00:00,170311001004016.0,41.98293,-87.78703,10.6,10.6,10.6,10.6,1.0
2017-07-18 11:00:00,170311001004016.0,41.98293,-87.787,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:00:00,170311001004016.0,41.98293,-87.78699,11.375,11.375,11.71,22.75,2.0
2017-07-18 11:00:00,170311001004017.0,41.9829,-87.78582,9.4,9.4,9.4,9.4,1.0
2017-07-18 11:00:00,170311001004017.0,41.9829,-87.78581,9.93,9.93,9.93,9.93,1.0
2017-07-18 11:00:00,170311103001001.0,41.9829,-87.78584,9.25,9.25,9.25,9.25,1.0
2017-07-18 11:00:00,170311103001001.0,41.9829,-87.78579,10.45,10.45,10.45,10.45,1.0
2017-07-18 11:30:00,170311006001029.0,41.97697,-87.78787,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:30:00,170311006001029.0,41.97698,-87.78787,10.97,10.97,10.97,10.97,1.0
2017-07-18 11:30:00,170311006001029.0,41.977,-87.78787,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:30:00,170311006001029.0,41.97701,-87.78787,10.97,10.97,10.97,10.97,1.0
2017-07-18 11:30:00,170311006001029.0,41.97702,-87.78786,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:30:00,170311006001029.0,41.97704,-87.78786,11.12,11.12,11.12,22.24,2.0
2017-07-18 11:30:00,170311006001029.0,41.97706,-87.78786,11.815000000000001,11.815000000000001,12.0,23.630000000000003,2.0
2017-07-18 11:30:00,170311006001029.0,41.97708,-87.78786,11.34,11.34,11.34,11.34,1.0
2017-07-18 11:30:00,170311006001029.0,41.97708,-87.78785,11.04,11.04,11.04,11.04,1.0
2017-07-18 11:30:00,170311006001029.0,41.97709,-87.78785,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:30:00,170311006001029.0,41.9771,-87.78785,12.08,12.08,12.08,12.08,1.0
2017-07-18 11:30:00,170311006001029.0,41.97735,-87.78784,11.49,11.49,11.49,11.49,1.0
2017-07-18 11:30:00,170311006001030.0,41.9763,-87.78789,12.08,12.08,12.08,12.08,1.0
2017-07-18 11:30:00,170311006001030.0,41.97631,-87.78789,11.56,11.56,11.56,11.56,1.0
2017-07-18 11:30:00,170311006001030.0,41.97632,-87.78789,11.49,11.49,11.49,11.49,1.0
2017-07-18 11:30:00,170311006001030.0,41.97633,-87.78789,11.86,11.86,11.86,11.86,1.0
2017-07-18 11:30:00,170311006001030.0,41.97634,-87.78788,12.23,12.23,12.23,12.23,1.0
2017-07-18 11:30:00,170311006001030.0,41.97635,-87.78788,12.08,12.08,12.08,12.08,1.0
2017-07-18 11:30:00,170311006001030.0,41.97636,-87.78788,12.82,12.82,12.82,12.82,1.0
2017-07-18 11:30:00,170311006001030.0,41.97638,-87.78788,12.600000000000001,12.600000000000001,12.82,25.200000000000003,2.0
2017-07-18 11:30:00,170311006001030.0,41.9764,-87.78789,12.23,12.23,12.23,12.23,1.0
2017-07-18 11:30:00,170311006001030.0,41.97641,-87.78789,12.23,12.23,12.23,12.23,1.0
2017-07-18 11:30:00,170311006001030.0,41.97642,-87.78789,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:30:00,170311006001030.0,41.97643,-87.78789,10.97,10.97,10.97,10.97,1.0
2017-07-18 11:30:00,170311006001030.0,41.97644,-87.7879,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:30:00,170311006001030.0,41.97645,-87.78791,11.56,11.56,11.56,11.56,1.0
2017-07-18 11:30:00,170311006001030.0,41.97646,-87.78791,11.34,11.34,11.34,11.34,1.0
2017-07-18 11:30:00,170311006001030.0,41.97647,-87.78791,11.34,11.34,11.34,11.34,1.0
2017-07-18 11:30:00,170311006001030.0,41.97648,-87.78791,10.785,10.785,10.97,21.57,2.0
2017-07-18 11:30:00,170311006001030.0,41.97649,-87.78791,10.75,10.75,10.75,10.75,1.0
2017-07-18 11:30:00,170311006001030.0,41.9765,-87.78791,10.97,10.97,10.97,10.97,1.0
2017-07-18 11:30:00,170311006001030.0,41.97652,-87.78791,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:30:00,170311006001030.0,41.97653,-87.78791,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:30:00,170311006001030.0,41.97654,-87.78791,11.04,11.04,11.04,11.04,1.0
2017-07-18 11:30:00,170311006001030.0,41.97655,-87.78791,10.594999999999999,10.594999999999999,10.67,21.189999999999998,2.0
2017-07-18 11:30:00,170311006001030.0,41.97656,-87.78791,10.3,10.3,10.3,10.3,1.0
2017-07-18 11:30:00,170311006001030.0,41.97657,-87.78791,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:30:00,170311006001030.0,41.97658,-87.78791,10.52,10.52,10.52,10.52,1.0
2017-07-18 11:30:00,170311006001030.0,41.9766,-87.78791,10.6,10.6,10.6,10.6,1.0
2017-07-18 11:30:00,170311006001030.0,41.97661,-87.78791,11.04,11.04,11.04,11.04,1.0
2017-07-18 11:30:00,170311006001030.0,41.97662,-87.78791,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:30:00,170311006001030.0,41.97663,-87.78792,10.75,10.75,10.75,10.75,1.0
2017-07-18 11:30:00,170311006001030.0,41.97665,-87.78792,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:30:00,170311006001030.0,41.97665,-87.78786,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:30:00,170311006001030.0,41.97666,-87.78792,10.75,10.75,10.75,10.75,1.0
2017-07-18 11:30:00,170311006001030.0,41.97666,-87.78786,10.07,10.07,10.07,10.07,1.0
2017-07-18 11:30:00,170311006001030.0,41.97667,-87.78791,10.15,10.15,10.15,10.15,1.0
2017-07-18 11:30:00,170311006001030.0,41.97668,-87.78791,9.78,9.78,9.78,9.78,1.0
2017-07-18 11:30:00,170311006001030.0,41.97668,-87.78786,10.45,10.45,10.45,10.45,1.0
2017-07-18 11:30:00,170311006001030.0,41.97669,-87.78786,10.6,10.6,10.6,10.6,1.0
2017-07-18 11:30:00,170311006001030.0,41.9767,-87.7879,10.52,10.52,10.52,10.52,1.0
2017-07-18 11:30:00,170311006001030.0,41.9767,-87.78786,10.15,10.15,10.15,10.15,1.0
2017-07-18 11:30:00,170311006001030.0,41.97671,-87.78789,10.89,10.89,10.89,10.89,1.0
2017-07-18 11:30:00,170311006001030.0,41.97671,-87.78786,9.63,9.63,9.63,9.63,1.0
2017-07-18 11:30:00,170311006001030.0,41.97672,-87.78788,11.78,11.78,11.78,11.78,1.0
2017-07-18 11:30:00,170311006001030.0,41.97672,-87.78787,11.93,11.93,11.93,11.93,1.0
2017-07-18 11:30:00,170311006001030.0,41.97672,-87.78786,9.25,9.25,9.25,9.25,1.0
2017-07-18 11:30:00,170311006001030.0,41.97673,-87.78788,11.56,11.56,11.56,11.56,1.0
2017-07-18 11:30:00,170311006001030.0,41.97673,-87.78787,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:30:00,170311006001030.0,41.97674,-87.78787,11.82,11.82,11.93,23.64,2.0
2017-07-18 11:30:00,170311006001030.0,41.97674,-87.78786,9.4,9.4,9.4,9.4,1.0
2017-07-18 11:30:00,170311006001030.0,41.97676,-87.78788,11.49,11.49,11.49,11.49,1.0
2017-07-18 11:30:00,170311006001030.0,41.97676,-87.78787,11.78,11.78,11.78,11.78,1.0
2017-07-18 11:30:00,170311006001030.0,41.97677,-87.78788,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:30:00,170311006001030.0,41.97678,-87.78788,11.78,11.78,11.78,11.78,1.0
2017-07-18 11:30:00,170311006001030.0,41.97679,-87.78788,11.71,11.71,11.71,11.71,1.0
2017-07-18 11:30:00,170311006001030.0,41.9768,-87.78788,11.56,11.56,11.56,11.56,1.0
2017-07-18 11:30:00,170311006001030.0,41.97681,-87.78788,11.63,11.63,11.63,11.63,1.0
2017-07-18 11:30:00,170311006001030.0,41.97682,-87.78788,11.86,11.86,11.86,11.86,1.0
2017-07-18 11:30:00,170311006001030.0,41.97683,-87.78788,12.305,12.305,12.38,24.61,2.0
2017-07-18 11:30:00,170311006001030.0,41.97684,-87.78788,12.08,12.08,12.08,12.08,1.0
2017-07-18 11:30:00,170311006001030.0,41.97685,-87.78788,11.71,11.71,11.71,11.71,1.0
2017-07-18 11:30:00,170311006001030.0,41.97686,-87.78788,11.56,11.56,11.71,23.12,2.0
2017-07-18 11:30:00,170311006001030.0,41.97687,-87.78788,11.34,11.34,11.34,11.34,1.0
2017-07-18 11:30:00,170311006001030.0,41.97688,-87.78789,10.6,10.6,10.6,10.6,1.0
2017-07-18 11:30:00,170311006001030.0,41.97688,-87.78788,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:30:00,170311006001030.0,41.97689,-87.78789,10.45,10.45,10.45,10.45,1.0
2017-07-18 11:30:00,170311006001030.0,41.9769,-87.78789,10.0,10.0,10.0,10.0,1.0
2017-07-18 11:30:00,170311006001030.0,41.97692,-87.78788,9.78,9.78,9.78,9.78,1.0
2017-07-18 11:30:00,170311006001030.0,41.97693,-87.78788,10.0,10.0,10.0,10.0,1.0
2017-07-18 11:30:00,170311006001030.0,41.97694,-87.78787,9.7,9.7,9.7,9.7,1.0
2017-07-18 11:30:00,170311006001030.0,41.97695,-87.78787,10.15,10.15,10.15,10.15,1.0
2017-07-18 11:30:00,170311006001030.0,41.97696,-87.78787,9.78,9.78,9.78,9.78,1.0
2017-07-18 11:30:00,170311006002000.0,41.97616,-87.78786,9.48,9.48,9.48,9.48,1.0
2017-07-18 11:30:00,170311006002000.0,41.97617,-87.78786,9.02,9.02,9.02,9.02,1.0
2017-07-18 11:30:00,170311006002000.0,41.97618,-87.78787,9.7,9.7,9.7,9.7,1.0
2017-07-18 11:30:00,170311006002000.0,41.97618,-87.78786,9.4,9.4,9.4,9.4,1.0
2017-07-18 11:30:00,170311006002000.0,41.97619,-87.78787,9.55,9.55,9.55,9.55,1.0
2017-07-18 11:30:00,170311006002000.0,41.9762,-87.78787,10.86,10.86,10.97,21.72,2.0
2017-07-18 11:30:00,170311006002000.0,41.97621,-87.78787,11.19,11.19,11.19,11.19,1.0
2017-07-18 11:30:00,170311006002000.0,41.97622,-87.78788,10.93,10.93,10.97,21.86,2.0
2017-07-18 11:30:00,170311006002000.0,41.97624,-87.78788,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:30:00,170311006002000.0,41.97625,-87.78788,10.52,10.52,10.52,10.52,1.0
2017-07-18 11:30:00,170311006002000.0,41.97626,-87.78788,10.67,10.67,10.67,10.67,1.0
2017-07-18 11:30:00,170311006002000.0,41.97627,-87.78788,10.82,10.82,10.82,10.82,1.0
2017-07-18 11:30:00,170311006002000.0,41.97628,-87.78789,11.26,11.26,11.26,11.26,1.0
2017-07-18 11:30:00,170311006002000.0,41.97629,-87.78789,11.56,11.56,11.56,11.56,1.0
2017-07-18 11:30:00,170311007001018.0,41.96912,-87.78801,9.55,9.55,9.55,9.55,1.0
2017-07-18 11:30:00,170311007001018.0,41.96912,-87.788,10.15,10.15,10.15,10.15,1.0
2017-07-18 11:30:00,170311007001018.0,41.96914,-87.78801,9.7,9.7,9.7,9.7,1.0
2017-07-18 11:30:00,170311007001018.0,41.96915,-87.78801,9.32,9.32,9.32,9.32,1.0
2017-07-18 11:30:00,170311007001018.0,41.96916,-87.78801,9.17,9.17,9.17,9.17,1.0
2017-07-18 11:30:00,170311007001018.0,41.96917,-87.78801,9.85,9.85,9.85,9.85,1.0
2017-07-18 11:30:00,170311007001018.0,41.96918,-87.78801,9.625,9.625,9.93,19.25,2.0
2017-07-18 11:30:00,170311007001018.0,41.96919,-87.78801,9.55,9.55,9.55,9.55,1.0
2017-07-18 11:30:00,170311007001018.0,41.9692,-87.788,10.37,10.37,10.37,10.37,1.0
2017-07-18 11:30:00,170311007001018.0,41.96925,-87.788,8.95,8.95,8.95,8.95,1.0
2017-07-18 11:30:00,170311007001018.0,41.96926,-87.788,8.26,8.26,8.26,8.26,1.0
2017-07-18 11:30:00,170311007001018.0,41.96928,-87.788,7.765000000000001,7.765000000000001,7.8,15.530000000000001,2.0
2017-07-18 11:30:00,170311007001018.0,41.96929,-87.788,8.49,8.49,8.49,8.49,1.0
2017-07-18 11:30:00,170311103005025.0,41.96922,-87.788,10.0,10.0,10.0,10.0,1.0
