thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2019-05-16 13:00:00,170317608011000.0,41.9841,-87.84628,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98411,-87.84608,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98413,-87.84567,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317608011000.0,41.98413,-87.84548,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98414,-87.84528,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98414,-87.84509,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98416,-87.84491,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98417,-87.84455,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011000.0,41.98418,-87.84438,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98418,-87.8442,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98419,-87.84402,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.9842,-87.84386,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98421,-87.84352,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011000.0,41.98422,-87.84317,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011000.0,41.98423,-87.843,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98424,-87.84282,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98426,-87.84248,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317608011000.0,41.98427,-87.8423,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98428,-87.8421,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011000.0,41.98429,-87.84191,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98404,-87.84824,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317608011002.0,41.98405,-87.84779,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170317608011002.0,41.98405,-87.84757,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98406,-87.84891,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317608011002.0,41.98406,-87.84868,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98406,-87.84734,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98408,-87.84934,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98409,-87.84691,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317608011002.0,41.98409,-87.8467,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.9841,-87.84649,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98473,-87.85516,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98479,-87.85478,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011002.0,41.98482,-87.85458,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98485,-87.85436,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011002.0,41.98487,-87.85392,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317608011004.0,41.9841,-87.84956,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317608011004.0,41.98417,-87.84999,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98421,-87.85021,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170317608011004.0,41.9843,-87.85063,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98435,-87.85085,3.5,3.5,4.0,7.0,2.0
2019-05-16 13:00:00,170317608011004.0,41.98444,-87.85127,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98449,-87.85149,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98454,-87.8517,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98458,-87.85191,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98462,-87.85214,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011004.0,41.98471,-87.85257,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98476,-87.85278,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011004.0,41.98482,-87.85322,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011004.0,41.98484,-87.85345,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011008.0,41.98463,-87.85565,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011008.0,41.9847,-87.85534,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011009.0,41.98436,-87.85656,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011009.0,41.98441,-87.85639,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608011009.0,41.98443,-87.8563,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011009.0,41.98446,-87.85622,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608011009.0,41.98448,-87.85613,5.0,5.0,5.0,5.0,1.0
2019-05-16 13:00:00,170317608011009.0,41.98452,-87.85603,5.0,5.0,5.0,5.0,1.0
2019-05-16 13:00:00,170317608011009.0,41.98459,-87.8558,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317608012000.0,41.98429,-87.8417,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608012000.0,41.98431,-87.8413,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317608012000.0,41.98432,-87.84111,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608012000.0,41.98433,-87.84074,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170317608012001.0,41.98437,-87.84031,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170317608012001.0,41.98438,-87.84009,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98438,-87.8395,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98439,-87.83988,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98439,-87.83969,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.9844,-87.83932,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98441,-87.83897,4.0,4.0,5.0,8.0,2.0
2019-05-16 13:00:00,170317608012001.0,41.98442,-87.83878,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98443,-87.8386,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98444,-87.83841,5.0,5.0,5.0,5.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98446,-87.83821,5.0,5.0,5.0,5.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98448,-87.83781,5.0,5.0,5.0,10.0,2.0
2019-05-16 13:00:00,170317608012001.0,41.98449,-87.83761,5.0,5.0,5.0,5.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.98449,-87.83702,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608012001.0,41.9845,-87.8374,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608012002.0,41.98451,-87.83721,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317608012002.0,41.98451,-87.83662,3.5,3.5,4.0,7.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98216,-87.87671,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98217,-87.87656,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98221,-87.87698,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98225,-87.87629,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98226,-87.87711,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.9823,-87.87616,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98232,-87.87722,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98235,-87.87604,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98241,-87.87591,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98252,-87.87735,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98276,-87.87736,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98288,-87.87734,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98314,-87.87731,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98327,-87.87729,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.9834,-87.87728,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98352,-87.87729,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98366,-87.87731,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98393,-87.87741,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98405,-87.87749,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98428,-87.87768,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.9844,-87.87779,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98463,-87.87803,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98474,-87.87816,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98497,-87.87837,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.9851,-87.87845,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98538,-87.87856,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98568,-87.87861,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98582,-87.87864,1.0,1.0,1.0,1.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98598,-87.87866,1.0,1.0,1.0,2.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98632,-87.87868,1.0,1.0,1.0,1.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.9865,-87.8787,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98667,-87.87872,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98684,-87.87874,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.987,-87.87876,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98734,-87.87879,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98752,-87.87882,1.0,1.0,1.0,2.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98788,-87.8789,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98806,-87.87895,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98841,-87.87905,1.0,1.0,1.0,1.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98858,-87.87911,1.5,1.5,2.0,3.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98893,-87.8793,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.9891,-87.8794,3.5,3.5,4.0,7.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98944,-87.87964,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.98961,-87.87978,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.98992,-87.88011,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99006,-87.88028,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99033,-87.88065,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99044,-87.88084,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99067,-87.88125,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99078,-87.88145,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99101,-87.88184,4.0,4.0,4.0,4.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99112,-87.88204,4.0,4.0,4.0,8.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99134,-87.88241,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99146,-87.88259,3.0,3.0,3.0,6.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99171,-87.88297,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99184,-87.88313,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99213,-87.88345,3.0,3.0,3.0,3.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99229,-87.8836,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99261,-87.88388,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99277,-87.88398,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.9931,-87.88414,1.0,1.0,1.0,1.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99328,-87.88421,1.0,1.0,1.0,2.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.9936,-87.88433,1.0,1.0,1.0,1.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99374,-87.88439,1.0,1.0,1.0,2.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99401,-87.88448,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99413,-87.8845,1.0,1.0,1.0,2.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99434,-87.88454,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99442,-87.88454,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99456,-87.88453,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99461,-87.88453,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99464,-87.88452,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99465,-87.88452,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99465,-87.88451,2.0,2.0,2.0,8.0,4.0
2019-05-16 13:00:00,170317707002011.0,41.99466,-87.88451,2.0,2.0925925925925926,3.0,113.0,54.0
2019-05-16 13:00:00,170317707002011.0,41.99467,-87.88451,1.0,1.0,1.0,1.0,1.0
2019-05-16 13:00:00,170317707002011.0,41.99472,-87.88451,1.0,1.0,1.0,2.0,2.0
2019-05-16 13:00:00,170317707002011.0,41.99483,-87.88455,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170319800001014.0,41.99385,-87.8858,1.5,1.5,2.0,3.0,2.0
2019-05-16 13:00:00,170319800001014.0,41.9942,-87.8858,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170319800001014.0,41.99436,-87.8858,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170319800001014.0,41.99449,-87.88581,2.0,2.0,2.0,2.0,1.0
2019-05-16 13:00:00,170319800001014.0,41.99471,-87.88582,2.0,2.0,2.0,4.0,2.0
2019-05-16 13:00:00,170319800001014.0,41.9948,-87.8858,1.0,1.0,1.0,1.0,1.0
2019-05-16 13:00:00,170319800001014.0,41.99492,-87.8857,2.5,2.5,3.0,5.0,2.0
2019-05-16 13:00:00,170319800001056.0,41.99488,-87.88459,1.5,1.5,2.0,3.0,2.0
2019-05-16 13:00:00,170319800001057.0,41.99494,-87.88471,1.0,1.0,1.0,2.0,2.0
