thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-26 20:00:00,170318364003027.0,41.81697,-87.60670999999999,10.67,10.67,10.67,10.67,1.0
2017-04-26 20:00:00,170318364003027.0,41.81698,-87.6067,10.67,10.67,10.67,10.67,1.0
2017-04-26 20:00:00,170318364003027.0,41.817,-87.6067,10.15,10.15,10.15,10.15,1.0
2017-04-26 20:00:00,170318364003027.0,41.817009999999996,-87.6067,10.22,10.22,10.22,10.22,1.0
2017-05-05 20:00:00,170318364001000.0,41.8242,-87.59826,1.94,1.94,1.94,1.94,1.0
2017-05-05 20:00:00,170318364001000.0,41.82423,-87.59825,1.82,1.82,1.82,1.82,1.0
2017-05-05 20:00:00,170318364001000.0,41.82427,-87.59824,2.0,2.0,2.0,2.0,1.0
2017-05-05 20:00:00,170318364001000.0,41.82431,-87.59823,2.44,2.44,2.44,2.44,1.0
2017-05-05 20:00:00,170318364001000.0,41.82435,-87.59822,2.51,2.51,2.51,2.51,1.0
2017-05-05 20:00:00,170318364001000.0,41.82439,-87.59822,2.25,2.25,2.25,2.25,1.0
2017-05-05 20:00:00,170318364001000.0,41.82443,-87.59821,2.06,2.06,2.06,2.06,1.0
2017-05-05 20:00:00,170318364001000.0,41.82447,-87.59821,2.64,2.64,2.64,2.64,1.0
2017-05-05 20:00:00,170318364001000.0,41.82451,-87.59821,2.57,2.57,2.57,2.57,1.0
2017-05-05 20:00:00,170318364001000.0,41.82455,-87.59821,2.84,2.84,2.84,2.84,1.0
2017-05-05 20:00:00,170318364001000.0,41.82459,-87.59822,2.71,2.71,2.71,2.71,1.0
2017-05-05 20:00:00,170318364001000.0,41.82463,-87.59822,2.57,2.57,2.57,2.57,1.0
2017-05-05 20:00:00,170318364001000.0,41.824670000000005,-87.59822,2.44,2.44,2.44,2.44,1.0
2017-05-05 20:00:00,170318364001000.0,41.824709999999996,-87.59822,3.33,3.33,3.33,3.33,1.0
2017-05-05 20:00:00,170318364001000.0,41.82475,-87.59822,3.12,3.12,3.12,3.12,1.0
2017-05-05 20:00:00,170318364001000.0,41.82479,-87.59822,3.91,3.91,3.91,3.91,1.0
2017-05-05 20:00:00,170318364001000.0,41.82483,-87.59822,3.98,3.98,3.98,3.98,1.0
2017-05-05 20:00:00,170318364001000.0,41.824870000000004,-87.59822,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170318364001000.0,41.8249,-87.59822,4.2,4.2,4.2,4.2,1.0
2017-05-05 20:00:00,170318364001000.0,41.82493,-87.59822,4.13,4.13,4.13,4.13,1.0
2017-05-05 20:00:00,170318364001000.0,41.82497,-87.59823,3.83,3.83,3.83,3.83,1.0
2017-05-05 20:00:00,170318364001000.0,41.82501,-87.59823,3.69,3.69,3.69,3.69,1.0
2017-05-05 20:00:00,170318364001000.0,41.82505,-87.59822,3.47,3.47,3.47,3.47,1.0
2017-05-05 20:00:00,170318364001000.0,41.82508,-87.59822,3.12,3.12,3.12,3.12,1.0
2017-05-05 20:00:00,170318364001000.0,41.82512,-87.59821,3.05,3.05,3.05,3.05,1.0
2017-05-05 20:00:00,170318364001000.0,41.82516,-87.5982,3.12,3.12,3.12,3.12,1.0
2017-05-05 20:00:00,170318364001000.0,41.82519,-87.59818,3.47,3.47,3.47,3.47,1.0
2017-05-05 20:00:00,170318364001000.0,41.82523,-87.59817,4.43,4.43,4.43,4.43,1.0
2017-05-05 20:00:00,170318364001000.0,41.82526,-87.59814,4.28,4.28,4.28,4.28,1.0
2017-05-05 20:00:00,170318364001000.0,41.82529,-87.59812,3.83,3.83,3.83,3.83,1.0
2017-05-05 20:00:00,170318364001000.0,41.82532,-87.59809,3.62,3.62,3.62,3.62,1.0
