thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-03 22:30:00,170318422001006.0,41.910709999999995,-87.64878,25.74,25.56052631578948,28.82,485.65000000000015,19.0
2017-04-03 22:30:00,170318422001006.0,41.910779999999995,-87.64869,23.6,23.6,23.6,23.6,1.0
2017-04-03 22:30:00,170318422001006.0,41.910790000000006,-87.64868,24.96,24.96,24.96,24.96,1.0
2017-04-03 22:30:00,170318422001006.0,41.91081,-87.64868,25.47,25.47,25.47,25.47,1.0
2017-04-03 22:30:00,170318422001006.0,41.91082,-87.64867,24.96,24.96,24.96,24.96,1.0
2017-04-03 22:30:00,170318422001006.0,41.91085,-87.64865999999999,23.48,23.48,23.48,23.48,1.0
2017-04-03 22:30:00,170318422001006.0,41.91086,-87.64865,24.33,24.33,24.33,24.33,1.0
2017-04-03 22:30:00,170318422001006.0,41.91088,-87.64864,24.46,24.46,24.46,24.46,1.0
2017-04-03 22:30:00,170318422001006.0,41.9109,-87.64862,26.27,26.27,26.27,26.27,1.0
2017-04-03 22:30:00,170318422001006.0,41.9109,-87.64860999999999,27.66,27.66,27.66,27.66,1.0
2017-04-03 22:30:00,170318422001006.0,41.91091,-87.6486,28.38,28.38,28.38,28.38,1.0
2017-04-04 09:30:00,170310718002001.0,41.911390000000004,-87.64780999999999,4.96,4.96,4.96,4.96,1.0
2017-04-04 09:30:00,170310718002001.0,41.9114,-87.64797,5.34,5.34,5.34,5.34,1.0
2017-04-04 09:30:00,170310718002001.0,41.9114,-87.64789,5.03,5.03,5.03,5.03,1.0
2017-04-04 09:30:00,170310718002003.0,41.91095,-87.64743,6.19,6.19,6.19,6.19,1.0
2017-04-04 09:30:00,170310718002003.0,41.91101,-87.64744,6.03,6.03,6.03,6.03,1.0
2017-04-04 09:30:00,170310718002003.0,41.91106,-87.64744,5.65,5.65,5.65,5.65,1.0
2017-04-04 09:30:00,170310718002003.0,41.91111,-87.64744,4.73,4.73,4.73,4.73,1.0
2017-04-04 09:30:00,170310718002003.0,41.911159999999995,-87.64746,5.03,5.03,5.03,5.03,1.0
2017-04-04 09:30:00,170310718002003.0,41.9112,-87.6475,5.49,5.49,5.49,5.49,1.0
2017-04-04 09:30:00,170310718002003.0,41.91125,-87.64753,4.73,4.73,4.73,4.73,1.0
2017-04-04 09:30:00,170310718002003.0,41.91129,-87.64758,4.43,4.43,4.43,4.43,1.0
2017-04-04 09:30:00,170310718002003.0,41.91133,-87.64763,4.5,4.5,4.5,4.5,1.0
2017-04-04 09:30:00,170310718002003.0,41.91135,-87.64768000000001,4.81,4.81,4.81,4.81,1.0
2017-04-04 09:30:00,170310718002003.0,41.91138,-87.64827,5.65,5.65,5.65,5.65,1.0
2017-04-04 09:30:00,170310718002003.0,41.91138,-87.6482,5.72,5.72,5.72,5.72,1.0
2017-04-04 09:30:00,170310718002003.0,41.91138,-87.64813000000001,5.49,5.49,5.49,5.49,1.0
2017-04-04 09:30:00,170310718002003.0,41.91138,-87.64774,4.73,4.73,4.73,4.73,1.0
2017-04-04 09:30:00,170310718002003.0,41.911390000000004,-87.64805,5.34,5.34,5.34,5.34,1.0
2017-04-04 09:30:00,170310803001004.0,41.90716,-87.63722,6.42,6.42,6.42,6.42,1.0
2017-04-04 09:30:00,170310803001004.0,41.90729,-87.63722,6.8,6.8,6.8,6.8,1.0
2017-04-04 09:30:00,170310803001004.0,41.90742,-87.63723,7.27,7.27,7.27,7.27,1.0
2017-04-04 09:30:00,170310803001004.0,41.90755,-87.63724,7.11,7.11,7.11,7.11,1.0
