thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2019-07-10 20:30:00,170315001004030.0,41.70749,-87.60404,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315001004030.0,41.7075,-87.604,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315001004030.0,41.7075,-87.60393,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70745,-87.60278,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70745,-87.60262,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70745,-87.60245,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70745,-87.60228,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70746,-87.60194,4.0,3.6666666666666665,4.0,11.0,3.0
2019-07-10 20:30:00,170315002001000.0,41.70748,-87.6016,3.5,3.5,4.0,7.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.7075,-87.60126,4.5,4.5,5.0,9.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70751,-87.60089,5.0,5.0,5.0,10.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70752,-87.60052,5.0,5.0,5.0,5.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70753,-87.60034,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70754,-87.60015,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70754,-87.59996,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70754,-87.59801,2.5,2.5,3.0,5.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70754,-87.59762,2.0,2.0,2.0,2.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.5996,5.0,5.0,5.0,5.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59942,4.5,4.5,5.0,9.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59923,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59905,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59871,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59854,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59836,3.5,3.5,4.0,7.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59724,2.0,2.0,2.0,2.0,1.0
2019-07-10 20:30:00,170315002001000.0,41.70755,-87.59706,2.5,2.5,3.0,5.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70756,-87.59688,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002001000.0,41.70758,-87.59654,2.0,2.0,2.0,4.0,2.0
2019-07-10 20:30:00,170315002001003.0,41.70745,-87.60324,3.5,3.5,4.0,7.0,2.0
2019-07-10 20:30:00,170315002001003.0,41.70745,-87.60294,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001003.0,41.70747,-87.60353,3.5,3.5,4.0,7.0,2.0
2019-07-10 20:30:00,170315002001003.0,41.70748,-87.60376,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002001003.0,41.70748,-87.60366,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001005.0,41.70743,-87.60454,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002001005.0,41.70743,-87.60442,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002001005.0,41.70744,-87.6043,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002001005.0,41.70745,-87.6042,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002001006.0,41.70742,-87.60643,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002001006.0,41.70743,-87.6063,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001006.0,41.70743,-87.60626,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002001006.0,41.70743,-87.60469,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002001006.0,41.70744,-87.60516,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002001006.0,41.70744,-87.605,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002001006.0,41.70745,-87.60584,4.0,4.0,4.0,8.0,2.0
2019-07-10 20:30:00,170315002001006.0,41.70745,-87.60567,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002001006.0,41.70745,-87.60548,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70258,-87.59417,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70272,-87.59417,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70299,-87.59418,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70325,-87.59419,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70339,-87.5942,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70367,-87.5942,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.7038,-87.5942,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70406,-87.5942,4.0,4.0,4.0,8.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70431,-87.59421,4.0,4.0,4.0,8.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70458,-87.59422,4.0,4.0,4.0,8.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70488,-87.59422,4.0,4.0,4.0,8.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70519,-87.59421,4.0,4.0,4.0,12.0,3.0
2019-07-10 20:30:00,170315002002003.0,41.70535,-87.59421,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70551,-87.5942,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70584,-87.59419,3.5,3.5,4.0,7.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.7062,-87.59416,4.0,4.0,4.0,4.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70638,-87.59414,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70662,-87.59409,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70683,-87.59404,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70709,-87.59403,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.7072,-87.59404,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002003.0,41.70728,-87.59404,2.0,2.0,2.0,2.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70741,-87.59407,2.0,2.0,2.0,2.0,1.0
2019-07-10 20:30:00,170315002002003.0,41.70748,-87.59408,1.5,1.5,2.0,3.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.6959,-87.59676,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69594,-87.59708,5.0,5.0,5.0,5.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69594,-87.59707,4.0,4.333333333333333,5.0,13.0,3.0
2019-07-10 20:30:00,170315002002005.0,41.69594,-87.59706,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69595,-87.59709,5.0,5.0,5.0,10.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69595,-87.59704,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69596,-87.59712,5.0,5.0,5.0,10.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69596,-87.59702,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69596,-87.59701,2.0,2.0,2.0,2.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69597,-87.59716,5.0,5.0,5.0,10.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69598,-87.59699,2.0,2.0,2.0,4.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69598,-87.59672,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69599,-87.59724,5.0,5.0,5.0,10.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69599,-87.59698,2.0,2.0,2.0,4.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69602,-87.59696,2.0,2.0,2.0,2.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69603,-87.59736,4.0,4.0,4.0,8.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69603,-87.59705,2.0,2.0,2.0,4.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69603,-87.59695,2.0,2.0,2.0,4.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69604,-87.59699,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69606,-87.59893,3.0,3.0,3.0,12.0,4.0
2019-07-10 20:30:00,170315002002005.0,41.69607,-87.59893,3.0,3.0,3.0,9.0,3.0
2019-07-10 20:30:00,170315002002005.0,41.69607,-87.5975,4.5,4.5,5.0,9.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69607,-87.5969,2.0,2.0,2.0,4.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69607,-87.59688,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69608,-87.59892,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69608,-87.5972,2.0,2.0,2.0,4.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69608,-87.59682,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69608,-87.59668,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.6961,-87.59756,5.0,5.0,5.0,5.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69611,-87.59892,3.0,3.0,3.0,6.0,2.0
2019-07-10 20:30:00,170315002002005.0,41.69611,-87.59888,3.0,3.0,3.0,3.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69611,-87.59684,2.0,2.0,2.0,2.0,1.0
2019-07-10 20:30:00,170315002002005.0,41.69612,-87.5968,2.0,2.0,2.0,2.0,1.0
