thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-08-14 14:00:00,170315401011002.0,41.65353,-87.60491,6.61,6.61,6.65,13.22,2.0
2017-08-14 14:00:00,170315401013000.0,41.6571,-87.59801,5.65,5.65,5.65,5.65,1.0
2017-08-14 14:00:00,170315401013000.0,41.6571,-87.59795,5.42,5.42,5.42,5.42,1.0
2017-08-14 14:00:00,170315401013000.0,41.65711,-87.59806,6.03,6.03,6.03,6.03,1.0
2017-08-14 14:00:00,170315401013000.0,41.65712,-87.5981,6.34,6.34,6.34,6.34,1.0
2017-08-14 14:00:00,170315401013000.0,41.65713,-87.59814,6.5,6.5,6.5,6.5,1.0
2017-08-14 14:00:00,170315401013000.0,41.65714,-87.59818,6.65,6.65,6.65,6.65,1.0
2017-08-14 14:00:00,170315401013000.0,41.65714,-87.59817,6.88,6.88,6.88,6.88,1.0
2017-08-14 14:00:00,170315401013000.0,41.65715,-87.5982,6.8,6.8,6.8,6.8,1.0
2017-08-14 14:00:00,170315401013000.0,41.65716,-87.59822,6.65,6.65,6.65,6.65,1.0
2017-08-14 14:00:00,170315401013000.0,41.65717,-87.59826,6.73,6.73,6.73,6.73,1.0
2017-08-14 14:00:00,170315401013000.0,41.65718,-87.59832,6.73,6.73,6.73,6.73,1.0
2017-08-14 14:00:00,170315401013000.0,41.6572,-87.5984,7.04,7.04,7.04,7.04,1.0
2017-08-14 14:00:00,170315401013000.0,41.65722,-87.59849,6.34,6.34,6.34,6.34,1.0
2017-08-14 14:00:00,170315401013000.0,41.65724,-87.59859,7.11,7.11,7.11,7.11,1.0
2017-08-14 14:00:00,170315401013000.0,41.65725,-87.59935,7.34,7.34,7.34,7.34,1.0
2017-08-14 14:00:00,170315401013000.0,41.65726,-87.59929,7.65,7.65,7.65,7.65,1.0
2017-08-14 14:00:00,170315401013000.0,41.65726,-87.5987,7.27,7.27,7.27,7.27,1.0
2017-08-14 14:00:00,170315401013000.0,41.65727,-87.59921,8.03,8.03,8.03,8.03,1.0
2017-08-14 14:00:00,170315401013000.0,41.65727,-87.59912,7.73,7.73,7.73,7.73,1.0
2017-08-14 14:00:00,170315401013000.0,41.65727,-87.59881,6.88,6.88,6.88,6.88,1.0
2017-08-14 14:00:00,170315401013000.0,41.65728,-87.59902,7.57,7.57,7.57,7.57,1.0
2017-08-14 14:00:00,170315401013000.0,41.65728,-87.59891,6.88,6.88,6.88,6.88,1.0
2017-08-14 14:00:00,170315401013001.0,41.65584,-87.60233,6.42,6.42,6.42,6.42,1.0
2017-08-14 14:00:00,170315401013001.0,41.65591,-87.60233,6.11,6.11,6.11,6.11,1.0
2017-08-14 14:00:00,170315401013001.0,41.65598,-87.60233,6.57,6.57,6.57,6.57,1.0
2017-08-14 14:00:00,170315401013001.0,41.6562,-87.60232,6.11,6.11,6.11,6.11,1.0
2017-08-14 14:00:00,170315401013001.0,41.65627,-87.60231,5.88,5.88,5.88,5.88,1.0
2017-08-14 14:00:00,170315401013001.0,41.65634,-87.60231,5.34,5.34,5.34,5.34,1.0
2017-08-14 14:00:00,170315401013001.0,41.6564,-87.60232,5.26,5.26,5.26,5.26,1.0
2017-08-14 14:00:00,170315401013001.0,41.65648,-87.60232,5.26,5.26,5.26,5.26,1.0
2017-08-14 14:00:00,170315401013001.0,41.65703,-87.60233,4.5,4.5,4.5,4.5,1.0
2017-08-14 14:00:00,170315401013001.0,41.65708,-87.60232,4.81,4.81,4.81,4.81,1.0
2017-08-14 14:00:00,170315401013001.0,41.6571,-87.60231,4.88,4.88,4.88,4.88,1.0
2017-08-14 14:00:00,170315401013001.0,41.65713,-87.6023,5.11,5.11,5.11,5.11,1.0
2017-08-14 14:00:00,170315401013001.0,41.65715,-87.60226,5.49,5.49,5.49,5.49,1.0
2017-08-14 14:00:00,170315401013001.0,41.65716,-87.6022,5.65,5.65,5.65,5.65,1.0
2017-08-14 14:00:00,170315401013001.0,41.65717,-87.60213,5.88,5.88,5.88,5.88,1.0
2017-08-14 14:00:00,170315401013001.0,41.65717,-87.60204,5.49,5.49,5.49,5.49,1.0
2017-08-14 14:00:00,170315401013001.0,41.65717,-87.60193,5.65,5.65,5.65,5.65,1.0
2017-08-14 14:00:00,170315401013001.0,41.65718,-87.60182,5.65,5.65,5.65,5.65,1.0
2017-08-14 14:00:00,170315401013001.0,41.65718,-87.6017,5.72,5.72,5.72,5.72,1.0
