thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63065,12.15,12.15,12.15,12.15,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63059,11.41,11.41,11.41,11.41,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63051999999999,10.45,10.45,10.45,10.45,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63046,9.78,9.78,9.78,9.78,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.6304,8.49,8.49,8.49,8.49,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63034,8.8,8.8,8.8,8.8,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63027,8.11,8.11,8.11,8.11,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63020999999999,8.64,8.64,8.64,8.64,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63014,9.1,9.1,9.1,9.1,1.0
2017-07-13 20:30:00,170310810006000.0,41.90368,-87.63002,9.1,9.1,9.1,9.1,1.0
2017-07-13 20:30:00,170310810006000.0,41.903690000000005,-87.63071,12.97,12.97,12.97,12.97,1.0
2017-07-13 20:30:00,170310810006000.0,41.903690000000005,-87.63008,9.02,9.02,9.02,9.02,1.0
2017-07-13 20:30:00,170310810006001.0,41.90367,-87.63132,10.225,10.225,10.45,20.45,2.0
2017-07-13 20:30:00,170310810006001.0,41.90368,-87.63122,10.26,10.26,10.45,20.52,2.0
2017-07-13 20:30:00,170310810006001.0,41.9037,-87.63084,14.18,14.18,14.18,14.18,1.0
2017-07-13 20:30:00,170310810006001.0,41.9037,-87.63081,13.57,13.57,13.57,13.57,1.0
2017-07-13 20:30:00,170310810006001.0,41.9037,-87.63076,13.8,13.8,13.8,13.8,1.0
2017-07-13 20:30:00,170310810006001.0,41.90371,-87.63114,9.7,9.7,9.7,9.7,1.0
2017-07-13 20:30:00,170310810006001.0,41.90371,-87.63088,13.95,13.95,13.95,13.95,1.0
2017-07-13 20:30:00,170310810006001.0,41.903729999999996,-87.63110999999999,9.63,9.63,9.63,9.63,1.0
2017-07-13 20:30:00,170310810006001.0,41.903729999999996,-87.63091,13.19,13.19,13.19,13.19,1.0
2017-07-13 20:30:00,170310810006001.0,41.903729999999996,-87.6309,13.57,13.57,13.57,13.57,1.0
2017-07-13 20:30:00,170310810006001.0,41.90375,-87.63109,9.85,9.85,9.85,9.85,1.0
2017-07-13 20:30:00,170310810006001.0,41.90375,-87.63093,13.19,13.19,13.19,13.19,1.0
2017-07-13 20:30:00,170310810006001.0,41.90376,-87.63105999999999,9.78,9.78,9.78,9.78,1.0
2017-07-13 20:30:00,170310810006001.0,41.90376,-87.63094,9.815,10.1475,13.05,162.36,16.0
2017-07-13 20:30:00,170310811003000.0,41.90357,-87.62876999999999,10.52,10.52,10.52,10.52,1.0
2017-07-13 20:30:00,170310811003000.0,41.9036,-87.62876,9.93,9.93,9.93,9.93,1.0
2017-07-13 20:30:00,170310811003000.0,41.90363,-87.62876,9.4,9.4,9.4,9.4,1.0
2017-07-13 20:30:00,170310811003000.0,41.90365,-87.62876,9.55,9.55,9.55,9.55,1.0
2017-07-13 20:30:00,170310811003000.0,41.9037,-87.62933000000001,10.82,10.82,10.82,10.82,1.0
2017-07-13 20:30:00,170310811003000.0,41.9037,-87.62926999999999,11.86,11.86,11.86,11.86,1.0
2017-07-13 20:30:00,170310811003000.0,41.9037,-87.62878,9.32,9.32,9.32,9.32,1.0
2017-07-13 20:30:00,170310811003000.0,41.90371,-87.62939,10.0,10.0,10.0,10.0,1.0
2017-07-13 20:30:00,170310811003000.0,41.90371,-87.62921999999999,11.71,11.71,11.71,11.71,1.0
2017-07-13 20:30:00,170310811003000.0,41.90371,-87.62916,12.97,12.97,12.97,12.97,1.0
2017-07-13 20:30:00,170310811003000.0,41.90371,-87.6291,13.57,13.57,13.57,13.57,1.0
2017-07-13 20:30:00,170310811003000.0,41.90371,-87.62904,13.87,13.87,13.87,13.87,1.0
2017-07-13 20:30:00,170310811003000.0,41.90371,-87.62898,13.57,13.57,13.57,13.57,1.0
2017-07-13 20:30:00,170310811003000.0,41.90371,-87.62892,14.48,14.48,14.48,14.48,1.0
2017-07-13 20:30:00,170310811003000.0,41.90372,-87.62885,15.26,15.26,15.26,15.26,1.0
2017-07-13 20:30:00,170310811003000.0,41.903729999999996,-87.62879000000001,15.03,15.03,15.03,15.03,1.0
2017-07-13 20:30:00,170310811003000.0,41.90374,-87.62875,9.17,9.17,9.17,9.17,1.0
2017-07-13 20:30:00,170310811003000.0,41.90374,-87.62873,14.56,14.56,14.56,14.56,1.0
2017-07-13 20:30:00,170310811003000.0,41.90379,-87.62872,9.25,9.25,9.25,9.25,1.0
2017-07-13 20:30:00,170310811003000.0,41.90383,-87.62873,8.95,8.95,8.95,8.95,1.0
2017-07-13 20:30:00,170310811003000.0,41.90388,-87.62874000000001,9.02,9.02,9.02,9.02,1.0
2017-07-13 20:30:00,170310811003000.0,41.903929999999995,-87.62874000000001,8.72,8.72,8.72,8.72,1.0
2017-07-13 20:30:00,170310811003001.0,41.90368,-87.62995,8.72,8.72,8.72,8.72,1.0
2017-07-13 20:30:00,170310811003001.0,41.90368,-87.62987,8.57,8.57,8.57,8.57,1.0
2017-07-13 20:30:00,170310811003001.0,41.90368,-87.6298,7.65,7.65,7.65,7.65,1.0
2017-07-13 20:30:00,170310811003001.0,41.90368,-87.62975,8.11,8.11,8.11,8.11,1.0
2017-07-13 20:30:00,170310811003001.0,41.90368,-87.62966999999999,8.49,8.49,8.49,8.49,1.0
2017-07-13 20:30:00,170310811003001.0,41.90368,-87.6296,8.72,8.72,8.72,8.72,1.0
2017-07-13 20:30:00,170310811003001.0,41.903690000000005,-87.62955,9.25,9.25,9.25,9.25,1.0
2017-07-13 20:30:00,170310811003001.0,41.9037,-87.6295,9.63,9.63,9.63,9.63,1.0
2017-07-13 20:30:00,170310811003001.0,41.9037,-87.62945,9.85,9.85,9.85,9.85,1.0
2017-07-13 20:30:00,170310811003002.0,41.902770000000004,-87.62854,15.11,15.11,15.11,15.11,1.0
2017-07-13 20:30:00,170310811003002.0,41.902809999999995,-87.62856,14.95,14.95,14.95,14.95,1.0
2017-07-13 20:30:00,170310811003002.0,41.90286,-87.62859,14.25,14.25,14.25,14.25,1.0
2017-07-13 20:30:00,170310811003002.0,41.9029,-87.62861,13.72,13.72,13.72,13.72,1.0
2017-07-13 20:30:00,170310811003002.0,41.90295,-87.62863,12.97,12.97,12.97,12.97,1.0
2017-07-13 20:30:00,170310811003002.0,41.90299,-87.62867,12.97,12.97,12.97,12.97,1.0
2017-07-13 20:30:00,170310811003002.0,41.903040000000004,-87.62869,12.75,12.75,12.75,12.75,1.0
2017-07-13 20:30:00,170310811003002.0,41.9031,-87.6287,11.78,11.78,11.78,11.78,1.0
2017-07-13 20:30:00,170310811003002.0,41.90316,-87.6287,10.97,10.97,10.97,10.97,1.0
2017-07-13 20:30:00,170310811003003.0,41.903209999999994,-87.6287,10.97,10.97,10.97,10.97,1.0
2017-07-13 20:30:00,170310811003003.0,41.90327,-87.62871,11.04,11.04,11.04,11.04,1.0
2017-07-13 20:30:00,170310811003003.0,41.90332,-87.62872,11.34,11.34,11.34,11.34,1.0
2017-07-13 20:30:00,170310811003003.0,41.90337,-87.62872,11.41,11.41,11.41,11.41,1.0
2017-07-13 20:30:00,170310811003003.0,41.90341,-87.62872,10.6,10.6,10.6,10.6,1.0
2017-07-13 20:30:00,170310811003003.0,41.90345,-87.62874000000001,10.97,10.97,10.97,10.97,1.0
2017-07-13 20:30:00,170310811003003.0,41.903490000000005,-87.62875,10.37,10.37,10.37,10.37,1.0
2017-07-13 20:30:00,170310811003003.0,41.90354,-87.62876,11.12,11.12,11.12,11.12,1.0
