thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-03 20:00:00,170310703001003.0,41.93226,-87.65319000000001,12.0,12.0,12.0,12.0,1.0
2017-04-03 20:00:00,170310703001003.0,41.9324,-87.65319000000001,12.15,12.15,12.15,12.15,1.0
2017-04-03 20:00:00,170310703001003.0,41.93255,-87.6532,12.75,12.75,12.75,12.75,1.0
2017-04-03 20:00:00,170310703001006.0,41.93092,-87.65312,13.57,13.57,13.57,13.57,1.0
2017-04-03 20:00:00,170310703001006.0,41.93107,-87.65313,12.82,12.82,12.82,12.82,1.0
2017-04-03 20:00:00,170310703001006.0,41.93121,-87.65314000000001,12.15,12.15,12.15,12.15,1.0
2017-04-03 20:00:00,170310703001006.0,41.93136,-87.65315,11.71,11.71,11.71,11.71,1.0
2017-04-03 20:00:00,170310703001006.0,41.931509999999996,-87.65315,12.38,12.38,12.38,12.38,1.0
2017-04-03 20:00:00,170310703001006.0,41.9318,-87.65316,12.23,12.23,12.23,12.23,1.0
2017-04-03 20:00:00,170310703001006.0,41.93196,-87.65316999999999,11.71,11.71,11.71,11.71,1.0
2017-04-03 20:00:00,170310703001006.0,41.932109999999994,-87.65318,12.0,12.0,12.0,12.0,1.0
2017-04-03 20:00:00,170310703001018.0,41.92965,-87.65312,13.57,13.57,13.57,13.57,1.0
2017-04-03 20:00:00,170310703001018.0,41.929829999999995,-87.65311,13.12,13.12,13.12,13.12,1.0
2017-04-03 20:00:00,170310703001018.0,41.93,-87.65311,13.27,13.27,13.27,13.27,1.0
2017-04-03 20:00:00,170310703001018.0,41.930170000000004,-87.65311,13.87,13.87,13.87,13.87,1.0
2017-04-03 20:00:00,170310703001018.0,41.93032,-87.65311,13.49,13.49,13.49,13.49,1.0
2017-04-03 20:00:00,170310703001018.0,41.930479999999996,-87.65312,14.02,14.02,14.02,14.02,1.0
2017-04-03 20:00:00,170310703001018.0,41.93076,-87.65312,14.02,14.02,14.02,14.02,1.0
2017-04-03 20:00:00,170310703001020.0,41.92904,-87.65312,13.27,13.27,13.27,13.27,1.0
2017-04-03 20:00:00,170310703001020.0,41.92917,-87.65312,13.05,13.05,13.05,13.05,1.0
2017-04-03 20:00:00,170310703001020.0,41.929320000000004,-87.65312,13.8,13.8,13.8,13.8,1.0
2017-04-03 20:00:00,170310703001022.0,41.92869,-87.65313,13.27,13.27,13.27,13.27,1.0
2017-04-03 20:00:00,170310703001022.0,41.92887,-87.65313,13.42,13.42,13.42,13.42,1.0
2017-04-03 20:00:00,170310703001023.0,41.92853,-87.65312,13.65,13.65,13.65,13.65,1.0
2017-04-03 20:00:00,170310703001024.0,41.92745,-87.65299,13.12,13.12,13.12,13.12,1.0
