thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-13 07:00:00,170315501005031.0,41.66647,-87.54638,8.03,8.03,8.03,8.03,1.0
2017-07-13 07:00:00,170315501005031.0,41.66647,-87.54623,8.19,8.19,8.19,8.19,1.0
2017-07-13 07:00:00,170318388002067.0,41.66189,-87.54945,9.4,9.4,9.4,9.4,1.0
2017-07-13 07:00:00,170318388002067.0,41.66192,-87.54946,9.55,9.55,9.55,9.55,1.0
2017-07-13 07:00:00,170318388002067.0,41.66196,-87.54946,9.85,9.85,9.85,9.85,1.0
2017-07-13 07:00:00,170318388002067.0,41.66202,-87.54946,9.4,9.4,9.4,9.4,1.0
2017-07-13 07:00:00,170318388002067.0,41.66208,-87.54945,9.85,9.85,9.85,9.85,1.0
2017-07-13 07:00:00,170318388002067.0,41.66214,-87.54945,9.85,9.85,9.85,9.85,1.0
2017-07-13 07:00:00,170318388002067.0,41.6622,-87.54944,9.4,9.4,9.4,9.4,1.0
2017-07-13 07:00:00,170318388002067.0,41.66228,-87.54944,8.64,8.64,8.64,8.64,1.0
2017-07-13 07:00:00,170318388002067.0,41.66235,-87.54944,8.42,8.42,8.42,8.42,1.0
2017-07-13 07:00:00,170318388002067.0,41.66242,-87.54944,8.57,8.57,8.57,8.57,1.0
2017-07-13 07:00:00,170318388002067.0,41.66251,-87.54945,8.64,8.64,8.64,8.64,1.0
2017-07-13 07:00:00,170318388002067.0,41.6626,-87.54944,9.02,9.02,9.02,9.02,1.0
2017-07-13 07:00:00,170318388002067.0,41.66268,-87.54944,9.17,9.17,9.17,9.17,1.0
2017-07-13 07:00:00,170318388002067.0,41.66277,-87.54944,9.7,9.7,9.7,9.7,1.0
2017-07-13 07:00:00,170318388002067.0,41.66286,-87.54945,9.7,9.7,9.7,9.7,1.0
2017-07-13 07:00:00,170318388002067.0,41.66294,-87.54944,9.32,9.32,9.32,9.32,1.0
2017-07-13 07:00:00,170318388002067.0,41.66303,-87.54944,9.4,9.4,9.4,9.4,1.0
2017-07-13 07:00:00,170318388002067.0,41.6631,-87.54944,9.85,9.85,9.85,9.85,1.0
2017-07-13 07:00:00,170318388002067.0,41.66322,-87.54944,10.22,10.22,10.22,10.22,1.0
2017-07-13 07:00:00,170318388002067.0,41.6633,-87.54945,10.89,10.89,10.89,10.89,1.0
2017-07-13 07:00:00,170318388002067.0,41.66339,-87.54946,10.97,10.97,10.97,10.97,1.0
2017-07-13 07:00:00,170318388002067.0,41.6635,-87.54946,10.75,10.75,10.75,10.75,1.0
2017-07-13 07:00:00,170318388002067.0,41.66359,-87.54946,10.45,10.45,10.45,10.45,1.0
2017-07-13 07:00:00,170318388002067.0,41.66367,-87.54947,9.93,9.93,9.93,9.93,1.0
2017-07-13 07:00:00,170318388002067.0,41.66376,-87.54948,10.0,10.0,10.0,10.0,1.0
2017-07-13 07:00:00,170318388002067.0,41.66384,-87.54948,11.12,11.12,11.12,11.12,1.0
2017-07-13 07:00:00,170318388002067.0,41.66393,-87.54948,11.19,11.19,11.19,11.19,1.0
2017-07-13 07:00:00,170318388002067.0,41.66402,-87.54948,10.67,10.67,10.67,10.67,1.0
2017-07-13 07:00:00,170318388002067.0,41.6641,-87.54948,10.07,10.07,10.07,10.07,1.0
2017-07-13 07:00:00,170318388002067.0,41.66429,-87.54948,9.705,9.705,9.93,19.41,2.0
2017-07-13 07:00:00,170318388002067.0,41.66442,-87.54948,9.059999999999999,9.059999999999999,9.25,18.119999999999997,2.0
2017-07-13 07:00:00,170318388002067.0,41.66448,-87.54948,8.64,8.64,8.64,8.64,1.0
2017-07-13 07:00:00,170318388002067.0,41.66452,-87.54949,8.11,8.11,8.11,8.11,1.0
2017-07-13 07:00:00,170318388002067.0,41.66457,-87.54948,7.88,7.88,7.88,7.88,1.0
2017-07-13 07:00:00,170318388002067.0,41.6646,-87.54948,7.65,7.65,7.65,7.65,1.0
2017-07-13 07:00:00,170318388002067.0,41.66464,-87.54947,7.88,7.88,7.88,7.88,1.0
2017-07-13 07:00:00,170318388002067.0,41.66469,-87.54947,8.42,8.42,8.42,8.42,1.0
2017-07-13 07:00:00,170318388002067.0,41.66647,-87.54681,8.03,8.03,8.03,8.03,1.0
2017-07-13 07:00:00,170318388002067.0,41.66647,-87.54652,7.65,7.65,7.65,7.65,1.0
2017-07-13 07:00:00,170318388002067.0,41.66648,-87.54727,6.73,6.73,6.73,6.73,1.0
2017-07-13 07:00:00,170318388002067.0,41.66648,-87.54711,6.96,6.96,6.96,6.96,1.0
2017-07-13 07:00:00,170318388002067.0,41.66648,-87.54696,7.5,7.5,7.5,7.5,1.0
2017-07-13 07:00:00,170318388002067.0,41.66648,-87.54667,7.8,7.8,7.8,7.8,1.0
2017-07-13 07:00:00,170318388002067.0,41.66649,-87.54789,7.42,7.42,7.42,7.42,1.0
