thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-03 13:00:00,170310815003006.0,41.88965,-87.62512,2.77,2.77,2.77,2.77,1.0
2017-04-03 13:00:00,170310815003006.0,41.88968,-87.62510999999999,2.71,2.71,2.71,2.71,1.0
2017-04-03 13:00:00,170310815003013.0,41.88946,-87.6252,2.38,2.38,2.38,2.38,1.0
2017-04-03 13:00:00,170310815003013.0,41.88949,-87.62524,3.05,3.05,3.05,3.05,1.0
2017-04-03 13:00:00,170310815003013.0,41.8896,-87.62514,2.57,2.57,2.57,2.57,1.0
2017-04-03 18:30:00,170310812021008.0,41.900209999999994,-87.61878,4.13,4.13,4.13,4.13,1.0
2017-04-03 18:30:00,170310812021008.0,41.90028,-87.61884,3.83,3.83,3.83,3.83,1.0
2017-04-03 18:30:00,170310812021008.0,41.90036,-87.6189,3.47,3.47,3.47,3.47,1.0
2017-04-03 18:30:00,170310812021008.0,41.90044,-87.61896,3.69,3.69,3.69,3.69,1.0
2017-04-03 18:30:00,170310812021008.0,41.90052,-87.619,3.83,3.83,3.83,3.83,1.0
2017-04-03 18:30:00,170310812021008.0,41.9006,-87.61906,3.54,3.54,3.54,3.54,1.0
2017-04-03 18:30:00,170310812021008.0,41.900690000000004,-87.61910999999999,4.13,4.13,4.13,4.13,1.0
2017-04-03 18:30:00,170310812021008.0,41.90077,-87.61916,4.65,4.65,4.65,4.65,1.0
2017-04-03 18:30:00,170310812021008.0,41.90084,-87.61921,4.81,4.81,4.81,4.81,1.0
2017-04-03 18:30:00,170310812021008.0,41.90092,-87.61926,4.58,4.58,4.58,4.58,1.0
2017-04-03 18:30:00,170310813002000.0,41.89938,-87.61822,2.71,2.71,2.71,2.71,1.0
2017-04-03 18:30:00,170310813002000.0,41.89945,-87.61825999999999,2.64,2.64,2.64,2.64,1.0
2017-04-03 18:30:00,170310813002000.0,41.89952,-87.61831,2.51,2.51,2.51,2.51,1.0
2017-04-03 18:30:00,170310813002000.0,41.8996,-87.61836,2.91,2.91,2.91,2.91,1.0
2017-04-03 18:30:00,170310813002000.0,41.89967,-87.61841,3.12,3.12,3.12,3.12,1.0
2017-04-03 18:30:00,170310813002000.0,41.89974,-87.61846,3.4,3.4,3.4,3.4,1.0
2017-04-03 18:30:00,170310813002000.0,41.89982,-87.61851999999999,3.98,3.98,3.98,3.98,1.0
2017-04-03 18:30:00,170310813002000.0,41.89989,-87.61856,4.35,4.35,4.35,4.35,1.0
2017-04-03 18:30:00,170310813002000.0,41.89996,-87.61861,3.91,3.91,3.91,3.91,1.0
2017-04-03 18:30:00,170310813002000.0,41.900040000000004,-87.61867,3.69,3.69,3.69,3.69,1.0
2017-04-03 18:30:00,170310813002000.0,41.90013,-87.61872,4.2,4.2,4.2,4.2,1.0
2017-04-03 18:30:00,170310813002006.0,41.89878,-87.61785,2.64,2.64,2.64,2.64,1.0
2017-04-03 18:30:00,170310813002006.0,41.89884,-87.61789,2.44,2.44,2.44,2.44,1.0
2017-04-03 18:30:00,170310813002006.0,41.89891,-87.61793,2.25,2.25,2.25,2.25,1.0
2017-04-03 18:30:00,170310813002006.0,41.89898,-87.61796,2.77,2.77,2.77,2.77,1.0
2017-04-03 18:30:00,170310813002006.0,41.89904,-87.61801,2.77,2.77,2.77,2.77,1.0
2017-04-03 18:30:00,170310813002006.0,41.89911,-87.61805,2.57,2.57,2.57,2.57,1.0
2017-04-03 18:30:00,170310813002006.0,41.89917,-87.61809000000001,2.77,2.77,2.77,2.77,1.0
2017-04-03 18:30:00,170310813002006.0,41.89924,-87.61813000000001,2.51,2.51,2.51,2.51,1.0
2017-04-03 18:30:00,170310813002006.0,41.89931,-87.61816999999999,2.77,2.77,2.77,2.77,1.0
2017-04-03 18:30:00,170310813004006.0,41.89694,-87.61659,3.295,3.295,3.4,6.59,2.0
2017-04-03 18:30:00,170310813004006.0,41.89711,-87.61672,3.12,3.12,3.19,6.24,2.0
2017-04-03 18:30:00,170310813004006.0,41.89719,-87.61678,2.91,2.91,2.91,2.91,1.0
2017-04-03 18:30:00,170310813004006.0,41.89734,-87.61688000000001,2.71,2.71,2.71,2.71,1.0
2017-04-03 18:30:00,170310813004006.0,41.89741,-87.61693000000001,2.64,2.64,2.64,2.64,1.0
2017-04-03 18:30:00,170310813004006.0,41.89748,-87.61697,2.57,2.57,2.57,2.57,1.0
2017-04-03 18:30:00,170310813004006.0,41.89755,-87.61702,2.57,2.57,2.57,2.57,1.0
2017-04-03 18:30:00,170310813004006.0,41.89763,-87.61707,2.84,2.84,2.84,2.84,1.0
2017-04-03 18:30:00,170310813004006.0,41.8977,-87.61712,3.19,3.19,3.19,3.19,1.0
2017-04-03 18:30:00,170310813004006.0,41.89777,-87.61717,2.91,2.91,2.91,2.91,1.0
2017-04-03 18:30:00,170310813004006.0,41.89784,-87.61721999999999,2.64,2.64,2.64,2.64,1.0
2017-04-03 18:30:00,170310813004006.0,41.897909999999996,-87.61728000000001,2.44,2.44,2.44,2.44,1.0
2017-04-03 18:30:00,170310813004006.0,41.89799,-87.61733000000001,2.19,2.19,2.19,2.19,1.0
2017-04-03 18:30:00,170310813004006.0,41.89806,-87.61738000000001,2.12,2.12,2.12,2.12,1.0
2017-04-03 18:30:00,170310813004006.0,41.89813,-87.61744,2.19,2.19,2.19,2.19,1.0
2017-04-03 18:30:00,170310813004006.0,41.89821,-87.61749,2.12,2.12,2.12,2.12,1.0
2017-04-03 18:30:00,170310813004006.0,41.89828,-87.61754,2.0,2.0,2.0,2.0,1.0
2017-04-03 18:30:00,170310813004006.0,41.89836,-87.61759,2.19,2.19,2.19,2.19,1.0
2017-04-03 18:30:00,170310813004006.0,41.89843,-87.61764000000001,2.31,2.31,2.31,2.31,1.0
2017-04-03 18:30:00,170310813004006.0,41.8985,-87.61768000000001,2.31,2.31,2.31,2.31,1.0
2017-04-03 18:30:00,170310813004006.0,41.89857,-87.61773000000001,2.12,2.12,2.12,2.12,1.0
2017-04-03 18:30:00,170310813004006.0,41.89864,-87.61777,1.94,1.94,1.94,1.94,1.0
2017-04-03 18:30:00,170310813004006.0,41.898709999999994,-87.61780999999999,2.31,2.31,2.31,2.31,1.0
2017-04-03 18:30:00,170310814012000.0,41.895959999999995,-87.61591999999999,2.7750000000000004,2.7750000000000004,2.91,5.550000000000002,2.0
2017-04-03 18:30:00,170310814012000.0,41.89602,-87.61598000000001,2.51,2.51,2.51,2.51,1.0
2017-04-03 18:30:00,170310814012000.0,41.8961,-87.61604,2.31,2.31,2.31,2.31,1.0
2017-04-03 18:30:00,170310814012000.0,41.896159999999995,-87.6161,2.57,2.57,2.57,2.57,1.0
2017-04-03 18:30:00,170310814012000.0,41.89624,-87.61615,2.38,2.38,2.38,2.38,1.0
2017-04-03 18:30:00,170310814012000.0,41.89632,-87.61619,2.71,2.71,2.71,2.71,1.0
2017-04-03 18:30:00,170310814012000.0,41.8964,-87.61624,2.84,2.84,2.84,2.84,1.0
2017-04-03 18:30:00,170310814012000.0,41.89649,-87.6163,2.64,2.64,2.64,2.64,1.0
2017-04-03 18:30:00,170310814012000.0,41.89658,-87.61635,2.84,2.84,2.84,2.84,1.0
2017-04-03 18:30:00,170310814012000.0,41.89675,-87.61646999999999,2.915,2.915,3.19,5.83,2.0
2017-04-03 18:30:00,170310814012004.0,41.8943,-87.61493,1.76,1.76,1.76,1.76,1.0
2017-04-03 18:30:00,170310814012004.0,41.89433,-87.61496,1.65,1.65,1.65,1.65,1.0
2017-04-03 18:30:00,170310814012004.0,41.89436,-87.61499,1.48,1.48,1.48,1.48,1.0
2017-04-03 18:30:00,170310814012004.0,41.8944,-87.61502,1.43,1.43,1.43,1.43,1.0
2017-04-03 18:30:00,170310814012004.0,41.89443,-87.61505,1.48,1.48,1.48,1.48,1.0
2017-04-03 18:30:00,170310814012004.0,41.89447,-87.61506999999999,1.48,1.48,1.48,1.48,1.0
2017-04-03 18:30:00,170310814012004.0,41.89452,-87.61509000000001,1.48,1.48,1.48,1.48,1.0
2017-04-03 18:30:00,170310814012004.0,41.89457,-87.61511,1.38,1.38,1.38,1.38,1.0
2017-04-03 18:30:00,170310814012004.0,41.89463,-87.61513000000001,1.48,1.48,1.48,1.48,1.0
2017-04-03 18:30:00,170310814012004.0,41.894709999999996,-87.61516,1.48,1.48,1.48,1.48,1.0
2017-04-03 18:30:00,170310814012004.0,41.89478,-87.6152,1.59,1.59,1.59,1.59,1.0
2017-04-03 18:30:00,170310814012004.0,41.89485,-87.61525,1.82,1.82,1.82,1.82,1.0
2017-04-03 18:30:00,170310814012004.0,41.89492,-87.6153,1.7,1.7,1.7,1.7,1.0
2017-04-03 18:30:00,170310814012004.0,41.895,-87.61534,1.76,1.76,1.76,1.76,1.0
2017-04-03 18:30:00,170310814012004.0,41.8951,-87.61539,2.25,2.25,2.25,2.25,1.0
2017-04-03 18:30:00,170310814012004.0,41.89519,-87.61544,2.25,2.25,2.25,2.25,1.0
2017-04-03 18:30:00,170310814012004.0,41.895270000000004,-87.6155,2.19,2.19,2.19,2.19,1.0
2017-04-03 18:30:00,170310814012004.0,41.895340000000004,-87.61556,2.44,2.44,2.44,2.44,1.0
2017-04-03 18:30:00,170310814012004.0,41.89543,-87.61561,2.44,2.44,2.44,2.44,1.0
2017-04-03 18:30:00,170310814012004.0,41.895509999999994,-87.61565,2.57,2.57,2.57,2.57,1.0
2017-04-03 18:30:00,170310814012004.0,41.895590000000006,-87.61569,2.64,2.64,2.64,2.64,1.0
2017-04-03 18:30:00,170310814012004.0,41.89567,-87.61573,2.98,2.98,2.98,2.98,1.0
2017-04-03 18:30:00,170310814012004.0,41.89574,-87.61578,2.98,2.98,2.98,2.98,1.0
2017-04-03 18:30:00,170310814012004.0,41.89582,-87.61582,3.19,3.19,3.19,3.19,1.0
2017-04-03 18:30:00,170310814012012.0,41.89373,-87.61439,1.65,1.65,1.65,1.65,1.0
2017-04-03 18:30:00,170310814012012.0,41.89376,-87.61442,1.54,1.54,1.54,1.54,1.0
2017-04-03 18:30:00,170310814012012.0,41.89378,-87.61445,1.48,1.48,1.48,1.48,1.0
2017-04-03 18:30:00,170310814012012.0,41.893809999999995,-87.61448,1.88,1.88,1.88,1.88,1.0
2017-04-03 18:30:00,170310814012012.0,41.893840000000004,-87.61451,2.25,2.25,2.25,2.25,1.0
2017-04-03 18:30:00,170310814012012.0,41.89387,-87.61453,2.12,2.12,2.12,2.12,1.0
2017-04-03 18:30:00,170310814012012.0,41.89391,-87.61456,2.51,2.51,2.51,2.51,1.0
2017-04-03 18:30:00,170310814012012.0,41.89394,-87.61459,2.31,2.31,2.31,2.31,1.0
2017-04-03 18:30:00,170310814012012.0,41.89398,-87.61462,2.25,2.25,2.25,2.25,1.0
