thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-17 18:00:00,170312804001025.0,41.885020000000004,-87.67531,9.02,9.02,9.02,9.02,1.0
2017-07-17 18:00:00,170312804001025.0,41.885020000000004,-87.67511999999999,9.17,9.17,9.17,9.17,1.0
2017-07-17 18:00:00,170312804001025.0,41.885020000000004,-87.67493,9.25,9.25,9.25,9.25,1.0
2017-07-17 18:00:00,170312804001025.0,41.88503,-87.67475,8.95,8.95,8.95,8.95,1.0
2017-07-17 18:00:00,170312804001025.0,41.885040000000004,-87.67456,9.02,9.02,9.02,9.02,1.0
2017-07-17 18:00:00,170312804001025.0,41.885040000000004,-87.67437,8.49,8.49,8.49,8.49,1.0
2017-07-17 18:00:00,170312804001027.0,41.885,-87.6705,9.25,9.25,9.25,9.25,1.0
2017-07-17 18:00:00,170312804001027.0,41.885,-87.6703,9.02,9.02,9.02,9.02,1.0
2017-07-17 18:00:00,170312804001027.0,41.885020000000004,-87.67009,9.25,9.25,9.25,9.25,1.0
2017-07-17 18:00:00,170312804001028.0,41.88496,-87.67112,9.32,9.32,9.32,9.32,1.0
2017-07-17 18:00:00,170312804001028.0,41.88497,-87.67092,9.17,9.17,9.17,9.17,1.0
2017-07-17 18:00:00,170312804001028.0,41.88498,-87.67071,9.32,9.32,9.32,9.32,1.0
2017-07-17 18:00:00,170312804001028.0,41.88503,-87.67144,9.63,9.63,9.63,9.63,1.0
2017-07-17 18:00:00,170312804001028.0,41.885059999999996,-87.67168000000001,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:00:00,170312804001029.0,41.88507,-87.67206999999999,8.57,8.57,8.57,8.57,1.0
2017-07-17 18:00:00,170312804001029.0,41.88507,-87.67189,8.49,8.49,8.49,8.49,1.0
2017-07-17 18:00:00,170312804001029.0,41.88508,-87.67226,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:00:00,170312804001030.0,41.88505,-87.67339,9.02,9.02,9.02,9.02,1.0
2017-07-17 18:00:00,170312804001030.0,41.885059999999996,-87.6732,9.17,9.17,9.17,9.17,1.0
2017-07-17 18:00:00,170312804001030.0,41.885059999999996,-87.67300999999999,8.87,8.87,8.87,8.87,1.0
2017-07-17 18:00:00,170312804001030.0,41.885059999999996,-87.67282,8.8,8.8,8.8,8.8,1.0
2017-07-17 18:00:00,170312804001030.0,41.88507,-87.67263,8.34,8.34,8.34,8.34,1.0
2017-07-17 18:00:00,170312804001030.0,41.88507,-87.67244000000001,8.87,8.87,8.87,8.87,1.0
2017-07-17 18:00:00,170312804001031.0,41.88503,-87.67396,8.19,8.19,8.19,8.19,1.0
2017-07-17 18:00:00,170312804001031.0,41.885040000000004,-87.67416999999999,8.19,8.19,8.19,8.19,1.0
2017-07-17 18:00:00,170312804001031.0,41.885040000000004,-87.67376999999999,8.19,8.19,8.19,8.19,1.0
2017-07-17 18:00:00,170312804001031.0,41.88505,-87.67358,8.34,8.34,8.34,8.34,1.0
