thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2018-06-30 13:30:00,170317302011019.0,41.72169,-87.66028,8.0,8.1,10.0,81.0,10.0
2018-06-30 13:30:00,170317302023018.0,41.7216,-87.64453,19.0,19.0,19.0,19.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72079,-87.64333,15.0,15.0,15.0,15.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.7208,-87.6434,10.0,10.0,10.0,10.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72082,-87.64336,17.0,17.0,17.0,17.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72083,-87.64339,19.0,19.0,19.0,19.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64363,22.0,22.0,22.0,22.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.6435,24.0,24.0,25.0,48.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64347,25.0,25.0,25.0,25.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64346,25.0,25.0,25.0,100.0,4.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64345,24.0,24.0,25.0,48.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64344,25.0,25.0,25.0,25.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64343,25.0,25.0,25.0,25.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64342,21.0,21.0,21.0,21.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72084,-87.64335,23.0,23.0,23.0,23.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72085,-87.64369,23.0,23.0,23.0,23.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72085,-87.64341,25.0,25.0,25.0,25.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72085,-87.6434,25.0,25.0,25.0,25.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72085,-87.64339,23.0,23.0,23.0,23.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72085,-87.64338,23.0,23.0,23.0,23.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72085,-87.64337,23.0,23.0,23.0,23.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72086,-87.64336,23.0,23.0,23.0,46.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72087,-87.64336,22.0,22.0,23.0,44.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72087,-87.64335,20.5,20.5,21.0,41.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72088,-87.64335,21.0,21.0,21.0,21.0,1.0
2018-06-30 13:30:00,170317304001000.0,41.72088,-87.64334,21.0,21.0,21.0,42.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72089,-87.64335,21.0,21.0,21.0,42.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.7209,-87.64334,23.0,23.0,23.0,46.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72092,-87.64332,23.0,23.0,23.0,46.0,2.0
2018-06-30 13:30:00,170317304001000.0,41.72093,-87.64331,23.0,23.0,23.0,46.0,2.0
