thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-05-05 19:30:00,170314003001000.0,41.79507,-87.60677,3.26,3.26,3.26,3.26,1.0
2017-05-05 19:30:00,170314003001000.0,41.79508,-87.60733,3.12,3.12,3.12,3.12,1.0
2017-05-05 19:30:00,170314003001000.0,41.79508,-87.6069,3.05,3.05,3.12,6.1,2.0
2017-05-05 19:30:00,170314003001000.0,41.79508,-87.60670999999999,3.05,3.05,3.05,3.05,1.0
2017-05-05 19:30:00,170314003001000.0,41.79508,-87.60664,2.98,2.98,2.98,2.98,1.0
2017-05-05 19:30:00,170314003001000.0,41.79508,-87.60658000000001,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60726,3.12,3.12,3.12,3.12,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.6072,2.98,2.98,2.98,2.98,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60714,2.71,2.71,2.71,2.71,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60701,2.9450000000000003,2.9450000000000003,2.98,5.8900000000000015,2.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60651999999999,2.84,2.84,2.84,2.84,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60645,2.51,2.51,2.51,2.51,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60638,2.31,2.31,2.31,2.31,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60632,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001000.0,41.79509,-87.60625999999999,2.77,2.77,2.77,2.77,1.0
2017-05-05 19:30:00,170314003001001.0,41.79332,-87.61054,3.26,3.26,3.26,3.26,1.0
2017-05-05 19:30:00,170314003001001.0,41.79332,-87.61046999999999,2.84,2.84,2.84,2.84,1.0
2017-05-05 19:30:00,170314003001001.0,41.79332,-87.6104,3.05,3.05,3.05,3.05,1.0
2017-05-05 19:30:00,170314003001001.0,41.79332,-87.61034000000001,3.05,3.05,3.05,3.05,1.0
2017-05-05 19:30:00,170314003001001.0,41.79332,-87.61027,2.77,2.77,2.77,2.77,1.0
2017-05-05 19:30:00,170314003001001.0,41.79333,-87.61067,3.12,3.12,3.12,3.12,1.0
2017-05-05 19:30:00,170314003001001.0,41.79333,-87.6106,3.26,3.26,3.26,3.26,1.0
2017-05-05 19:30:00,170314003001001.0,41.79333,-87.6102,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001001.0,41.79333,-87.61013,2.51,2.51,2.51,2.51,1.0
2017-05-05 19:30:00,170314003001001.0,41.79334,-87.61093000000001,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.79334,-87.61086,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79334,-87.6108,2.84,2.84,2.84,2.84,1.0
2017-05-05 19:30:00,170314003001001.0,41.79334,-87.61074,3.19,3.19,3.19,3.19,1.0
2017-05-05 19:30:00,170314003001001.0,41.79334,-87.61006,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79335,-87.61106,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79335,-87.61099,2.19,2.19,2.19,2.19,1.0
2017-05-05 19:30:00,170314003001001.0,41.79335,-87.60999,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79336,-87.6112,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79336,-87.61113,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79337,-87.61133000000001,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79337,-87.61126999999999,2.31,2.31,2.31,2.31,1.0
2017-05-05 19:30:00,170314003001001.0,41.79337,-87.60991999999999,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79338,-87.6114,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79338,-87.60984,2.71,2.71,2.71,2.71,1.0
2017-05-05 19:30:00,170314003001001.0,41.79339,-87.61145,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.7934,-87.61151,2.84,2.84,2.84,2.84,1.0
2017-05-05 19:30:00,170314003001001.0,41.7934,-87.60977,2.71,2.71,2.71,2.71,1.0
2017-05-05 19:30:00,170314003001001.0,41.793409999999994,-87.61157,3.4,3.4,3.4,3.4,1.0
2017-05-05 19:30:00,170314003001001.0,41.793420000000005,-87.6097,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79343,-87.61164000000001,3.19,3.19,3.19,3.19,1.0
2017-05-05 19:30:00,170314003001001.0,41.793440000000004,-87.60964,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79345,-87.6117,2.84,2.84,2.84,2.84,1.0
2017-05-05 19:30:00,170314003001001.0,41.793459999999996,-87.60956999999999,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.79347,-87.61176,2.71,2.71,2.71,2.71,1.0
2017-05-05 19:30:00,170314003001001.0,41.793490000000006,-87.61183,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.793490000000006,-87.6095,2.31,2.31,2.31,2.31,1.0
2017-05-05 19:30:00,170314003001001.0,41.7935,-87.61189,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001001.0,41.79351,-87.60943,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79352,-87.61196,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79353,-87.60936,2.71,2.71,2.71,2.71,1.0
2017-05-05 19:30:00,170314003001001.0,41.79354,-87.61203,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001001.0,41.79355,-87.6121,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001001.0,41.79355,-87.6093,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79356,-87.61216,2.91,2.91,2.91,2.91,1.0
2017-05-05 19:30:00,170314003001001.0,41.79357,-87.61223000000001,2.98,2.98,2.98,2.98,1.0
2017-05-05 19:30:00,170314003001001.0,41.79357,-87.60924,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79359,-87.61229,2.71,2.71,2.71,2.71,1.0
2017-05-05 19:30:00,170314003001001.0,41.7936,-87.61236,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.7936,-87.60916999999999,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79361,-87.61242,2.91,2.91,2.91,2.91,1.0
2017-05-05 19:30:00,170314003001001.0,41.793620000000004,-87.6091,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79363,-87.61248,2.91,2.91,2.91,2.91,1.0
2017-05-05 19:30:00,170314003001001.0,41.79365,-87.61255,2.71,2.71,2.71,2.71,1.0
2017-05-05 19:30:00,170314003001001.0,41.793659999999996,-87.60904000000001,2.31,2.31,2.31,2.31,1.0
2017-05-05 19:30:00,170314003001001.0,41.79368,-87.61261,3.05,3.05,3.05,3.05,1.0
2017-05-05 19:30:00,170314003001001.0,41.79368,-87.60897,2.51,2.51,2.51,2.51,1.0
2017-05-05 19:30:00,170314003001001.0,41.7937,-87.61267,2.84,2.84,2.84,2.84,1.0
2017-05-05 19:30:00,170314003001001.0,41.79371,-87.60891,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001001.0,41.79372,-87.61273,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001001.0,41.79374,-87.6128,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.79374,-87.60885,2.91,2.91,2.91,2.91,1.0
2017-05-05 19:30:00,170314003001001.0,41.79376,-87.61286,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.79377,-87.60878000000001,2.98,2.98,2.98,2.98,1.0
2017-05-05 19:30:00,170314003001001.0,41.79378,-87.61293,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.7938,-87.61299,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.7938,-87.60871999999999,2.91,2.91,2.91,2.91,1.0
2017-05-05 19:30:00,170314003001001.0,41.793820000000004,-87.61305,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.79383,-87.60866,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79385,-87.61312,2.19,2.19,2.19,2.19,1.0
2017-05-05 19:30:00,170314003001001.0,41.793859999999995,-87.6086,2.57,2.57,2.57,2.57,1.0
2017-05-05 19:30:00,170314003001001.0,41.79387,-87.61318,2.19,2.19,2.19,2.19,1.0
2017-05-05 19:30:00,170314003001001.0,41.793890000000005,-87.61324,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.793890000000005,-87.60854,2.77,2.77,2.77,2.77,1.0
2017-05-05 19:30:00,170314003001001.0,41.79391,-87.6133,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.79392,-87.60849,2.64,2.64,2.64,2.64,1.0
2017-05-05 19:30:00,170314003001001.0,41.793929999999996,-87.61336999999999,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.79395,-87.61343000000001,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79396,-87.60844,2.31,2.31,2.31,2.31,1.0
2017-05-05 19:30:00,170314003001001.0,41.79398,-87.61349,1.88,1.88,1.88,1.88,1.0
2017-05-05 19:30:00,170314003001001.0,41.79399,-87.60839,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.794,-87.61355,1.88,1.88,1.88,1.88,1.0
2017-05-05 19:30:00,170314003001001.0,41.79402,-87.60834,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.79403,-87.61361,1.88,1.88,1.88,1.88,1.0
2017-05-05 19:30:00,170314003001001.0,41.79405,-87.61367,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001001.0,41.794059999999995,-87.60828000000001,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.79408,-87.61373,1.65,1.65,1.65,1.65,1.0
2017-05-05 19:30:00,170314003001001.0,41.794090000000004,-87.60823,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.794109999999996,-87.61379000000001,1.94,1.94,1.94,1.94,1.0
2017-05-05 19:30:00,170314003001001.0,41.794129999999996,-87.60818,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.794140000000006,-87.61384,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79416,-87.6139,2.12,2.12,2.12,2.12,1.0
2017-05-05 19:30:00,170314003001001.0,41.79417,-87.60813,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.79419,-87.61395999999999,1.94,1.94,1.94,1.94,1.0
2017-05-05 19:30:00,170314003001001.0,41.79421,-87.60808,2.31,2.31,2.31,2.31,1.0
2017-05-05 19:30:00,170314003001001.0,41.79422,-87.61402,1.94,1.94,1.94,1.94,1.0
2017-05-05 19:30:00,170314003001001.0,41.79424,-87.61407,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001001.0,41.794259999999994,-87.60804,2.51,2.51,2.51,2.51,1.0
2017-05-05 19:30:00,170314003001001.0,41.794270000000004,-87.61413,1.7,1.7,1.7,1.7,1.0
2017-05-05 19:30:00,170314003001001.0,41.794290000000004,-87.61419000000001,1.54,1.54,1.54,1.54,1.0
2017-05-05 19:30:00,170314003001001.0,41.7943,-87.60799,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.79432,-87.61424,1.48,1.48,1.48,1.48,1.0
2017-05-05 19:30:00,170314003001001.0,41.794340000000005,-87.60795,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79435,-87.6143,1.94,1.94,1.94,1.94,1.0
2017-05-05 19:30:00,170314003001001.0,41.79438,-87.61435999999999,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79438,-87.6079,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79441,-87.6144,1.94,1.94,1.94,1.94,1.0
2017-05-05 19:30:00,170314003001001.0,41.79442,-87.60786,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79445,-87.61445,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001001.0,41.794470000000004,-87.60783,2.19,2.19,2.19,2.19,1.0
2017-05-05 19:30:00,170314003001001.0,41.79449,-87.61448,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001001.0,41.794509999999995,-87.6078,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.79453,-87.61452,2.0,2.0,2.0,2.0,1.0
2017-05-05 19:30:00,170314003001001.0,41.79456,-87.60776,2.38,2.38,2.38,2.38,1.0
2017-05-05 19:30:00,170314003001001.0,41.794579999999996,-87.61454,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001001.0,41.79461,-87.60773,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.79462,-87.61457,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001001.0,41.79466,-87.6146,2.0,2.0,2.0,2.0,1.0
2017-05-05 19:30:00,170314003001001.0,41.79467,-87.6077,1.94,1.94,1.94,1.94,1.0
2017-05-05 19:30:00,170314003001001.0,41.794709999999995,-87.61462,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001001.0,41.79472,-87.60767,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79475,-87.61464000000001,1.65,1.65,1.65,1.65,1.0
2017-05-05 19:30:00,170314003001001.0,41.79477,-87.60763,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.794779999999996,-87.61468,1.54,1.54,1.54,1.54,1.0
2017-05-05 19:30:00,170314003001001.0,41.79483,-87.6076,2.0,2.0,2.0,2.0,1.0
2017-05-05 19:30:00,170314003001001.0,41.79489,-87.60757,2.0,2.0,2.0,2.0,1.0
2017-05-05 19:30:00,170314003001001.0,41.79493,-87.60754,2.06,2.06,2.06,2.06,1.0
2017-05-05 19:30:00,170314003001001.0,41.79497,-87.60750999999999,2.25,2.25,2.25,2.25,1.0
2017-05-05 19:30:00,170314003001001.0,41.79505,-87.60744,2.44,2.44,2.44,2.44,1.0
2017-05-05 19:30:00,170314003001001.0,41.79507,-87.60739000000001,2.67,2.67,2.77,5.34,2.0
2017-05-05 19:30:00,170314003001002.0,41.79484,-87.61477,1.82,1.82,1.82,1.82,1.0
2017-05-05 19:30:00,170314003001002.0,41.79486,-87.61587,2.91,2.91,2.91,2.91,1.0
2017-05-05 19:30:00,170314003001002.0,41.79486,-87.61584,2.98,2.98,2.98,2.98,1.0
2017-05-05 19:30:00,170314003001002.0,41.79486,-87.61581,3.12,3.12,3.12,3.12,1.0
2017-05-05 19:30:00,170314003001002.0,41.79486,-87.61578,3.19,3.19,3.19,3.19,1.0
2017-05-05 19:30:00,170314003001002.0,41.79486,-87.61575,2.91,2.91,2.91,2.91,1.0
