thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-17 18:00:00,170315704002002.0,41.8021,-87.71946,22.22,22.22,22.22,22.22,1.0
2017-07-17 18:00:00,170315704002002.0,41.8022,-87.71921999999999,22.55,22.55,22.55,22.55,1.0
2017-07-17 18:00:00,170315704002002.0,41.80229,-87.71899,21.99,21.99,21.99,21.99,1.0
2017-07-17 18:00:00,170315704002002.0,41.80238,-87.71876,21.13,21.13,21.13,21.13,1.0
2017-07-17 18:00:00,170315704002002.0,41.80247,-87.71853,21.24,21.24,21.24,21.24,1.0
2017-07-17 18:00:00,170315704002002.0,41.80257,-87.71829,21.45,21.45,21.45,21.45,1.0
2017-07-17 18:00:00,170315704002002.0,41.80267,-87.71805,21.13,21.13,21.13,21.13,1.0
2017-07-17 18:00:00,170315704002002.0,41.80276,-87.71781,19.51,19.51,19.51,19.51,1.0
2017-07-17 18:00:00,170316201001000.0,41.80381,-87.71511,21.67,21.67,21.67,21.67,1.0
2017-07-17 18:00:00,170316201001000.0,41.80389,-87.71485,21.24,21.24,21.24,21.24,1.0
2017-07-17 18:00:00,170316201001000.0,41.80395,-87.71459,21.13,21.13,21.13,21.13,1.0
2017-07-17 18:00:00,170316201001000.0,41.80401,-87.71433,20.31,20.31,20.31,20.31,1.0
2017-07-17 18:00:00,170316201001000.0,41.80406,-87.71406999999999,20.71,20.71,20.71,20.71,1.0
2017-07-17 18:00:00,170316201001000.0,41.8041,-87.71381,22.78,22.78,22.78,22.78,1.0
2017-07-17 18:00:00,170316201001007.0,41.80062,-87.7228,21.24,21.24,21.24,21.24,1.0
2017-07-17 18:00:00,170316201001007.0,41.800709999999995,-87.72261,20.92,20.92,20.92,20.92,1.0
2017-07-17 18:00:00,170316201001009.0,41.80038,-87.72333,21.24,21.24,21.24,21.24,1.0
2017-07-17 18:00:00,170316201001009.0,41.80045,-87.72317,21.24,21.24,21.24,21.24,1.0
2017-07-17 18:00:00,170316201001009.0,41.80053,-87.72299,21.24,21.24,21.24,21.24,1.0
2017-07-17 18:00:00,170316202001000.0,41.79738,-87.72341999999999,11.34,11.34,11.34,11.34,1.0
2017-07-17 18:00:00,170316202001000.0,41.79742,-87.72343000000001,11.19,11.19,11.19,11.19,1.0
2017-07-17 18:00:00,170316202001000.0,41.79746,-87.72344,11.26,11.26,11.26,11.26,1.0
2017-07-17 18:00:00,170316202001000.0,41.79749,-87.72344,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:00:00,170316202001000.0,41.79753,-87.72344,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:00:00,170316202001000.0,41.797579999999996,-87.72344,11.71,11.71,11.71,11.71,1.0
2017-07-17 18:00:00,170316202001000.0,41.79763,-87.72345,11.71,11.71,11.71,11.71,1.0
2017-07-17 18:00:00,170316202001000.0,41.79769,-87.72345,10.82,10.82,10.82,10.82,1.0
2017-07-17 18:00:00,170316202001000.0,41.79775,-87.72345,11.26,11.26,11.26,11.26,1.0
2017-07-17 18:00:00,170316202001000.0,41.79781,-87.72344,11.56,11.56,11.56,11.56,1.0
2017-07-17 18:00:00,170316202001000.0,41.79787,-87.72344,11.19,11.19,11.19,11.19,1.0
2017-07-17 18:00:00,170316202001000.0,41.797940000000004,-87.72345,11.41,11.41,11.41,11.41,1.0
2017-07-17 18:00:00,170316202001000.0,41.79801,-87.72345,11.26,11.26,11.26,11.26,1.0
2017-07-17 18:00:00,170316202001000.0,41.79808,-87.72345,11.41,11.41,11.41,11.41,1.0
2017-07-17 18:00:00,170316202001000.0,41.798140000000004,-87.72345,11.49,11.49,11.49,11.49,1.0
2017-07-17 18:00:00,170316202001000.0,41.79821,-87.72345,11.49,11.49,11.49,11.49,1.0
2017-07-17 18:00:00,170316202001000.0,41.79827,-87.72345,11.86,11.86,11.86,11.86,1.0
2017-07-17 18:00:00,170316202001000.0,41.79834,-87.72346,12.38,12.38,12.38,12.38,1.0
2017-07-17 18:00:00,170316202001000.0,41.7984,-87.72346,12.23,12.23,12.23,12.23,1.0
2017-07-17 18:00:00,170316202001000.0,41.79847,-87.72346,11.71,11.71,11.71,11.71,1.0
2017-07-17 18:00:00,170316202001000.0,41.79853,-87.72346,12.0,12.0,12.0,12.0,1.0
2017-07-17 18:00:00,170316202001000.0,41.7986,-87.72346,12.3,12.3,12.3,12.3,1.0
2017-07-17 18:00:00,170316202001000.0,41.79867,-87.72346,12.75,12.75,12.75,12.75,1.0
2017-07-17 18:00:00,170316202001000.0,41.79873,-87.72346,12.67,12.67,12.67,12.67,1.0
2017-07-17 18:00:00,170316202001000.0,41.7988,-87.72346,12.97,12.97,12.97,12.97,1.0
2017-07-17 18:00:00,170316202001000.0,41.79887,-87.72346,12.82,12.82,12.82,12.82,1.0
2017-07-17 18:00:00,170316202001000.0,41.79894,-87.72346,12.52,12.52,12.52,12.52,1.0
2017-07-17 18:00:00,170316202001000.0,41.79902,-87.72346,11.93,11.93,11.93,11.93,1.0
2017-07-17 18:00:00,170316202001000.0,41.79911,-87.72346,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:00:00,170316202001000.0,41.7992,-87.72346,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:00:00,170316202001000.0,41.79929,-87.72346,11.41,11.41,11.41,11.41,1.0
2017-07-17 18:00:00,170316202001000.0,41.79938,-87.72346,11.56,11.56,11.56,11.56,1.0
2017-07-17 18:00:00,170316202001000.0,41.799479999999996,-87.72346,11.56,11.56,11.56,11.56,1.0
2017-07-17 18:00:00,170316202001000.0,41.79957,-87.72346999999999,11.93,11.93,11.93,11.93,1.0
2017-07-17 18:00:00,170316202001000.0,41.799659999999996,-87.72346999999999,11.41,11.41,11.41,11.41,1.0
2017-07-17 18:00:00,170316202001000.0,41.79972,-87.72444,22.385,22.385,22.55,44.77,2.0
2017-07-17 18:00:00,170316202001000.0,41.79973,-87.72446,20.92,20.92,20.92,20.92,1.0
2017-07-17 18:00:00,170316202001000.0,41.79973,-87.72445,21.77,21.77,21.77,21.77,1.0
2017-07-17 18:00:00,170316202001000.0,41.79974,-87.72448,22.78,22.78,22.78,22.78,1.0
2017-07-17 18:00:00,170316202001000.0,41.79975,-87.72346999999999,11.12,11.12,11.12,11.12,1.0
2017-07-17 18:00:00,170316202001000.0,41.79981,-87.72440999999999,21.77,21.77,21.77,21.77,1.0
2017-07-17 18:00:00,170316202001000.0,41.79983,-87.72346999999999,10.97,10.97,10.97,10.97,1.0
2017-07-17 18:00:00,170316202001000.0,41.79992,-87.72348000000001,11.34,11.34,11.34,11.34,1.0
2017-07-17 18:00:00,170316202001000.0,41.8,-87.72348000000001,11.26,11.26,11.26,11.26,1.0
2017-07-17 18:00:00,170316202001000.0,41.800090000000004,-87.72348000000001,10.6,10.6,10.6,10.6,1.0
2017-07-17 18:00:00,170316202001000.0,41.80018,-87.72346,10.67,10.67,10.67,10.67,1.0
2017-07-17 18:00:00,170316202001001.0,41.79715,-87.7234,11.93,11.98,12.3,35.94,3.0
2017-07-17 18:00:00,170316202001001.0,41.79715,-87.72339000000001,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:00:00,170316202001001.0,41.79716,-87.72339000000001,11.86,11.86,11.86,11.86,1.0
2017-07-17 18:00:00,170316202001001.0,41.79717,-87.72339000000001,12.45,12.45,12.45,12.45,1.0
2017-07-17 18:00:00,170316202001001.0,41.79719,-87.7234,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:00:00,170316202001001.0,41.79721,-87.7234,11.86,11.86,11.86,11.86,1.0
2017-07-17 18:00:00,170316202001001.0,41.79723,-87.7234,12.3,12.3,12.3,12.3,1.0
2017-07-17 18:00:00,170316202001001.0,41.79725,-87.7234,12.67,12.67,12.67,12.67,1.0
2017-07-17 18:00:00,170316202001001.0,41.79728,-87.72341,12.38,12.38,12.38,12.38,1.0
2017-07-17 18:00:00,170316202001001.0,41.797309999999996,-87.72341,11.93,11.93,11.93,11.93,1.0
2017-07-17 18:00:00,170316202001001.0,41.79735,-87.72341999999999,11.34,11.34,11.34,11.34,1.0
2017-07-17 18:30:00,170316202001001.0,41.7951,-87.72335,12.08,12.08,12.08,12.08,1.0
2017-07-17 18:30:00,170316202001001.0,41.795159999999996,-87.72336,11.56,11.56,11.56,11.56,1.0
2017-07-17 18:30:00,170316202001001.0,41.79522,-87.72336,11.78,11.78,11.78,11.78,1.0
2017-07-17 18:30:00,170316202001001.0,41.79527,-87.72336,12.52,12.52,12.52,12.52,1.0
2017-07-17 18:30:00,170316202001001.0,41.79533,-87.72336,12.97,12.97,12.97,12.97,1.0
2017-07-17 18:30:00,170316202001001.0,41.79538,-87.72336,12.0,12.0,12.0,12.0,1.0
2017-07-17 18:30:00,170316202001001.0,41.79544,-87.72336,12.0,12.0,12.0,12.0,1.0
2017-07-17 18:30:00,170316202001001.0,41.7955,-87.72336999999999,12.45,12.45,12.45,12.45,1.0
2017-07-17 18:30:00,170316202001001.0,41.795559999999995,-87.72336999999999,12.9,12.9,12.9,12.9,1.0
2017-07-17 18:30:00,170316202001001.0,41.795629999999996,-87.72336999999999,12.45,12.45,12.45,12.45,1.0
2017-07-17 18:30:00,170316202001001.0,41.7957,-87.72338,12.3,12.3,12.3,12.3,1.0
2017-07-17 18:30:00,170316202001001.0,41.795759999999994,-87.72338,12.75,12.75,12.75,12.75,1.0
2017-07-17 18:30:00,170316202001001.0,41.79582,-87.72338,12.52,12.52,12.52,12.52,1.0
