thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-07-17 18:30:00,170316502001000.0,41.78553,-87.72305,15.03,15.03,15.03,15.03,1.0
2017-07-17 18:30:00,170316502001000.0,41.7856,-87.72305,15.18,15.18,15.18,15.18,1.0
2017-07-17 18:30:00,170316502001000.0,41.78567,-87.72306,14.87,14.87,14.87,14.87,1.0
2017-07-17 18:30:00,170316502001000.0,41.785740000000004,-87.72306,14.1,14.1,14.1,14.1,1.0
2017-07-17 18:30:00,170316502001000.0,41.7858,-87.72306999999999,14.72,14.72,14.72,14.72,1.0
2017-07-17 18:30:00,170316502001000.0,41.78585,-87.72308000000001,14.56,14.56,14.56,14.56,1.0
2017-07-17 18:30:00,170316502001000.0,41.7859,-87.72309,14.25,14.25,14.25,14.25,1.0
2017-07-17 18:30:00,170316502001005.0,41.78414,-87.72304,13.57,13.57,13.57,13.57,1.0
2017-07-17 18:30:00,170316502001005.0,41.78416,-87.72304,13.27,13.27,13.27,13.27,1.0
2017-07-17 18:30:00,170316502001005.0,41.78417,-87.72304,13.57,13.57,13.57,13.57,1.0
2017-07-17 18:30:00,170316502001005.0,41.7842,-87.72304,13.95,13.95,13.95,13.95,1.0
2017-07-17 18:30:00,170316502001005.0,41.78422,-87.72304,14.02,14.02,14.02,14.02,1.0
2017-07-17 18:30:00,170316502001005.0,41.78423,-87.72304,14.02,14.02,14.02,14.02,1.0
2017-07-17 18:30:00,170316502001005.0,41.784259999999996,-87.72303000000001,14.33,14.29818181818182,14.95,157.28,11.0
2017-07-17 18:30:00,170316502001005.0,41.78427,-87.72304,15.065,15.065,15.18,30.13,2.0
2017-07-17 18:30:00,170316502001005.0,41.784290000000006,-87.72304,14.64,14.64,14.64,14.64,1.0
2017-07-17 18:30:00,170316502001005.0,41.78432,-87.72305,14.79,14.79,14.79,14.79,1.0
2017-07-17 18:30:00,170316502001005.0,41.78435,-87.72304,14.87,14.87,14.87,14.87,1.0
2017-07-17 18:30:00,170316502001005.0,41.78439,-87.72304,13.8,13.8,13.8,13.8,1.0
2017-07-17 18:30:00,170316502001005.0,41.784440000000004,-87.72303000000001,13.8,13.8,13.8,13.8,1.0
2017-07-17 18:30:00,170316502001005.0,41.7845,-87.72301999999999,14.1,14.1,14.1,14.1,1.0
2017-07-17 18:30:00,170316502001005.0,41.78456,-87.72301999999999,14.87,14.87,14.87,14.87,1.0
2017-07-17 18:30:00,170316502001005.0,41.78464,-87.72301999999999,15.5,15.5,15.5,15.5,1.0
2017-07-17 18:30:00,170316502001005.0,41.78472,-87.72301999999999,15.82,15.82,15.82,15.82,1.0
2017-07-17 18:30:00,170316502001005.0,41.7848,-87.72303000000001,15.74,15.74,15.74,15.74,1.0
2017-07-17 18:30:00,170316502001005.0,41.78488,-87.72303000000001,16.07,16.07,16.07,16.07,1.0
2017-07-17 18:30:00,170316502001005.0,41.78496,-87.72303000000001,15.9,15.9,15.9,15.9,1.0
2017-07-17 18:30:00,170316502001005.0,41.78504,-87.72304,15.5,15.5,15.5,15.5,1.0
2017-07-17 18:30:00,170316502001005.0,41.78513,-87.72304,15.58,15.58,15.58,15.58,1.0
2017-07-17 18:30:00,170316502001005.0,41.78521,-87.72304,15.74,15.74,15.74,15.74,1.0
2017-07-17 18:30:00,170316502001005.0,41.7853,-87.72304,15.82,15.82,15.82,15.82,1.0
2017-07-17 18:30:00,170316502001005.0,41.785379999999996,-87.72304,15.5,15.5,15.5,15.5,1.0
2017-07-17 18:30:00,170316502001005.0,41.78546,-87.72304,15.26,15.26,15.26,15.26,1.0
2017-07-17 18:30:00,170316502001022.0,41.78233,-87.72296999999999,15.98,15.98,15.98,15.98,1.0
2017-07-17 18:30:00,170316502001022.0,41.78237,-87.72296999999999,15.66,15.66,15.66,15.66,1.0
2017-07-17 18:30:00,170316502001022.0,41.78239,-87.72296999999999,16.23,16.23,16.39,32.46,2.0
2017-07-17 18:30:00,170316502001022.0,41.78243,-87.72298,16.27,16.544166666666666,17.85,198.53,12.0
2017-07-17 18:30:00,170316502001022.0,41.78244,-87.72299,15.58,15.58,15.58,15.58,1.0
2017-07-17 18:30:00,170316502001022.0,41.78246,-87.72299,15.34,15.34,15.34,15.34,1.0
2017-07-17 18:30:00,170316502001022.0,41.78248,-87.72299,15.03,15.03,15.03,15.03,1.0
2017-07-17 18:30:00,170316502001022.0,41.78252,-87.72299,15.82,15.82,15.82,15.82,1.0
