thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2019-07-10 18:30:00,170315301001004.0,41.68416,-87.62059,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301001004.0,41.68428,-87.6206,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301001004.0,41.6844,-87.62061,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301001004.0,41.68451,-87.62061,3.0,3.0,3.0,9.0,3.0
2019-07-10 18:30:00,170315301001004.0,41.68471,-87.62063,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301001004.0,41.68486,-87.62064,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301001004.0,41.68491,-87.62065,3.0,3.0,3.0,6.0,2.0
2019-07-10 18:30:00,170315301001004.0,41.68497,-87.62065,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315301001004.0,41.68502,-87.62066,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301001004.0,41.68517,-87.62068,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301001004.0,41.68523,-87.62069,2.5,2.5,3.0,5.0,2.0
2019-07-10 18:30:00,170315301001004.0,41.68531,-87.6207,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315301001018.0,41.68262,-87.62065,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315301001018.0,41.68279,-87.62063,2.0,1.6666666666666667,2.0,5.0,3.0
2019-07-10 18:30:00,170315301001018.0,41.68307,-87.62062,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301001018.0,41.68319,-87.62061,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301001018.0,41.68333,-87.62061,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301001018.0,41.68363,-87.62059,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315301001018.0,41.6839,-87.62059,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002003.0,41.68159,-87.62062,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002003.0,41.68167,-87.62062,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315301002004.0,41.68186,-87.62064,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315301002004.0,41.68198,-87.62065,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315301002004.0,41.6821,-87.62066,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315301002004.0,41.68236,-87.62067,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315301002009.0,41.68082,-87.62057,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002009.0,41.68094,-87.62058,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002009.0,41.68118,-87.62059,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002009.0,41.68128,-87.6206,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315301002009.0,41.68142,-87.6206,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002009.0,41.68146,-87.6206,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301002009.0,41.68147,-87.6206,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301002024.0,41.67991,-87.62053,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301002024.0,41.68011,-87.62054,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315301002024.0,41.68021,-87.62055,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315301002024.0,41.68045,-87.62056,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315301002024.0,41.68057,-87.62056,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315301002030.0,41.67919,-87.62054,2.0,2.0,3.0,6.0,3.0
2019-07-10 18:30:00,170315301002030.0,41.67942,-87.62054,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002030.0,41.67961,-87.62054,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301002030.0,41.67968,-87.62054,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002030.0,41.67973,-87.62054,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315301002030.0,41.67984,-87.62053,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002037.0,41.67818,-87.62048,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315301002037.0,41.67835,-87.6205,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315301002037.0,41.67857,-87.62052,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315301002037.0,41.67882,-87.62053,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315301002037.0,41.67894,-87.62053,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.65917,-87.61842,4.0,4.0,4.0,8.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.65938,-87.61848,4.0,4.0,4.0,8.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.65945,-87.61847,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.65964,-87.61842,2.5,2.5,3.0,5.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.65975,-87.61838,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.65988,-87.61835,2.5,2.5,3.0,5.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66016,-87.61827,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66031,-87.61824,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66045,-87.61821,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.6606,-87.61817,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.6609,-87.6181,3.0,3.0,4.0,6.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66119,-87.61804,3.0,3.3333333333333335,4.0,10.0,3.0
2019-07-10 18:30:00,170315306001020.0,41.66148,-87.61798,3.0,3.0,3.0,6.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66176,-87.61791,3.0,3.0,3.0,6.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66203,-87.61785,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66228,-87.61779,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66241,-87.61776,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66266,-87.61771,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66278,-87.61769,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.6629,-87.61767,3.0,2.6666666666666665,3.0,8.0,3.0
2019-07-10 18:30:00,170315306001020.0,41.66308,-87.61763,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66315,-87.61762,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66323,-87.61759,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66326,-87.61758,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66336,-87.61762,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66341,-87.61853,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66342,-87.61882,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66343,-87.61773,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66344,-87.61836,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66345,-87.61909,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66345,-87.61821,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66345,-87.61782,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66346,-87.61792,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66347,-87.61932,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66348,-87.61972,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66348,-87.61954,1.0,1.0,1.0,3.0,3.0
2019-07-10 18:30:00,170315306001020.0,41.66348,-87.61943,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66351,-87.61986,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66361,-87.61991,1.5,1.5,2.0,3.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66376,-87.61992,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.6664,-87.62003,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66649,-87.62003,2.0,2.3333333333333335,3.0,7.0,3.0
2019-07-10 18:30:00,170315306001020.0,41.66671,-87.62003,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66697,-87.62004,2.5,2.5,3.0,5.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.66711,-87.62005,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001020.0,41.6674,-87.62006,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001020.0,41.66755,-87.62007,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.66492,-87.61998,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001021.0,41.66522,-87.61999,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.66536,-87.61999,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001021.0,41.66578,-87.62001,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.6659,-87.62002,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001021.0,41.66606,-87.62002,2.0,2.0,2.0,6.0,3.0
2019-07-10 18:30:00,170315306001021.0,41.66612,-87.62002,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.66613,-87.62002,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.66614,-87.62002,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001021.0,41.66616,-87.62002,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.66617,-87.62002,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.6662,-87.62002,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001021.0,41.66628,-87.62002,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001023.0,41.66397,-87.61992,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001023.0,41.66409,-87.61993,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001023.0,41.66434,-87.61995,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001023.0,41.66448,-87.61995,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001023.0,41.66477,-87.61997,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306001028.0,41.66783,-87.62009,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306001028.0,41.66797,-87.6201,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001028.0,41.66812,-87.62011,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001028.0,41.66852,-87.62013,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306001028.0,41.66865,-87.62013,1.0,1.0,1.0,2.0,2.0
2019-07-10 18:30:00,170315306001028.0,41.66891,-87.62014,0.5,0.5,1.0,1.0,2.0
2019-07-10 18:30:00,170315306002002.0,41.67266,-87.6203,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306002002.0,41.67294,-87.62031,2.5,2.5,3.0,5.0,2.0
2019-07-10 18:30:00,170315306002002.0,41.67321,-87.62032,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306002002.0,41.67335,-87.62032,2.0,2.0,2.0,6.0,3.0
2019-07-10 18:30:00,170315306002007.0,41.67169,-87.62025,3.0,3.0,3.0,9.0,3.0
2019-07-10 18:30:00,170315306002007.0,41.67196,-87.62027,2.5,2.5,3.0,5.0,2.0
2019-07-10 18:30:00,170315306002007.0,41.67224,-87.62028,2.0,2.0,2.0,2.0,1.0
2019-07-10 18:30:00,170315306002007.0,41.67238,-87.62028,2.0,2.0,2.0,4.0,2.0
2019-07-10 18:30:00,170315306002014.0,41.67088,-87.62022,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306002014.0,41.67108,-87.62023,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306002014.0,41.67119,-87.62023,3.0,3.0,3.0,6.0,2.0
2019-07-10 18:30:00,170315306002014.0,41.67143,-87.62024,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306002014.0,41.67155,-87.62024,3.0,3.0,3.0,3.0,1.0
2019-07-10 18:30:00,170315306002025.0,41.66916,-87.62016,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306002025.0,41.66928,-87.62017,1.0,1.0,1.0,1.0,1.0
2019-07-10 18:30:00,170315306002025.0,41.66951,-87.62018,0.0,0.0,0.0,0.0,2.0
2019-07-10 18:30:00,170315306002025.0,41.66976,-87.62018,0.0,0.0,0.0,0.0,3.0
2019-07-10 18:30:00,170315306002025.0,41.67001,-87.6202,0.0,0.0,0.0,0.0,1.0
2019-07-10 18:30:00,170315306002025.0,41.67013,-87.6202,2.0,2.0,2.0,4.0,2.0
