thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-09-15 16:00:00,170310201002000.0,42.01915,-87.68460999999999,9.17,9.17,9.17,9.17,1.0
2017-09-15 16:30:00,170310202001010.0,42.01191,-87.70904,13.65,13.707999999999998,13.95,68.53999999999999,5.0
2017-09-15 16:30:00,170310202001010.0,42.01192,-87.70904,13.01,12.9525,13.19,51.81,4.0
2017-09-15 16:30:00,170310202001010.0,42.01194,-87.70905,7.42,7.42,7.42,7.42,1.0
2017-09-15 16:30:00,170310202001010.0,42.01194,-87.70904,7.955,8.051250000000001,8.49,64.41000000000001,8.0
2017-09-15 16:30:00,170310202001010.0,42.01195,-87.70904,8.15,8.09,8.64,32.36,4.0
2017-09-15 16:30:00,170310202001010.0,42.011959999999995,-87.70905,9.25,9.25,9.25,9.25,1.0
2017-09-15 16:30:00,170310202001010.0,42.011959999999995,-87.70904,10.445,10.5725,12.75,126.87,12.0
2017-09-15 16:30:00,170310202001010.0,42.01197,-87.70905,9.85,9.85,9.85,9.85,1.0
2017-09-15 16:30:00,170310202001010.0,42.01197,-87.70904,10.22,10.22,10.22,10.22,1.0
2017-09-15 16:30:00,170310202001010.0,42.01198,-87.70905,9.85,9.838,9.93,49.19,5.0
2017-09-15 16:30:00,170310202001010.0,42.01198,-87.70904,9.93,9.93,9.93,9.93,1.0
2017-09-15 16:30:00,170310202001010.0,42.011990000000004,-87.70905,10.0,10.0,10.0,10.0,1.0
2017-09-15 16:30:00,170310202001010.0,42.012,-87.70905,9.85,9.85,9.85,9.85,1.0
2017-09-15 16:30:00,170310202001010.0,42.01202,-87.70905,10.15,10.15,10.15,10.15,1.0
2017-09-15 16:30:00,170310202001010.0,42.01204,-87.70905,10.37,10.37,10.37,10.37,1.0
2017-09-15 16:30:00,170310202001010.0,42.01206,-87.70905,10.37,10.37,10.37,10.37,1.0
2017-09-15 16:30:00,170310202002014.0,42.01214,-87.6973,13.65,13.65,13.65,13.65,1.0
2017-09-15 16:30:00,170310202002014.0,42.01214,-87.69725,13.57,13.57,13.57,13.57,1.0
2017-09-15 16:30:00,170310202002014.0,42.01214,-87.6972,13.87,13.87,13.87,13.87,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69716,13.27,13.27,13.27,13.27,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69712,13.05,13.05,13.05,13.05,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69707,12.67,12.67,12.67,12.67,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69703,12.0,12.0,12.0,12.0,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69699,12.52,12.52,12.52,12.52,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69695,12.75,12.75,12.75,12.75,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69691,11.93,11.93,11.93,11.93,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69686999999999,11.86,11.86,11.86,11.86,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69682,11.41,11.41,11.41,11.41,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69673,11.15,11.15,11.26,22.3,2.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69668,11.49,11.49,11.49,11.49,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69663,11.93,11.93,11.93,11.93,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69659,13.12,13.12,13.12,13.12,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69654,13.95,13.95,13.95,13.95,1.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69644,12.45,12.45,12.6,24.9,2.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69634,12.45,12.45,12.45,24.9,2.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69625,13.16,13.16,13.65,26.32,2.0
2017-09-15 16:30:00,170310202002014.0,42.01215,-87.69614,12.785,12.785,13.19,25.57,2.0
2017-09-15 16:30:00,170310202004046.0,42.01211,-87.69815,10.22,10.22,10.22,10.22,1.0
2017-09-15 16:30:00,170310202004046.0,42.01211,-87.69795,9.78,9.78,9.78,9.78,1.0
2017-09-15 16:30:00,170310202004046.0,42.01211,-87.6979,10.45,10.45,10.45,10.45,1.0
2017-09-15 16:30:00,170310202004046.0,42.01211,-87.69785999999999,10.22,10.22,10.22,10.22,1.0
2017-09-15 16:30:00,170310202004046.0,42.01212,-87.6981,9.63,9.63,9.63,9.63,1.0
2017-09-15 16:30:00,170310202004046.0,42.01212,-87.69805,10.45,10.45,10.45,10.45,1.0
2017-09-15 16:30:00,170310202004046.0,42.01212,-87.698,9.48,9.48,9.48,9.48,1.0
2017-09-15 16:30:00,170310202004046.0,42.01212,-87.69778000000001,13.27,13.27,13.27,13.27,1.0
2017-09-15 16:30:00,170310202004046.0,42.01212,-87.69774,14.79,14.79,14.79,14.79,1.0
2017-09-15 16:30:00,170310202004046.0,42.01212,-87.6977,15.34,15.34,15.34,15.34,1.0
2017-09-15 16:30:00,170310202004046.0,42.01213,-87.69766,15.58,15.58,15.58,15.58,1.0
2017-09-15 16:30:00,170310202004046.0,42.01213,-87.69762,15.03,15.03,15.03,15.03,1.0
2017-09-15 16:30:00,170310202004046.0,42.01213,-87.69758,14.64,14.64,14.64,14.64,1.0
2017-09-15 16:30:00,170310202004046.0,42.01214,-87.69754,13.87,13.87,13.87,13.87,1.0
2017-09-15 16:30:00,170310202004046.0,42.01214,-87.69749,13.49,13.49,13.49,13.49,1.0
2017-09-15 16:30:00,170310202004046.0,42.01214,-87.69745,13.49,13.49,13.49,13.49,1.0
2017-09-15 16:30:00,170310202004046.0,42.01214,-87.6974,13.57,13.57,13.57,13.57,1.0
2017-09-15 16:30:00,170310202004046.0,42.01214,-87.69735,14.25,14.25,14.25,14.25,1.0
2017-09-15 16:30:00,170310203011000.0,42.01174,-87.70622,8.49,8.49,8.64,16.98,2.0
2017-09-15 16:30:00,170310203011000.0,42.01174,-87.70621,8.03,8.03,8.03,8.03,1.0
2017-09-15 16:30:00,170310203011000.0,42.011759999999995,-87.70621,8.26,8.26,8.26,8.26,1.0
2017-09-15 16:30:00,170310203011000.0,42.01177,-87.70621,8.19,8.19,8.19,8.19,1.0
2017-09-15 16:30:00,170310203011000.0,42.01178,-87.70621,8.72,8.843333333333334,9.78,26.53,3.0
2017-09-15 16:30:00,170310203011000.0,42.0118,-87.7062,9.25,9.25,9.25,9.25,1.0
2017-09-15 16:30:00,170310203011000.0,42.0118,-87.70619,8.34,8.34,8.34,8.34,1.0
2017-09-15 16:30:00,170310203011000.0,42.01182,-87.70617,8.72,8.72,8.72,8.72,1.0
2017-09-15 16:30:00,170310203011000.0,42.01182,-87.70612,8.985,8.985,9.02,17.97,2.0
2017-09-15 16:30:00,170310203011000.0,42.01184,-87.70609,9.17,9.17,9.17,9.17,1.0
2017-09-15 16:30:00,170310203011000.0,42.01184,-87.70606,9.1,9.1,9.1,9.1,1.0
2017-09-15 16:30:00,170310203011000.0,42.01184,-87.70603,8.26,8.26,8.26,8.26,1.0
2017-09-15 16:30:00,170310203011000.0,42.01185,-87.70599,7.88,7.88,7.88,7.88,1.0
2017-09-15 16:30:00,170310203011000.0,42.01186,-87.70591999999999,7.65,7.65,7.88,15.3,2.0
2017-09-15 16:30:00,170310203011000.0,42.01186,-87.70584000000001,8.225,8.225,8.26,16.45,2.0
2017-09-15 16:30:00,170310203011000.0,42.01187,-87.7058,8.72,8.72,8.72,8.72,1.0
2017-09-15 16:30:00,170310203011000.0,42.01187,-87.70572,10.11,10.11,10.22,20.22,2.0
2017-09-15 16:30:00,170310203011000.0,42.01188,-87.70564,10.37,10.37,10.37,10.37,1.0
2017-09-15 16:30:00,170310203011000.0,42.01188,-87.7056,10.75,10.75,10.75,10.75,1.0
2017-09-15 16:30:00,170310203011000.0,42.01188,-87.70555999999999,10.37,10.37,10.37,10.37,1.0
2017-09-15 16:30:00,170310203011000.0,42.01189,-87.70551,9.625,9.625,9.85,19.25,2.0
2017-09-15 16:30:00,170310203011000.0,42.0119,-87.70541999999999,9.85,9.85,9.85,9.85,1.0
