thirtymins,geoid10,lat_r,lng_r,median,mean,max,sum,count
2017-04-03 20:00:00,170318321002000.0,41.953990000000005,-87.65599,17.5,17.544624999999996,22.55,1403.5699999999995,80.0
2017-04-03 20:00:00,170318321002000.0,41.95401,-87.65601,13.12,13.12,13.27,26.24,2.0
2017-04-03 20:00:00,170318321002000.0,41.95401,-87.656,12.82,12.82,12.82,12.82,1.0
2017-04-03 20:00:00,170318321002000.0,41.95402,-87.65597,14.02,14.02,14.02,14.02,1.0
2017-04-03 20:00:00,170318321002000.0,41.95402,-87.65594,14.1,14.1,14.1,14.1,1.0
2017-04-03 20:00:00,170318321002000.0,41.95402,-87.65590999999999,13.8,13.8,13.8,13.8,1.0
2017-04-03 20:00:00,170318321002000.0,41.95402,-87.65581,14.72,14.72,14.72,14.72,1.0
2017-04-03 20:00:00,170318321002000.0,41.954029999999996,-87.65586,13.95,13.95,13.95,13.95,1.0
2017-04-03 20:00:00,170318321002000.0,41.954029999999996,-87.65575,14.87,14.87,14.87,14.87,1.0
2017-04-03 20:00:00,170318321002000.0,41.954029999999996,-87.65553,15.11,15.11,15.11,15.11,1.0
2017-04-03 20:00:00,170318321002000.0,41.954029999999996,-87.65545999999999,16.15,16.15,16.15,16.15,1.0
2017-04-03 20:00:00,170318321002000.0,41.95404,-87.65561,14.64,14.64,14.64,14.64,1.0
2017-04-03 20:00:00,170318321002000.0,41.95404,-87.65531,17.15,17.15,17.15,17.15,1.0
2017-04-03 20:00:00,170318321002000.0,41.95404,-87.65524,15.66,15.66,15.66,15.66,1.0
2017-04-03 20:00:00,170318321002000.0,41.95404,-87.65512,14.64,14.64,14.64,14.64,1.0
2017-04-03 20:00:00,170318321002000.0,41.95404,-87.65505,13.34,13.34,13.34,13.34,1.0
2017-04-03 20:00:00,170318321002000.0,41.95404,-87.65499,13.05,13.05,13.05,13.05,1.0
2017-04-03 20:00:00,170318321002000.0,41.95405,-87.65538000000001,16.73,16.73,16.73,16.73,1.0
2017-04-03 20:00:00,170318321002000.0,41.95405,-87.65493000000001,13.49,13.49,13.49,13.49,1.0
2017-04-03 20:00:00,170318321002000.0,41.95405,-87.65488,13.12,13.12,13.12,13.12,1.0
2017-04-03 20:00:00,170318321002000.0,41.95405,-87.65482,12.52,12.52,12.52,12.52,1.0
2017-04-03 20:00:00,170318321002000.0,41.95406,-87.65471,12.97,12.97,12.97,12.97,1.0
2017-04-03 20:00:00,170318321002000.0,41.95406,-87.65464,12.15,12.15,12.15,12.15,1.0
2017-04-03 20:00:00,170318321002000.0,41.95406,-87.65456999999999,12.08,12.08,12.08,12.08,1.0
2017-04-03 20:30:00,170318321002000.0,41.95397,-87.65525,20.2,20.2,20.2,20.2,1.0
2017-04-03 20:30:00,170318321002000.0,41.953990000000005,-87.65599,15.58,15.54142857142857,16.23,108.79,7.0
2017-04-03 20:30:00,170318321002000.0,41.95399999999999,-87.65588000000001,16.77,16.578524590163926,21.45,2022.579999999999,122.0
2017-04-03 22:30:00,170310605001000.0,41.95429,-87.65684,15.74,15.74,15.74,15.74,1.0
2017-04-03 22:30:00,170310605001001.0,41.95434,-87.65686,15.98,15.98,15.98,15.98,1.0
2017-04-03 22:30:00,170310605001001.0,41.954390000000004,-87.65688,16.15,16.15,16.15,16.15,1.0
2017-04-03 22:30:00,170310605001001.0,41.954440000000005,-87.65691,17.5,17.5,17.5,17.5,1.0
2017-04-03 22:30:00,170318321002000.0,41.95398,-87.65517,17.11,17.11,17.58,68.44,4.0
