address,lat,lon,name,device_loc,ID,primaryID,ParentID,sensor_created_at,PM2.5 (ATM)|median,PM2.5 (ATM)|mean,PM2.5 (ATM)|max,PM2.5 (ATM)|sum,PM2.5 (ATM)|count,created_at|min,created_at|max,std_address,envelope
1138 PLYMOUTH,41.868892,-87.629436,AirMonitor_9dc1,outside,5588,392051,5588,2017-12-27T00:49:20Z,0.0,0.0,0.0,0.0,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,1138 PLYMOUTH,"POLYGON ((-87.64610266666666 41.85222533333334, -87.61276933333333 41.85222533333334, -87.61276933333333 41.88555866666667, -87.64610266666666 41.88555866666667, -87.64610266666666 41.85222533333334))"
1138 PLYMOUTH B,41.868892,-87.629436,AirMonitor_9dc1_b,missing,5589,392053,5588,2017-12-27T00:49:21Z,7.48,9.814026895226855,115.35,66411.52000000012,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,1138 PLYMOUTH,"POLYGON ((-87.64610266666666 41.85222533333334, -87.61276933333333 41.85222533333334, -87.61276933333333 41.88555866666667, -87.64610266666666 41.88555866666667, -87.64610266666666 41.85222533333334))"
6147 N Maplewood Living Room,41.993674,-87.6932,AirMonitor_a057,inside,43955,937262,43955,2019-12-13T20:31:55Z,3.74,21.163844105901415,1141.45,143088.74999999948,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,6147 N Maplewood Living Room,"POLYGON ((-87.70986666666667 41.97700733333333, -87.67653333333334 41.97700733333333, -87.67653333333334 42.01034066666666, -87.70986666666667 42.01034066666666, -87.70986666666667 41.97700733333333))"
6147 N Maplewood Living Room B,41.993674,-87.6932,AirMonitor_a057_b,missing,43956,937264,43955,2019-12-13T20:31:56Z,3.61,21.384499334417992,1129.18,144580.60000000003,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,6147 N Maplewood Living Room,"POLYGON ((-87.70986666666667 41.97700733333333, -87.67653333333334 41.97700733333333, -87.67653333333334 42.01034066666666, -87.70986666666667 42.01034066666666, -87.70986666666667 41.97700733333333))"
BOTY Coffee Shop,41.80837,-87.67698,AirMonitor_a012,outside,12909,537228,12909,2018-07-11T22:42:08Z,9.815000000000001,12.43463406735751,255.57,76796.29999999999,6691.0,2020-06-01T00:00:00Z,2020-10-19T22:30:00Z,BOTY Coffee Shop,"POLYGON ((-87.69364666666667 41.79170333333333, -87.66031333333333 41.79170333333333, -87.66031333333333 41.82503666666666, -87.69364666666667 41.82503666666666, -87.69364666666667 41.79170333333333))"
BOTY Coffee Shop B,41.80837,-87.67698,AirMonitor_a012_b,missing,12910,537230,12909,2018-07-11T22:42:09Z,9.1,13.483392191802993,4185.96,83232.97999999988,6691.0,2020-06-01T00:00:00Z,2020-10-19T22:30:00Z,BOTY Coffee Shop,"POLYGON ((-87.69364666666667 41.79170333333333, -87.66031333333333 41.79170333333333, -87.66031333333333 41.82503666666666, -87.69364666666667 41.82503666666666, -87.69364666666667 41.79170333333333))"
Beke-Sato Office,41.993644,-87.693041,AirMonitor_a5e4,inside,45359,950255,45359,2020-01-02T19:50:30Z,2.51,18.797628698224823,1103.58,127071.96999999981,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,Beke-Sato Office,"POLYGON ((-87.70970766666666 41.97697733333334, -87.67637433333333 41.97697733333334, -87.67637433333333 42.01031066666667, -87.70970766666666 42.01031066666667, -87.70970766666666 41.97697733333334))"
Beke-Sato Office B,41.993644,-87.693041,AirMonitor_a5e4_b,missing,45360,950257,45359,2020-01-02T19:50:31Z,,,,0.0,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,Beke-Sato Office,"POLYGON ((-87.70970766666666 41.97697733333334, -87.67637433333333 41.97697733333334, -87.67637433333333 42.01031066666667, -87.70970766666666 42.01031066666667, -87.70970766666666 41.97697733333334))"
Bridgeport SW,41.829361,-87.650137,AirMonitor_61c0,outside,36281,838316,36281,2019-08-01T14:48:45Z,7.785,10.356356553620538,187.5,45195.14000000003,4386.0,2020-07-20T15:00:00Z,2020-10-19T23:30:00Z,Bridgeport SW,"POLYGON ((-87.66680366666667 41.81269433333333, -87.63347033333334 41.81269433333333, -87.63347033333334 41.84602766666666, -87.66680366666667 41.84602766666666, -87.66680366666667 41.81269433333333))"
Bridgeport SW B,41.829361,-87.650137,AirMonitor_61c0_b,missing,36282,838318,36281,2019-08-01T14:48:46Z,6.63,9.647786434463786,192.63,42102.93999999996,4386.0,2020-07-20T15:00:00Z,2020-10-19T23:30:00Z,Bridgeport SW,"POLYGON ((-87.66680366666667 41.81269433333333, -87.63347033333334 41.81269433333333, -87.63347033333334 41.84602766666666, -87.66680366666667 41.84602766666666, -87.66680366666667 41.81269433333333))"
CFD Eng 65,41.817572,-87.699566,AirMonitor_9a95,outside,51953,1034918,51953,2020-04-09T20:28:58Z,0.0,5.286573705179278,71.68,11942.36999999999,2261.0,2020-06-01T00:00:00Z,2020-10-16T20:30:00Z,CFD Eng 65,"POLYGON ((-87.71623266666667 41.80090533333333, -87.68289933333334 41.80090533333333, -87.68289933333334 41.83423866666666, -87.71623266666667 41.83423866666666, -87.71623266666667 41.80090533333333))"
CFD Eng 65 B,41.817572,-87.699566,AirMonitor_9a95_b,missing,51954,1034920,51953,2020-04-09T20:28:59Z,9.7,15.581247787610646,4114.55,35213.62000000006,2262.0,2020-06-01T00:00:00Z,2020-10-16T20:30:00Z,CFD Eng 65,"POLYGON ((-87.71623266666667 41.80090533333333, -87.68289933333334 41.80090533333333, -87.68289933333334 41.83423866666666, -87.71623266666667 41.83423866666666, -87.71623266666667 41.80090533333333))"
CPS Burr Elem,41.911945,-87.668633,AirMonitor_29b1,outside,52011,1035070,52011,2020-04-09T22:50:05Z,4998.54,4771.690847382425,5057.37,32266173.509999957,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,CPS Burr Elem,"POLYGON ((-87.68529966666667 41.89527833333334, -87.65196633333333 41.89527833333334, -87.65196633333333 41.92861166666667, -87.68529966666667 41.92861166666667, -87.68529966666667 41.89527833333334))"
CPS Burr Elem B,41.911945,-87.668633,AirMonitor_29b1_b,missing,52012,1035072,52011,2020-04-09T22:50:05Z,7.98,10.203790298728224,83.09,68998.03000000025,6768.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,CPS Burr Elem,"POLYGON ((-87.68529966666667 41.89527833333334, -87.65196633333333 41.89527833333334, -87.65196633333333 41.92861166666667, -87.68529966666667 41.92861166666667, -87.68529966666667 41.89527833333334))"
Chicago Ridge,41.701207,-87.779518,AirMonitor_9ab8,inside,57645,1082249,57645,2020-06-15T21:07:35Z,18.92,45.99537901127497,897.75,265163.3600000002,5772.0,2020-06-15T21:00:00Z,2020-10-19T23:30:00Z,Chicago Ridge,"POLYGON ((-87.79618466666666 41.68454033333333, -87.76285133333333 41.68454033333333, -87.76285133333333 41.71787366666666, -87.79618466666666 41.71787366666666, -87.79618466666666 41.68454033333333))"
Chicago Ridge B,41.701207,-87.779518,AirMonitor_9ab8_b,missing,57646,1082251,57645,2020-06-15T21:07:35Z,,,,0.0,5772.0,2020-06-15T21:00:00Z,2020-10-19T23:30:00Z,Chicago Ridge,"POLYGON ((-87.79618466666666 41.68454033333333, -87.76285133333333 41.68454033333333, -87.76285133333333 41.71787366666666, -87.79618466666666 41.71787366666666, -87.79618466666666 41.68454033333333))"
Ducktown,41.829173,-87.677909,AirMonitor_7abd,outside,43849,936518,43849,2019-12-12T22:05:25Z,8.84,12.270715675999375,538.3,81956.10999999983,6681.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,Ducktown,"POLYGON ((-87.69457566666667 41.81250633333333, -87.66124233333333 41.81250633333333, -87.66124233333333 41.84583966666666, -87.69457566666667 41.84583966666666, -87.69457566666667 41.81250633333333))"
Ducktown B,41.829173,-87.677909,AirMonitor_7abd_b,missing,43850,936520,43849,2019-12-12T22:05:26Z,0.74,134.4587917352897,5002.07,898050.27,6681.0,2020-06-01T00:00:00Z,2020-10-19T23:30:00Z,Ducktown,"POLYGON ((-87.69457566666667 41.81250633333333, -87.66124233333333 41.81250633333333, -87.66124233333333 41.84583966666666, -87.69457566666667 41.84583966666666, -87.69457566666667 41.81250633333333))"
Edgewater,41.991683,-87.656908,AirMonitor_9baa,outside,57441,1078598,57441,2020-06-09T20:15:30Z,7.85,10.576987270155614,269.02,59823.440000000155,5680.0,2020-06-09T20:00:00Z,2020-10-19T23:30:00Z,Edgewater,"POLYGON ((-87.67357466666667 41.97501633333334, -87.64024133333334 41.97501633333334, -87.64024133333334 42.00834966666667, -87.67357466666667 42.00834966666667, -87.67357466666667 41.97501633333334))"
Edgewater B,41.991683,-87.656908,AirMonitor_9baa_b,missing,57442,1078600,57441,2020-06-09T20:15:31Z,7.6850000000000005,10.448988684582753,277.07,59099.480000000054,5679.0,2020-06-09T20:00:00Z,2020-10-19T23:30:00Z,Edgewater,"POLYGON ((-87.67357466666667 41.97501633333334, -87.64024133333334 41.97501633333334, -87.64024133333334 42.00834966666667, -87.67357466666667 42.00834966666667, -87.67357466666667 41.97501633333334))"
Edgewater Condo Indoor,41.991751,-87.657232,AirMonitor_9a44,inside,57579,1080067,57579,2020-06-11T18:26:57Z,0.85,2.092157587548655,308.52,10753.690000000086,5151.0,2020-06-11T18:00:00Z,2020-10-19T23:30:00Z,Edgewater Condo Indoor,"POLYGON ((-87.67389866666666 41.97508433333333, -87.64056533333333 41.97508433333333, -87.64056533333333 42.00841766666667, -87.67389866666666 42.00841766666667, -87.67389866666666 41.97508433333333))"
Edgewater Condo Indoor B,41.991751,-87.657232,AirMonitor_9a44_b,missing,57580,1080069,57579,2020-06-11T18:26:58Z,,,,0.0,5151.0,2020-06-11T18:00:00Z,2020-10-19T23:30:00Z,Edgewater Condo Indoor,"POLYGON ((-87.67389866666666 41.97508433333333, -87.64056533333333 41.97508433333333, -87.64056533333333 42.00841766666667, -87.67389866666666 42.00841766666667, -87.67389866666666 41.97508433333333))"
LVEJO_2,41.814712,-87.727484,AirMonitor_f7fc,outside,5772,395501,5772,2018-01-03T00:18:20Z,9.96,13.150339458112718,441.86,84451.47999999988,6470.0,2020-06-01T00:00:00Z,2020-10-13T21:30:00Z,LVEJO_2,"POLYGON ((-87.74415066666667 41.79804533333333, -87.71081733333334 41.79804533333333, -87.71081733333334 41.83137866666667, -87.74415066666667 41.83137866666667, -87.74415066666667 41.79804533333333))"
LVEJO_2 B,41.814712,-87.727484,AirMonitor_f7fc_b,missing,5773,395504,5772,2018-01-03T00:18:21Z,9.93,13.144468151378266,449.27,84400.62999999984,6470.0,2020-06-01T00:00:00Z,2020-10-13T21:30:00Z,LVEJO_2,"POLYGON ((-87.74415066666667 41.79804533333333, -87.71081733333334 41.79804533333333, -87.71081733333334 41.83137866666667, -87.74415066666667 41.83137866666667, -87.74415066666667 41.79804533333333))"
